Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,6.65,7.35,6.65, 7.35,7.10,5409,0.38
29-Dec-2011,6.70,7.15,6.70, 7.05,7.00,536,0.04
28-Dec-2011,6.80,7.00,6.80, 7.00,6.85,1696,0.12
27-Dec-2011,6.90,7.20,6.90, 7.15,7.15,604,0.04
26-Dec-2011,6.60,6.95,6.60, 6.95,6.95,1051,0.07
23-Dec-2011,6.70,6.95,6.70, 6.95,6.95,3352,0.23
22-Dec-2011,6.80,7.00,6.75, 7.00,7.00,7205,0.49
21-Dec-2011,6.70,7.05,6.70, 6.85,6.90,5116,0.35
20-Dec-2011,7.00,7.00,6.70, 6.90,6.80,925,0.06
19-Dec-2011,6.80,7.00,6.80, 7.00,6.85,1995,0.14
16-Dec-2011,7.00,7.15,6.70, 7.15,7.15,1646,0.11
15-Dec-2011,6.50,7.00,6.50, 7.00,6.85,2533,0.17
14-Dec-2011,7.00,7.10,6.75, 6.75,6.75,366,0.02
13-Dec-2011,6.90,7.00,6.60, 7.00,6.95,3675,0.25
12-Dec-2011,6.55,7.00,6.50, 7.00,6.95,4777,0.32
09-Dec-2011,6.80,6.80,6.70, 6.70,6.70,3854,0.26
08-Dec-2011,7.25,7.30,6.75, 7.30,7.05,1606,0.11
07-Dec-2011,6.85,7.00,6.75, 7.00,6.95,653,0.05
05-Dec-2011,7.00,7.15,6.75, 7.15,7.00,1685,0.12
02-Dec-2011,6.65,7.25,6.60, 6.80,6.95,3676,0.25
01-Dec-2011,7.00,7.20,6.90, 6.90,6.90,2752,0.19
29-Nov-2011,6.95,7.25,6.85, 7.25,7.25,1074,0.07
28-Nov-2011,6.85,7.45,6.85, 7.20,7.20,3533,0.25
25-Nov-2011,6.85,7.20,6.70, 7.15,7.15,10451,0.72
24-Nov-2011,6.95,7.20,6.75, 7.20,7.05,4451,0.32
23-Nov-2011,6.90,7.20,6.75, 7.00,7.00,6002,0.42
22-Nov-2011,7.05,7.05,6.80, 7.00,7.00,2051,0.14
21-Nov-2011,6.65,7.20,6.60, 7.15,7.10,2156,0.15
18-Nov-2011,6.50,7.05,6.50, 7.05,6.90,21639,1.42
17-Nov-2011,6.85,6.85,6.45, 6.85,6.80,732,0.05
16-Nov-2011,6.35,6.95,6.35, 6.45,6.70,5575,0.36
15-Nov-2011,6.95,6.95,6.60, 6.60,6.60,2777,0.19
14-Nov-2011,7.25,7.25,6.95, 6.95,6.95,2980,0.21
11-Nov-2011,7.30,7.30,7.30, 7.30,7.30,5200,0.38
09-Nov-2011,7.90,7.90,7.60, 7.70,7.65,1788,0.14
08-Nov-2011,7.70,7.85,7.40, 7.85,7.80,5501,0.42
04-Nov-2011,7.70,7.70,7.65, 7.65,7.70,235,0.02
03-Nov-2011,8.05,8.20,8.05, 8.05,8.05,10777,0.87
02-Nov-2011,8.00,8.55,7.95, 8.45,8.45,5221,0.44
01-Nov-2011,7.75,8.35,7.75, 8.35,8.35,15477,1.28
31-Oct-2011,8.00,8.10,7.55, 8.10,7.95,6620,0.52
28-Oct-2011,7.75,8.00,7.60, 8.00,7.80,1959,0.15
26-Oct-2011,7.90,8.50,7.85, 7.90,8.00,7515,0.62
25-Oct-2011,7.60,8.10,7.60, 8.10,8.10,15271,1.23
24-Oct-2011,7.45,7.90,7.45, 7.90,7.70,990,0.08
21-Oct-2011,7.80,7.90,7.70, 7.70,7.70,12823,1.01
20-Oct-2011,7.60,7.85,7.50, 7.50,7.50,3462,0.26
19-Oct-2011,8.10,8.10,7.60, 8.00,7.90,17404,1.38
18-Oct-2011,7.70,7.95,7.55, 7.95,7.90,5866,0.46
17-Oct-2011,7.95,8.00,7.45, 7.55,7.55,2970,0.23
14-Oct-2011,7.35,7.75,7.35, 7.75,7.75,13374,1.03
13-Oct-2011,7.35,7.55,7.30, 7.35,7.35,10560,0.79
12-Oct-2011,7.00,7.20,6.85, 7.20,7.15,10416,0.74
11-Oct-2011,6.75,6.85,6.35, 6.85,6.85,709,0.05
10-Oct-2011,6.40,6.65,6.35, 6.40,6.60,650,0.04
07-Oct-2011,6.35,6.65,6.35, 6.40,6.40,16622,1.09
05-Oct-2011,6.00,6.30,6.00, 6.30,6.30,12081,0.76
04-Oct-2011,5.80,6.05,5.60, 6.00,6.00,1877,0.11
03-Oct-2011,5.85,5.85,5.75, 5.85,5.75,425,0.02
30-Sep-2011,5.75,5.75,5.55, 5.55,5.55,4400,0.25
29-Sep-2011,5.80,5.85,5.75, 5.75,5.75,3610,0.21
28-Sep-2011,6.25,6.45,6.05, 6.05,6.05,3160,0.19
27-Sep-2011,6.10,6.40,6.10, 6.40,6.35,14317,0.90
26-Sep-2011,6.00,6.45,6.00, 6.45,6.35,5690,0.35
23-Sep-2011,6.30,6.35,6.30, 6.30,6.30,2407,0.15
22-Sep-2011,6.55,6.70,6.55, 6.60,6.60,4358,0.29
21-Sep-2011,7.00,7.25,6.90, 6.95,6.90,3795,0.26
20-Sep-2011,6.70,7.25,6.65, 7.25,7.25,699,0.05
19-Sep-2011,7.20,7.30,6.95, 7.10,6.95,8458,0.59
16-Sep-2011,7.00,7.50,7.00, 7.25,7.30,18805,1.36
15-Sep-2011,7.00,7.35,6.95, 7.35,7.35,604,0.04
14-Sep-2011,6.90,7.55,6.90, 7.50,7.25,7413,0.53
13-Sep-2011,7.25,7.25,6.75, 7.25,7.25,19599,1.37
12-Sep-2011,7.00,7.65,6.90, 6.90,6.90,13986,1.00
09-Sep-2011,6.70,7.30,6.70, 7.20,7.25,9405,0.68
08-Sep-2011,6.80,6.95,6.80, 6.95,6.95,11263,0.78
07-Sep-2011,6.60,6.60,6.60, 6.60,6.60,2194,0.14
06-Sep-2011,6.05,6.25,6.05, 6.25,6.25,477,0.03
05-Sep-2011,5.65,5.95,5.65, 5.95,5.95,2239,0.13
02-Sep-2011,5.45,5.65,5.30, 5.65,5.65,7603,0.41
30-Aug-2011,5.45,5.50,5.40, 5.40,5.40,16616,0.91
29-Aug-2011,5.15,5.20,5.15, 5.20,5.20,8479,0.44
26-Aug-2011,4.55,4.95,4.55, 4.95,4.95,3004,0.15
25-Aug-2011,4.70,4.70,4.65, 4.70,4.70,6614,0.31
24-Aug-2011,4.65,4.85,4.45, 4.45,4.45,18526,0.84
23-Aug-2011,4.90,4.90,4.65, 4.65,4.65,6341,0.30
22-Aug-2011,4.95,5.00,4.75, 4.85,4.85,3938,0.19
19-Aug-2011,5.00,5.40,5.00, 5.00,5.00,706,0.04
18-Aug-2011,4.80,5.25,4.80, 5.25,5.25,181,0.01
17-Aug-2011,5.45,5.45,5.05, 5.05,5.05,3111,0.16
16-Aug-2011,5.70,5.70,5.30, 5.30,5.30,551,0.03
12-Aug-2011,5.60,5.60,5.15, 5.50,5.50,713,0.04
11-Aug-2011,5.10,5.65,5.10, 5.40,5.40,10121,0.52
10-Aug-2011,5.00,5.40,5.00, 5.35,5.35,4454,0.24
09-Aug-2011,5.60,5.60,5.15, 5.35,5.20,6134,0.33
