Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,133.20,134.90,126.75, 130.10,130.20,743783,976.65
29-Dec-2011,136.45,139.25,131.85, 133.15,133.70,595062,809.51
28-Dec-2011,139.75,140.80,134.00, 136.70,136.70,697583,951.61
27-Dec-2011,140.20,143.90,138.10, 140.00,139.75,390079,549.07
26-Dec-2011,141.95,143.80,138.00, 142.30,141.65,344469,486.73
23-Dec-2011,143.40,144.75,138.60, 140.65,140.40,485249,687.09
22-Dec-2011,138.15,143.90,136.75, 143.20,143.00,1213423,1715.21
21-Dec-2011,147.00,147.00,135.30, 139.90,138.85,2467813,3421.03
20-Dec-2011,148.00,148.90,142.30, 142.30,143.60,773973,1122.36
19-Dec-2011,145.00,149.10,142.00, 147.65,147.95,706114,1026.19
16-Dec-2011,148.65,153.50,145.55, 147.50,147.20,1161953,1733.63
15-Dec-2011,143.50,147.50,135.10, 146.00,145.90,500574,720.69
14-Dec-2011,149.00,150.15,142.20, 143.00,143.85,630400,916.54
13-Dec-2011,144.95,149.90,144.95, 148.35,148.85,404738,598.71
12-Dec-2011,149.75,151.00,144.55, 146.05,146.55,444708,654.54
09-Dec-2011,149.50,151.75,145.00, 148.30,148.60,528035,784.72
08-Dec-2011,158.20,160.30,152.50, 153.60,153.30,898911,1409.54
07-Dec-2011,157.35,159.95,156.55, 159.00,159.10,1143488,1815.68
05-Dec-2011,152.25,157.20,150.85, 156.90,155.90,1030503,1595.77
02-Dec-2011,147.45,153.00,146.00, 151.80,152.20,891264,1340.56
01-Dec-2011,151.85,152.40,145.10, 146.10,147.15,1072972,1588.85
30-Nov-2011,143.00,148.70,142.75, 147.00,147.30,657005,960.52
29-Nov-2011,147.90,148.80,143.50, 144.70,145.55,489002,715.57
28-Nov-2011,147.35,150.25,146.65, 148.00,148.25,644952,958.58
25-Nov-2011,142.40,147.20,141.15, 145.00,144.70,840515,1218.54
24-Nov-2011,140.25,144.80,139.80, 143.80,142.75,1129702,1606.13
23-Nov-2011,135.00,143.85,135.00, 140.40,140.00,1285454,1791.54
22-Nov-2011,138.95,146.00,138.25, 142.10,141.65,1057972,1499.24
21-Nov-2011,137.80,140.90,135.00, 140.00,138.05,1593353,2201.57
18-Nov-2011,146.00,147.20,138.05, 138.60,138.65,1667083,2335.96
17-Nov-2011,148.40,153.40,144.60, 145.80,145.95,1282146,1923.19
16-Nov-2011,149.65,152.40,145.55, 149.20,147.10,973975,1452.56
15-Nov-2011,160.85,162.95,146.25, 150.10,149.70,1473728,2256.55
14-Nov-2011,166.00,167.65,160.10, 160.65,160.80,494357,806.08
11-Nov-2011,167.10,171.00,162.20, 163.15,163.50,836481,1375.42
09-Nov-2011,171.30,171.35,165.40, 166.90,166.80,633171,1067.98
08-Nov-2011,171.15,172.00,168.40, 169.80,170.05,510891,868.76
04-Nov-2011,167.80,171.45,166.75, 169.50,169.50,947455,1608.49
03-Nov-2011,167.45,168.90,165.15, 166.00,165.85,528608,880.53
02-Nov-2011,162.65,167.50,161.90, 166.80,166.25,687681,1142.01
01-Nov-2011,164.35,165.75,160.80, 162.70,163.00,707809,1153.64
31-Oct-2011,169.00,169.25,163.55, 165.00,164.35,861967,1426.99
28-Oct-2011,164.00,172.35,164.00, 168.90,169.25,2969881,5032.67
26-Oct-2011,162.95,164.00,161.00, 162.45,162.45,292809,475.41
25-Oct-2011,157.95,164.80,155.20, 159.90,162.60,2335978,3772.57
24-Oct-2011,161.00,164.35,156.50, 156.80,157.50,863681,1379.74
21-Oct-2011,163.35,163.60,158.50, 160.00,159.60,1557884,2507.30
20-Oct-2011,167.75,168.00,161.55, 162.00,162.35,1543753,2517.99
19-Oct-2011,166.50,169.90,166.50, 168.60,168.80,822661,1384.31
18-Oct-2011,171.95,171.95,164.35, 165.00,165.70,1518293,2544.83
17-Oct-2011,170.10,173.90,165.00, 173.75,172.80,12156042,20375.60
14-Oct-2011,162.60,170.25,160.00, 170.20,169.85,824327,1384.58
13-Oct-2011,175.90,175.90,165.60, 166.30,166.50,860814,1448.12
12-Oct-2011,167.30,170.45,165.10, 169.70,169.20,798774,1336.28
11-Oct-2011,167.00,170.00,164.70, 165.10,165.15,10815108,17868.05
10-Oct-2011,165.50,168.00,163.50, 166.05,165.20,985951,1637.36
07-Oct-2011,163.60,166.45,162.05, 163.00,163.30,807978,1324.74
05-Oct-2011,162.00,164.75,161.00, 161.80,162.05,1168490,1905.87
04-Oct-2011,161.50,166.70,158.10, 160.80,159.80,1270920,2068.12
03-Oct-2011,160.95,165.70,157.20, 162.05,161.80,1757806,2841.22
30-Sep-2011,164.90,169.00,162.05, 162.80,162.95,1045967,1733.60
29-Sep-2011,160.15,166.50,160.00, 164.20,164.45,1352218,2216.10
28-Sep-2011,170.95,170.95,161.05, 161.15,162.90,1206430,1982.04
27-Sep-2011,170.05,173.50,168.50, 169.70,169.55,926163,1587.02
26-Sep-2011,165.20,169.40,161.25, 168.50,168.05,2026362,3371.33
23-Sep-2011,160.00,166.50,155.55, 164.50,164.75,1430745,2317.23
22-Sep-2011,174.45,174.45,161.75, 162.60,162.80,878260,1456.34
21-Sep-2011,173.45,176.40,172.35, 173.10,173.70,1364283,2380.73
20-Sep-2011,173.75,174.30,168.75, 172.70,173.05,984829,1694.11
19-Sep-2011,174.20,175.90,171.50, 171.50,172.75,792446,1374.14
16-Sep-2011,168.00,175.00,165.60, 174.00,173.95,1796624,3074.55
15-Sep-2011,168.75,169.65,165.55, 166.70,166.95,938069,1571.66
14-Sep-2011,162.90,169.50,158.90, 168.50,167.10,1693455,2795.61
13-Sep-2011,157.00,165.30,157.00, 162.80,162.10,2066297,3357.37
12-Sep-2011,163.00,163.90,154.65, 156.00,156.15,1212139,1920.65
