Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,51.00,51.00,49.05, 50.00,50.00,648,0.32
29-Dec-2011,50.00,50.90,48.60, 50.00,50.00,210,0.10
28-Dec-2011,50.00,51.50,50.00, 51.00,51.00,438,0.22
27-Dec-2011,51.00,51.90,48.15, 48.15,49.55,402,0.20
26-Dec-2011,52.00,52.80,51.00, 51.90,51.85,115,0.06
23-Dec-2011,51.00,52.50,48.55, 51.00,51.00,1206,0.62
22-Dec-2011,50.05,51.85,50.00, 51.85,51.85,212,0.11
21-Dec-2011,49.15,51.00,48.00, 51.00,50.20,1492,0.75
20-Dec-2011,49.50,51.00,49.15, 50.00,50.50,423,0.21
19-Dec-2011,49.50,50.65,47.65, 50.25,50.30,1009,0.50
16-Dec-2011,52.50,52.50,50.00, 50.50,50.50,92,0.05
15-Dec-2011,51.00,52.50,50.95, 52.00,51.85,1174,0.60
14-Dec-2011,52.00,52.45,50.00, 50.00,50.00,209,0.10
13-Dec-2011,50.95,50.95,50.95, 50.95,50.95,1100,0.56
12-Dec-2011,52.50,52.50,51.00, 52.00,51.45,707,0.36
09-Dec-2011,50.50,52.00,48.75, 51.75,51.65,461,0.24
08-Dec-2011,53.90,53.90,49.20, 51.70,51.70,1338,0.68
07-Dec-2011,50.80,51.00,48.60, 50.00,50.00,8745,4.37
05-Dec-2011,53.05,54.40,46.50, 51.00,50.20,11156,5.56
02-Dec-2011,55.00,57.90,51.80, 51.80,53.05,7649,4.10
01-Dec-2011,54.00,59.60,52.50, 56.50,56.10,1933,1.07
30-Nov-2011,53.95,55.00,53.00, 54.90,54.90,280,0.15
29-Nov-2011,52.00,53.45,51.00, 53.45,53.45,516,0.27
28-Nov-2011,50.00,51.05,48.40, 51.05,51.05,106,0.05
25-Nov-2011,51.00,51.90,50.00, 51.00,51.00,971,0.49
24-Nov-2011,49.00,51.40,47.50, 51.40,50.15,755,0.38
23-Nov-2011,49.50,50.90,48.15, 50.00,50.00,1736,0.87
22-Nov-2011,49.00,51.00,46.55, 50.50,50.65,2124,1.04
21-Nov-2011,48.05,51.90,47.05, 50.00,50.00,426,0.21
18-Nov-2011,49.00,50.95,46.00, 50.00,50.00,2493,1.23
17-Nov-2011,52.00,52.40,49.05, 49.30,49.70,930,0.46
16-Nov-2011,49.00,51.00,47.50, 50.75,50.75,1417,0.70
15-Nov-2011,50.75,50.75,48.15, 48.20,49.75,1302,0.65
14-Nov-2011,51.60,53.00,50.60, 50.60,50.60,1126,0.58
11-Nov-2011,51.50,54.00,51.05, 53.95,52.30,797,0.41
09-Nov-2011,53.00,53.00,52.00, 52.00,52.25,693,0.37
08-Nov-2011,50.00,53.50,50.00, 53.35,53.25,4613,2.40
04-Nov-2011,50.40,52.00,48.10, 48.10,48.65,2322,1.16
03-Nov-2011,48.60,50.00,48.55, 48.60,48.70,202,0.10
02-Nov-2011,49.90,49.90,48.70, 49.30,49.10,856,0.42
01-Nov-2011,49.35,49.35,49.35, 49.35,49.35,20,0.01
31-Oct-2011,50.95,50.95,49.70, 49.70,49.70,312,0.16
28-Oct-2011,50.50,50.55,50.10, 50.50,50.40,310,0.16
26-Oct-2011,51.30,51.30,50.05, 50.95,50.95,84,0.04
25-Oct-2011,51.00,51.00,49.65, 50.70,50.70,3,0.00
24-Oct-2011,51.05,51.05,49.50, 50.30,50.30,4669,2.34
21-Oct-2011,52.00,52.50,50.55, 52.40,52.35,1140,0.59
20-Oct-2011,49.00,52.00,48.35, 52.00,51.50,4726,2.38
19-Oct-2011,50.50,52.50,47.95, 51.00,49.45,17388,8.54
18-Oct-2011,50.50,52.00,49.15, 51.60,51.60,10582,5.40
17-Oct-2011,51.95,51.95,50.75, 51.00,51.00,3730,1.90
14-Oct-2011,53.00,53.00,50.50, 51.00,50.90,15252,7.81
13-Oct-2011,55.70,55.70,52.70, 53.00,54.05,8872,4.73
12-Oct-2011,55.00,55.00,53.50, 53.50,53.65,4667,2.52
11-Oct-2011,54.00,55.00,53.95, 54.95,54.80,933,0.51
10-Oct-2011,54.90,55.20,53.55, 55.00,54.90,2421,1.33
07-Oct-2011,54.50,55.45,53.25, 54.70,54.70,2282,1.25
