Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,25.10,25.85,24.80, 24.80,25.05,11359,2.87
29-Dec-2011,26.90,26.90,24.60, 25.00,25.25,49043,12.47
28-Dec-2011,26.80,27.40,25.10, 26.40,25.80,29169,7.58
27-Dec-2011,27.50,27.50,25.80, 25.85,26.05,2710,0.72
26-Dec-2011,27.30,27.30,26.00, 26.20,26.20,8239,2.20
23-Dec-2011,26.00,27.70,25.80, 27.40,27.45,71213,19.18
22-Dec-2011,24.40,26.90,24.40, 26.50,26.35,37329,9.64
21-Dec-2011,24.90,25.95,23.75, 25.70,25.05,51022,12.72
20-Dec-2011,25.20,25.20,23.25, 23.40,23.65,40337,9.61
19-Dec-2011,24.95,25.00,23.15, 23.70,23.95,79622,19.21
16-Dec-2011,25.25,26.10,24.60, 24.70,24.90,176307,45.06
15-Dec-2011,25.40,25.85,24.30, 24.50,24.50,70130,17.23
14-Dec-2011,26.65,27.45,25.25, 25.25,25.50,45972,11.86
13-Dec-2011,26.65,26.65,25.85, 25.95,26.20,18916,4.95
12-Dec-2011,27.05,27.70,25.90, 26.45,26.15,39053,10.25
09-Dec-2011,27.95,27.95,26.90, 26.90,27.10,21418,5.82
08-Dec-2011,27.00,28.75,27.00, 27.15,27.65,65798,18.18
07-Dec-2011,27.30,27.90,27.10, 27.55,27.55,30297,8.36
05-Dec-2011,27.20,27.40,26.50, 27.30,27.05,12536,3.39
02-Dec-2011,27.40,27.40,26.25, 26.65,27.10,16884,4.51
01-Dec-2011,27.00,27.25,26.10, 26.55,26.75,187156,50.00
30-Nov-2011,27.50,28.25,25.55, 26.00,26.30,290935,78.36
29-Nov-2011,27.40,28.50,27.25, 27.90,28.05,9397,2.63
28-Nov-2011,28.65,28.65,27.55, 27.95,28.00,19103,5.35
25-Nov-2011,28.50,28.50,27.00, 28.20,28.00,2993,0.83
24-Nov-2011,27.85,28.55,27.00, 27.70,28.00,29402,8.11
23-Nov-2011,27.25,29.00,26.80, 27.45,27.30,44110,12.09
22-Nov-2011,27.85,27.90,26.85, 27.05,27.00,43657,11.90
21-Nov-2011,28.00,28.50,27.20, 27.30,27.50,51816,14.42
18-Nov-2011,28.75,28.75,27.25, 28.00,27.75,39308,11.01
17-Nov-2011,28.70,28.80,28.20, 28.75,28.65,22134,6.31
16-Nov-2011,29.30,29.50,27.20, 28.15,28.60,122059,35.07
15-Nov-2011,28.95,29.25,28.45, 29.20,29.05,140529,40.59
14-Nov-2011,29.00,29.50,28.55, 28.60,28.60,55276,15.97
11-Nov-2011,28.60,29.05,28.20, 28.65,28.95,23137,6.65
09-Nov-2011,28.50,28.90,28.10, 28.70,28.60,19952,5.71
08-Nov-2011,28.95,29.10,28.30, 28.95,28.95,15258,4.38
04-Nov-2011,29.00,29.20,28.05, 28.25,28.50,23759,6.75
03-Nov-2011,29.00,29.35,28.50, 28.60,28.60,12011,3.47
02-Nov-2011,29.70,29.70,28.80, 28.80,28.95,25045,7.29
01-Nov-2011,29.75,29.85,29.55, 29.70,29.70,14035,4.17
31-Oct-2011,29.50,30.25,29.05, 30.25,29.55,16070,4.73
28-Oct-2011,33.00,33.00,28.05, 28.75,29.25,84369,25.31
26-Oct-2011,28.50,28.70,28.00, 28.65,28.60,9573,2.73
25-Oct-2011,28.00,28.20,27.80, 28.10,28.10,10944,3.06
24-Oct-2011,28.25,28.70,27.80, 27.90,27.90,67278,19.06
21-Oct-2011,28.85,28.85,27.75, 28.25,28.15,12145,3.40
20-Oct-2011,27.75,28.20,27.75, 27.80,27.95,8178,2.29
