Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,92.60,101.80,92.50, 96.00,97.30,102526,97.27
29-Dec-2011,92.50,95.50,90.30, 95.25,93.05,33384,30.99
28-Dec-2011,92.00,93.40,91.00, 93.25,93.05,4756,4.39
27-Dec-2011,93.50,93.50,91.10, 93.30,92.90,5910,5.46
26-Dec-2011,94.50,94.50,90.85, 93.00,92.10,53537,48.92
23-Dec-2011,92.00,94.00,90.30, 90.90,90.85,7244,6.67
22-Dec-2011,93.30,94.55,90.10, 91.05,91.25,123644,112.04
21-Dec-2011,93.20,94.90,91.70, 94.15,93.45,6724,6.23
20-Dec-2011,94.00,95.00,92.30, 93.00,93.25,17529,16.31
19-Dec-2011,95.95,95.95,92.00, 93.20,93.90,12838,11.99
16-Dec-2011,94.00,96.40,94.00, 95.45,95.35,41537,39.45
15-Dec-2011,94.95,95.40,91.20, 94.20,94.90,17408,16.40
14-Dec-2011,95.00,96.15,93.50, 95.25,94.65,16697,15.83
13-Dec-2011,99.80,99.80,93.00, 95.30,94.10,15394,14.62
12-Dec-2011,100.10,100.50,97.60, 98.25,98.25,8925,8.78
09-Dec-2011,101.00,101.00,98.20, 100.35,99.65,19902,19.81
08-Dec-2011,101.15,102.45,99.90, 100.00,100.05,13105,13.21
07-Dec-2011,104.50,104.80,101.05, 101.45,101.50,23203,23.83
05-Dec-2011,102.05,104.00,101.45, 103.90,102.80,12143,12.44
02-Dec-2011,102.30,103.95,102.30, 103.15,102.85,467819,481.85
01-Dec-2011,107.00,108.00,102.35, 103.00,103.00,7783,8.07
30-Nov-2011,104.00,106.75,101.30, 104.50,105.40,20923,21.82
29-Nov-2011,103.20,106.00,102.20, 102.90,102.55,159804,165.45
28-Nov-2011,103.50,104.00,102.00, 103.20,103.40,14691,15.19
25-Nov-2011,103.10,104.50,102.00, 102.40,102.10,15579,16.06
24-Nov-2011,101.95,104.80,101.20, 104.80,103.75,12704,13.04
23-Nov-2011,102.00,105.60,99.05, 104.35,102.40,39911,40.53
22-Nov-2011,103.00,105.45,102.45, 103.00,103.05,8419,8.73
21-Nov-2011,105.95,105.95,102.00, 103.40,102.40,7301,7.56
18-Nov-2011,104.50,106.05,103.60, 106.00,105.05,13461,14.15
17-Nov-2011,107.00,107.85,104.50, 106.55,105.95,18679,19.77
16-Nov-2011,108.00,110.00,103.30, 108.00,108.20,19093,20.25
15-Nov-2011,110.00,111.35,107.40, 109.50,109.15,173826,191.15
14-Nov-2011,109.65,110.30,109.10, 110.20,110.00,33668,37.03
11-Nov-2011,109.00,110.80,108.00, 110.20,110.00,34518,37.97
09-Nov-2011,110.00,110.75,109.00, 110.00,110.05,54070,59.52
08-Nov-2011,107.15,110.80,107.15, 110.25,110.00,31172,34.23
04-Nov-2011,107.50,110.20,106.15, 108.50,108.45,53420,57.74
03-Nov-2011,107.00,108.80,105.60, 107.50,108.10,6823,7.36
02-Nov-2011,109.00,109.00,107.05, 108.00,107.75,9982,10.76
01-Nov-2011,108.00,109.80,107.00, 109.80,109.60,8092,8.75
31-Oct-2011,107.55,109.45,106.10, 109.00,108.90,33832,36.63
28-Oct-2011,107.00,107.95,105.45, 107.50,107.55,17432,18.66
26-Oct-2011,105.50,108.85,105.50, 106.00,106.05,3300,3.52
25-Oct-2011,107.80,108.45,105.00, 105.55,105.70,9599,10.17
24-Oct-2011,105.00,108.50,104.25, 106.75,107.10,19982,21.20
21-Oct-2011,104.25,106.00,103.65, 105.50,105.40,10347,10.89
20-Oct-2011,106.00,107.80,104.40, 104.40,104.75,34160,36.07
19-Oct-2011,101.70,109.30,101.05, 109.00,106.05,475193,494.18
18-Oct-2011,104.00,107.05,99.30, 99.80,100.30,166888,171.32
17-Oct-2011,105.00,106.80,101.10, 102.55,102.70,135512,140.45
14-Oct-2011,103.25,105.00,100.00, 102.55,102.85,10719,11.04
13-Oct-2011,104.30,106.90,103.55, 104.00,103.95,19898,20.79
12-Oct-2011,105.00,105.50,103.10, 104.00,104.25,28074,29.20
11-Oct-2011,106.50,106.85,104.15, 105.00,105.00,59601,62.57
10-Oct-2011,103.25,105.10,102.50, 105.00,104.85,51578,53.92
07-Oct-2011,105.50,105.50,102.35, 104.00,103.85,45116,46.88
05-Oct-2011,105.50,106.00,103.00, 104.00,105.20,43183,45.34
04-Oct-2011,104.10,106.25,104.10, 106.20,105.20,21436,22.52
03-Oct-2011,107.50,109.90,104.30, 105.30,104.90,31196,33.30
30-Sep-2011,109.00,111.50,107.50, 110.00,109.05,92509,100.94
29-Sep-2011,107.00,110.95,106.50, 110.00,109.95,39988,43.64
28-Sep-2011,108.75,114.30,106.10, 107.50,106.60,64369,69.32
27-Sep-2011,104.10,107.50,104.10, 107.00,106.65,9714,10.32
26-Sep-2011,104.00,105.90,102.90, 105.00,104.35,156791,164.46
23-Sep-2011,103.90,107.00,102.90, 105.00,104.70,36783,38.38
22-Sep-2011,106.65,107.50,104.70, 105.00,105.25,25445,26.99
21-Sep-2011,106.00,107.60,104.20, 107.00,106.65,100900,107.00
20-Sep-2011,105.80,109.00,103.60, 105.25,105.40,47551,51.08
19-Sep-2011,106.00,106.00,102.40, 103.60,103.75,25164,26.06
16-Sep-2011,106.05,107.00,104.10, 104.50,105.10,127979,135.81
15-Sep-2011,106.25,106.75,105.10, 106.00,106.00,33809,35.83
14-Sep-2011,104.25,106.80,103.10, 106.00,105.80,55259,58.16
13-Sep-2011,104.00,105.90,104.00, 104.15,104.50,14276,14.96
12-Sep-2011,105.50,105.50,102.50, 103.00,103.00,1029894,1061.11
09-Sep-2011,106.00,106.90,103.30, 105.65,105.00,165967,174.74
08-Sep-2011,108.95,108.95,103.10, 104.70,103.90,37285,39.32
07-Sep-2011,107.25,112.40,106.85, 108.00,107.50,161380,175.30
06-Sep-2011,108.10,109.90,106.10, 106.25,106.65,38004,40.75
05-Sep-2011,107.50,110.00,106.70, 108.60,109.30,8337,9.02
02-Sep-2011,108.00,109.00,106.55, 108.75,108.55,12527,13.56
30-Aug-2011,103.50,110.90,102.40, 109.50,109.60,231065,252.22
29-Aug-2011,101.80,104.50,100.00, 104.50,102.95,16591,16.93
26-Aug-2011,102.15,103.90,96.30, 99.85,99.40,192276,197.26
25-Aug-2011,107.90,109.30,100.35, 103.00,102.60,102703,108.99
24-Aug-2011,105.80,109.75,105.00, 106.05,106.80,43359,46.44
23-Aug-2011,109.90,109.90,104.50, 104.55,105.30,82999,89.47
22-Aug-2011,105.00,126.10,100.45, 105.25,106.75,48973,52.92
19-Aug-2011,107.05,108.40,104.80, 105.00,105.10,429893,459.77
18-Aug-2011,108.00,110.80,107.00, 108.00,109.65,29339,31.88
17-Aug-2011,111.95,111.95,107.40, 107.40,108.35,32840,35.93
16-Aug-2011,109.00,111.75,108.85, 111.50,110.20,46001,50.68
12-Aug-2011,112.00,112.50,108.50, 109.90,109.75,32470,35.91
11-Aug-2011,112.00,112.95,111.00, 111.90,111.80,10921,12.24
10-Aug-2011,114.00,114.95,111.40, 111.40,112.50,46397,52.32
09-Aug-2011,109.00,114.55,108.65, 113.00,113.10,59829,66.55
08-Aug-2011,110.20,113.00,107.00, 113.00,112.80,45503,50.33
