Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,10.95,11.05,10.60, 10.65,10.75,1516,0.17
29-Dec-2011,10.50,10.80,10.35, 10.45,10.45,2757,0.29
28-Dec-2011,10.65,10.65,10.35, 10.40,10.40,428,0.05
27-Dec-2011,10.85,10.85,10.25, 10.55,10.55,930,0.10
26-Dec-2011,10.05,10.45,10.00, 10.15,10.15,1612,0.16
23-Dec-2011,9.80,10.80,9.80, 10.00,10.00,12641,1.27
22-Dec-2011,10.00,10.20,9.70, 10.00,10.00,4726,0.47
21-Dec-2011,10.50,10.50,9.75, 9.80,9.80,11706,1.16
20-Dec-2011,10.05,10.25,9.85, 9.95,9.95,19338,1.93
19-Dec-2011,10.40,11.05,10.20, 10.55,10.25,3131,0.33
16-Dec-2011,10.75,11.20,10.30, 11.20,10.70,761,0.08
15-Dec-2011,11.05,11.05,10.40, 10.50,10.60,5454,0.58
14-Dec-2011,11.50,11.50,11.25, 11.25,11.35,505,0.06
13-Dec-2011,10.65,11.55,10.65, 11.25,11.15,1980,0.22
12-Dec-2011,11.50,11.50,11.25, 11.25,11.25,600,0.07
09-Dec-2011,11.50,11.50,11.20, 11.20,11.20,1902,0.22
08-Dec-2011,11.85,11.85,11.65, 11.65,11.75,305,0.04
07-Dec-2011,11.55,12.30,11.50, 12.30,11.80,1464,0.17
05-Dec-2011,11.50,11.75,11.50, 11.70,11.70,521,0.06
02-Dec-2011,11.75,12.00,11.75, 11.75,11.75,1200,0.14
01-Dec-2011,11.55,12.00,11.55, 11.85,11.85,1587,0.18
30-Nov-2011,11.95,12.00,11.70, 12.00,11.90,3385,0.40
29-Nov-2011,11.50,12.00,11.50, 11.50,11.50,1016,0.12
28-Nov-2011,11.75,11.75,11.10, 11.10,11.10,2812,0.32
25-Nov-2011,11.25,11.40,11.00, 11.15,11.15,2080,0.23
24-Nov-2011,11.00,11.25,11.00, 11.25,11.20,2438,0.27
23-Nov-2011,11.60,11.95,10.60, 11.95,11.95,2772,0.30
22-Nov-2011,10.60,11.40,10.60, 11.40,11.25,1523,0.17
21-Nov-2011,11.95,11.95,11.00, 11.00,11.05,2708,0.30
18-Nov-2011,11.15,11.65,10.85, 11.25,11.15,3668,0.41
17-Nov-2011,11.55,11.85,11.45, 11.60,11.60,3030,0.35
16-Nov-2011,11.65,12.00,11.25, 11.30,11.45,3259,0.37
