Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,33.10,34.75,33.00, 34.30,34.25,34130,11.55
29-Dec-2011,32.70,34.85,32.70, 33.25,33.30,30686,10.34
28-Dec-2011,35.00,35.00,32.85, 33.00,33.40,108801,36.33
27-Dec-2011,34.40,34.95,33.10, 34.90,34.55,209120,72.52
26-Dec-2011,32.10,33.30,32.00, 33.30,33.30,25344,8.38
23-Dec-2011,32.00,32.50,30.50, 31.35,31.75,138831,44.16
22-Dec-2011,34.00,34.00,31.75, 31.80,31.95,96562,30.86
21-Dec-2011,35.15,35.45,33.35, 33.45,33.40,112837,37.94
20-Dec-2011,34.00,35.70,33.50, 35.45,35.10,74322,26.22
19-Dec-2011,35.00,35.90,33.05, 34.60,34.00,63993,21.49
16-Dec-2011,37.00,38.25,34.70, 34.80,34.75,52536,18.65
15-Dec-2011,40.00,40.00,36.50, 36.55,36.50,156271,57.55
14-Dec-2011,42.00,42.05,40.00, 40.00,40.55,24125,9.96
13-Dec-2011,44.00,44.00,39.75, 42.15,42.45,27329,11.44
12-Dec-2011,46.00,46.00,43.65, 44.50,44.10,12753,5.71
09-Dec-2011,46.55,46.75,43.00, 45.80,45.20,14472,6.54
08-Dec-2011,48.60,48.85,46.50, 47.95,47.10,28682,13.66
07-Dec-2011,48.25,49.25,48.25, 48.50,48.60,27603,13.48
05-Dec-2011,48.25,50.35,48.25, 48.25,48.80,46154,22.67
02-Dec-2011,49.50,50.00,48.45, 49.20,49.35,42217,20.81
01-Dec-2011,53.10,56.00,48.55, 49.10,49.25,76690,39.61
30-Nov-2011,59.00,60.00,51.00, 52.00,51.60,124238,66.29
29-Nov-2011,60.55,60.95,57.50, 59.95,60.30,60118,36.07
28-Nov-2011,61.15,62.00,60.15, 60.50,60.90,48545,29.70
25-Nov-2011,59.50,62.80,59.00, 60.25,61.30,43413,26.60
24-Nov-2011,59.30,62.50,59.30, 60.75,60.55,27999,17.02
23-Nov-2011,64.00,64.00,58.50, 61.00,60.70,114318,71.79
22-Nov-2011,66.00,70.00,63.55, 65.00,64.70,18828,12.49
21-Nov-2011,71.50,71.50,65.10, 66.45,66.00,13693,9.38
18-Nov-2011,76.00,76.00,70.10, 70.80,71.25,18589,13.36
17-Nov-2011,77.00,78.00,72.60, 74.65,77.00,21390,16.25
16-Nov-2011,82.35,82.35,71.30, 79.00,78.70,62594,48.36
15-Nov-2011,86.00,87.75,78.25, 78.85,79.40,14619,12.02
14-Nov-2011,89.10,92.00,85.20, 86.00,86.00,12039,10.52
11-Nov-2011,92.75,97.70,88.00, 88.00,88.50,33499,30.28
09-Nov-2011,95.25,97.00,92.25, 92.25,93.25,12710,12.08
08-Nov-2011,96.00,98.30,94.00, 95.05,95.70,46234,44.68
04-Nov-2011,88.60,94.50,84.60, 92.85,92.80,21011,19.31
03-Nov-2011,88.00,90.00,87.45, 89.40,89.00,12117,10.76
02-Nov-2011,87.55,89.00,86.90, 87.45,87.45,13208,11.62
01-Nov-2011,88.35,90.05,88.30, 88.90,88.55,5406,4.81
31-Oct-2011,92.75,92.75,88.50, 88.65,89.45,16297,14.76
28-Oct-2011,94.50,94.50,90.75, 91.55,92.05,32988,30.45
26-Oct-2011,89.80,91.00,88.05, 90.95,90.00,7768,6.97
25-Oct-2011,91.90,91.90,87.05, 88.00,87.55,19536,17.14
24-Oct-2011,93.80,93.80,89.10, 89.20,89.40,11528,10.46
21-Oct-2011,99.40,99.40,90.00, 90.00,90.40,24072,22.32
20-Oct-2011,96.20,96.90,92.25, 94.25,94.75,21283,19.98
19-Oct-2011,96.10,100.35,95.65, 95.80,96.20,72866,72.09
18-Oct-2011,98.00,98.00,94.10, 97.00,96.15,22703,21.71
17-Oct-2011,99.00,100.00,98.00, 99.20,98.80,11984,11.91
14-Oct-2011,99.40,100.00,96.20, 99.00,98.65,39063,38.14
13-Oct-2011,100.00,100.00,97.55, 97.95,98.20,22056,21.92
12-Oct-2011,100.20,100.20,98.55, 99.85,99.05,16642,16.54
11-Oct-2011,100.20,105.50,98.65, 99.95,99.50,52859,54.16
10-Oct-2011,105.00,105.00,98.55, 100.00,99.65,14688,14.66
07-Oct-2011,109.90,109.90,98.20, 100.35,100.05,19013,19.35
05-Oct-2011,105.20,107.75,98.00, 98.15,98.95,15311,15.69
04-Oct-2011,106.00,108.00,103.00, 105.90,105.20,5567,5.86
03-Oct-2011,106.45,108.90,103.10, 106.10,107.00,9819,10.47
30-Sep-2011,110.00,110.00,106.00, 106.95,107.00,11933,12.81
29-Sep-2011,115.00,115.00,108.40, 109.30,110.00,27729,30.53
28-Sep-2011,114.10,118.00,112.60, 113.00,113.15,6583,7.52
27-Sep-2011,117.50,118.55,113.25, 115.00,114.90,8606,9.94
26-Sep-2011,120.00,120.00,110.50, 114.25,114.30,12157,13.81
23-Sep-2011,117.80,118.15,110.50, 117.00,116.60,16295,18.54
22-Sep-2011,120.00,124.40,115.00, 116.00,115.70,45262,53.76
21-Sep-2011,123.00,124.90,120.40, 120.60,120.75,28057,34.15
20-Sep-2011,124.50,128.90,121.15, 121.50,122.05,102747,126.66
19-Sep-2011,122.10,123.85,121.60, 122.60,122.90,60612,74.40
16-Sep-2011,127.85,128.95,123.00, 123.20,123.70,66689,82.97
15-Sep-2011,130.00,130.00,125.00, 127.00,126.85,6139,7.75
14-Sep-2011,126.60,128.65,124.20, 127.90,126.50,10156,12.76
13-Sep-2011,139.40,139.40,125.05, 127.65,127.35,20020,25.53
12-Sep-2011,130.05,130.05,122.75, 123.20,124.30,20028,25.08
09-Sep-2011,140.95,143.75,131.00, 131.50,132.95,21429,29.30
08-Sep-2011,139.20,146.00,137.00, 141.10,141.70,116342,165.55
07-Sep-2011,132.00,144.90,128.00, 138.20,138.75,338650,474.08
06-Sep-2011,125.00,128.50,123.05, 126.95,127.25,5629,7.07
05-Sep-2011,120.80,126.00,120.80, 123.50,124.20,7182,8.95
02-Sep-2011,126.70,128.20,124.50, 126.70,125.80,17215,21.78
30-Aug-2011,125.60,134.00,124.60, 127.05,126.70,9062,11.47
29-Aug-2011,121.35,128.00,118.70, 125.50,124.50,23711,29.16
26-Aug-2011,120.50,123.65,112.40, 116.80,116.25,31364,36.72
25-Aug-2011,126.00,126.00,121.50, 122.95,122.30,10930,13.40
24-Aug-2011,120.60,128.40,120.30, 124.25,124.10,10699,13.43
23-Aug-2011,130.00,132.40,123.05, 125.15,125.15,18810,23.55
22-Aug-2011,123.00,126.55,118.25, 121.70,122.10,14821,18.02
19-Aug-2011,129.00,129.00,117.20, 118.10,120.15,141239,168.36
18-Aug-2011,143.00,143.00,130.00, 130.30,131.05,54688,73.07
17-Aug-2011,149.10,152.30,141.15, 143.30,143.80,22509,32.71
16-Aug-2011,156.00,157.20,148.90, 150.10,150.70,20917,32.09
12-Aug-2011,157.10,164.75,153.55, 154.70,154.60,87251,139.80
11-Aug-2011,155.00,159.95,154.55, 154.80,155.55,7797,12.20
10-Aug-2011,158.70,164.00,155.15, 157.10,157.00,31172,49.50
09-Aug-2011,155.00,164.50,151.15, 153.85,153.65,53557,84.19
08-Aug-2011,164.80,165.45,157.10, 162.45,161.00,20642,33.28
05-Aug-2011,170.00,171.50,164.00, 165.85,166.05,26810,44.86
04-Aug-2011,174.00,183.25,173.55, 176.00,175.75,35673,63.85
03-Aug-2011,178.00,180.00,170.00, 173.30,172.55,12226,21.02
02-Aug-2011,175.15,178.50,172.25, 174.85,173.95,14600,25.59
01-Aug-2011,186.50,186.50,175.00, 177.00,176.55,14357,25.66
29-Jul-2011,182.05,184.70,177.00, 178.65,178.10,18138,32.79
28-Jul-2011,185.00,185.50,181.00, 181.75,182.60,9048,16.50
27-Jul-2011,187.00,189.00,182.25, 184.00,184.50,12970,23.92
26-Jul-2011,189.00,191.70,185.25, 186.60,186.50,13057,24.44
25-Jul-2011,186.20,193.05,186.20, 188.15,189.30,23373,44.47
22-Jul-2011,187.10,189.50,185.25, 187.30,187.85,84067,157.28
21-Jul-2011,190.00,194.85,183.20, 185.55,185.85,41092,77.79
20-Jul-2011,185.70,203.20,184.15, 190.80,191.60,237387,463.09
19-Jul-2011,183.60,186.00,182.00, 182.20,182.80,12217,22.41
18-Jul-2011,181.50,186.00,181.00, 183.00,182.45,7435,13.62
15-Jul-2011,181.60,189.00,181.60, 183.80,183.60,11172,20.64
14-Jul-2011,185.00,187.55,183.60, 185.00,185.15,9183,17.07
13-Jul-2011,187.80,188.80,182.55, 184.25,184.30,9695,18.04
12-Jul-2011,185.00,189.00,181.20, 184.80,183.40,41501,77.16
11-Jul-2011,185.25,191.60,184.20, 184.20,184.95,35738,67.09
08-Jul-2011,195.25,198.25,187.00, 188.00,188.20,35681,68.31
07-Jul-2011,190.00,199.00,187.90, 195.15,196.25,183914,359.80
06-Jul-2011,189.00,190.25,186.45, 188.00,187.90,12580,23.64
05-Jul-2011,185.00,190.80,184.30, 188.00,186.90,31512,59.31
04-Jul-2011,180.20,187.50,180.20, 184.60,184.45,31832,58.86
01-Jul-2011,181.80,183.90,178.70, 179.85,179.50,16887,30.56
30-Jun-2011,174.10,185.00,173.10, 182.90,181.90,46936,84.50
29-Jun-2011,176.00,180.50,173.05, 175.05,174.75,83346,146.58
28-Jun-2011,168.50,175.50,168.40, 171.30,172.25,29487,51.14
27-Jun-2011,162.00,172.00,162.00, 170.50,169.55,22148,37.64
24-Jun-2011,165.10,171.75,165.05, 168.25,168.45,28057,47.38
23-Jun-2011,163.10,169.00,161.00, 165.00,164.90,73943,122.92
22-Jun-2011,169.00,169.80,161.00, 163.10,163.15,29119,48.09
21-Jun-2011,171.35,172.70,166.00, 167.00,167.15,48280,82.20
20-Jun-2011,186.00,186.75,166.10, 172.00,171.35,45083,78.67
17-Jun-2011,183.00,189.45,182.15, 182.50,183.80,42817,79.70
16-Jun-2011,186.00,190.50,184.00, 184.00,184.30,62142,116.31
15-Jun-2011,192.00,193.85,186.50, 186.75,187.65,30265,57.33
14-Jun-2011,190.65,196.40,189.00, 192.25,193.35,98505,190.86
13-Jun-2011,187.00,194.00,186.00, 188.80,188.70,49868,94.78
10-Jun-2011,190.05,193.60,187.00, 187.90,188.35,55252,105.18
09-Jun-2011,200.75,202.80,187.50, 189.60,189.75,127169,245.13
08-Jun-2011,201.90,206.90,196.20, 199.85,200.75,162739,329.43
07-Jun-2011,204.00,207.00,195.50, 200.80,200.30,447383,895.05
06-Jun-2011,182.70,214.90,182.70, 205.30,205.85,985216,2019.36
03-Jun-2011,184.10,188.50,181.50, 182.35,182.55,15021,27.72
02-Jun-2011,184.00,185.15,181.50, 183.40,183.25,6736,12.39
01-Jun-2011,187.00,189.00,184.20, 184.50,185.15,8682,16.18
31-May-2011,188.50,188.50,183.55, 185.90,185.60,9075,16.90
30-May-2011,187.00,189.70,186.55, 188.00,187.60,9972,18.76
27-May-2011,182.40,194.50,180.20, 186.60,186.70,200542,376.23
26-May-2011,180.00,182.80,180.00, 180.10,180.35,58621,106.22
25-May-2011,184.70,184.70,180.00, 180.15,180.25,12461,22.58
24-May-2011,183.05,184.00,180.50, 182.00,182.30,8491,15.50
23-May-2011,185.10,188.00,180.00, 181.20,181.55,6639,12.19
20-May-2011,183.05,192.90,183.05, 186.20,186.65,29092,55.02
19-May-2011,188.00,188.80,183.15, 183.60,184.30,7243,13.42
18-May-2011,189.90,189.90,185.25, 187.05,188.55,8622,16.21
17-May-2011,194.00,194.00,184.00, 188.95,187.45,16516,31.11
16-May-2011,190.00,193.50,189.05, 193.00,192.40,23851,45.69
13-May-2011,190.85,204.60,188.00, 190.40,192.00,23136,44.63
12-May-2011,182.00,195.70,181.00, 187.95,188.35,147187,283.05
11-May-2011,180.25,183.00,180.25, 183.00,182.15,17142,31.18
10-May-2011,182.10,184.50,180.15, 180.40,180.60,11014,20.05
09-May-2011,185.90,185.90,181.00, 181.65,182.15,16834,30.80
06-May-2011,186.55,190.90,182.50, 183.00,183.65,24433,45.40
05-May-2011,194.80,196.55,183.65, 184.30,186.05,21356,40.52
04-May-2011,197.80,199.90,190.40, 193.65,192.75,90223,175.83
03-May-2011,190.30,216.30,190.15, 196.75,196.45,968968,2002.22
02-May-2011,195.30,195.30,191.05, 191.20,191.80,7077,13.64
29-Apr-2011,200.00,201.70,191.25, 195.00,195.20,13200,26.05
28-Apr-2011,203.00,207.00,198.35, 199.55,199.00,15892,32.10
27-Apr-2011,201.95,208.90,199.95, 201.05,201.10,21587,44.05
26-Apr-2011,200.00,201.80,198.00, 198.00,199.00,9980,19.91
25-Apr-2011,203.00,203.80,200.40, 201.00,201.15,18155,36.58
21-Apr-2011,205.00,205.00,201.00, 201.30,201.65,8246,16.72
20-Apr-2011,202.15,207.00,202.00, 202.15,203.05,12667,25.86
19-Apr-2011,200.15,204.90,199.40, 202.95,202.10,14874,30.01
18-Apr-2011,205.75,209.40,198.35, 199.10,200.65,21716,44.17
