Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,64.00,66.50,63.05, 63.50,63.65,60008,38.93
29-Dec-2011,63.00,64.90,62.50, 64.60,64.35,87907,56.31
28-Dec-2011,65.35,66.00,64.10, 64.40,64.30,15767,10.19
27-Dec-2011,65.00,66.25,62.60, 64.40,64.45,67629,43.57
26-Dec-2011,65.20,67.75,63.30, 64.45,64.45,58375,37.52
23-Dec-2011,65.85,67.00,65.60, 67.00,66.45,17112,11.37
22-Dec-2011,63.80,66.80,62.00, 65.70,65.75,23151,15.04
21-Dec-2011,66.15,67.00,60.35, 63.90,63.80,125775,80.32
20-Dec-2011,67.90,67.90,65.50, 65.90,66.25,121681,81.43
19-Dec-2011,68.10,68.70,65.10, 68.45,67.95,30511,20.35
16-Dec-2011,68.35,69.00,67.10, 68.45,68.10,34125,23.26
15-Dec-2011,67.50,68.40,66.55, 68.25,68.25,26250,17.80
14-Dec-2011,68.00,68.85,67.35, 68.15,67.90,26700,18.15
13-Dec-2011,67.00,68.40,66.25, 68.00,68.10,24957,16.92
12-Dec-2011,69.00,71.00,67.20, 68.30,67.85,30773,21.00
09-Dec-2011,70.25,70.75,69.50, 70.25,69.65,12355,8.65
08-Dec-2011,72.00,72.50,70.50, 71.70,71.20,30122,21.63
07-Dec-2011,70.30,72.50,70.30, 72.10,71.70,13613,9.77
05-Dec-2011,71.25,72.60,71.00, 72.20,72.00,9982,7.17
02-Dec-2011,71.15,72.90,70.65, 72.85,72.55,36835,26.64
01-Dec-2011,71.45,72.50,70.50, 71.65,71.95,60421,43.31
30-Nov-2011,69.00,71.45,68.50, 71.00,70.10,43428,30.18
29-Nov-2011,69.40,70.90,68.45, 69.75,69.70,15678,10.95
28-Nov-2011,68.50,71.75,68.50, 68.80,68.80,98743,69.36
25-Nov-2011,68.30,70.90,68.20, 68.50,68.40,21021,14.46
24-Nov-2011,68.20,70.35,67.65, 70.00,70.00,35551,24.48
23-Nov-2011,68.00,69.75,66.90, 69.75,68.90,70494,47.86
22-Nov-2011,69.00,70.75,67.55, 67.85,68.05,78737,54.70
21-Nov-2011,71.45,72.00,69.00, 69.35,69.20,34524,24.22
18-Nov-2011,69.00,72.00,68.05, 72.00,71.70,119548,83.91
17-Nov-2011,68.00,70.80,67.25, 70.05,69.65,46823,32.52
16-Nov-2011,70.50,70.50,68.05, 69.00,68.70,49939,34.35
15-Nov-2011,71.40,73.00,69.00, 69.00,69.45,30127,21.35
14-Nov-2011,73.25,74.60,70.30, 72.15,72.00,34210,25.01
11-Nov-2011,75.10,75.10,71.30, 73.60,73.60,64041,46.53
09-Nov-2011,76.80,76.80,73.00, 74.65,75.10,39327,29.72
