Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,0.80,0.85,0.80, 0.85,0.85,12413,0.10
29-Dec-2011,0.80,0.85,0.80, 0.80,0.80,5418,0.04
28-Dec-2011,0.85,0.85,0.80, 0.85,0.85,10069,0.08
27-Dec-2011,0.80,0.85,0.80, 0.80,0.80,11697,0.09
26-Dec-2011,0.85,0.85,0.80, 0.80,0.80,24610,0.21
23-Dec-2011,0.85,0.85,0.80, 0.85,0.80,14220,0.12
22-Dec-2011,0.80,0.85,0.75, 0.80,0.80,21539,0.17
21-Dec-2011,0.80,0.85,0.75, 0.80,0.80,166381,1.27
20-Dec-2011,0.85,0.85,0.80, 0.80,0.80,143143,1.15
19-Dec-2011,0.95,0.95,0.85, 0.85,0.85,217996,1.85
16-Dec-2011,0.95,0.95,0.90, 0.90,0.90,572812,5.21
15-Dec-2011,1.00,1.05,0.95, 0.95,0.95,261828,2.54
14-Dec-2011,1.00,1.05,1.00, 1.00,1.00,2653,0.03
13-Dec-2011,1.05,1.05,1.00, 1.05,1.05,19137,0.20
12-Dec-2011,1.05,1.05,1.05, 1.05,1.05,39601,0.42
09-Dec-2011,1.15,1.15,1.10, 1.10,1.10,51194,0.56
08-Dec-2011,1.15,1.15,1.10, 1.15,1.15,40548,0.45
07-Dec-2011,1.15,1.20,1.15, 1.15,1.15,25436,0.29
05-Dec-2011,1.20,1.25,1.15, 1.15,1.20,140922,1.67
02-Dec-2011,1.20,1.20,1.10, 1.20,1.20,156359,1.84
01-Dec-2011,1.15,1.15,1.15, 1.15,1.15,40851,0.47
30-Nov-2011,1.20,1.20,1.20, 1.20,1.20,9100,0.11
29-Nov-2011,1.25,1.25,1.25, 1.25,1.25,6707,0.08
28-Nov-2011,1.30,1.30,1.30, 1.30,1.30,2835,0.04
25-Nov-2011,1.35,1.35,1.35, 1.35,1.35,60021,0.81
24-Nov-2011,1.40,1.40,1.40, 1.40,1.40,562,0.01
23-Nov-2011,1.45,1.45,1.45, 1.45,1.45,4202,0.06
22-Nov-2011,1.50,1.50,1.50, 1.50,1.50,200,0.00
21-Nov-2011,1.55,1.55,1.55, 1.55,1.55,5000,0.08
18-Nov-2011,1.60,1.60,1.60, 1.60,1.60,5526,0.09
17-Nov-2011,1.65,1.65,1.65, 1.65,1.65,2,0.00
16-Nov-2011,1.70,1.70,1.70, 1.70,1.70,402002,6.83
15-Nov-2011,1.75,1.75,1.75, 1.75,1.75,10051,0.18
14-Nov-2011,1.90,1.90,1.75, 1.75,1.80,519249,9.15
11-Nov-2011,1.60,1.85,1.50, 1.80,1.80,1389090,24.46
09-Nov-2011,1.50,1.65,1.50, 1.65,1.65,645274,10.39
08-Nov-2011,1.40,1.50,1.40, 1.45,1.50,201390,2.96
04-Nov-2011,1.30,1.45,1.30, 1.40,1.45,556054,7.97
03-Nov-2011,1.40,1.40,1.35, 1.35,1.35,23466,0.32
02-Nov-2011,1.45,1.45,1.35, 1.40,1.40,13256,0.19
01-Nov-2011,1.35,1.45,1.35, 1.40,1.40,17437,0.24
31-Oct-2011,1.40,1.45,1.35, 1.40,1.40,68168,0.95
28-Oct-2011,1.35,1.40,1.35, 1.35,1.40,42557,0.59
26-Oct-2011,1.40,1.40,1.35, 1.35,1.35,28363,0.39
25-Oct-2011,1.40,1.45,1.35, 1.35,1.35,27159,0.37
24-Oct-2011,1.35,1.45,1.35, 1.35,1.40,152139,2.11
21-Oct-2011,1.35,1.50,1.35, 1.35,1.40,351513,4.98
20-Oct-2011,1.40,1.40,1.35, 1.40,1.40,24669,0.34
19-Oct-2011,1.35,1.45,1.35, 1.35,1.35,451318,6.28
18-Oct-2011,1.30,1.35,1.30, 1.35,1.35,57124,0.75
17-Oct-2011,1.35,1.45,1.30, 1.30,1.35,1254839,17.11
14-Oct-2011,1.25,1.40,1.25, 1.40,1.35,117662,1.59
13-Oct-2011,1.25,1.30,1.25, 1.30,1.30,112425,1.43
12-Oct-2011,1.25,1.30,1.20, 1.25,1.25,115479,1.43
11-Oct-2011,1.20,1.25,1.20, 1.25,1.25,587765,7.31
10-Oct-2011,1.10,1.25,1.10, 1.10,1.15,414744,4.89
07-Oct-2011,1.15,1.20,1.10, 1.20,1.15,45575,0.52
05-Oct-2011,1.10,1.10,1.10, 1.10,1.10,5522,0.06
04-Oct-2011,1.05,1.15,1.05, 1.15,1.15,20200,0.22
03-Oct-2011,1.10,1.15,1.10, 1.15,1.10,20345,0.23
30-Sep-2011,1.15,1.15,1.10, 1.15,1.15,29781,0.33
29-Sep-2011,1.15,1.20,1.15, 1.15,1.15,8112,0.09
28-Sep-2011,1.20,1.20,1.15, 1.15,1.15,49541,0.59
27-Sep-2011,1.25,1.25,1.20, 1.20,1.20,20395,0.25
26-Sep-2011,1.25,1.25,1.25, 1.25,1.25,28348,0.35
23-Sep-2011,1.25,1.30,1.25, 1.30,1.30,45425,0.57
22-Sep-2011,1.30,1.30,1.30, 1.30,1.30,2521,0.03
21-Sep-2011,1.25,1.35,1.25, 1.30,1.35,32763,0.43
20-Sep-2011,1.25,1.30,1.25, 1.30,1.30,14978,0.19
19-Sep-2011,1.30,1.30,1.25, 1.30,1.30,4692,0.06
16-Sep-2011,1.25,1.30,1.20, 1.25,1.25,24340,0.31
15-Sep-2011,1.30,1.40,1.20, 1.25,1.25,388974,4.88
14-Sep-2011,1.25,1.35,1.25, 1.30,1.30,143852,1.87
13-Sep-2011,1.35,1.45,1.30, 1.30,1.30,108258,1.47
12-Sep-2011,1.40,1.40,1.35, 1.35,1.40,51202,0.72
09-Sep-2011,1.60,1.80,1.45, 1.45,1.50,2003217,32.60
08-Sep-2011,1.55,1.65,1.50, 1.65,1.60,488739,7.83
07-Sep-2011,1.45,1.50,1.40, 1.50,1.50,257670,3.78
06-Sep-2011,1.45,1.50,1.40, 1.40,1.40,364609,5.19
05-Sep-2011,1.35,1.45,1.35, 1.40,1.40,43526,0.61
02-Sep-2011,1.35,1.40,1.30, 1.35,1.40,38031,0.52
30-Aug-2011,1.25,1.30,1.15, 1.30,1.30,148332,1.84
29-Aug-2011,1.20,1.20,1.20, 1.20,1.20,18467,0.22
26-Aug-2011,1.35,1.35,1.20, 1.25,1.25,25695,0.31
25-Aug-2011,1.30,1.30,1.25, 1.25,1.25,35685,0.45
