Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,76.80,76.80,69.50, 74.00,69.60,104,0.07
29-Dec-2011,72.20,75.00,72.20, 75.00,73.15,243,0.18
28-Dec-2011,73.40,76.00,73.40, 76.00,76.00,2,0.00
27-Dec-2011,75.05,81.60,75.05, 75.05,77.25,66,0.05
26-Dec-2011,79.00,79.00,79.00, 79.00,79.00,1,0.00
23-Dec-2011,76.80,76.80,76.80, 76.80,76.80,7,0.01
22-Dec-2011,80.25,80.45,80.25, 80.45,80.45,56,0.04
21-Dec-2011,76.85,76.85,76.85, 76.85,76.85,100,0.08
16-Dec-2011,85.10,85.10,80.90, 80.90,80.90,42,0.03
15-Dec-2011,85.15,85.15,85.15, 85.15,85.15,50,0.04
12-Dec-2011,89.60,89.60,89.60, 89.60,89.60,6,0.01
09-Dec-2011,94.30,94.30,94.30, 94.30,94.30,10,0.01
08-Dec-2011,99.00,99.00,99.00, 99.00,99.00,1,0.00
29-Nov-2011,95.00,95.00,95.00, 95.00,95.00,1,0.00
25-Nov-2011,98.35,98.35,98.35, 98.35,98.35,1,0.00
21-Nov-2011,94.35,103.50,94.35, 103.50,103.50,120,0.11
16-Nov-2011,99.30,99.30,99.30, 99.30,99.30,5,0.00
15-Nov-2011,104.50,104.50,104.50, 104.50,104.50,5,0.01
14-Nov-2011,110.00,110.00,110.00, 110.00,110.00,5,0.01
11-Nov-2011,111.00,111.00,111.00, 111.00,111.00,1,0.00
09-Nov-2011,110.20,110.20,110.20, 110.20,110.20,3,0.00
01-Nov-2011,116.00,116.00,116.00, 116.00,116.00,1,0.00
31-Oct-2011,102.85,113.20,102.85, 113.20,113.20,101,0.10
28-Oct-2011,108.25,108.25,108.25, 108.25,108.25,1,0.00
26-Oct-2011,104.30,104.30,104.30, 104.30,104.30,1,0.00
25-Oct-2011,104.30,104.30,104.30, 104.30,104.30,1,0.00
18-Oct-2011,109.75,109.75,109.75, 109.75,109.75,1,0.00
17-Oct-2011,115.50,115.50,115.50, 115.50,115.50,100,0.12
14-Oct-2011,120.65,120.65,120.65, 120.65,120.65,1,0.00
23-Sep-2011,121.60,121.60,121.60, 121.60,121.60,1,0.00
22-Sep-2011,124.00,124.00,124.00, 124.00,124.00,1,0.00
21-Sep-2011,118.70,118.70,118.70, 118.70,118.70,2,0.00
20-Sep-2011,124.95,124.95,124.95, 124.95,124.95,1,0.00
16-Sep-2011,122.60,122.60,122.60, 122.60,122.60,1,0.00
15-Sep-2011,117.60,117.60,117.60, 117.60,117.60,1,0.00
08-Sep-2011,112.00,112.00,112.00, 112.00,112.00,30,0.03
07-Sep-2011,116.50,116.50,116.50, 116.50,116.50,2,0.00
06-Sep-2011,122.60,122.60,122.60, 122.60,122.60,1,0.00
02-Sep-2011,119.45,119.45,119.45, 119.45,119.45,1,0.00
29-Aug-2011,114.90,114.90,114.90, 114.90,114.90,200,0.23
26-Aug-2011,109.70,109.70,109.70, 109.70,109.70,1,0.00
24-Aug-2011,104.50,104.50,104.50, 104.50,104.50,21,0.02
22-Aug-2011,110.00,110.00,110.00, 110.00,110.00,1,0.00
19-Aug-2011,109.30,115.20,109.30, 115.20,115.20,12,0.01
04-Aug-2011,125.50,125.50,125.50, 125.50,125.50,1,0.00
29-Jul-2011,121.25,121.25,121.25, 121.25,121.25,1,0.00
27-Jul-2011,105.30,115.50,105.30, 115.50,115.50,35,0.04
26-Jul-2011,110.20,110.20,110.20, 110.20,110.20,20,0.02
25-Jul-2011,115.00,115.00,115.00, 115.00,115.00,1,0.00
08-Jul-2011,120.00,128.00,120.00, 128.00,128.00,11,0.01
07-Jul-2011,122.00,122.00,122.00, 122.00,122.00,2,0.00
06-Jul-2011,116.15,116.15,116.15, 116.15,116.15,1,0.00
29-Jun-2011,121.00,121.00,110.60, 110.60,110.60,26,0.03
21-Jun-2011,116.40,116.40,116.40, 116.40,116.40,59,0.07
20-Jun-2011,110.85,110.85,110.85, 110.85,110.85,100,0.11
13-Jun-2011,105.55,105.55,105.55, 105.55,105.55,100,0.11
08-Jun-2011,102.00,102.00,101.75, 101.75,101.75,175,0.18
06-Jun-2011,97.25,100.00,97.25, 100.00,100.00,228,0.23
01-Jun-2011,102.00,102.00,102.00, 102.00,102.00,18,0.02
30-May-2011,105.00,105.00,104.00, 104.00,104.00,3,0.00
27-May-2011,109.25,109.25,109.25, 109.25,109.25,20,0.02
24-May-2011,126.00,126.00,115.00, 115.00,115.00,2,0.00
19-May-2011,120.00,120.00,120.00, 120.00,120.00,25,0.03
18-May-2011,118.65,120.00,118.65, 120.00,120.00,45,0.05
17-May-2011,124.85,124.85,124.85, 124.85,124.85,10,0.01
12-May-2011,131.40,131.40,131.40, 131.40,131.40,1,0.00
05-May-2011,132.90,132.95,132.90, 132.95,132.95,100,0.13
04-May-2011,132.10,132.20,132.10, 132.20,132.20,10,0.01
02-May-2011,126.00,126.00,126.00, 126.00,126.00,1,0.00
29-Apr-2011,127.00,127.00,127.00, 127.00,127.00,1,0.00
