Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,33.15,34.40,33.15, 33.75,33.70,99617,33.99
29-Dec-2011,33.55,34.10,33.20, 33.35,33.30,64721,21.84
28-Dec-2011,35.90,39.00,33.70, 33.85,34.00,230034,80.27
27-Dec-2011,34.20,35.15,34.20, 34.85,34.55,28883,10.01
26-Dec-2011,34.15,35.20,34.15, 34.65,34.60,109686,37.91
23-Dec-2011,34.10,34.85,34.10, 34.50,34.40,82072,28.39
22-Dec-2011,34.20,34.50,33.95, 34.25,34.35,61760,21.13
21-Dec-2011,35.40,35.85,34.10, 34.45,34.30,71992,24.89
20-Dec-2011,35.00,35.35,34.30, 34.50,34.55,117162,40.84
19-Dec-2011,35.10,37.45,34.00, 35.20,35.15,89799,31.36
16-Dec-2011,35.75,36.20,35.15, 35.15,35.55,102378,36.74
15-Dec-2011,36.70,36.70,35.65, 35.80,35.80,143551,51.79
14-Dec-2011,38.00,40.00,36.30, 36.45,36.45,174240,64.95
13-Dec-2011,36.00,37.50,35.45, 36.70,36.75,98028,36.06
12-Dec-2011,37.50,37.50,36.10, 36.45,36.35,61149,22.46
09-Dec-2011,37.10,37.50,36.40, 37.30,37.25,113784,42.39
08-Dec-2011,37.80,38.30,37.40, 37.40,37.60,75538,28.64
07-Dec-2011,38.85,38.85,37.85, 37.85,38.00,166926,63.96
05-Dec-2011,39.25,39.25,38.25, 38.35,38.30,169260,65.31
02-Dec-2011,39.30,39.50,38.00, 38.90,38.95,169084,65.56
01-Dec-2011,38.40,39.35,38.00, 38.85,38.45,44049,16.88
30-Nov-2011,37.15,38.80,36.75, 38.45,38.50,113055,42.55
29-Nov-2011,37.25,37.25,36.80, 36.85,36.85,64839,23.96
28-Nov-2011,37.00,37.35,36.75, 37.00,37.20,288642,106.87
25-Nov-2011,37.10,37.30,36.75, 37.20,37.05,50282,18.62
24-Nov-2011,37.00,37.75,36.70, 37.50,37.55,155014,57.83
23-Nov-2011,37.20,37.40,36.80, 37.05,36.95,74164,27.42
22-Nov-2011,37.00,38.25,36.90, 37.30,37.35,210659,79.51
21-Nov-2011,38.30,38.30,37.10, 37.25,37.25,162232,60.89
18-Nov-2011,38.20,38.45,37.40, 38.40,38.20,197222,74.77
17-Nov-2011,38.05,38.95,37.75, 37.75,37.90,154953,59.47
16-Nov-2011,38.60,39.20,38.25, 38.50,38.35,143229,55.36
15-Nov-2011,38.65,39.60,38.55, 38.70,38.60,239752,93.21
14-Nov-2011,40.05,40.05,38.75, 38.75,38.85,192396,75.02
11-Nov-2011,39.80,40.60,38.80, 40.40,40.35,551414,219.58
09-Nov-2011,38.75,40.70,38.65, 39.65,39.70,1163241,464.45
08-Nov-2011,39.15,39.35,38.45, 38.50,38.55,657561,254.33
04-Nov-2011,39.75,39.90,38.60, 38.90,39.20,821000,319.88
03-Nov-2011,38.80,39.80,38.50, 39.50,39.30,891656,346.67
02-Nov-2011,38.85,39.15,38.50, 39.15,38.80,525029,203.88
01-Nov-2011,39.30,39.45,38.65, 38.75,38.70,329207,128.36
31-Oct-2011,39.90,39.90,38.60, 38.85,38.80,422826,164.20
28-Oct-2011,39.50,40.90,38.90, 39.50,39.70,934388,373.09
26-Oct-2011,38.90,39.45,38.75, 38.85,38.85,59567,23.19
25-Oct-2011,39.80,40.50,38.75, 38.85,38.90,309979,122.75
24-Oct-2011,39.35,40.90,38.70, 38.90,38.85,279796,111.60
21-Oct-2011,39.40,41.45,38.70, 38.85,39.35,420872,168.31
20-Oct-2011,39.50,40.50,38.75, 39.25,39.55,300692,117.65
19-Oct-2011,40.60,41.90,39.50, 40.40,40.25,553563,227.67
18-Oct-2011,39.90,40.40,38.60, 39.60,39.60,180433,71.13
17-Oct-2011,40.50,41.45,38.90, 39.60,39.65,360123,143.50
14-Oct-2011,41.00,43.80,39.70, 39.90,39.90,815315,333.68
13-Oct-2011,42.85,42.95,40.25, 41.30,41.50,98444,41.34
12-Oct-2011,40.00,42.00,40.00, 40.90,40.65,76821,31.36
11-Oct-2011,41.00,41.00,39.90, 40.20,40.15,68711,27.62
10-Oct-2011,40.70,40.70,40.00, 40.10,40.20,17965,7.22
07-Oct-2011,41.55,45.00,39.20, 40.00,40.05,14464,5.83
05-Oct-2011,40.00,40.70,39.40, 40.05,40.05,26866,10.74
04-Oct-2011,40.40,40.45,39.85, 40.15,40.00,20276,8.12
03-Oct-2011,39.55,40.25,39.35, 40.00,40.05,22883,9.15
30-Sep-2011,40.00,40.95,39.15, 40.00,40.05,10717,4.31
29-Sep-2011,40.00,40.50,40.00, 40.00,40.05,16574,6.65
28-Sep-2011,40.05,41.00,40.00, 40.20,40.10,30894,12.40
27-Sep-2011,40.50,40.80,40.05, 40.50,40.25,16028,6.48
26-Sep-2011,41.00,41.00,40.00, 40.15,40.20,32264,13.02
23-Sep-2011,40.25,41.20,40.25, 40.80,40.60,30753,12.51
22-Sep-2011,41.60,42.00,41.20, 41.40,41.25,50256,20.86
21-Sep-2011,42.10,42.20,41.80, 42.00,42.05,25141,10.55
20-Sep-2011,41.90,42.20,41.70, 41.80,41.80,22223,9.30
19-Sep-2011,43.75,43.75,41.75, 41.75,41.85,46535,19.54
16-Sep-2011,43.20,43.20,42.10, 42.40,42.50,35875,15.30
15-Sep-2011,48.00,48.00,42.35, 42.70,42.65,67667,28.97
14-Sep-2011,43.50,43.75,42.10, 42.65,42.50,117240,50.03
13-Sep-2011,43.90,43.90,42.75, 42.80,42.80,60227,25.92
12-Sep-2011,46.60,46.60,42.60, 43.45,43.10,163451,70.54
