Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,9.35,9.65,9.20, 9.45,9.35,1930519,181.22
29-Dec-2011,9.45,9.50,9.00, 9.30,9.10,8192204,752.25
28-Dec-2011,9.90,10.00,9.45, 9.50,9.50,4669009,446.79
27-Dec-2011,10.10,10.10,9.90, 9.95,9.95,791304,79.17
26-Dec-2011,10.20,10.20,10.00, 10.05,10.05,790459,79.85
23-Dec-2011,10.20,10.25,10.00, 10.00,10.05,1538686,154.89
22-Dec-2011,10.05,10.05,9.65, 10.00,9.95,1887997,186.33
21-Dec-2011,10.10,10.10,9.80, 9.90,9.95,922106,91.30
20-Dec-2011,9.95,10.00,9.60, 9.65,9.70,815304,80.29
19-Dec-2011,10.00,10.05,9.80, 9.95,9.95,1171861,116.11
16-Dec-2011,10.15,10.30,9.95, 10.05,10.05,3121235,316.94
15-Dec-2011,10.00,10.10,9.85, 10.05,10.00,1485730,148.03
14-Dec-2011,10.20,10.25,10.05, 10.15,10.10,1009708,102.39
13-Dec-2011,10.05,10.25,10.00, 10.25,10.15,1314170,132.93
12-Dec-2011,10.45,10.55,10.05, 10.15,10.15,1468715,150.14
09-Dec-2011,10.15,10.45,10.00, 10.45,10.35,1425807,146.09
08-Dec-2011,10.75,10.75,10.25, 10.25,10.35,2240317,234.93
07-Dec-2011,10.60,11.00,10.50, 10.70,10.85,1667926,181.26
05-Dec-2011,10.75,10.85,10.45, 10.75,10.75,1667149,178.14
02-Dec-2011,10.80,10.90,10.20, 10.65,10.65,1596351,168.34
01-Dec-2011,10.80,10.90,10.25, 10.40,10.50,1993402,210.98
30-Nov-2011,10.45,10.70,9.75, 10.30,10.35,2739508,279.39
29-Nov-2011,10.85,10.85,10.35, 10.40,10.40,2100350,221.81
28-Nov-2011,11.20,11.20,10.35, 10.80,10.85,1746743,188.11
25-Nov-2011,10.45,10.55,10.10, 10.30,10.25,1830720,189.18
24-Nov-2011,10.05,10.60,9.65, 10.60,10.10,7853129,787.74
23-Nov-2011,10.60,10.60,9.85, 10.05,10.05,3827767,385.55
22-Nov-2011,10.55,10.75,10.30, 10.65,10.55,1897995,199.98
21-Nov-2011,11.50,11.90,10.25, 10.35,10.45,2962062,317.70
18-Nov-2011,11.50,11.75,11.05, 11.20,11.10,2068043,231.59
17-Nov-2011,11.95,11.95,11.45, 11.55,11.50,1582451,184.35
16-Nov-2011,12.00,12.00,11.50, 11.90,11.75,1802241,210.90
15-Nov-2011,12.45,12.45,11.85, 11.85,12.00,2276766,276.26
14-Nov-2011,12.75,12.90,12.45, 12.50,12.50,1569563,197.36
11-Nov-2011,12.95,13.00,12.60, 12.65,12.65,2268192,289.04
09-Nov-2011,13.55,13.55,13.00, 13.10,13.10,1077462,143.53
08-Nov-2011,13.50,13.55,13.35, 13.45,13.45,789771,106.08
04-Nov-2011,13.50,13.55,13.35, 13.45,13.40,1508877,203.09
03-Nov-2011,13.20,13.50,13.20, 13.35,13.35,1254826,166.92
