Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,527.00,532.80,501.35, 504.95,507.20,2421266,12524.48
29-Dec-2011,509.60,529.35,503.20, 528.00,524.85,3367074,17495.67
28-Dec-2011,503.00,519.90,493.15, 518.15,513.80,2541179,12820.43
27-Dec-2011,521.95,527.00,503.05, 506.40,507.40,1804437,9285.27
26-Dec-2011,517.75,528.45,514.00, 522.90,523.00,1473146,7688.61
23-Dec-2011,520.00,534.70,507.00, 512.05,512.95,2816573,14636.65
22-Dec-2011,502.00,526.00,487.00, 516.85,518.40,2871856,14561.58
21-Dec-2011,479.70,518.75,477.15, 515.00,509.90,2396759,11829.67
20-Dec-2011,493.00,502.55,462.35, 474.00,469.15,2665771,12708.30
19-Dec-2011,507.00,507.00,478.20, 492.20,493.20,2883447,14184.41
16-Dec-2011,539.00,553.95,501.50, 507.00,509.50,2325182,12418.17
15-Dec-2011,535.00,544.80,520.05, 536.35,537.35,1976138,10507.71
14-Dec-2011,555.00,562.80,540.00, 542.10,543.05,1679702,9251.60
13-Dec-2011,548.00,562.20,538.60, 558.25,556.80,2438797,13469.20
12-Dec-2011,592.00,596.45,545.00, 547.00,550.75,1889735,10759.37
09-Dec-2011,594.50,595.00,572.50, 587.95,586.30,2089108,12210.39
08-Dec-2011,617.70,621.40,596.25, 600.05,600.65,1459594,8849.70
07-Dec-2011,609.85,629.50,585.20, 619.20,620.65,1541516,9598.67
05-Dec-2011,625.00,635.90,583.85, 609.95,611.95,1938971,11931.87
02-Dec-2011,618.90,639.00,609.50, 638.00,636.75,2218152,13867.07
01-Dec-2011,609.00,630.75,608.30, 619.50,619.50,2155194,13390.78
30-Nov-2011,583.00,604.40,576.20, 590.90,593.15,2197550,12982.26
29-Nov-2011,615.00,622.65,588.20, 589.20,592.40,2802529,17002.17
28-Nov-2011,559.00,617.90,559.00, 614.40,611.55,2574977,15279.70
25-Nov-2011,564.50,571.60,549.00, 556.30,555.85,2086397,11700.98
24-Nov-2011,550.90,575.00,535.40, 572.15,568.20,2927137,16289.99
23-Nov-2011,565.00,565.00,536.80, 555.00,551.20,2426172,13333.63
22-Nov-2011,570.00,578.80,553.15, 561.10,561.75,3306726,18700.02
21-Nov-2011,609.80,609.80,562.00, 563.00,568.80,1708090,9939.76
18-Nov-2011,647.00,659.70,605.95, 607.80,610.75,3158227,19974.44
17-Nov-2011,668.05,675.00,645.45, 647.70,649.45,1652326,10952.93
16-Nov-2011,644.00,677.90,629.20, 675.00,666.55,2438212,15925.07
15-Nov-2011,655.50,672.40,637.55, 642.00,645.75,1857176,12219.65
14-Nov-2011,678.00,689.90,645.50, 655.05,656.50,2720909,17919.30
11-Nov-2011,652.00,685.70,645.25, 674.00,674.00,2064395,13769.54
09-Nov-2011,708.00,710.00,667.05, 668.95,671.25,1599129,11059.72
08-Nov-2011,713.15,717.80,694.40, 700.00,703.40,1954277,13774.58
04-Nov-2011,677.95,715.90,677.00, 710.00,711.55,3829689,26828.94
03-Nov-2011,635.85,677.00,635.30, 675.40,668.15,1875327,12243.36
02-Nov-2011,630.00,647.45,624.70, 639.50,638.65,1216232,7750.57
01-Nov-2011,649.00,652.60,631.00, 632.80,636.75,910106,5842.36
31-Oct-2011,665.75,669.75,646.00, 650.75,653.50,1160323,7629.18
28-Oct-2011,611.25,671.90,611.25, 663.00,665.75,2636540,17142.57
26-Oct-2011,604.00,608.75,598.00, 601.45,603.85,300206,1810.12
25-Oct-2011,588.00,608.80,577.55, 605.60,601.00,1398200,8254.36
24-Oct-2011,582.20,602.00,582.00, 585.35,586.25,1270724,7544.74
21-Oct-2011,585.00,593.65,567.65, 586.90,580.45,2635310,15339.85
20-Oct-2011,580.05,586.95,479.00, 585.20,582.60,1447621,8375.25
19-Oct-2011,579.95,589.50,576.30, 586.50,587.00,946422,5524.10
18-Oct-2011,570.00,578.85,555.65, 578.15,573.80,1201017,6841.88
17-Oct-2011,604.00,605.00,576.00, 580.00,579.80,1633105,9557.78
