Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,775.00,780.75,750.00, 753.05,754.40,745350,5701.67
29-Dec-2011,740.00,778.00,740.00, 767.80,771.35,1088008,8330.22
28-Dec-2011,759.10,763.95,740.65, 750.05,749.55,882495,6611.27
27-Dec-2011,775.00,781.95,756.35, 766.80,765.05,609268,4686.28
26-Dec-2011,762.50,785.00,762.50, 770.95,772.00,890535,6908.24
23-Dec-2011,793.00,803.70,757.75, 759.20,762.80,1029785,7975.70
22-Dec-2011,745.00,821.90,728.65, 784.00,796.70,1544731,11917.91
21-Dec-2011,732.40,749.00,722.00, 747.00,745.15,993557,7291.65
20-Dec-2011,762.00,776.70,696.40, 722.00,711.25,1466375,10665.23
19-Dec-2011,755.00,770.00,731.80, 754.00,759.40,1023827,7691.43
16-Dec-2011,785.05,798.70,746.20, 750.00,753.40,992856,7734.05
15-Dec-2011,740.00,786.00,727.10, 784.50,781.25,1766637,13396.42
14-Dec-2011,742.00,766.00,742.00, 742.55,743.55,922411,6928.17
13-Dec-2011,742.00,755.70,729.05, 752.45,744.40,944735,6949.34
12-Dec-2011,779.90,787.35,742.55, 754.00,748.15,879063,6749.74
09-Dec-2011,800.00,800.00,766.10, 774.00,772.65,1130112,8781.14
08-Dec-2011,826.50,835.00,798.55, 804.00,804.40,853548,6974.15
07-Dec-2011,849.90,858.35,819.60, 820.35,822.95,1066210,8914.89
05-Dec-2011,831.00,858.70,830.00, 848.00,855.55,1065243,9006.67
02-Dec-2011,795.00,842.00,791.00, 841.00,830.40,1136349,9240.45
01-Dec-2011,790.00,809.90,775.35, 792.90,793.90,1210370,9672.25
30-Nov-2011,760.25,781.90,750.85, 772.60,772.30,863076,6623.94
29-Nov-2011,781.00,796.50,756.65, 760.30,762.30,956103,7457.81
28-Nov-2011,763.05,784.00,763.05, 774.00,775.60,600347,4652.66
25-Nov-2011,746.20,775.00,742.80, 758.00,763.70,829933,6333.65
24-Nov-2011,764.00,764.05,736.00, 751.00,752.65,875495,6552.25
23-Nov-2011,741.70,764.95,725.15, 764.70,760.25,1340694,9984.50
22-Nov-2011,766.00,771.70,717.05, 744.50,742.05,1726941,12848.61
21-Nov-2011,785.00,788.45,753.55, 758.05,761.45,858885,6628.38
18-Nov-2011,776.90,804.00,745.25, 798.05,792.05,1111263,8558.18
17-Nov-2011,775.00,793.95,768.00, 770.70,777.85,1310255,10250.56
16-Nov-2011,696.50,785.00,696.50, 782.00,769.05,2106290,15693.01
15-Nov-2011,743.00,760.95,726.75, 732.70,733.15,1142123,8507.18
14-Nov-2011,790.00,797.05,739.25, 744.95,745.05,1311570,9848.65
11-Nov-2011,800.00,804.85,760.25, 774.00,773.20,1005930,7814.25
09-Nov-2011,809.00,814.00,795.00, 796.00,797.75,561266,4517.12
