Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,96.00,102.45,96.00, 97.70,97.70,398686,397.35
29-Dec-2011,95.50,96.90,94.25, 95.60,95.25,109691,104.72
28-Dec-2011,101.45,101.45,96.25, 96.95,97.45,125021,122.86
27-Dec-2011,102.10,104.45,99.55, 101.10,100.65,151480,154.71
26-Dec-2011,102.00,103.95,101.10, 101.80,101.85,173650,178.03
23-Dec-2011,97.00,103.40,95.30, 100.10,100.00,481677,483.26
22-Dec-2011,94.50,97.50,93.85, 96.30,96.00,135927,129.72
21-Dec-2011,94.50,98.00,93.45, 96.20,95.85,190330,181.29
20-Dec-2011,94.80,94.90,92.00, 92.00,92.50,135192,126.64
19-Dec-2011,98.70,98.70,91.00, 93.45,93.35,193610,181.43
16-Dec-2011,101.00,104.95,96.20, 97.00,96.75,165072,164.91
15-Dec-2011,102.10,102.10,98.45, 100.35,99.90,147147,147.13
14-Dec-2011,103.50,107.00,102.60, 104.00,103.30,280838,294.07
13-Dec-2011,105.10,105.40,100.20, 102.65,102.00,193164,198.56
12-Dec-2011,111.15,113.40,105.25, 105.65,106.20,241564,266.57
09-Dec-2011,112.00,113.70,108.65, 110.30,109.95,664482,739.69
08-Dec-2011,105.00,117.35,104.00, 113.30,113.80,1835763,2077.76
07-Dec-2011,100.60,105.40,99.35, 104.25,104.10,186129,191.41
05-Dec-2011,99.50,100.90,98.30, 98.50,98.85,92416,92.00
02-Dec-2011,98.50,99.50,97.00, 99.00,99.00,56710,55.74
01-Dec-2011,99.90,100.80,98.25, 98.80,98.50,112623,111.58
30-Nov-2011,95.50,97.70,95.50, 96.60,96.45,68899,66.48
29-Nov-2011,98.00,98.90,96.55, 97.05,97.00,89240,87.19
28-Nov-2011,95.00,98.65,94.45, 97.20,97.30,112747,109.48
25-Nov-2011,92.25,95.20,92.20, 93.85,93.70,57246,53.81
24-Nov-2011,91.20,93.50,90.55, 93.40,93.00,107108,98.62
23-Nov-2011,94.90,94.90,89.70, 91.00,91.30,163835,150.35
22-Nov-2011,95.05,97.00,93.55, 95.85,95.60,116693,111.35
21-Nov-2011,91.00,99.50,91.00, 94.45,94.70,253896,244.39
18-Nov-2011,104.50,105.50,86.10, 95.20,93.70,780871,730.55
17-Nov-2011,108.55,109.65,105.10, 106.25,106.10,148617,158.94
16-Nov-2011,110.15,112.40,108.20, 109.70,109.50,123537,135.87
15-Nov-2011,113.50,114.40,109.75, 110.05,110.70,94820,106.36
14-Nov-2011,119.10,119.10,112.55, 113.05,114.05,83705,97.16
11-Nov-2011,117.70,118.70,115.15, 116.90,116.35,83815,97.46
09-Nov-2011,121.00,122.35,117.00, 117.00,117.75,133910,160.86
08-Nov-2011,122.00,122.00,118.80, 119.75,120.00,69223,83.07
04-Nov-2011,121.10,122.50,118.75, 120.25,119.80,148147,179.31
03-Nov-2011,117.20,120.80,117.00, 119.90,119.85,191842,227.75
02-Nov-2011,113.00,118.50,112.50, 116.60,116.60,234697,274.05
01-Nov-2011,114.45,114.90,113.50, 113.55,113.60,56071,63.95
31-Oct-2011,114.50,115.50,114.00, 114.20,114.10,75770,86.89
28-Oct-2011,113.50,114.50,112.60, 113.40,113.35,104251,118.34
26-Oct-2011,111.60,112.45,111.25, 112.00,111.90,18309,20.49
25-Oct-2011,110.55,112.40,110.10, 112.10,111.65,57374,63.72
24-Oct-2011,113.00,113.70,110.00, 110.00,110.35,44419,49.66
21-Oct-2011,112.50,113.50,111.90, 112.00,112.25,25642,28.91
20-Oct-2011,114.00,114.00,112.25, 112.60,112.80,48727,55.03
19-Oct-2011,114.00,114.80,113.05, 113.60,114.20,64078,73.08
18-Oct-2011,113.45,114.45,112.55, 113.20,112.85,107412,121.75
17-Oct-2011,114.50,115.50,112.00, 114.50,114.30,104753,119.81
14-Oct-2011,110.85,116.30,110.80, 113.20,113.15,230359,262.25
13-Oct-2011,112.70,112.95,110.75, 110.75,111.35,83277,93.19
12-Oct-2011,112.00,112.50,110.20, 112.40,111.95,50251,56.07
11-Oct-2011,110.40,113.70,109.30, 110.80,111.10,83181,93.02
10-Oct-2011,107.95,110.90,107.60, 109.40,109.60,68166,74.66
07-Oct-2011,109.80,109.90,107.45, 107.50,108.20,66542,72.42
05-Oct-2011,108.85,110.90,105.80, 106.50,106.45,126561,135.94
04-Oct-2011,107.50,109.85,106.65, 107.60,107.35,64776,70.07
03-Oct-2011,109.00,110.95,108.25, 108.90,108.60,78017,85.28
30-Sep-2011,112.20,113.70,110.10, 111.00,111.10,62768,70.30
29-Sep-2011,111.10,114.00,111.10, 113.40,113.00,48841,55.05
28-Sep-2011,115.00,115.00,111.15, 111.55,112.00,61750,69.84
27-Sep-2011,113.05,114.90,113.05, 114.35,114.20,77746,88.78
26-Sep-2011,114.50,114.95,110.40, 111.55,112.00,118924,133.64
23-Sep-2011,114.00,114.90,109.05, 114.80,114.15,226933,254.63
22-Sep-2011,118.10,119.50,114.50, 115.10,115.10,117444,137.31
21-Sep-2011,118.45,121.30,117.25, 120.70,120.55,148163,177.38
20-Sep-2011,116.05,117.95,115.60, 117.40,117.65,65585,77.00
19-Sep-2011,115.45,116.90,115.00, 116.15,116.35,53435,61.99
16-Sep-2011,117.50,118.00,115.40, 116.00,115.85,81709,95.06
15-Sep-2011,116.20,117.70,114.55, 116.50,116.65,74658,86.69
14-Sep-2011,116.80,116.80,114.00, 115.65,115.20,77496,89.04
13-Sep-2011,115.00,116.30,113.70, 115.00,114.80,67510,77.78
12-Sep-2011,117.80,118.00,113.10, 113.55,113.75,112251,129.29
09-Sep-2011,122.00,122.60,117.15, 118.90,117.90,136190,164.05
08-Sep-2011,121.00,123.50,121.00, 121.85,121.60,142812,174.07
07-Sep-2011,117.90,125.90,116.90, 121.50,121.45,402480,488.48
06-Sep-2011,116.70,118.75,114.10, 116.20,116.75,124927,145.75
05-Sep-2011,109.00,117.00,109.00, 117.00,115.95,219766,252.71
02-Sep-2011,110.65,111.90,109.00, 111.10,110.75,48978,53.98
30-Aug-2011,109.85,111.30,109.15, 110.00,109.75,69906,77.03
29-Aug-2011,108.30,109.65,107.90, 109.50,109.05,78115,85.08
26-Aug-2011,108.65,110.30,105.65, 106.50,106.25,88817,96.17
25-Aug-2011,109.00,110.50,108.15, 108.50,108.50,50296,54.76
24-Aug-2011,110.20,111.25,108.50, 108.75,109.10,49282,54.30
23-Aug-2011,109.00,110.75,108.50, 110.00,110.20,82195,90.23
22-Aug-2011,107.50,109.50,107.20, 108.80,108.85,61286,66.36
19-Aug-2011,105.00,108.65,105.00, 106.80,106.80,146455,156.64
18-Aug-2011,109.50,111.85,108.15, 108.65,108.70,153814,169.00
17-Aug-2011,110.80,110.90,108.10, 108.60,108.70,59900,65.34
16-Aug-2011,113.80,114.50,108.75, 110.00,109.60,82771,92.70
12-Aug-2011,112.00,114.20,111.55, 113.15,112.95,90601,102.16
