Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,93.90,97.95,90.70, 96.25,93.60,64398,60.10
29-Dec-2011,91.50,93.00,90.15, 92.70,92.90,8326,7.69
28-Dec-2011,92.00,92.60,90.90, 92.50,92.30,3947,3.64
27-Dec-2011,94.50,94.50,91.50, 92.95,92.90,10744,9.94
26-Dec-2011,90.60,92.00,90.60, 91.00,91.75,8120,7.43
23-Dec-2011,90.25,92.50,90.00, 90.55,90.95,4965,4.53
22-Dec-2011,90.50,91.75,89.00, 90.05,90.25,13986,12.60
21-Dec-2011,91.00,93.95,89.00, 90.50,90.70,7893,7.15
20-Dec-2011,90.30,94.75,90.00, 90.00,90.20,7892,7.14
19-Dec-2011,93.00,95.70,89.30, 94.80,91.05,58228,52.72
16-Dec-2011,94.80,98.25,93.60, 94.70,93.90,33711,32.07
15-Dec-2011,96.05,98.00,91.50, 98.00,94.85,257976,243.02
14-Dec-2011,98.00,98.00,96.05, 96.20,96.45,13735,13.31
13-Dec-2011,97.00,99.00,97.00, 97.90,97.80,170274,166.92
12-Dec-2011,101.80,101.85,98.50, 98.50,99.00,5866,5.81
09-Dec-2011,98.00,100.50,98.00, 99.00,99.05,4671,4.63
08-Dec-2011,99.20,101.45,98.50, 98.55,98.70,3455,3.42
07-Dec-2011,101.00,102.35,99.55, 99.75,99.80,11846,11.86
05-Dec-2011,99.50,101.00,98.05, 100.35,100.45,26709,26.84
02-Dec-2011,99.85,101.00,99.65, 100.00,100.45,47354,47.39
01-Dec-2011,105.45,105.45,99.60, 99.85,100.25,41100,41.94
30-Nov-2011,101.50,104.40,99.65, 101.05,102.00,30307,30.89
29-Nov-2011,102.00,103.50,99.35, 103.00,102.30,8720,8.83
28-Nov-2011,101.00,101.95,99.00, 101.50,100.65,16853,16.93
25-Nov-2011,97.00,104.75,97.00, 99.00,99.45,29964,30.35
24-Nov-2011,98.50,99.95,97.05, 98.25,98.05,76960,75.44
23-Nov-2011,100.10,100.85,97.50, 98.65,98.90,22796,22.46
22-Nov-2011,101.65,101.65,99.05, 99.75,100.00,84453,84.44
21-Nov-2011,100.00,102.00,99.00, 100.00,99.90,51059,51.06
18-Nov-2011,101.00,102.85,99.10, 100.70,101.75,34898,35.20
17-Nov-2011,102.90,106.45,97.05, 104.00,102.70,210238,212.74
16-Nov-2011,100.60,104.00,98.00, 103.95,101.25,46893,46.81
15-Nov-2011,103.00,104.75,100.55, 101.50,101.30,11696,11.94
14-Nov-2011,105.10,105.85,103.10, 103.50,103.55,15424,16.05
11-Nov-2011,102.60,105.95,102.60, 104.80,104.40,45455,47.63
09-Nov-2011,106.55,107.40,103.10, 103.10,103.50,13904,14.59
08-Nov-2011,109.80,109.90,103.00, 107.05,106.55,47292,49.99
04-Nov-2011,109.65,109.65,107.05, 108.55,108.90,25145,27.32
03-Nov-2011,109.70,109.70,107.05, 107.80,107.65,9332,10.11
02-Nov-2011,108.00,109.45,107.25, 108.45,108.50,6010,6.49
01-Nov-2011,120.00,120.00,106.25, 109.50,109.40,32738,35.78
