Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,106.00,111.40,106.00, 111.00,110.60,20889,22.96
29-Dec-2011,106.00,110.00,105.20, 107.20,107.45,13132,14.19
28-Dec-2011,107.00,108.95,106.00, 107.80,107.40,6116,6.55
27-Dec-2011,105.50,109.30,104.25, 108.95,107.80,22021,23.35
26-Dec-2011,107.00,109.80,103.65, 106.60,105.95,81133,86.40
23-Dec-2011,86.00,104.00,86.00, 104.00,103.40,99820,100.92
22-Dec-2011,84.40,88.55,84.40, 85.95,86.70,2325,2.02
21-Dec-2011,85.55,87.95,84.55, 85.50,85.70,6043,5.16
20-Dec-2011,84.00,90.00,80.10, 87.50,85.30,20083,16.96
19-Dec-2011,86.00,87.00,82.60, 83.50,84.90,4888,4.15
16-Dec-2011,90.00,91.75,85.15, 85.15,87.15,3741,3.32
15-Dec-2011,91.60,92.10,88.60, 88.70,89.50,4021,3.64
14-Dec-2011,91.45,94.45,91.00, 92.50,92.75,10704,9.98
13-Dec-2011,102.90,102.90,90.55, 92.00,92.05,16641,15.54
12-Dec-2011,92.35,98.00,92.35, 93.50,93.30,34506,32.65
09-Dec-2011,92.00,94.55,91.10, 92.00,92.75,4106,3.79
08-Dec-2011,93.25,96.40,92.05, 92.05,92.90,4256,3.97
07-Dec-2011,95.00,96.95,94.05, 95.50,94.70,2168,2.07
05-Dec-2011,97.90,97.90,94.20, 94.20,94.95,10023,9.58
02-Dec-2011,97.00,97.00,91.75, 94.05,94.85,16028,15.04
01-Dec-2011,98.00,101.00,92.50, 93.05,93.65,8781,8.28
30-Nov-2011,92.15,95.50,92.15, 93.90,93.95,8696,8.17
29-Nov-2011,96.90,97.50,92.55, 93.50,93.35,23049,21.72
28-Nov-2011,96.50,103.70,96.00, 96.95,96.90,45349,45.50
25-Nov-2011,98.00,99.45,96.20, 96.20,96.75,61587,60.11
24-Nov-2011,109.00,110.00,91.85, 94.55,94.10,104391,100.33
23-Nov-2011,112.00,112.50,107.50, 109.50,109.70,57198,63.10
22-Nov-2011,108.00,113.00,108.00, 112.95,111.70,41348,45.93
21-Nov-2011,111.00,112.50,109.00, 110.00,110.10,29950,33.05
18-Nov-2011,117.90,119.00,111.35, 113.00,112.80,32570,37.50
17-Nov-2011,114.10,124.65,112.25, 116.00,114.20,27715,32.09
16-Nov-2011,107.00,114.50,106.50, 111.00,111.45,55089,60.77
15-Nov-2011,109.00,110.20,107.00, 109.45,108.10,8147,8.87
14-Nov-2011,111.00,112.00,107.10, 110.40,109.45,22898,25.06
11-Nov-2011,108.50,113.70,107.00, 111.00,109.85,32138,35.53
09-Nov-2011,105.85,112.00,105.85, 109.25,109.50,28098,30.67
08-Nov-2011,134.00,134.00,103.20, 106.00,106.30,168600,181.94
04-Nov-2011,95.10,116.80,95.10, 115.05,113.70,329054,361.56
03-Nov-2011,92.00,100.80,90.40, 96.95,97.30,14838,14.51
02-Nov-2011,90.40,94.00,90.40, 93.35,92.75,1703,1.58
01-Nov-2011,92.50,94.00,92.50, 93.15,93.30,871,0.81
31-Oct-2011,92.00,94.50,90.60, 93.90,93.05,1455,1.36
28-Oct-2011,92.20,94.80,92.05, 93.00,92.95,1636,1.52
26-Oct-2011,91.40,93.75,91.15, 92.00,91.75,1024,0.94
