Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
28-Dec-2011,47.00,47.00,47.00, 47.00,47.00,25,0.01
26-Dec-2011,52.00,52.00,49.00, 49.00,49.00,100,0.05
23-Dec-2011,51.30,51.30,51.30, 51.30,51.30,97,0.05
16-Dec-2011,54.00,54.00,54.00, 54.00,54.00,1,0.00
14-Dec-2011,54.00,54.00,54.00, 54.00,54.00,1,0.00
12-Dec-2011,54.00,54.00,54.00, 54.00,54.00,50,0.03
08-Dec-2011,51.70,56.95,51.70, 56.95,56.25,90,0.05
07-Dec-2011,55.10,55.10,52.35, 52.35,54.40,100,0.05
25-Nov-2011,62.50,62.50,62.50, 62.50,62.50,25,0.02
24-Nov-2011,60.00,60.00,59.50, 59.50,59.50,125,0.07
21-Nov-2011,60.25,65.00,60.25, 64.95,62.60,260,0.16
16-Nov-2011,63.00,63.00,63.00, 63.00,63.00,1,0.00
14-Nov-2011,65.95,65.95,65.95, 65.95,65.95,50,0.03
11-Nov-2011,66.00,66.00,63.25, 63.25,63.25,110,0.07
09-Nov-2011,66.45,66.45,66.45, 66.45,66.45,140,0.09
08-Nov-2011,69.95,69.95,69.95, 69.95,69.95,25,0.02
04-Nov-2011,69.10,69.10,69.10, 69.10,69.10,101,0.07
20-Oct-2011,67.00,72.95,67.00, 72.95,72.70,70,0.05
13-Oct-2011,69.55,69.55,69.55, 69.55,69.55,50,0.03
07-Oct-2011,72.00,72.00,72.00, 72.00,72.00,5,0.00
05-Oct-2011,72.15,72.15,72.15, 72.15,72.15,5,0.00
04-Oct-2011,71.05,71.05,71.05, 71.05,71.05,2,0.00
30-Sep-2011,71.25,71.25,71.05, 71.05,71.05,233,0.17
23-Sep-2011,73.00,73.00,71.10, 71.10,71.10,112,0.08
21-Sep-2011,80.00,80.00,74.10, 74.10,74.60,32,0.02
20-Sep-2011,78.00,78.00,78.00, 78.00,78.00,50,0.04
19-Sep-2011,77.65,77.65,77.65, 77.65,77.65,20,0.02
16-Sep-2011,68.60,73.95,68.60, 73.95,73.95,401,0.29
15-Sep-2011,72.00,72.00,72.00, 72.00,72.00,30,0.02
14-Sep-2011,72.00,72.00,72.00, 72.00,72.00,250,0.18
09-Sep-2011,69.50,71.00,69.50, 71.00,71.00,5,0.00
08-Sep-2011,73.50,73.50,68.05, 71.90,71.90,150,0.10
07-Sep-2011,70.00,73.00,70.00, 70.00,70.00,310,0.22
06-Sep-2011,75.00,75.00,71.50, 75.00,71.65,337,0.24
30-Aug-2011,75.05,75.05,75.05, 75.05,75.05,100,0.08
25-Aug-2011,79.00,79.00,79.00, 79.00,79.00,25,0.02
24-Aug-2011,77.90,77.90,77.90, 77.90,77.90,3,0.00
23-Aug-2011,76.70,76.70,76.70, 76.70,76.70,26,0.02
10-Aug-2011,82.00,83.30,82.00, 83.30,83.30,4,0.00
09-Aug-2011,79.10,85.45,79.00, 84.80,84.25,942,0.75
08-Aug-2011,81.30,84.40,81.25, 81.25,81.40,1214,0.99
05-Aug-2011,86.05,86.05,85.50, 85.50,85.50,291,0.25
04-Aug-2011,90.00,90.00,90.00, 90.00,90.00,3340,3.01
03-Aug-2011,88.00,90.00,88.00, 90.00,90.00,1461,1.30
27-Jul-2011,89.05,91.30,88.10, 91.30,91.30,850,0.76
25-Jul-2011,94.00,95.00,89.05, 89.05,89.05,973,0.91
22-Jul-2011,86.60,92.60,86.60, 92.60,92.60,5000,4.48
20-Jul-2011,96.30,96.45,88.20, 88.20,88.25,2005,1.85
19-Jul-2011,91.60,98.80,91.60, 92.00,92.00,1650,1.54
18-Jul-2011,93.50,98.50,92.00, 98.50,95.75,190,0.18
15-Jul-2011,92.50,96.45,92.00, 96.45,96.45,175,0.16
14-Jul-2011,92.00,92.00,92.00, 92.00,92.00,10,0.01
13-Jul-2011,89.00,90.50,89.00, 89.40,89.90,79,0.07
12-Jul-2011,90.00,90.00,89.90, 89.90,89.90,2,0.00
11-Jul-2011,93.30,93.45,93.30, 93.45,93.45,282,0.26
08-Jul-2011,89.00,89.00,89.00, 89.00,89.00,3,0.00
05-Jul-2011,96.00,96.00,87.30, 90.00,90.00,851,0.76
04-Jul-2011,100.00,100.00,96.90, 96.90,96.90,51,0.05
01-Jul-2011,95.70,95.70,83.25, 90.00,90.00,30,0.03
30-Jun-2011,96.00,96.00,81.05, 92.00,88.10,48,0.04
29-Jun-2011,97.75,97.75,84.00, 96.00,96.00,1004,0.91
23-Jun-2011,92.25,92.25,82.75, 82.75,82.75,800,0.70
22-Jun-2011,84.60,86.90,84.60, 86.90,86.90,2000,1.71
21-Jun-2011,86.00,90.00,86.00, 87.55,87.55,1003,0.88
20-Jun-2011,96.00,97.00,84.00, 90.00,90.00,454,0.40
14-Jun-2011,80.00,95.50,80.00, 85.50,85.50,32,0.03
10-Jun-2011,86.10,86.10,86.10, 86.10,86.10,1,0.00
09-Jun-2011,90.10,90.10,90.10, 90.10,90.10,30,0.03
06-Jun-2011,91.50,94.50,91.50, 94.50,94.50,1500,1.40
02-Jun-2011,91.20,91.20,91.20, 91.20,91.20,8,0.01
01-Jun-2011,88.00,99.00,88.00, 94.80,94.80,271,0.26
31-May-2011,91.15,97.50,89.50, 94.00,91.00,191,0.18
30-May-2011,87.00,98.95,87.00, 98.70,98.70,82,0.08
27-May-2011,90.00,104.00,90.00, 91.05,91.05,331,0.32
26-May-2011,90.00,94.00,90.00, 94.00,94.00,14,0.01
25-May-2011,90.50,92.05,90.50, 92.00,92.00,103,0.09
17-May-2011,93.00,99.00,91.00, 97.05,98.00,318,0.30
13-May-2011,104.00,104.00,89.90, 91.00,91.70,333,0.31
12-May-2011,94.00,105.00,94.00, 105.00,94.00,426,0.40
11-May-2011,92.00,102.00,92.00, 102.00,102.00,20,0.02
10-May-2011,94.50,99.90,94.00, 99.90,96.15,171,0.16
09-May-2011,96.50,96.50,91.15, 91.15,95.30,234,0.22
05-May-2011,96.25,108.00,96.25, 108.00,102.10,2,0.00
04-May-2011,97.50,105.00,97.50, 105.00,101.50,8,0.01
02-May-2011,111.50,111.50,96.00, 96.00,103.75,1000,1.04
29-Apr-2011,99.25,100.55,99.25, 100.55,100.55,1000,0.99
27-Apr-2011,101.20,101.20,99.05, 100.00,100.10,6,0.01
26-Apr-2011,99.00,109.00,99.00, 109.00,109.00,20,0.02
25-Apr-2011,105.00,105.00,103.00, 103.00,103.00,110,0.11
21-Apr-2011,96.00,109.40,96.00, 105.00,105.00,12,0.01
20-Apr-2011,101.10,104.95,101.10, 104.95,104.95,1000,1.03
19-Apr-2011,101.10,108.75,101.10, 101.35,102.00,171,0.18
18-Apr-2011,109.95,109.95,99.25, 109.85,105.85,3702,3.87
15-Apr-2011,108.65,108.65,101.20, 101.20,101.20,640,0.67
13-Apr-2011,105.70,105.70,100.50, 100.50,100.50,600,0.62
11-Apr-2011,103.00,106.95,98.50, 106.50,106.00,795,0.81
08-Apr-2011,108.25,108.25,100.25, 101.00,104.20,504,0.52
07-Apr-2011,108.70,109.00,100.80, 101.50,101.50,904,0.94
05-Apr-2011,102.00,102.00,101.00, 101.00,101.00,58,0.06
04-Apr-2011,104.00,104.00,104.00, 104.00,104.00,70,0.07
01-Apr-2011,104.50,104.50,95.60, 103.35,103.10,172,0.17
31-Mar-2011,97.00,100.30,97.00, 97.50,97.70,436,0.43
30-Mar-2011,100.00,109.30,100.00, 108.85,101.75,248,0.26
29-Mar-2011,99.00,116.70,99.00, 104.50,104.50,1081,1.21
28-Mar-2011,92.50,114.00,92.50, 100.00,111.75,1664,1.76
25-Mar-2011,86.00,104.00,86.00, 96.15,96.15,65,0.06
24-Mar-2011,92.50,104.80,92.50, 100.00,100.00,1877,1.87
23-Mar-2011,93.00,100.80,93.00, 95.05,95.05,3975,3.86
21-Mar-2011,93.00,97.75,92.00, 95.95,93.60,525,0.49
18-Mar-2011,93.25,102.80,93.25, 94.45,94.45,315,0.31
17-Mar-2011,93.25,102.75,93.25, 93.75,93.75,241,0.23
16-Mar-2011,94.30,99.60,94.30, 98.95,96.80,1150,1.11
15-Mar-2011,90.60,94.10,90.60, 94.05,94.05,308,0.29
14-Mar-2011,105.90,105.90,94.00, 100.40,100.40,870,0.85
10-Mar-2011,97.00,99.00,97.00, 97.10,97.10,505,0.49
09-Mar-2011,92.75,93.60,92.75, 93.60,93.60,105,0.10
08-Mar-2011,100.00,100.00,91.60, 97.95,95.05,2213,2.11
07-Mar-2011,95.00,96.90,91.00, 91.00,91.00,52,0.05
04-Mar-2011,94.45,98.70,93.60, 98.70,98.70,620,0.60
03-Mar-2011,92.05,99.40,92.05, 99.40,99.40,424,0.41
01-Mar-2011,99.80,99.80,93.50, 93.50,93.55,550,0.54
