Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
28-Dec-2011,15.00,15.30,15.00, 15.30,15.30,250,0.04
26-Dec-2011,14.70,14.70,14.70, 14.70,14.70,100,0.01
22-Dec-2011,14.00,14.00,14.00, 14.00,14.00,200,0.03
21-Dec-2011,14.35,14.35,13.25, 13.55,13.55,4200,0.57
20-Dec-2011,13.90,14.50,13.20, 13.70,13.70,722,0.10
19-Dec-2011,13.90,14.00,13.90, 13.90,13.90,1300,0.18
16-Dec-2011,15.75,15.75,14.55, 14.55,14.55,1004,0.15
15-Dec-2011,15.40,15.40,15.05, 15.05,15.05,500,0.08
14-Dec-2011,15.40,15.55,15.40, 15.50,15.50,615,0.10
13-Dec-2011,14.75,16.20,14.75, 16.20,16.20,1003,0.15
12-Dec-2011,15.80,15.80,15.05, 15.05,15.50,1456,0.23
09-Dec-2011,15.65,17.10,15.65, 15.80,15.80,280,0.04
08-Dec-2011,16.35,16.35,16.35, 16.35,16.35,200,0.03
07-Dec-2011,16.15,16.15,16.15, 16.15,16.15,33,0.01
01-Dec-2011,16.00,16.40,15.25, 16.35,16.35,1476,0.23
29-Nov-2011,15.25,16.10,15.25, 16.10,15.65,3232,0.49
28-Nov-2011,15.55,16.50,15.55, 16.50,16.05,1033,0.16
25-Nov-2011,16.70,16.75,16.10, 16.10,16.35,3502,0.58
24-Nov-2011,15.55,16.00,15.40, 16.00,16.00,3668,0.57
23-Nov-2011,16.20,16.25,16.00, 16.20,16.20,2800,0.45
22-Nov-2011,15.10,16.60,15.10, 15.60,15.45,6347,0.99
21-Nov-2011,15.85,15.85,15.85, 15.85,15.85,101,0.02
18-Nov-2011,16.65,16.65,16.65, 16.65,16.65,212,0.04
17-Nov-2011,18.70,18.70,17.50, 17.50,17.50,3330,0.60
16-Nov-2011,18.40,18.40,18.00, 18.35,18.40,31314,5.76
15-Nov-2011,17.50,17.50,17.50, 17.50,17.50,10890,1.91
14-Nov-2011,15.90,15.90,15.90, 15.90,15.90,1875,0.30
11-Nov-2011,14.45,14.45,13.05, 14.45,14.45,14221,2.03
09-Nov-2011,14.50,14.50,13.00, 13.10,13.10,1100,0.15
08-Nov-2011,13.40,13.50,13.40, 13.50,13.50,97,0.01
04-Nov-2011,12.05,13.25,12.05, 13.05,13.10,294,0.04
02-Nov-2011,13.05,13.60,12.60, 13.25,13.25,485,0.06
