Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,15.00,18.45,15.00, 15.75,15.75,940,0.15
29-Dec-2011,16.00,19.45,15.50, 16.05,16.00,23,0.00
28-Dec-2011,16.45,18.60,15.50, 18.05,17.35,466,0.07
27-Dec-2011,16.80,17.95,15.75, 16.20,16.45,1347,0.22
26-Dec-2011,15.10,16.95,15.10, 16.90,15.95,616,0.09
22-Dec-2011,16.10,16.10,16.00, 16.00,16.00,75,0.01
21-Dec-2011,16.50,17.00,15.15, 16.00,16.05,2788,0.44
20-Dec-2011,17.70,18.65,15.20, 18.65,18.35,3346,0.55
16-Dec-2011,15.05,19.95,15.00, 17.70,16.60,1033,0.17
15-Dec-2011,17.50,17.95,16.10, 17.95,17.05,567,0.10
14-Dec-2011,21.50,21.50,17.35, 18.55,18.15,880,0.17
13-Dec-2011,21.00,21.05,18.10, 18.10,18.10,70,0.01
12-Dec-2011,18.75,20.40,18.55, 18.55,18.75,1040,0.20
09-Dec-2011,20.90,20.90,18.50, 20.00,20.00,1564,0.30
08-Dec-2011,19.50,19.50,19.50, 19.50,19.50,8,0.00
07-Dec-2011,20.70,20.70,20.00, 20.30,20.30,892,0.18
05-Dec-2011,22.40,22.40,19.80, 20.25,19.90,2642,0.55
02-Dec-2011,21.50,22.00,19.75, 20.95,20.85,8819,1.89
30-Nov-2011,22.75,22.75,22.70, 22.70,22.70,84,0.02
29-Nov-2011,22.50,24.95,22.50, 22.60,23.60,1617,0.38
28-Nov-2011,25.50,25.50,21.90, 23.50,23.50,2001,0.49
25-Nov-2011,24.00,24.00,22.25, 22.25,22.25,1010,0.23
24-Nov-2011,21.00,22.00,21.00, 22.00,22.00,2,0.00
23-Nov-2011,28.95,28.95,20.55, 23.45,23.95,345,0.07
22-Nov-2011,29.90,29.90,21.75, 24.70,24.70,620,0.15
21-Nov-2011,27.00,27.00,24.00, 25.25,25.25,110,0.03
18-Nov-2011,24.70,28.00,24.20, 24.20,24.55,4490,1.15
17-Nov-2011,27.45,27.45,23.15, 25.20,24.65,142,0.04
16-Nov-2011,23.65,23.65,21.55, 23.05,23.40,294,0.07
15-Nov-2011,26.00,27.90,24.50, 26.25,25.85,24,0.01
14-Nov-2011,27.10,28.00,25.80, 27.95,27.95,306,0.08
11-Nov-2011,27.00,28.90,27.00, 27.60,27.60,581,0.16
09-Nov-2011,34.00,34.00,27.90, 27.90,27.90,1471,0.42
04-Nov-2011,28.60,30.00,28.50, 30.00,30.00,50,0.01
02-Nov-2011,26.85,31.60,26.20, 28.50,28.50,332,0.10
01-Nov-2011,26.90,29.95,26.90, 29.00,29.00,102,0.03
31-Oct-2011,28.40,30.00,28.35, 29.10,29.10,201,0.06
26-Oct-2011,30.95,31.00,30.95, 31.00,31.00,5104,1.58
25-Oct-2011,27.20,29.40,25.60, 28.50,28.50,303,0.08
24-Oct-2011,27.80,27.80,27.80, 27.80,27.80,20,0.01
21-Oct-2011,28.55,29.00,28.00, 28.70,28.90,839,0.24
20-Oct-2011,28.10,28.10,28.05, 28.10,28.05,74,0.02
19-Oct-2011,27.65,28.65,27.60, 28.60,28.60,52,0.01
17-Oct-2011,28.40,28.40,28.40, 28.40,28.40,4,0.00
14-Oct-2011,31.00,31.00,29.00, 29.30,29.30,1191,0.35
13-Oct-2011,28.15,28.15,28.10, 28.10,28.10,60,0.02
10-Oct-2011,27.95,30.15,27.95, 28.70,28.95,7,0.00
05-Oct-2011,26.05,32.70,26.05, 29.05,29.05,4,0.00
03-Oct-2011,28.25,28.85,28.20, 28.25,28.25,507,0.15
30-Sep-2011,29.05,31.65,28.35, 29.75,28.85,2330,0.67
29-Sep-2011,28.75,28.75,28.70, 28.70,28.75,7,0.00
28-Sep-2011,27.50,33.45,27.50, 28.40,29.35,1458,0.43
26-Sep-2011,30.00,30.00,30.00, 30.00,30.00,25,0.01
23-Sep-2011,29.15,29.15,29.15, 29.15,29.15,5,0.00
22-Sep-2011,30.10,30.15,30.10, 30.10,30.10,235,0.07
20-Sep-2011,31.00,32.00,30.50, 32.00,32.00,841,0.27
19-Sep-2011,31.95,31.95,31.00, 31.60,31.60,398,0.13
15-Sep-2011,31.95,31.95,31.95, 31.95,31.95,15,0.00
14-Sep-2011,29.40,30.40,29.25, 29.25,29.50,350,0.10
13-Sep-2011,29.20,32.95,29.20, 30.40,31.45,10221,3.18
12-Sep-2011,31.80,31.85,28.20, 31.85,31.65,314,0.10
09-Sep-2011,30.05,30.05,28.75, 30.00,30.00,670,0.20
08-Sep-2011,29.95,30.00,29.00, 30.00,29.85,1947,0.58
07-Sep-2011,29.95,29.95,28.20, 28.20,28.90,1457,0.42
06-Sep-2011,29.45,29.95,29.45, 29.95,29.95,350,0.10
05-Sep-2011,29.90,29.90,27.30, 29.45,29.45,56,0.02
02-Sep-2011,29.85,29.90,29.65, 29.90,29.90,250,0.07
30-Aug-2011,33.45,33.45,26.15, 29.85,29.30,2089,0.61
29-Aug-2011,29.50,30.00,29.50, 30.00,30.00,2,0.00
26-Aug-2011,28.50,28.50,28.50, 28.50,28.50,10,0.00
25-Aug-2011,29.95,29.95,29.05, 29.95,29.50,77,0.02
24-Aug-2011,29.20,30.75,29.00, 30.00,29.95,1628,0.48
23-Aug-2011,30.50,30.50,29.70, 29.70,29.70,351,0.11
22-Aug-2011,29.70,29.95,28.00, 28.50,28.65,894,0.26
19-Aug-2011,32.00,32.00,29.70, 29.70,29.70,6994,2.14
18-Aug-2011,30.60,30.60,30.50, 30.50,30.55,300,0.09
17-Aug-2011,37.50,37.50,32.15, 33.00,32.20,3595,1.19
12-Aug-2011,35.00,35.90,35.00, 35.90,35.90,400,0.14
11-Aug-2011,35.00,36.45,34.10, 34.10,36.45,15213,5.40
10-Aug-2011,33.05,35.45,33.05, 34.00,34.25,1040,0.35
09-Aug-2011,35.00,35.00,34.00, 34.55,34.55,1842,0.64
08-Aug-2011,37.00,38.50,36.50, 37.00,37.30,5295,1.97
05-Aug-2011,30.40,38.70,30.40, 37.50,37.15,6518,2.31
04-Aug-2011,40.00,40.00,35.90, 36.00,36.00,56,0.02
03-Aug-2011,36.75,41.70,36.75, 36.80,36.80,4151,1.53
01-Aug-2011,37.00,37.00,35.30, 36.75,36.75,237,0.09
29-Jul-2011,37.45,37.45,35.05, 36.95,35.65,299,0.11
28-Jul-2011,39.50,39.50,35.75, 38.85,38.90,734,0.27
26-Jul-2011,38.00,38.25,38.00, 38.25,38.05,200,0.08
25-Jul-2011,35.30,39.00,35.30, 38.00,37.95,1443,0.54
20-Jul-2011,36.80,38.50,36.80, 37.50,37.50,1103,0.42
19-Jul-2011,36.60,37.50,36.60, 37.00,37.00,309,0.11
18-Jul-2011,36.25,38.40,36.25, 36.50,37.50,1338,0.50
15-Jul-2011,37.00,37.40,36.10, 36.10,36.60,954,0.35
14-Jul-2011,37.00,37.50,37.00, 37.00,37.00,377,0.14
13-Jul-2011,38.00,39.30,36.85, 38.55,38.55,3314,1.26
12-Jul-2011,34.25,38.60,34.25, 37.50,36.10,5302,1.95
11-Jul-2011,35.25,38.80,33.15, 36.60,36.60,2970,1.11
08-Jul-2011,40.00,40.00,37.30, 37.60,37.60,8375,3.29
07-Jul-2011,37.50,37.50,37.50, 37.50,37.50,100,0.04
06-Jul-2011,38.95,39.20,37.50, 39.20,38.35,4,0.00
05-Jul-2011,38.00,38.00,38.00, 38.00,38.00,200,0.08
04-Jul-2011,37.00,38.95,37.00, 37.40,37.40,2001,0.76
01-Jul-2011,37.10,37.50,37.10, 37.50,37.50,553,0.21
30-Jun-2011,37.50,39.15,37.50, 37.60,37.60,28,0.01
29-Jun-2011,39.50,39.50,37.35, 37.35,37.40,653,0.25
28-Jun-2011,41.75,41.75,37.00, 38.90,38.90,4040,1.53
27-Jun-2011,37.55,39.75,37.55, 39.75,39.75,513,0.20
24-Jun-2011,45.00,45.00,37.05, 39.00,38.80,18,0.01
23-Jun-2011,36.55,38.90,36.55, 38.90,38.90,56,0.02
22-Jun-2011,38.00,39.00,36.05, 39.00,38.70,452,0.17
20-Jun-2011,37.00,37.00,37.00, 37.00,37.00,1,0.00
17-Jun-2011,36.00,39.50,36.00, 38.10,39.00,2412,0.94
16-Jun-2011,37.00,39.65,36.00, 38.85,37.70,264,0.10
15-Jun-2011,38.00,40.95,38.00, 38.00,38.00,361,0.14
14-Jun-2011,38.00,40.45,38.00, 38.55,38.55,301,0.12
13-Jun-2011,38.00,39.90,38.00, 39.90,39.40,2601,1.02
09-Jun-2011,40.50,40.50,38.60, 40.00,39.15,229,0.09
08-Jun-2011,39.00,40.00,39.00, 40.00,39.70,2848,1.13
07-Jun-2011,38.00,38.00,38.00, 38.00,38.00,100,0.04
03-Jun-2011,42.45,42.50,37.20, 37.50,37.50,475,0.19
02-Jun-2011,38.25,38.70,37.00, 38.50,38.20,4307,1.64
01-Jun-2011,37.00,38.45,36.05, 37.25,36.65,357,0.13
27-May-2011,36.50,37.00,36.50, 36.50,36.50,1276,0.47
26-May-2011,38.00,38.00,36.05, 36.05,36.05,132,0.05
25-May-2011,35.70,39.00,35.70, 39.00,39.00,3,0.00
24-May-2011,37.50,37.50,36.20, 36.20,36.85,1076,0.40
23-May-2011,35.25,39.00,35.25, 39.00,39.00,3162,1.22
20-May-2011,37.00,39.70,36.60, 39.70,39.15,3570,1.37
19-May-2011,38.10,38.10,37.60, 37.60,37.60,130,0.05
18-May-2011,37.80,39.40,36.00, 37.00,38.55,4906,1.90
17-May-2011,39.95,39.95,37.85, 37.85,37.85,1751,0.66
16-May-2011,35.70,38.50,35.70, 38.50,38.30,464,0.18
13-May-2011,36.80,37.10,36.00, 36.00,36.30,1261,0.46
12-May-2011,36.95,36.95,36.00, 36.00,36.00,2322,0.84
11-May-2011,37.00,37.80,37.00, 37.00,37.00,136,0.05
10-May-2011,37.95,38.00,37.00, 38.00,37.55,3199,1.20
09-May-2011,35.10,35.80,35.10, 35.80,35.80,53,0.02
06-May-2011,35.55,38.25,35.55, 36.00,36.00,640,0.23
05-May-2011,36.50,37.90,36.00, 36.00,36.35,229,0.08
04-May-2011,35.15,36.15,35.10, 36.15,36.15,385,0.14
03-May-2011,38.10,38.10,36.05, 36.05,36.05,115,0.04
02-May-2011,36.05,37.95,36.05, 36.30,36.30,5,0.00
29-Apr-2011,38.95,39.00,36.50, 36.50,36.50,4909,1.88
28-Apr-2011,37.05,38.70,37.05, 37.40,38.00,658,0.25
27-Apr-2011,38.00,38.05,37.85, 37.85,37.85,1469,0.56
26-Apr-2011,38.55,38.95,37.10, 37.70,38.00,2493,0.95
25-Apr-2011,39.40,39.40,37.80, 38.00,38.00,1101,0.42
21-Apr-2011,38.85,38.85,37.95, 38.00,38.05,7278,2.77
20-Apr-2011,39.85,39.85,37.35, 38.00,38.00,5303,2.02
19-Apr-2011,37.50,39.85,37.50, 37.90,37.90,2243,0.85
18-Apr-2011,39.80,39.80,38.20, 39.40,39.40,2129,0.82
15-Apr-2011,37.00,40.50,37.00, 38.50,39.80,349,0.14
13-Apr-2011,38.25,38.35,38.25, 38.35,38.35,2,0.00
11-Apr-2011,38.95,39.40,36.45, 38.00,38.00,996,0.38
08-Apr-2011,38.50,39.95,38.50, 38.50,38.50,554,0.21
07-Apr-2011,41.00,41.00,38.60, 38.60,38.80,4103,1.60
06-Apr-2011,38.50,39.50,38.50, 39.50,39.50,4880,1.89
05-Apr-2011,38.50,39.00,38.00, 38.80,38.60,3691,1.42
04-Apr-2011,38.80,38.80,36.70, 37.90,37.90,1762,0.68
01-Apr-2011,35.15,35.40,35.15, 35.30,35.35,300,0.11
31-Mar-2011,35.50,35.50,34.65, 34.65,34.65,2084,0.72
30-Mar-2011,34.50,35.95,34.45, 35.90,35.90,525,0.18
29-Mar-2011,34.50,35.50,33.40, 35.00,34.45,1225,0.42
28-Mar-2011,34.20,34.85,34.00, 34.10,34.40,1284,0.44
25-Mar-2011,33.75,34.50,33.65, 34.50,34.50,1052,0.35
24-Mar-2011,34.00,35.20,33.40, 34.30,33.70,1608,0.54
23-Mar-2011,34.20,35.95,33.00, 33.70,34.00,3689,1.25
22-Mar-2011,34.00,39.75,34.00, 36.90,35.00,13362,5.01
18-Mar-2011,37.10,37.50,35.50, 36.00,35.90,7231,2.65
17-Mar-2011,36.00,37.00,36.00, 37.00,37.00,150,0.05
16-Mar-2011,38.95,38.95,38.95, 38.95,38.95,100,0.04
15-Mar-2011,36.05,36.05,36.05, 36.05,36.05,14,0.01
14-Mar-2011,37.00,38.00,36.50, 36.50,36.70,1110,0.42
11-Mar-2011,38.00,40.85,37.00, 37.00,37.15,19650,7.65
10-Mar-2011,37.90,38.00,37.00, 38.00,38.00,5500,2.09
09-Mar-2011,37.00,38.90,37.00, 38.35,37.85,690,0.26
08-Mar-2011,36.40,37.90,36.00, 36.00,36.60,509,0.19
07-Mar-2011,38.10,39.50,36.20, 36.40,36.65,882,0.33
04-Mar-2011,38.60,40.00,38.60, 39.50,39.65,1412,0.56
03-Mar-2011,39.00,39.85,36.70, 37.50,37.40,3707,1.41
01-Mar-2011,36.00,40.90,36.00, 38.00,38.00,1553,0.61
28-Feb-2011,39.95,39.95,37.25, 37.45,37.45,605,0.24
24-Feb-2011,38.25,38.25,38.00, 38.00,38.00,1125,0.43
23-Feb-2011,39.00,42.45,38.15, 39.00,39.00,8132,3.20
22-Feb-2011,42.50,42.50,39.50, 39.50,39.55,4713,1.95
21-Feb-2011,37.50,43.50,37.50, 40.50,40.50,6420,2.62
18-Feb-2011,43.90,44.10,40.05, 41.85,40.85,9498,4.03
17-Feb-2011,43.00,43.00,40.00, 41.15,41.20,4355,1.81
16-Feb-2011,41.00,41.85,41.00, 41.45,41.50,700,0.29
15-Feb-2011,41.50,43.50,39.15, 41.05,41.05,615,0.26
14-Feb-2011,41.00,41.50,41.00, 41.50,41.50,142,0.06
11-Feb-2011,35.00,39.95,35.00, 38.95,38.95,1166,0.43
10-Feb-2011,35.20,37.45,35.00, 36.95,36.90,2663,0.95
09-Feb-2011,38.05,38.05,38.00, 38.00,38.00,1014,0.39
08-Feb-2011,38.50,40.60,38.00, 40.35,39.40,629,0.24
07-Feb-2011,41.00,41.50,39.50, 39.50,39.50,1052,0.42
04-Feb-2011,41.10,42.45,39.50, 39.55,40.00,565,0.23
03-Feb-2011,41.00,41.10,38.60, 38.60,39.40,2110,0.85
02-Feb-2011,41.70,44.95,40.50, 40.50,40.50,747,0.31
01-Feb-2011,45.25,45.25,43.10, 43.10,43.20,584,0.26
31-Jan-2011,46.00,47.50,45.00, 45.00,45.00,501,0.23
28-Jan-2011,46.50,48.50,45.00, 45.25,45.25,8051,3.80
27-Jan-2011,48.45,49.50,45.10, 49.50,49.50,251,0.12
25-Jan-2011,48.00,48.90,45.80, 46.00,46.10,1180,0.55
24-Jan-2011,47.00,50.50,47.00, 50.50,49.75,11,0.01
21-Jan-2011,45.25,48.50,45.25, 48.40,47.40,331,0.16
20-Jan-2011,46.15,48.50,46.05, 46.25,46.25,731,0.34
19-Jan-2011,44.70,48.85,44.70, 48.85,48.85,528,0.24
18-Jan-2011,47.30,47.35,47.30, 47.30,47.30,184,0.09
17-Jan-2011,48.00,48.00,48.00, 48.00,48.00,828,0.40
14-Jan-2011,51.05,54.90,48.00, 48.00,49.05,1434,0.72
13-Jan-2011,51.25,52.75,51.00, 51.00,51.40,1074,0.55
12-Jan-2011,50.50,50.50,49.05, 49.50,49.15,368,0.18
11-Jan-2011,56.85,56.85,50.05, 50.05,50.20,961,0.49
10-Jan-2011,51.00,56.95,49.75, 50.15,50.15,521,0.27
07-Jan-2011,55.70,55.95,53.00, 53.00,53.00,298,0.16
06-Jan-2011,57.45,57.45,53.75, 53.75,53.75,201,0.11
05-Jan-2011,56.00,56.00,54.15, 54.35,54.20,659,0.36
04-Jan-2011,56.00,56.45,54.55, 56.45,56.45,219,0.12
03-Jan-2011,55.50,55.75,55.00, 55.75,55.75,858,0.48
