Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,346.15,349.80,343.05, 349.40,346.60,41888,144.67
29-Dec-2011,349.00,349.95,345.00, 345.10,346.35,16663,58.00
28-Dec-2011,347.00,350.00,345.65, 349.55,349.00,27230,94.74
27-Dec-2011,349.00,350.40,345.25, 348.50,349.00,21556,75.30
26-Dec-2011,348.00,349.40,345.00, 348.80,348.15,34018,118.31
23-Dec-2011,356.75,356.75,344.10, 344.10,345.30,44989,156.66
22-Dec-2011,349.00,352.80,345.10, 350.90,350.35,72612,253.65
21-Dec-2011,359.90,359.90,346.00, 349.00,347.85,63577,222.29
20-Dec-2011,355.55,355.55,350.10, 350.75,351.25,54781,192.94
19-Dec-2011,362.00,362.00,353.10, 354.00,355.55,183806,656.82
16-Dec-2011,368.00,372.90,362.00, 365.00,363.90,31619,116.62
15-Dec-2011,368.00,368.00,363.80, 367.90,366.95,15253,55.82
14-Dec-2011,369.70,371.50,366.70, 367.90,367.10,27196,100.14
13-Dec-2011,372.00,372.00,366.00, 366.95,367.90,46354,170.93
12-Dec-2011,379.00,380.85,367.30, 368.05,370.15,33255,124.10
09-Dec-2011,382.50,384.90,375.60, 379.00,378.95,53953,204.40
08-Dec-2011,384.50,387.70,379.50, 380.65,380.20,39336,150.61
07-Dec-2011,389.00,391.45,384.60, 386.85,385.70,61004,237.01
05-Dec-2011,390.00,392.90,387.05, 390.95,390.75,58777,229.76
02-Dec-2011,386.00,393.95,385.60, 386.25,390.30,87776,341.66
01-Dec-2011,400.00,400.00,388.10, 391.00,391.25,61411,241.11
30-Nov-2011,383.50,396.85,382.05, 395.00,394.65,118678,462.88
29-Nov-2011,386.00,390.40,382.05, 386.00,386.65,66159,255.41
28-Nov-2011,394.00,394.00,372.00, 384.50,385.55,94022,360.35
25-Nov-2011,365.00,375.85,360.15, 374.00,374.05,84597,313.17
24-Nov-2011,360.00,367.90,349.00, 366.80,365.60,93344,337.22
23-Nov-2011,355.50,361.00,355.00, 356.60,357.45,53053,189.84
22-Nov-2011,366.80,371.00,359.00, 361.10,361.00,109872,396.82
21-Nov-2011,373.00,373.00,365.35, 366.00,366.80,25858,95.26
18-Nov-2011,374.00,375.00,370.00, 372.55,372.20,29669,110.32
17-Nov-2011,375.00,377.00,373.50, 376.50,374.60,20984,78.71
16-Nov-2011,379.10,379.10,373.00, 379.00,377.25,24861,93.32
15-Nov-2011,378.00,382.05,375.65, 376.00,377.05,24463,92.72
14-Nov-2011,389.00,389.00,377.00, 378.90,378.45,54185,206.82
11-Nov-2011,364.75,385.00,364.75, 382.20,381.20,32311,123.08
09-Nov-2011,389.00,395.05,386.00, 387.75,388.85,31838,123.90
08-Nov-2011,399.00,399.80,392.50, 393.10,393.25,18420,72.63
04-Nov-2011,399.95,399.95,395.00, 396.80,397.50,546476,2159.75
03-Nov-2011,392.00,398.90,388.50, 395.50,395.00,65938,260.98
02-Nov-2011,389.00,397.10,388.30, 390.00,390.85,173189,681.08
01-Nov-2011,398.00,401.95,380.00, 388.15,388.95,365261,1399.32
31-Oct-2011,388.80,397.00,384.50, 395.20,395.15,57182,224.05
28-Oct-2011,380.50,389.00,379.35, 388.00,387.80,64377,247.27
26-Oct-2011,374.95,378.60,374.00, 377.50,377.35,17978,67.72
25-Oct-2011,368.05,376.00,368.05, 372.50,372.05,30948,115.55
24-Oct-2011,372.80,375.90,368.00, 368.05,368.55,20124,74.76
21-Oct-2011,372.30,375.00,370.80, 372.30,372.80,17239,64.25
20-Oct-2011,372.65,376.15,370.35, 372.15,371.95,41993,156.81
19-Oct-2011,372.00,376.85,371.50, 373.90,372.15,27413,102.32
18-Oct-2011,375.00,376.00,369.05, 370.05,370.35,20456,75.87
17-Oct-2011,365.00,379.40,365.00, 373.55,375.60,75904,284.31
14-Oct-2011,366.00,369.45,366.00, 367.00,367.70,20312,74.74
13-Oct-2011,368.50,371.40,366.00, 366.00,367.50,32151,118.41
12-Oct-2011,366.80,369.00,362.15, 367.85,367.35,54893,201.60
11-Oct-2011,364.00,367.00,362.00, 366.00,365.30,50978,185.90
10-Oct-2011,363.45,380.00,357.60, 360.00,360.20,641882,2389.68
07-Oct-2011,365.00,380.00,352.65, 364.10,363.45,1418488,5366.54
05-Oct-2011,368.95,368.95,360.00, 360.40,361.15,19819,71.95
04-Oct-2011,369.25,369.60,359.05, 363.90,362.40,32169,116.76
03-Oct-2011,367.40,371.40,367.40, 370.25,369.25,20950,77.37
30-Sep-2011,370.00,394.90,352.65, 372.00,375.30,54835,205.05
29-Sep-2011,366.00,367.95,362.05, 366.00,366.10,18866,69.09
28-Sep-2011,366.50,369.70,365.30, 366.00,366.50,21760,79.95
27-Sep-2011,370.00,376.00,362.35, 366.00,366.25,98741,361.95
26-Sep-2011,382.10,385.60,364.10, 366.10,366.20,58722,218.11
23-Sep-2011,380.00,389.00,372.40, 382.80,381.70,209155,797.45
22-Sep-2011,370.00,394.90,366.00, 380.40,380.05,298938,1125.25
21-Sep-2011,374.50,374.50,370.50, 372.00,371.85,68384,254.54
20-Sep-2011,370.00,372.50,366.00, 372.00,371.45,98497,365.16
19-Sep-2011,365.00,368.90,358.30, 367.00,368.05,83486,305.75
16-Sep-2011,370.00,370.00,353.35, 361.60,361.15,172422,618.49
15-Sep-2011,365.00,365.00,354.15, 362.00,360.15,100230,358.47
14-Sep-2011,368.00,368.00,354.00, 358.25,359.55,112753,405.45
13-Sep-2011,374.00,374.00,360.00, 363.00,363.10,97140,355.13
12-Sep-2011,375.00,375.00,366.65, 367.90,368.70,109011,402.68
09-Sep-2011,370.00,377.70,368.10, 377.00,376.35,155539,578.77
08-Sep-2011,376.00,376.00,364.80, 369.00,369.20,93627,344.87
07-Sep-2011,362.10,374.95,362.10, 374.00,374.10,113224,422.19
06-Sep-2011,371.60,371.60,359.20, 365.10,366.10,115125,418.27
05-Sep-2011,370.00,378.40,362.60, 369.00,371.60,82336,307.56
02-Sep-2011,371.75,377.00,367.40, 377.00,374.30,88581,330.34
30-Aug-2011,365.50,374.00,364.40, 370.80,371.75,160005,589.92
29-Aug-2011,358.95,366.00,350.10, 365.95,363.85,157523,561.24
26-Aug-2011,374.60,376.40,347.45, 348.05,349.90,88209,311.19
25-Aug-2011,380.00,380.00,355.20, 360.00,360.60,96447,349.79
24-Aug-2011,381.00,381.00,372.00, 376.40,375.50,78698,295.09
23-Aug-2011,362.15,380.00,357.10, 375.00,376.55,118926,433.77
22-Aug-2011,351.95,368.50,346.10, 368.50,362.15,134749,470.79
19-Aug-2011,341.10,353.90,332.40, 353.00,352.70,183070,637.83
18-Aug-2011,362.00,363.00,350.40, 357.75,356.75,150861,533.67
17-Aug-2011,376.00,378.00,360.35, 361.00,362.75,148059,543.88
16-Aug-2011,383.00,386.00,371.10, 375.25,375.70,130069,489.39
12-Aug-2011,389.95,394.00,375.00, 380.00,380.05,147674,558.02
11-Aug-2011,390.00,390.00,361.70, 379.00,379.50,117893,446.74
10-Aug-2011,387.00,400.00,386.10, 388.00,387.95,88583,345.07
09-Aug-2011,385.00,387.50,376.00, 386.00,385.15,146439,561.55
08-Aug-2011,395.00,395.00,384.00, 390.00,389.65,114576,445.63
05-Aug-2011,393.10,399.00,392.10, 398.80,397.40,68176,269.63
04-Aug-2011,391.30,404.50,391.30, 399.95,399.35,31073,124.49
03-Aug-2011,410.00,410.00,397.10, 399.00,399.65,33653,134.63
02-Aug-2011,401.10,409.00,401.10, 403.95,403.85,22573,91.20
01-Aug-2011,406.00,417.00,405.00, 407.00,407.15,45278,185.43
29-Jul-2011,415.00,424.80,407.00, 413.00,411.45,39175,162.09
28-Jul-2011,427.00,429.95,418.00, 420.00,419.35,208916,886.52
27-Jul-2011,426.10,433.00,426.10, 430.90,430.45,134494,578.44
26-Jul-2011,431.05,431.25,420.50, 430.60,430.35,78630,336.43
25-Jul-2011,421.00,436.95,421.00, 431.00,431.10,125669,539.91
22-Jul-2011,416.50,427.80,416.50, 427.50,426.95,61828,263.11
21-Jul-2011,421.80,424.00,413.10, 422.00,421.75,57144,239.59
20-Jul-2011,397.45,435.00,397.45, 431.00,430.85,49653,214.89
19-Jul-2011,426.95,435.00,423.10, 431.00,431.05,89085,383.60
18-Jul-2011,422.00,425.75,420.50, 425.60,425.20,128405,545.17
15-Jul-2011,420.60,424.20,419.50, 420.35,420.05,92223,389.38
14-Jul-2011,423.90,423.90,419.35, 420.10,420.35,98448,414.93
13-Jul-2011,417.40,426.45,417.40, 426.05,425.15,181363,764.94
12-Jul-2011,421.00,423.95,415.00, 415.05,416.45,88504,370.82
11-Jul-2011,420.00,428.50,418.00, 425.00,423.70,57818,244.18
08-Jul-2011,418.50,421.40,416.05, 420.45,420.20,39910,167.48
07-Jul-2011,420.00,420.00,415.50, 418.40,417.90,26394,110.18
06-Jul-2011,415.80,420.00,413.75, 415.00,415.95,39530,165.07
05-Jul-2011,411.50,419.70,410.00, 418.00,415.85,38761,161.20
04-Jul-2011,406.15,413.15,405.00, 411.55,410.75,24294,99.45
01-Jul-2011,404.50,410.00,404.10, 406.00,405.95,28687,116.70
30-Jun-2011,406.00,407.50,404.90, 405.05,405.10,35553,144.15
29-Jun-2011,402.10,406.00,400.25, 406.00,405.60,48489,195.95
28-Jun-2011,401.00,405.00,399.80, 400.00,400.15,54810,219.92
27-Jun-2011,401.00,402.90,393.00, 400.00,400.30,41256,164.97
24-Jun-2011,393.25,397.90,389.00, 396.00,396.00,29239,115.47
23-Jun-2011,383.10,391.55,382.00, 390.50,390.10,34783,135.23
22-Jun-2011,390.00,397.90,388.30, 391.00,390.15,42124,164.49
21-Jun-2011,399.00,400.00,382.70, 386.00,386.75,57061,224.15
20-Jun-2011,404.00,404.90,395.00, 396.70,396.90,37630,149.74
17-Jun-2011,390.00,406.80,390.00, 403.00,403.20,16530,66.67
16-Jun-2011,401.10,409.00,401.00, 405.00,404.90,23387,95.00
15-Jun-2011,415.25,415.25,405.15, 405.35,406.45,21305,87.17
14-Jun-2011,412.00,413.90,410.55, 412.00,412.10,25645,105.78
13-Jun-2011,410.55,414.00,410.00, 412.00,412.05,17610,72.39
10-Jun-2011,414.95,416.00,410.00, 413.00,413.50,23810,98.29
09-Jun-2011,410.00,415.00,410.00, 413.55,414.20,28232,116.92
08-Jun-2011,411.00,416.50,411.00, 413.50,413.55,21769,89.98
07-Jun-2011,410.00,413.50,410.00, 413.50,412.20,42136,173.49
06-Jun-2011,414.00,414.00,410.30, 410.55,411.05,19012,78.31
03-Jun-2011,415.00,415.00,410.10, 412.50,413.15,17863,73.83
02-Jun-2011,409.00,414.50,409.00, 412.00,412.75,26670,109.96
01-Jun-2011,411.10,414.50,410.00, 412.00,412.75,41333,170.62
31-May-2011,406.40,413.00,406.40, 411.00,411.40,25590,105.10
30-May-2011,410.00,414.50,407.75, 410.00,410.15,17084,70.22
27-May-2011,398.00,411.50,398.00, 409.00,409.30,39118,160.04
26-May-2011,408.00,409.80,398.00, 402.30,402.45,50991,204.54
25-May-2011,410.00,413.00,405.05, 405.50,405.90,68352,279.67
24-May-2011,418.75,418.75,411.10, 411.85,413.15,30837,127.89
23-May-2011,419.95,422.95,413.70, 416.00,415.15,34412,143.13
20-May-2011,410.00,426.90,410.00, 422.90,421.90,337306,1425.97
19-May-2011,414.00,417.90,413.10, 414.00,414.05,15752,65.37
18-May-2011,418.25,421.95,413.00, 413.00,413.80,14998,62.28
17-May-2011,420.00,422.00,412.60, 420.00,418.45,78988,329.00
16-May-2011,422.50,422.50,415.05, 417.00,418.40,19689,82.35
13-May-2011,415.50,425.00,412.10, 421.50,421.80,35982,151.53
12-May-2011,424.00,424.00,413.00, 414.35,414.40,14655,61.23
11-May-2011,420.05,425.00,418.30, 425.00,421.65,50997,215.06
10-May-2011,417.15,422.80,415.00, 421.50,420.05,23619,98.91
09-May-2011,420.00,424.90,415.25, 417.10,417.75,31207,130.92
06-May-2011,412.95,426.00,407.75, 425.50,419.40,67391,280.62
05-May-2011,413.10,416.90,410.00, 410.00,411.15,22569,93.06
04-May-2011,413.00,420.00,406.75, 416.00,416.90,30025,124.39
03-May-2011,409.00,414.90,404.00, 411.00,412.80,63146,258.75
02-May-2011,414.90,414.90,408.05, 411.05,410.70,25608,105.05
29-Apr-2011,420.00,420.35,410.00, 411.00,410.60,25857,107.11
28-Apr-2011,418.50,422.80,416.00, 417.10,419.25,22333,93.63
27-Apr-2011,419.00,423.00,415.10, 415.40,416.10,22508,94.05
26-Apr-2011,425.05,426.50,418.10, 420.00,419.90,77589,326.55
25-Apr-2011,425.05,428.00,422.00, 425.00,425.20,27194,115.65
21-Apr-2011,416.00,429.30,416.00, 424.00,425.05,76010,322.57
20-Apr-2011,415.90,418.25,414.80, 417.50,416.35,17872,74.42
19-Apr-2011,418.00,418.40,411.20, 412.10,412.60,19743,81.82
18-Apr-2011,424.90,424.90,415.00, 415.05,415.60,18654,78.10
15-Apr-2011,420.00,423.40,415.00, 422.00,421.10,33310,139.88
13-Apr-2011,415.05,423.50,412.05, 420.50,422.15,38220,160.67
11-Apr-2011,419.90,419.90,415.00, 417.00,417.75,29961,125.09
08-Apr-2011,403.90,427.00,403.90, 418.00,417.60,23482,98.46
07-Apr-2011,429.00,429.00,421.00, 423.50,422.95,26559,112.39
06-Apr-2011,423.85,431.70,418.30, 423.10,421.70,63820,270.40
05-Apr-2011,410.00,421.00,409.00, 420.00,420.30,84397,351.92
04-Apr-2011,404.00,414.00,401.00, 412.00,411.80,54136,221.86
01-Apr-2011,402.00,404.35,400.00, 404.25,403.25,18375,73.88
31-Mar-2011,404.10,407.00,396.75, 397.00,399.05,21260,85.42
30-Mar-2011,404.95,408.60,402.00, 402.20,403.45,24084,97.59
29-Mar-2011,409.95,412.00,401.25, 402.00,403.35,44718,182.11
28-Mar-2011,404.00,415.00,401.10, 407.00,406.20,94124,385.43
25-Mar-2011,404.00,405.75,398.15, 403.45,403.15,47040,189.34
24-Mar-2011,400.00,413.20,396.00, 400.60,401.70,214835,873.73
23-Mar-2011,396.00,399.00,390.60, 398.95,397.40,24664,97.69
22-Mar-2011,389.90,397.50,389.85, 396.00,395.20,111915,439.39
21-Mar-2011,390.00,392.95,384.00, 384.00,387.10,47447,184.31
18-Mar-2011,394.00,396.00,390.00, 391.90,390.45,14409,56.43
17-Mar-2011,391.00,394.50,385.20, 391.00,392.80,65953,258.06
16-Mar-2011,397.90,399.50,385.10, 386.80,388.50,76403,299.39
15-Mar-2011,385.10,399.35,380.80, 397.20,395.90,63692,250.29
14-Mar-2011,391.30,395.75,391.00, 394.00,394.55,38300,150.81
11-Mar-2011,392.50,398.20,385.00, 395.00,395.65,79427,310.80
10-Mar-2011,398.95,400.00,391.35, 392.00,392.50,34455,135.64
09-Mar-2011,395.00,400.00,392.00, 397.95,397.25,55452,220.52
08-Mar-2011,406.00,408.35,391.20, 392.25,394.80,79973,318.79
07-Mar-2011,409.05,410.80,402.70, 403.10,403.80,64185,259.32
04-Mar-2011,414.00,420.35,411.00, 416.00,414.55,116963,487.24
03-Mar-2011,408.95,412.00,403.05, 410.00,410.05,130583,534.87
01-Mar-2011,410.00,412.20,396.95, 411.95,410.70,166263,675.37
28-Feb-2011,400.00,401.90,390.10, 399.50,398.95,72007,285.73
25-Feb-2011,404.10,408.00,393.00, 393.50,394.70,39357,157.02
24-Feb-2011,408.60,411.10,402.00, 403.00,403.70,25951,105.58
23-Feb-2011,408.00,414.95,408.00, 411.00,410.90,39243,161.03
22-Feb-2011,412.60,415.90,406.20, 415.00,413.00,56865,233.93
21-Feb-2011,417.25,418.00,402.85, 415.00,412.60,88956,363.72
18-Feb-2011,425.00,427.50,414.00, 415.10,416.60,103478,435.85
17-Feb-2011,432.50,434.70,391.00, 422.60,421.45,333512,1402.84
16-Feb-2011,538.75,560.00,525.60, 532.00,530.60,403186,2171.00
15-Feb-2011,544.00,549.00,531.15, 533.90,535.50,255442,1387.65
14-Feb-2011,539.70,543.40,526.30, 540.00,538.80,171494,922.87
11-Feb-2011,529.10,536.00,516.50, 532.00,533.30,141407,749.71
10-Feb-2011,515.00,525.00,505.00, 524.00,523.10,155491,799.57
09-Feb-2011,519.00,547.00,514.20, 517.10,515.70,88216,458.36
08-Feb-2011,510.00,530.00,504.10, 517.95,516.85,111135,580.49
07-Feb-2011,519.90,524.75,493.55, 514.00,516.90,114978,586.64
04-Feb-2011,510.50,522.30,506.05, 513.80,516.80,65253,337.68
03-Feb-2011,504.50,517.00,504.00, 513.00,512.90,65591,335.68
02-Feb-2011,512.00,512.00,502.50, 502.60,503.80,29247,148.04
01-Feb-2011,512.20,514.00,502.00, 502.85,503.90,24437,124.12
31-Jan-2011,510.00,517.40,495.00, 510.00,510.15,98098,495.70
28-Jan-2011,514.40,518.00,500.00, 512.20,512.85,221769,1133.78
27-Jan-2011,509.65,516.70,502.00, 504.80,503.50,145058,740.41
25-Jan-2011,513.10,517.50,508.65, 510.20,509.65,22593,115.89
24-Jan-2011,513.55,518.90,511.20, 512.00,512.35,28888,148.67
21-Jan-2011,518.00,520.00,510.00, 510.10,512.65,63377,327.05
20-Jan-2011,516.00,521.95,511.45, 512.00,513.30,50483,259.99
19-Jan-2011,526.00,527.80,513.50, 516.25,517.00,74969,388.58
18-Jan-2011,521.10,529.40,515.00, 516.00,516.95,36405,189.06
17-Jan-2011,505.60,525.05,495.10, 519.95,522.05,84135,431.24
14-Jan-2011,512.95,530.00,503.50, 513.80,511.00,134360,696.60
13-Jan-2011,502.00,516.90,501.25, 508.00,509.10,62083,316.25
12-Jan-2011,504.00,508.00,498.00, 499.95,500.90,47119,236.06
11-Jan-2011,502.00,509.00,500.00, 500.50,501.00,36129,181.73
10-Jan-2011,512.00,512.00,498.00, 500.05,500.10,38969,196.31
07-Jan-2011,520.00,526.00,503.10, 508.00,507.00,92801,477.24
06-Jan-2011,525.00,530.00,524.00, 524.00,525.00,25818,135.77
05-Jan-2011,533.00,540.50,526.05, 528.50,528.95,35238,187.27
04-Jan-2011,534.95,544.00,534.95, 537.90,536.05,21609,116.20
03-Jan-2011,543.95,548.95,537.00, 538.80,538.70,27678,149.97
