Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,40.00,40.00,40.00, 40.00,40.00,2,0.00
28-Dec-2011,41.00,41.00,40.50, 40.50,40.55,60,0.02
27-Dec-2011,43.00,43.00,43.00, 43.00,43.00,700,0.30
26-Dec-2011,40.60,40.60,40.60, 40.60,40.60,250,0.10
23-Dec-2011,44.15,44.80,42.10, 42.10,42.10,356,0.15
22-Dec-2011,41.90,42.85,41.90, 42.05,42.05,271,0.11
21-Dec-2011,40.05,41.90,39.10, 39.35,39.70,592,0.24
19-Dec-2011,41.00,41.00,41.00, 41.00,41.00,10,0.00
16-Dec-2011,37.85,37.85,37.80, 37.80,37.80,5,0.00
15-Dec-2011,39.00,39.00,38.00, 39.00,39.00,325,0.13
14-Dec-2011,40.05,42.00,38.85, 40.00,40.25,266,0.11
13-Dec-2011,40.25,41.80,38.75, 41.80,41.80,64,0.03
12-Dec-2011,40.50,42.15,38.05, 41.00,41.00,233,0.09
09-Dec-2011,40.50,40.65,40.50, 40.65,40.65,2,0.00
08-Dec-2011,40.50,43.55,40.50, 40.55,41.40,8210,3.43
07-Dec-2011,41.55,41.55,41.15, 41.15,41.15,28,0.01
05-Dec-2011,40.05,43.00,40.00, 43.00,43.00,4,0.00
02-Dec-2011,42.00,43.70,40.50, 40.50,40.50,502,0.21
01-Dec-2011,42.00,44.60,42.00, 42.00,42.00,361,0.15
30-Nov-2011,41.90,41.90,40.00, 41.25,41.25,3982,1.64
29-Nov-2011,40.00,41.00,39.50, 40.00,40.00,746,0.30
28-Nov-2011,41.70,42.95,38.65, 41.80,40.60,966,0.40
25-Nov-2011,42.30,45.75,40.60, 40.60,42.60,32142,13.90
24-Nov-2011,43.10,44.50,42.50, 44.00,43.10,6627,2.88
23-Nov-2011,45.45,46.60,43.05, 43.05,43.85,1405,0.62
22-Nov-2011,50.00,50.95,43.70, 44.90,44.50,13243,5.98
21-Nov-2011,47.25,47.25,47.00, 47.00,47.00,125,0.06
18-Nov-2011,45.65,47.30,42.00, 47.30,47.10,1493,0.69
17-Nov-2011,50.50,51.00,46.20, 46.20,46.30,3045,1.43
16-Nov-2011,48.00,49.50,46.00, 49.50,49.50,405,0.19
15-Nov-2011,50.90,50.95,48.00, 50.00,50.00,1441,0.72
14-Nov-2011,51.65,52.50,50.50, 50.50,50.75,1205,0.61
11-Nov-2011,54.70,54.75,53.05, 53.05,53.05,351,0.19
09-Nov-2011,55.00,55.00,53.15, 53.15,54.00,342,0.18
08-Nov-2011,56.25,57.25,55.25, 55.50,55.65,2338,1.31
04-Nov-2011,55.95,56.00,55.00, 55.00,55.25,810,0.45
03-Nov-2011,59.00,59.00,54.00, 55.00,55.50,5234,2.92
02-Nov-2011,59.00,60.50,59.00, 60.40,60.15,610,0.36
01-Nov-2011,61.20,63.00,58.00, 60.00,59.50,806,0.48
31-Oct-2011,56.00,62.75,56.00, 60.50,60.20,5046,3.01
28-Oct-2011,55.40,56.00,53.00, 55.00,55.00,3156,1.72
26-Oct-2011,54.00,55.00,51.00, 55.00,54.50,145,0.08
25-Oct-2011,55.00,55.00,55.00, 55.00,55.00,15,0.01
24-Oct-2011,55.00,56.00,55.00, 56.00,55.55,1025,0.57
21-Oct-2011,55.00,55.00,55.00, 55.00,55.00,51,0.03
20-Oct-2011,55.00,55.65,55.00, 55.65,55.65,1125,0.62
19-Oct-2011,55.00,55.00,55.00, 55.00,55.00,1000,0.55
17-Oct-2011,55.80,55.95,54.60, 55.00,55.00,1258,0.69
14-Oct-2011,54.00,56.00,53.05, 56.00,55.35,369,0.20
13-Oct-2011,58.30,58.50,54.50, 55.00,55.30,6393,3.53
12-Oct-2011,57.00,58.45,54.25, 58.45,56.80,1962,1.11
11-Oct-2011,57.00,57.00,55.25, 57.00,56.55,149,0.08
10-Oct-2011,53.00,57.30,53.00, 55.00,55.00,6856,3.84
07-Oct-2011,54.00,54.45,53.85, 54.00,54.00,685,0.37
05-Oct-2011,52.05,52.05,52.05, 52.05,52.05,50,0.03
04-Oct-2011,52.00,54.00,51.25, 54.00,54.00,642,0.34
03-Oct-2011,54.95,55.95,51.05, 55.95,54.55,2779,1.52
30-Sep-2011,51.35,53.95,50.75, 53.95,52.75,1440,0.74
29-Sep-2011,49.10,51.60,49.10, 51.60,51.60,51,0.03
28-Sep-2011,52.95,52.95,47.70, 51.00,51.00,48,0.02
27-Sep-2011,47.55,49.95,47.55, 48.10,48.35,146,0.07
26-Sep-2011,47.10,49.50,47.10, 48.10,48.10,989,0.48
23-Sep-2011,49.80,50.00,47.05, 48.00,48.20,2161,1.06
22-Sep-2011,52.20,55.00,48.70, 51.95,50.65,2024,1.04
21-Sep-2011,49.25,52.40,49.00, 52.40,51.95,1061,0.54
20-Sep-2011,48.65,50.50,48.60, 50.50,50.15,391,0.19
19-Sep-2011,50.00,51.05,46.60, 49.70,49.70,646,0.32
16-Sep-2011,51.00,51.00,51.00, 51.00,51.00,100,0.05
15-Sep-2011,51.35,51.85,49.30, 49.30,49.40,579,0.29
14-Sep-2011,47.50,54.00,46.25, 51.90,51.55,2133,1.04
13-Sep-2011,51.50,52.95,50.35, 50.55,50.55,864,0.44
12-Sep-2011,49.55,51.50,49.55, 51.45,51.45,317,0.16
09-Sep-2011,53.00,53.00,50.30, 50.50,50.55,562,0.29
08-Sep-2011,53.00,54.00,51.55, 52.75,52.75,1050,0.56
07-Sep-2011,51.10,51.90,50.50, 50.70,50.70,431,0.22
06-Sep-2011,52.45,52.45,52.45, 52.45,52.45,400,0.21
05-Sep-2011,50.30,53.95,48.25, 50.10,50.10,746,0.38
02-Sep-2011,51.95,53.70,49.55, 51.00,51.05,2632,1.35
30-Aug-2011,51.00,52.55,50.70, 51.45,51.45,1401,0.72
29-Aug-2011,50.20,50.20,50.20, 50.20,50.20,175,0.09
26-Aug-2011,50.00,52.20,49.60, 49.60,49.60,38,0.02
25-Aug-2011,52.40,52.40,49.60, 52.40,51.45,2658,1.36
23-Aug-2011,55.00,55.00,50.00, 51.50,51.50,481,0.25
22-Aug-2011,47.55,51.95,47.55, 50.10,50.10,2214,1.11
19-Aug-2011,43.05,50.95,43.05, 50.00,49.80,859,0.42
18-Aug-2011,50.00,50.00,49.10, 50.00,49.25,1422,0.70
17-Aug-2011,49.50,54.75,49.00, 50.75,50.75,1016,0.51
16-Aug-2011,55.00,55.95,50.70, 51.00,51.40,2288,1.21
12-Aug-2011,51.00,54.00,51.00, 53.50,53.90,6918,3.65
11-Aug-2011,53.90,53.90,50.00, 50.05,50.20,1337,0.67
10-Aug-2011,52.95,52.95,49.10, 49.65,49.65,1062,0.53
09-Aug-2011,50.00,51.75,48.70, 51.00,50.35,956,0.48
08-Aug-2011,49.00,49.95,45.20, 49.80,48.85,1350,0.65
05-Aug-2011,52.90,52.90,47.10, 51.40,51.40,2966,1.45
04-Aug-2011,58.95,58.95,51.70, 51.75,51.75,1602,0.85
03-Aug-2011,52.95,53.50,51.60, 53.30,53.00,1179,0.62
02-Aug-2011,56.00,56.50,51.05, 52.95,52.95,2135,1.13
01-Aug-2011,57.60,57.60,53.55, 54.25,54.70,7576,4.20
29-Jul-2011,53.00,58.70,53.00, 56.00,57.95,59006,33.87
28-Jul-2011,49.00,49.00,47.60, 48.90,48.90,399,0.19
27-Jul-2011,48.55,50.25,48.55, 49.50,49.50,63,0.03
26-Jul-2011,49.50,49.50,49.50, 49.50,49.50,51,0.03
25-Jul-2011,48.00,49.50,48.00, 49.50,49.50,1213,0.59
22-Jul-2011,47.50,48.15,47.50, 48.15,48.15,150,0.07
21-Jul-2011,49.50,49.90,48.80, 49.20,49.20,404,0.20
19-Jul-2011,50.00,51.05,50.00, 51.05,51.05,322,0.16
18-Jul-2011,50.05,50.05,50.05, 50.05,50.05,22,0.01
15-Jul-2011,50.00,50.75,50.00, 50.70,50.70,89,0.05
14-Jul-2011,51.00,51.50,51.00, 51.50,51.50,2,0.00
13-Jul-2011,50.50,51.95,50.50, 50.90,50.90,262,0.13
12-Jul-2011,50.45,50.45,49.80, 49.80,49.80,403,0.20
11-Jul-2011,51.50,51.50,50.35, 51.20,51.20,648,0.33
08-Jul-2011,51.05,54.70,51.05, 51.85,52.00,2927,1.53
07-Jul-2011,50.80,51.00,50.00, 51.00,51.00,906,0.46
06-Jul-2011,49.50,50.55,48.50, 50.55,50.55,1964,0.97
05-Jul-2011,46.05,50.70,45.50, 49.50,49.50,4985,2.45
04-Jul-2011,45.20,48.10,45.20, 46.95,47.00,529,0.25
01-Jul-2011,47.55,48.05,46.65, 46.70,46.70,309,0.15
30-Jun-2011,48.00,48.00,46.50, 46.60,46.60,1005,0.47
29-Jun-2011,47.00,47.50,47.00, 47.50,47.50,301,0.14
28-Jun-2011,46.95,47.00,46.00, 46.00,46.00,1200,0.56
27-Jun-2011,46.00,46.00,45.95, 46.00,46.00,303,0.14
24-Jun-2011,46.00,46.95,45.70, 46.95,46.25,433,0.20
23-Jun-2011,45.30,45.45,45.30, 45.45,45.45,161,0.07
22-Jun-2011,46.00,46.10,45.10, 46.00,45.95,3609,1.65
21-Jun-2011,46.55,46.55,45.65, 46.55,46.55,350,0.16
20-Jun-2011,46.00,46.00,45.90, 45.90,45.90,415,0.19
17-Jun-2011,47.00,47.60,46.00, 46.00,46.00,3035,1.42
16-Jun-2011,47.00,48.85,43.00, 46.00,46.20,2986,1.40
15-Jun-2011,48.50,49.45,47.50, 47.50,47.65,622,0.30
14-Jun-2011,47.95,48.50,47.80, 48.50,48.50,242,0.12
13-Jun-2011,46.95,48.55,46.95, 48.55,48.55,22,0.01
10-Jun-2011,47.80,48.60,46.40, 48.60,48.60,2543,1.22
09-Jun-2011,47.00,51.80,47.00, 48.65,48.95,4194,2.07
08-Jun-2011,46.00,46.70,45.95, 46.70,46.65,675,0.31
06-Jun-2011,46.50,46.50,46.00, 46.00,46.00,240,0.11
03-Jun-2011,45.75,46.55,45.05, 46.50,46.55,1737,0.80
02-Jun-2011,46.00,47.15,46.00, 47.15,47.15,200,0.09
01-Jun-2011,46.00,46.50,45.30, 45.30,45.35,705,0.32
31-May-2011,45.15,46.00,45.15, 46.00,46.00,196,0.09
27-May-2011,42.55,49.25,42.50, 45.00,45.00,1120,0.51
26-May-2011,45.00,45.25,45.00, 45.25,45.25,70,0.03
25-May-2011,45.45,45.50,45.00, 45.00,45.00,460,0.21
24-May-2011,46.00,46.45,46.00, 46.45,46.25,801,0.37
23-May-2011,45.55,46.05,45.55, 46.00,46.00,492,0.23
20-May-2011,46.45,48.85,46.00, 46.00,46.00,553,0.26
19-May-2011,46.50,46.50,46.50, 46.50,46.50,295,0.14
18-May-2011,47.75,47.75,47.75, 47.75,47.75,3,0.00
17-May-2011,47.55,49.55,47.50, 48.00,48.00,1929,0.93
16-May-2011,48.00,48.25,47.00, 48.25,48.25,2511,1.19
13-May-2011,48.05,48.50,46.05, 48.50,48.35,2589,1.23
11-May-2011,48.75,48.75,47.25, 47.25,47.35,650,0.31
10-May-2011,49.00,49.00,48.05, 48.35,48.35,1561,0.76
09-May-2011,46.35,49.95,46.35, 48.45,48.00,7572,3.72
06-May-2011,46.95,46.95,45.25, 45.25,45.25,1615,0.74
05-May-2011,45.00,45.00,44.50, 45.00,45.00,831,0.37
04-May-2011,46.00,46.00,45.00, 45.00,45.00,102,0.05
03-May-2011,45.25,45.65,45.20, 45.30,45.30,1592,0.72
02-May-2011,46.40,46.50,45.70, 46.00,46.00,2834,1.30
29-Apr-2011,46.35,47.55,46.00, 46.50,46.50,790,0.37
28-Apr-2011,46.95,47.50,46.80, 47.50,47.30,170,0.08
27-Apr-2011,45.55,48.65,45.55, 46.95,46.95,335,0.16
