Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,84.55,86.30,82.80, 83.50,83.75,22051,18.66
29-Dec-2011,86.65,86.65,84.00, 84.40,84.55,14407,12.26
28-Dec-2011,85.50,87.50,83.35, 86.80,86.65,7034,6.10
27-Dec-2011,89.95,89.95,87.15, 87.15,87.90,17585,15.61
26-Dec-2011,89.05,91.25,87.55, 88.80,88.85,28737,25.84
23-Dec-2011,90.50,92.00,88.05, 89.20,88.85,38956,35.10
22-Dec-2011,89.00,91.30,89.00, 89.70,90.00,29343,26.42
21-Dec-2011,93.00,102.00,89.50, 90.00,89.95,35878,32.50
20-Dec-2011,94.10,94.75,91.00, 92.50,91.35,9201,8.58
19-Dec-2011,98.00,98.00,93.00, 93.70,93.35,31661,29.84
16-Dec-2011,101.00,104.00,97.50, 97.50,99.20,22231,22.43
15-Dec-2011,101.00,102.45,97.30, 99.50,100.80,29133,29.17
14-Dec-2011,101.00,102.40,99.10, 100.30,100.30,9624,9.71
13-Dec-2011,102.90,102.90,99.15, 100.95,100.50,15592,15.60
12-Dec-2011,104.40,105.20,99.60, 100.05,100.80,9287,9.45
09-Dec-2011,102.60,105.30,102.60, 104.40,104.30,6565,6.85
08-Dec-2011,107.00,107.00,104.00, 104.85,104.20,8450,8.87
07-Dec-2011,110.00,110.00,107.20, 108.40,107.95,17268,18.76
05-Dec-2011,105.30,109.55,104.70, 108.45,108.25,37081,39.89
02-Dec-2011,103.00,107.00,103.00, 104.70,104.20,28419,29.91
01-Dec-2011,101.60,107.65,99.60, 103.00,103.50,74203,77.04
30-Nov-2011,105.00,106.80,98.20, 101.00,100.10,117568,118.84
29-Nov-2011,107.30,107.30,105.10, 106.00,106.35,14176,15.12
28-Nov-2011,106.95,110.75,106.05, 106.50,107.60,11711,12.69
25-Nov-2011,106.85,108.30,105.50, 108.25,106.95,10902,11.70
24-Nov-2011,105.30,106.85,103.50, 106.05,105.80,6520,6.85
23-Nov-2011,104.05,107.80,104.05, 106.35,106.05,18432,19.47
22-Nov-2011,108.00,108.00,106.00, 107.45,106.95,15489,16.56
21-Nov-2011,110.95,111.75,105.20, 107.00,106.75,19095,20.39
18-Nov-2011,108.70,110.95,105.60, 109.05,108.90,10299,11.11
17-Nov-2011,111.95,117.90,109.00, 109.30,110.35,31911,36.26
16-Nov-2011,108.95,111.55,106.20, 110.75,110.20,17177,18.63
15-Nov-2011,114.60,116.00,106.00, 106.05,109.40,26557,29.56
14-Nov-2011,120.00,121.00,113.90, 114.50,114.60,22678,26.38
11-Nov-2011,120.35,121.30,118.30, 118.80,119.05,14825,17.74
09-Nov-2011,123.35,123.70,121.00, 121.00,121.40,17979,22.02
08-Nov-2011,122.45,124.90,122.10, 122.20,122.35,13631,16.76
04-Nov-2011,122.00,124.00,120.25, 121.90,121.45,40739,49.75
03-Nov-2011,123.35,124.40,119.95, 122.00,121.20,69564,84.76
02-Nov-2011,125.00,126.00,122.10, 124.30,124.35,10510,13.11
01-Nov-2011,126.00,126.70,124.10, 125.35,125.20,10835,13.59
31-Oct-2011,126.65,130.50,125.90, 126.55,127.00,46019,58.79
28-Oct-2011,125.50,135.60,124.00, 125.40,125.80,150585,194.75
26-Oct-2011,122.20,126.00,122.20, 122.75,123.00,15031,18.62
25-Oct-2011,121.00,122.80,119.00, 119.85,119.70,19450,23.37
24-Oct-2011,123.00,123.95,120.10, 120.30,120.65,12934,15.74
21-Oct-2011,122.05,124.60,121.35, 121.50,121.70,15005,18.47
20-Oct-2011,124.50,125.55,122.10, 122.50,122.80,22955,28.26
19-Oct-2011,123.90,129.45,123.90, 124.80,124.95,37061,46.91
18-Oct-2011,124.00,125.80,120.65, 124.20,123.80,69588,85.23
17-Oct-2011,129.00,129.00,124.10, 125.00,125.25,9961,12.58
14-Oct-2011,126.00,129.40,122.05, 127.50,127.00,56463,71.82
13-Oct-2011,122.90,125.60,122.60, 124.55,124.80,36787,45.70
12-Oct-2011,121.20,124.80,121.20, 122.00,121.85,40935,50.15
11-Oct-2011,126.50,126.50,120.60, 121.60,121.55,66599,81.92
10-Oct-2011,122.20,126.60,122.20, 122.80,123.30,42437,52.61
07-Oct-2011,120.30,128.20,120.30, 122.80,122.90,54299,67.69
05-Oct-2011,121.30,128.00,118.30, 118.60,119.15,46103,55.58
04-Oct-2011,124.95,129.75,123.10, 123.25,123.95,17391,21.80
03-Oct-2011,132.20,132.20,126.20, 126.50,126.70,17607,22.43
30-Sep-2011,132.90,136.40,130.00, 131.00,130.65,31230,41.64
29-Sep-2011,131.70,134.40,130.30, 132.90,132.90,26545,35.08
28-Sep-2011,134.95,134.95,130.40, 133.75,132.85,46608,61.70
27-Sep-2011,126.05,144.45,126.05, 132.15,133.30,526100,724.65
26-Sep-2011,128.50,130.80,124.35, 127.35,127.40,11416,14.49
23-Sep-2011,130.00,130.45,126.00, 128.35,129.30,22992,29.59
22-Sep-2011,136.00,139.40,128.05, 129.30,130.15,33517,44.90
21-Sep-2011,129.00,139.40,129.00, 138.10,138.10,79428,107.80
20-Sep-2011,126.50,131.10,126.50, 129.80,130.15,15202,19.79
19-Sep-2011,133.05,134.90,127.65, 128.15,128.05,20439,26.52
16-Sep-2011,128.95,132.00,128.05, 130.60,131.45,55586,72.51
15-Sep-2011,131.00,132.95,127.05, 128.70,128.20,23489,30.17
14-Sep-2011,127.15,132.75,127.15, 131.20,131.15,16612,21.78
13-Sep-2011,122.50,133.90,122.50, 129.70,129.10,45030,58.92
12-Sep-2011,125.00,127.85,123.05, 124.75,124.25,11076,13.82
09-Sep-2011,130.00,132.50,128.50, 129.00,129.20,34216,44.76
08-Sep-2011,128.50,132.35,128.50, 130.85,131.00,21078,27.73
07-Sep-2011,129.65,133.40,126.65, 130.00,130.30,32936,43.19
06-Sep-2011,111.55,130.60,111.55, 127.90,127.90,145545,185.19
05-Sep-2011,119.90,122.00,118.25, 119.50,119.10,25120,30.07
02-Sep-2011,124.05,124.80,119.10, 119.30,119.80,37832,45.57
30-Aug-2011,123.65,125.85,121.10, 123.00,123.05,16406,20.24
29-Aug-2011,121.15,126.95,121.15, 123.00,123.40,21021,26.09
26-Aug-2011,125.20,128.00,120.00, 120.45,120.40,25098,31.05
25-Aug-2011,126.00,130.20,123.50, 126.20,127.25,24419,31.12
24-Aug-2011,121.50,130.75,121.15, 126.10,126.90,180552,226.44
23-Aug-2011,124.60,127.55,122.15, 123.50,123.85,83700,103.90
22-Aug-2011,114.30,128.00,112.05, 125.00,123.40,22362,26.53
19-Aug-2011,115.45,115.90,109.20, 113.00,112.95,57619,64.83
18-Aug-2011,122.00,124.10,113.65, 116.20,115.30,36541,43.10
17-Aug-2011,126.50,126.50,122.00, 123.65,123.25,17970,22.27
16-Aug-2011,132.00,132.70,126.00, 126.50,126.65,222183,282.56
12-Aug-2011,135.00,135.00,129.60, 130.70,130.70,15260,20.13
11-Aug-2011,131.55,135.00,131.55, 135.00,134.65,7069,9.47
10-Aug-2011,135.50,135.50,133.20, 134.00,134.10,48332,64.84
09-Aug-2011,135.00,135.00,128.00, 131.60,131.65,23152,30.63
08-Aug-2011,134.00,138.40,134.00, 135.00,135.55,19784,27.09
05-Aug-2011,135.00,139.50,135.00, 139.20,138.85,31743,43.57
04-Aug-2011,139.50,144.00,138.25, 138.25,139.55,59016,83.65
03-Aug-2011,143.20,143.20,138.00, 138.00,138.60,742884,1040.14
