Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
27-Dec-2011,44.15,44.15,44.15, 44.15,44.15,2,0.00
23-Dec-2011,42.15,42.15,42.15, 42.15,42.15,1,0.00
22-Dec-2011,40.15,40.15,40.15, 40.15,40.15,1,0.00
20-Dec-2011,38.25,38.25,38.25, 38.25,38.25,1,0.00
16-Dec-2011,36.45,36.45,36.45, 36.45,36.45,1,0.00
15-Dec-2011,34.75,34.75,34.75, 34.75,34.75,1,0.00
14-Dec-2011,35.05,35.05,33.20, 33.20,33.20,27,0.01
13-Dec-2011,33.40,33.40,33.40, 33.40,33.40,1,0.00
21-Nov-2011,31.85,31.85,31.85, 31.85,31.85,939,0.30
02-Nov-2011,41.00,41.00,41.00, 41.00,41.00,100,0.04
01-Nov-2011,42.65,42.65,42.65, 42.65,42.65,170,0.07
31-Oct-2011,44.75,44.90,44.75, 44.90,44.90,200,0.09
21-Oct-2011,39.10,43.20,39.10, 43.20,43.20,11,0.00
20-Oct-2011,41.00,41.10,41.00, 41.10,41.10,6,0.00
05-Oct-2011,43.90,48.00,43.80, 47.90,47.90,4000,1.84
04-Oct-2011,42.15,45.90,42.15, 45.90,45.90,2400,1.06
29-Sep-2011,47.80,47.80,43.80, 43.80,43.80,2800,1.28
28-Sep-2011,47.90,47.90,45.60, 45.90,45.90,2300,1.08
27-Sep-2011,43.70,48.00,43.70, 48.00,48.00,5000,2.30
26-Sep-2011,49.00,49.00,45.00, 46.00,46.00,3800,1.80
13-Sep-2011,53.15,53.15,48.45, 48.45,48.45,2,0.00
09-Sep-2011,47.00,51.00,47.00, 51.00,51.00,70,0.03
07-Sep-2011,49.20,52.00,48.55, 48.55,48.55,501,0.25
05-Sep-2011,50.80,55.90,50.70, 50.70,50.70,6152,3.28
25-Aug-2011,42.50,45.00,42.50, 45.00,45.00,195,0.09
11-Aug-2011,42.75,43.00,42.00, 43.00,43.00,152,0.06
09-Aug-2011,42.75,42.75,42.75, 42.75,42.75,100,0.04
05-Aug-2011,45.00,45.00,45.00, 45.00,45.00,10,0.00
04-Aug-2011,47.25,47.25,47.25, 47.25,47.25,780,0.37
28-Jul-2011,48.55,48.55,48.55, 48.55,48.55,41,0.02
27-Jul-2011,46.15,50.10,46.15, 50.10,50.10,140,0.07
20-Jul-2011,50.20,52.70,47.70, 47.70,47.70,2245,1.12
19-Jul-2011,46.10,50.30,46.10, 50.20,50.20,2002,0.96
14-Jul-2011,46.00,48.00,46.00, 48.00,48.00,1000,0.47
13-Jul-2011,43.25,47.80,43.25, 47.80,47.80,26,0.01
10-Jun-2011,58.00,58.05,55.00, 55.00,55.00,380,0.21
09-Jun-2011,56.70,56.70,56.70, 56.70,56.70,6,0.00
27-May-2011,47.70,47.70,47.50, 47.50,47.50,100,0.05
26-May-2011,50.00,50.00,50.00, 50.00,50.00,1,0.00
23-May-2011,47.60,49.30,47.60, 49.30,49.30,104,0.05
19-May-2011,50.10,50.10,50.10, 50.10,50.10,35,0.02
18-May-2011,50.05,50.05,50.05, 50.05,50.05,102,0.05
12-May-2011,47.65,47.65,47.65, 47.65,47.65,224,0.11
09-May-2011,50.15,50.15,50.15, 50.15,50.15,100,0.05
06-May-2011,48.75,48.75,48.75, 48.75,48.75,8,0.00
05-May-2011,50.00,50.00,50.00, 50.00,50.00,4,0.00
04-May-2011,50.55,50.55,50.55, 50.55,50.55,24,0.01
03-May-2011,48.10,53.10,48.10, 53.10,53.10,6201,3.15
02-May-2011,50.55,50.55,50.55, 50.55,50.55,3,0.00
29-Apr-2011,50.15,50.40,50.15, 50.40,50.40,30,0.02
28-Apr-2011,48.20,48.20,48.20, 48.20,48.20,42,0.02
26-Apr-2011,50.90,50.90,46.50, 46.50,50.70,26,0.01
25-Apr-2011,48.50,53.60,48.50, 48.50,48.50,59,0.03
21-Apr-2011,53.95,53.95,51.05, 51.05,51.05,2,0.00
20-Apr-2011,52.00,52.00,50.20, 51.95,51.95,200,0.10
19-Apr-2011,50.00,54.95,49.70, 49.70,52.65,288,0.15
08-Apr-2011,52.50,59.60,52.50, 59.60,59.60,93,0.05
07-Apr-2011,53.00,58.80,48.70, 55.00,56.30,203,0.11
06-Apr-2011,50.00,54.00,50.00, 54.00,54.00,3000,1.56
05-Apr-2011,53.90,53.90,53.90, 53.90,53.90,1,0.00
04-Apr-2011,49.95,49.95,49.95, 49.95,49.95,1,0.00
01-Apr-2011,48.95,49.00,44.50, 44.50,45.40,143,0.06
31-Mar-2011,51.00,51.00,45.30, 45.30,45.30,31,0.02
24-Mar-2011,45.00,50.25,45.00, 50.25,50.25,2225,1.07
23-Mar-2011,44.00,48.75,44.00, 48.75,48.75,32,0.01
22-Mar-2011,43.05,48.40,43.05, 48.40,48.40,101,0.04
