Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,53.00,57.15,51.25, 57.15,57.10,45989,26.03
29-Dec-2011,56.20,57.00,50.60, 52.05,51.95,78628,41.37
28-Dec-2011,56.50,58.90,55.45, 56.00,56.20,2712,1.54
27-Dec-2011,56.70,58.95,56.70, 58.75,58.15,4071,2.37
26-Dec-2011,56.00,58.00,55.30, 57.60,57.85,14081,8.04
23-Dec-2011,55.50,59.55,55.50, 57.80,56.40,16650,9.58
22-Dec-2011,54.00,56.00,52.55, 55.40,55.75,18023,9.91
21-Dec-2011,51.00,55.20,48.10, 55.20,54.20,23310,12.32
20-Dec-2011,52.70,52.70,50.00, 50.00,50.20,17186,8.84
19-Dec-2011,60.00,60.00,53.00, 53.50,54.25,13671,7.58
16-Dec-2011,59.00,64.40,52.60, 58.00,58.90,11715,7.16
15-Dec-2011,65.00,65.15,60.25, 60.70,61.10,26373,16.29
14-Dec-2011,79.00,79.00,65.30, 65.70,66.05,10687,7.22
13-Dec-2011,75.00,75.00,68.30, 69.00,69.05,14494,10.21
12-Dec-2011,74.95,77.00,72.05, 73.50,72.60,9893,7.38
09-Dec-2011,76.00,76.80,74.50, 74.60,75.15,11384,8.60
08-Dec-2011,80.00,81.00,77.05, 77.50,77.65,17291,13.55
07-Dec-2011,79.05,83.90,78.50, 80.85,80.65,22295,18.28
05-Dec-2011,80.00,81.40,78.95, 79.50,79.75,5955,4.79
02-Dec-2011,78.50,82.00,77.30, 80.50,80.90,10254,8.21
01-Dec-2011,80.00,85.60,78.05, 78.50,79.15,36976,29.97
30-Nov-2011,81.65,83.50,77.55, 79.00,79.45,32742,26.30
29-Nov-2011,86.90,86.90,78.80, 79.00,79.45,50534,41.16
28-Nov-2011,80.00,86.65,80.00, 86.00,84.90,52252,43.78
25-Nov-2011,80.30,85.00,78.00, 78.10,79.05,24421,19.85
24-Nov-2011,80.00,80.90,77.00, 80.30,80.30,23482,18.57
23-Nov-2011,87.60,87.60,80.55, 80.60,80.95,18452,15.28
22-Nov-2011,89.20,90.85,86.00, 86.95,86.95,35809,31.66
21-Nov-2011,97.40,97.40,88.40, 89.00,90.90,13285,12.38
18-Nov-2011,95.05,98.00,94.05, 95.00,95.40,18408,17.57
17-Nov-2011,97.40,102.70,95.00, 98.00,97.55,60876,60.81
16-Nov-2011,105.00,105.00,93.00, 94.40,94.15,36437,35.40
15-Nov-2011,113.10,119.00,103.00, 103.35,103.50,45453,48.43
14-Nov-2011,123.90,123.90,113.35, 113.50,114.30,17493,20.63
11-Nov-2011,123.20,126.00,120.50, 122.20,121.20,24696,30.48
09-Nov-2011,124.90,127.95,121.80, 124.25,124.85,23369,29.30
08-Nov-2011,126.45,126.45,122.20, 123.00,123.10,11018,13.61
04-Nov-2011,125.70,128.00,123.00, 124.15,124.50,22263,27.96
03-Nov-2011,122.80,125.70,122.35, 124.00,123.75,16417,20.38
02-Nov-2011,120.50,124.25,120.50, 123.65,122.75,10690,13.11
01-Nov-2011,124.00,126.60,121.05, 121.15,121.55,12482,15.35
31-Oct-2011,122.30,126.15,122.25, 123.35,123.05,16151,20.03
28-Oct-2011,126.00,128.90,121.65, 123.40,122.25,28692,35.56
26-Oct-2011,122.45,124.50,120.45, 123.50,122.85,8253,10.11
25-Oct-2011,124.55,124.55,119.00, 119.60,119.80,21763,26.15
24-Oct-2011,124.30,126.50,121.60, 123.00,122.65,13639,16.92
21-Oct-2011,126.00,127.40,122.60, 123.75,123.40,18154,22.67
20-Oct-2011,124.90,131.40,124.90, 126.10,126.40,57375,73.26
19-Oct-2011,127.80,128.45,124.35, 125.20,125.40,18092,22.81
18-Oct-2011,125.75,128.05,124.50, 125.50,125.30,13163,16.56
17-Oct-2011,129.90,134.75,127.25, 128.10,128.20,25981,33.74
14-Oct-2011,129.00,132.70,128.00, 130.00,128.75,31903,41.41
13-Oct-2011,126.20,137.00,126.20, 130.30,130.30,126170,167.78
12-Oct-2011,128.50,128.75,124.50, 126.75,126.15,26366,33.22
11-Oct-2011,129.45,131.50,127.30, 127.35,127.95,20644,26.60
10-Oct-2011,125.70,131.60,125.25, 127.30,127.25,34317,43.96
07-Oct-2011,125.05,128.95,123.10, 125.30,125.40,48363,61.27
05-Oct-2011,125.50,127.25,121.00, 122.00,122.60,26470,32.85
04-Oct-2011,130.00,132.85,124.00, 124.00,124.15,31526,40.13
03-Oct-2011,132.00,135.70,130.00, 130.70,130.30,26780,35.24
30-Sep-2011,143.00,149.70,135.50, 136.00,137.60,162142,234.18
29-Sep-2011,134.50,141.00,133.00, 141.00,138.50,23472,32.23
28-Sep-2011,137.50,137.70,132.55, 135.90,134.20,13296,17.92
27-Sep-2011,134.85,142.00,133.15, 135.65,135.35,41277,57.16
26-Sep-2011,137.00,137.60,128.80, 130.55,131.55,29044,38.52
23-Sep-2011,145.00,145.00,131.25, 134.50,135.30,58116,79.11
22-Sep-2011,156.00,156.00,140.50, 142.10,142.05,41210,61.07
21-Sep-2011,152.80,158.00,152.05, 155.40,155.25,79975,124.13
20-Sep-2011,150.00,151.80,147.50, 150.00,150.35,23398,35.17
19-Sep-2011,146.30,153.90,143.65, 149.45,149.25,98074,146.33
16-Sep-2011,141.55,156.00,141.55, 145.00,145.00,169613,253.27
15-Sep-2011,142.00,144.15,140.35, 140.75,140.90,12649,17.97
14-Sep-2011,141.00,143.20,140.00, 142.60,141.30,12464,17.60
13-Sep-2011,141.50,148.70,138.00, 138.00,138.90,31368,44.87
12-Sep-2011,150.10,151.95,140.45, 140.95,141.85,14446,20.98
09-Sep-2011,152.60,155.00,147.55, 149.00,149.55,17689,26.93
08-Sep-2011,155.90,155.90,151.05, 151.65,151.95,13300,20.35
07-Sep-2011,154.50,159.00,151.15, 152.50,152.50,22798,35.23
06-Sep-2011,153.10,158.20,150.15, 152.50,153.50,34589,53.24
05-Sep-2011,156.95,159.00,152.05, 152.05,154.70,29022,45.31
02-Sep-2011,164.40,168.00,159.15, 160.00,160.95,94839,154.63
30-Aug-2011,156.85,162.45,148.50, 157.10,159.35,118473,186.47
29-Aug-2011,152.10,158.85,149.85, 154.00,153.80,70427,108.83
26-Aug-2011,159.50,161.00,146.05, 146.40,148.00,97794,149.75
25-Aug-2011,162.50,165.45,154.40, 160.50,159.55,378776,609.14
24-Aug-2011,163.00,177.00,155.05, 157.00,161.50,820637,1387.68
23-Aug-2011,134.25,158.30,133.05, 158.30,158.30,432044,647.34
22-Aug-2011,119.10,135.00,113.75, 134.00,131.90,222003,285.74
19-Aug-2011,119.95,120.00,113.75, 119.85,118.45,116028,136.18
18-Aug-2011,133.90,133.90,120.50, 121.00,123.50,86928,111.37
17-Aug-2011,149.00,150.15,130.60, 131.45,132.80,147887,204.66
16-Aug-2011,153.45,153.45,145.60, 146.95,147.90,41935,63.31
12-Aug-2011,152.55,153.70,147.05, 151.25,151.35,65247,98.88
11-Aug-2011,154.80,154.80,150.05, 151.00,150.40,57201,86.62
10-Aug-2011,160.00,164.05,150.20, 151.00,151.00,61668,95.85
09-Aug-2011,146.00,161.45,143.20, 154.85,154.25,128289,199.62
08-Aug-2011,160.00,160.00,150.35, 150.80,151.65,44595,68.96
05-Aug-2011,160.10,167.50,153.00, 162.85,162.55,53196,85.12
04-Aug-2011,179.75,179.75,167.00, 171.05,169.45,28998,50.40
03-Aug-2011,170.00,186.45,165.00, 177.10,177.80,248251,444.10
02-Aug-2011,185.10,185.10,172.10, 173.50,173.85,56347,99.72
01-Aug-2011,185.25,193.00,181.20, 184.10,185.10,185243,346.26
29-Jul-2011,185.00,187.55,160.40, 183.40,184.00,447922,817.31
28-Jul-2011,177.00,178.65,157.20, 161.90,161.25,113591,190.15
27-Jul-2011,178.00,181.70,177.25, 179.00,178.45,17919,32.14
26-Jul-2011,185.00,185.00,179.00, 180.30,180.30,20190,36.58
25-Jul-2011,188.00,188.00,180.10, 183.20,183.20,27310,50.30
22-Jul-2011,200.00,200.00,182.70, 186.00,185.50,66822,125.82
21-Jul-2011,197.15,198.95,191.60, 192.30,192.60,14900,28.89
20-Jul-2011,201.15,202.65,196.00, 198.60,198.40,15006,29.95
19-Jul-2011,200.00,202.80,199.60, 201.55,200.45,25856,51.99
18-Jul-2011,201.00,204.90,198.00, 199.30,200.15,39411,79.18
15-Jul-2011,207.90,208.45,198.15, 199.00,199.15,61644,124.35
14-Jul-2011,209.65,210.70,204.05, 206.35,205.80,33836,69.87
13-Jul-2011,210.50,212.85,207.50, 208.40,208.80,12275,25.76
12-Jul-2011,211.00,213.00,206.00, 207.85,207.85,47177,98.41
11-Jul-2011,211.00,217.85,210.50, 212.60,211.80,27973,59.47
08-Jul-2011,214.70,216.75,212.00, 213.35,214.15,24047,51.49
07-Jul-2011,212.40,217.80,212.00, 213.70,213.45,26140,55.95
06-Jul-2011,209.95,213.95,209.25, 212.15,211.35,44122,93.15
05-Jul-2011,211.05,223.00,209.65, 211.00,210.60,116417,248.49
04-Jul-2011,212.90,215.95,210.35, 212.50,211.60,18638,39.55
01-Jul-2011,216.30,219.90,206.70, 213.00,211.50,40556,87.23
30-Jun-2011,223.00,223.95,213.50, 214.25,214.55,25457,55.28
29-Jun-2011,222.90,227.95,220.60, 226.00,222.65,33203,74.31
28-Jun-2011,226.00,228.20,217.40, 222.00,221.05,145106,321.31
27-Jun-2011,206.40,237.50,206.40, 226.55,226.65,661410,1511.54
24-Jun-2011,202.90,208.85,200.50, 204.05,204.55,66506,136.58
23-Jun-2011,207.80,207.80,197.40, 199.90,199.40,20326,40.95
22-Jun-2011,215.00,216.00,206.45, 207.90,207.30,23214,48.85
21-Jun-2011,226.60,231.90,211.30, 214.00,214.80,23728,52.52
20-Jun-2011,236.00,239.20,215.00, 227.20,224.20,20519,46.74
17-Jun-2011,233.00,244.00,233.00, 234.25,235.50,45088,107.47
16-Jun-2011,233.60,244.90,232.50, 235.00,234.35,71274,170.07
15-Jun-2011,231.00,237.00,230.00, 235.05,234.10,54693,127.75
14-Jun-2011,220.20,238.90,220.00, 229.70,229.40,109969,254.41
13-Jun-2011,221.75,221.75,215.55, 219.60,220.15,10551,23.10
10-Jun-2011,229.40,230.40,220.85, 223.30,223.20,26415,59.59
09-Jun-2011,218.00,229.00,217.00, 227.00,227.20,76549,171.45
08-Jun-2011,218.25,221.80,216.60, 217.40,217.15,28070,61.44
07-Jun-2011,212.00,222.00,212.00, 219.15,218.00,169761,369.45
