Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,222.25,252.95,222.20, 252.95,246.40,218,0.53
29-Dec-2011,230.20,231.50,230.00, 230.00,230.55,68,0.16
28-Dec-2011,255.00,255.00,234.10, 234.25,234.25,142,0.35
27-Dec-2011,240.05,240.05,232.10, 235.90,237.70,359,0.86
26-Dec-2011,238.05,248.50,238.00, 248.50,245.85,271,0.66
23-Dec-2011,238.80,244.90,226.65, 242.60,233.50,445,1.04
22-Dec-2011,232.10,232.10,221.30, 225.80,225.80,5389,12.14
21-Dec-2011,233.00,235.95,231.15, 235.95,233.00,163,0.38
20-Dec-2011,230.05,249.00,230.00, 239.50,236.35,6366,15.05
19-Dec-2011,239.00,246.00,222.50, 231.00,230.60,285,0.66
16-Dec-2011,235.65,249.00,235.60, 236.00,239.40,568,1.38
15-Dec-2011,240.00,246.75,235.50, 235.50,237.60,237,0.57
14-Dec-2011,246.10,247.00,235.00, 235.00,239.60,489,1.19
13-Dec-2011,246.40,270.75,243.00, 243.00,243.55,406,1.01
12-Dec-2011,269.90,269.90,246.00, 246.40,246.40,140,0.35
09-Dec-2011,245.15,266.90,245.10, 257.00,249.95,72,0.18
08-Dec-2011,260.90,264.00,251.50, 263.90,260.40,500,1.30
07-Dec-2011,249.10,259.90,245.55, 246.15,246.50,443,1.10
05-Dec-2011,258.00,271.50,248.00, 250.10,254.20,493,1.26
02-Dec-2011,245.05,258.80,245.00, 258.80,255.00,297,0.75
01-Dec-2011,251.05,256.70,243.55, 253.25,250.65,439,1.09
30-Nov-2011,261.30,261.30,249.00, 254.45,250.60,218,0.55
29-Nov-2011,246.15,258.70,246.15, 251.00,250.85,124,0.31
28-Nov-2011,269.00,269.00,247.50, 249.10,249.35,412,1.03
25-Nov-2011,260.00,264.60,250.20, 250.20,251.55,466,1.20
24-Nov-2011,270.00,270.00,252.10, 252.20,253.10,326,0.83
23-Nov-2011,260.00,263.50,252.80, 263.50,263.45,460,1.19
22-Nov-2011,245.50,269.40,245.50, 260.00,261.75,429,1.10
21-Nov-2011,253.10,265.95,253.10, 254.30,257.20,437,1.12
18-Nov-2011,271.90,271.90,253.00, 257.60,257.65,277,0.71
17-Nov-2011,270.00,273.80,261.00, 261.00,261.85,308,0.81
16-Nov-2011,274.00,274.00,266.00, 267.00,267.35,405,1.08
15-Nov-2011,267.20,270.00,267.20, 267.30,267.30,19,0.05
14-Nov-2011,269.00,275.00,267.25, 272.20,270.65,148,0.40
11-Nov-2011,269.05,276.00,268.00, 276.00,273.10,957,2.59
09-Nov-2011,274.90,274.90,270.00, 273.50,270.05,380,1.03
08-Nov-2011,275.00,275.00,270.10, 272.90,270.45,683,1.85
04-Nov-2011,281.40,282.00,272.30, 282.00,280.15,237,0.66
03-Nov-2011,272.00,278.00,272.00, 277.90,277.90,158,0.43
02-Nov-2011,272.15,279.50,270.00, 272.95,271.20,375,1.03
01-Nov-2011,271.00,279.00,271.00, 272.15,272.50,207,0.56
31-Oct-2011,285.00,285.00,272.00, 272.00,273.40,1136,3.13
