Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,95.00,101.00,93.25, 98.40,99.90,3749,3.69
29-Dec-2011,98.50,98.70,95.10, 96.00,96.25,995,0.96
28-Dec-2011,95.40,100.95,95.35, 99.00,99.50,3854,3.80
27-Dec-2011,96.00,98.00,95.10, 97.60,96.65,530,0.51
26-Dec-2011,96.50,98.50,96.50, 97.30,97.50,1491,1.45
23-Dec-2011,95.50,96.00,86.95, 95.10,95.30,5362,5.06
22-Dec-2011,96.00,97.25,93.00, 95.10,96.75,2313,2.20
21-Dec-2011,99.00,100.00,95.00, 97.45,96.60,3742,3.65
20-Dec-2011,104.85,105.90,94.00, 94.55,97.05,38339,39.03
19-Dec-2011,97.00,105.00,92.00, 105.00,102.00,9572,9.31
16-Dec-2011,100.30,102.80,96.20, 100.05,98.60,2641,2.62
15-Dec-2011,97.00,104.40,92.45, 100.00,101.40,10582,10.50
14-Dec-2011,89.00,105.90,85.40, 100.40,99.95,38784,38.91
13-Dec-2011,91.65,94.25,89.55, 90.60,90.05,4553,4.14
12-Dec-2011,97.50,97.50,92.00, 92.00,92.50,2473,2.33
09-Dec-2011,97.00,99.95,96.05, 96.35,96.75,700,0.68
08-Dec-2011,99.50,99.50,97.55, 97.55,98.00,974,0.96
07-Dec-2011,101.10,101.20,99.05, 99.10,99.85,1201,1.21
05-Dec-2011,104.35,107.00,101.10, 101.15,102.05,10777,11.28
02-Dec-2011,98.10,103.00,98.10, 102.05,102.05,2792,2.81
01-Dec-2011,101.50,103.95,98.50, 99.05,99.95,1645,1.66
30-Nov-2011,100.05,103.00,98.00, 102.95,102.90,3900,4.00
29-Nov-2011,102.75,103.00,99.00, 102.70,102.55,515,0.53
28-Nov-2011,97.45,104.50,94.00, 102.75,102.45,7833,7.95
25-Nov-2011,91.00,94.70,90.00, 94.00,93.70,2469,2.29
24-Nov-2011,92.50,94.00,90.10, 93.35,93.90,2410,2.23
23-Nov-2011,96.60,98.30,93.10, 93.10,93.75,1882,1.81
22-Nov-2011,96.50,101.00,96.00, 97.50,97.50,1008,0.99
21-Nov-2011,101.00,102.65,98.25, 98.30,98.45,1636,1.64
18-Nov-2011,105.00,105.00,101.00, 102.55,102.55,3971,4.08
17-Nov-2011,108.20,109.30,104.55, 106.00,105.40,2635,2.82
16-Nov-2011,108.00,110.35,104.10, 110.20,109.10,8033,8.68
