Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,29.70,31.00,29.70, 30.40,30.55,10362,3.16
29-Dec-2011,30.00,30.95,29.40, 29.90,30.00,108827,32.75
28-Dec-2011,31.40,31.50,30.05, 30.50,30.45,5492,1.70
27-Dec-2011,31.15,31.90,31.00, 31.00,31.35,8156,2.56
26-Dec-2011,31.50,32.30,30.55, 32.00,31.95,12754,4.05
23-Dec-2011,33.00,33.40,31.40, 31.75,32.35,90402,29.44
22-Dec-2011,29.50,31.35,29.05, 31.35,30.20,30090,9.03
21-Dec-2011,31.50,31.90,29.30, 30.05,30.15,15580,4.77
20-Dec-2011,31.25,32.30,30.50, 30.50,30.95,13792,4.33
19-Dec-2011,31.80,32.70,31.00, 31.30,31.35,12436,3.93
16-Dec-2011,32.00,33.40,32.00, 32.15,32.30,16067,5.24
15-Dec-2011,33.00,33.00,32.20, 32.20,32.40,7415,2.41
14-Dec-2011,32.00,35.80,31.55, 33.45,33.50,96508,33.25
13-Dec-2011,31.65,32.90,31.50, 32.50,32.65,14064,4.54
12-Dec-2011,35.00,35.70,31.50, 32.85,32.15,32165,10.77
09-Dec-2011,34.50,36.40,34.20, 35.65,35.40,44514,15.71
08-Dec-2011,35.15,38.00,34.80, 34.80,35.20,221771,80.88
07-Dec-2011,33.40,34.45,33.00, 34.10,34.15,18348,6.25
05-Dec-2011,33.80,34.00,33.00, 33.50,33.50,15016,5.04
02-Dec-2011,31.65,33.45,30.75, 33.40,33.20,340912,108.57
01-Dec-2011,32.60,35.00,32.25, 32.40,32.40,302052,98.79
30-Nov-2011,33.50,33.50,31.20, 31.35,31.60,328447,104.44
29-Nov-2011,31.30,33.15,31.30, 32.60,32.70,308588,98.35
28-Nov-2011,31.50,32.10,31.15, 31.50,31.75,285040,90.65
25-Nov-2011,29.65,32.00,29.65, 31.15,31.15,14075,4.40
24-Nov-2011,30.10,31.30,29.20, 30.50,30.25,14870,4.49
23-Nov-2011,31.55,32.20,30.40, 30.75,30.70,20312,6.35
22-Nov-2011,32.20,32.90,31.20, 32.80,32.35,16343,5.27
21-Nov-2011,31.40,33.00,30.70, 30.80,31.10,26619,8.49
18-Nov-2011,32.00,33.00,31.00, 32.00,32.40,15728,4.99
17-Nov-2011,32.10,33.30,32.10, 33.15,32.90,25932,8.51
16-Nov-2011,33.80,33.80,30.75, 33.00,32.30,43715,13.92
15-Nov-2011,33.85,34.45,32.10, 32.60,32.90,25744,8.55
14-Nov-2011,35.20,35.60,33.85, 33.90,34.05,13188,4.56
11-Nov-2011,35.50,36.20,34.45, 34.90,34.70,117249,40.85
09-Nov-2011,37.65,37.65,35.45, 35.60,35.90,136148,50.33
08-Nov-2011,37.00,37.80,36.80, 37.35,37.05,131925,48.88
04-Nov-2011,37.25,38.00,36.20, 37.60,37.55,15524,5.80
03-Nov-2011,36.40,37.40,36.40, 37.20,37.15,17082,6.33
02-Nov-2011,37.50,37.50,36.25, 37.00,36.70,10844,3.99
01-Nov-2011,36.70,37.95,36.70, 37.70,37.45,5238,1.96
31-Oct-2011,37.75,38.20,36.50, 37.10,37.00,20741,7.77
28-Oct-2011,36.80,38.15,36.80, 38.00,37.90,22815,8.59
26-Oct-2011,35.10,36.60,35.10, 36.60,36.30,3636,1.32
25-Oct-2011,35.00,35.80,34.55, 35.00,34.95,12762,4.48
24-Oct-2011,35.25,36.45,34.40, 34.40,34.85,15003,5.32
21-Oct-2011,36.10,36.95,35.15, 35.50,35.55,13048,4.70
20-Oct-2011,36.15,37.00,36.15, 36.30,36.45,6238,2.28
19-Oct-2011,36.75,37.90,36.60, 36.75,36.95,17485,6.53
18-Oct-2011,37.00,37.95,36.60, 37.00,36.90,5804,2.15
17-Oct-2011,37.75,38.60,37.60, 38.30,37.90,18446,7.01
14-Oct-2011,36.50,38.15,36.20, 37.90,37.75,8179,3.07
13-Oct-2011,36.15,38.00,36.10, 37.25,37.25,188639,70.41
12-Oct-2011,36.00,37.20,35.80, 37.00,36.70,241696,87.07
11-Oct-2011,34.85,36.80,34.85, 35.90,36.00,28375,10.26
10-Oct-2011,34.15,35.50,33.35, 35.45,34.85,15379,5.33
07-Oct-2011,35.10,35.15,34.25, 34.25,34.45,14962,5.20
05-Oct-2011,34.35,35.70,33.15, 34.55,34.15,22486,7.70
04-Oct-2011,35.00,35.75,34.40, 35.00,34.70,9576,3.36
03-Oct-2011,34.90,35.90,34.15, 35.40,35.35,199230,70.40
30-Sep-2011,35.20,36.35,35.00, 35.00,35.25,10738,3.81
29-Sep-2011,35.60,36.75,35.30, 36.00,35.90,7810,2.80
28-Sep-2011,36.25,37.00,35.80, 35.80,36.25,11072,4.04
27-Sep-2011,36.00,37.30,36.00, 36.70,36.70,9213,3.39
26-Sep-2011,36.00,37.00,36.00, 36.10,36.30,12878,4.69
23-Sep-2011,36.10,37.00,36.10, 36.70,36.60,15999,5.84
22-Sep-2011,37.00,37.75,36.70, 36.90,37.20,30247,11.24
21-Sep-2011,37.10,38.25,37.05, 37.70,37.90,22336,8.46
20-Sep-2011,38.50,39.65,34.00, 37.00,37.00,104560,39.40
19-Sep-2011,38.50,39.20,38.50, 38.60,38.65,10565,4.10
16-Sep-2011,39.20,39.40,38.50, 38.50,38.75,16150,6.28
15-Sep-2011,40.20,40.20,38.65, 39.00,38.95,20167,7.90
14-Sep-2011,38.75,40.15,38.40, 39.70,39.60,18154,7.20
13-Sep-2011,38.00,40.45,38.00, 38.45,38.85,10393,4.09
12-Sep-2011,39.00,40.70,37.70, 38.30,38.60,13267,5.12
09-Sep-2011,40.00,41.20,39.00, 39.10,39.80,19779,7.99
08-Sep-2011,40.05,41.50,40.00, 40.00,40.30,20356,8.29
07-Sep-2011,38.35,40.15,38.35, 39.70,39.95,21742,8.56
06-Sep-2011,37.20,38.90,37.20, 38.25,38.35,9120,3.49
05-Sep-2011,37.50,38.70,37.50, 37.95,37.90,7653,2.91
02-Sep-2011,39.00,39.40,37.65, 39.05,38.85,11180,4.31
30-Aug-2011,37.60,38.90,37.55, 38.20,38.40,8526,3.26
29-Aug-2011,37.55,38.40,36.80, 37.50,37.75,16150,6.10
26-Aug-2011,37.35,38.50,36.30, 36.30,36.65,8560,3.16
25-Aug-2011,38.35,39.90,38.00, 38.30,38.30,4328,1.67
24-Aug-2011,41.00,41.00,38.20, 38.85,38.90,16677,6.65
23-Aug-2011,38.00,40.40,37.45, 39.00,39.25,9555,3.69
22-Aug-2011,37.00,39.30,35.25, 39.00,38.15,27451,10.29
19-Aug-2011,34.50,36.95,34.50, 36.00,35.90,23383,8.35
18-Aug-2011,36.75,38.00,35.60, 36.00,36.25,32834,12.05
17-Aug-2011,38.20,39.40,37.05, 37.20,37.35,14491,5.48
16-Aug-2011,40.05,40.90,38.20, 38.25,38.35,10819,4.26
12-Aug-2011,40.50,40.85,39.80, 39.80,40.15,11767,4.74
11-Aug-2011,38.90,40.50,38.85, 40.25,40.10,18890,7.53
10-Aug-2011,39.00,40.50,39.00, 40.00,39.85,25534,10.18
09-Aug-2011,37.00,39.40,36.10, 38.35,38.00,44376,16.73
08-Aug-2011,41.05,41.05,38.10, 39.10,39.20,36977,14.46
05-Aug-2011,42.00,42.00,40.10, 41.35,41.05,80982,33.35
04-Aug-2011,42.35,44.10,42.35, 42.60,42.65,13496,5.83
03-Aug-2011,42.10,43.55,42.10, 42.90,43.25,16372,7.00
02-Aug-2011,44.00,44.65,42.70, 43.20,43.20,15994,6.94
01-Aug-2011,45.90,46.75,42.80, 44.70,44.15,59318,26.40
29-Jul-2011,46.50,46.50,44.45, 45.10,45.15,7911,3.58
28-Jul-2011,46.00,46.05,45.20, 45.70,45.60,10089,4.60
27-Jul-2011,46.85,47.50,45.60, 45.80,46.00,13288,6.19
26-Jul-2011,47.80,48.90,46.55, 46.95,46.85,23586,11.16
25-Jul-2011,48.90,49.00,47.65, 47.90,47.95,16725,8.08
22-Jul-2011,47.95,48.85,47.60, 48.10,48.05,18364,8.87
21-Jul-2011,49.05,49.40,47.65, 47.95,47.95,36666,17.81
20-Jul-2011,50.60,51.45,50.00, 50.40,50.35,30571,15.39
19-Jul-2011,48.75,50.90,48.75, 50.60,50.45,26225,13.12
18-Jul-2011,49.05,50.80,49.05, 49.30,49.50,27099,13.52
15-Jul-2011,49.00,50.70,49.00, 49.40,49.45,40961,20.43
14-Jul-2011,47.10,49.90,46.95, 49.20,49.15,52061,25.48
13-Jul-2011,47.25,48.40,47.10, 47.95,47.90,16195,7.77
12-Jul-2011,48.10,48.45,46.90, 47.20,47.15,26745,12.69
11-Jul-2011,48.65,49.80,48.20, 48.50,48.50,24399,11.88
08-Jul-2011,47.70,51.70,47.70, 49.00,49.45,170216,85.58
07-Jul-2011,47.80,49.50,47.60, 48.45,48.35,57388,27.88
06-Jul-2011,47.10,47.95,46.20, 47.95,47.50,44541,21.05
05-Jul-2011,47.10,47.75,46.65, 47.50,47.30,23918,11.30
04-Jul-2011,47.70,47.75,46.80, 46.90,47.05,31404,14.84
01-Jul-2011,46.00,47.50,45.60, 47.00,47.05,41419,19.36
30-Jun-2011,46.00,46.50,45.35, 46.10,46.05,43722,20.11
29-Jun-2011,44.45,48.00,44.00, 45.80,45.70,135872,62.92
28-Jun-2011,44.35,45.50,44.25, 44.30,44.45,11094,4.94
27-Jun-2011,44.00,45.95,44.00, 44.45,44.55,28704,12.81
24-Jun-2011,43.40,45.70,43.40, 44.50,44.65,36433,16.36
23-Jun-2011,42.10,44.50,42.10, 44.25,43.85,41571,18.24
22-Jun-2011,45.20,45.20,42.90, 43.00,43.10,20038,8.76
21-Jun-2011,45.00,45.60,43.45, 43.45,44.30,79095,35.58
20-Jun-2011,49.00,49.40,44.00, 44.05,44.80,73420,33.55
17-Jun-2011,50.95,50.95,48.10, 48.10,48.75,64114,31.57
16-Jun-2011,52.00,52.80,49.50, 50.00,50.35,104009,52.76
15-Jun-2011,48.15,51.55,48.15, 50.85,50.20,100818,51.00
14-Jun-2011,48.25,53.00,48.25, 50.25,50.25,309687,159.71
13-Jun-2011,48.55,49.40,48.20, 48.90,49.00,43048,21.06
10-Jun-2011,50.55,51.40,49.10, 49.40,50.00,462801,232.80
09-Jun-2011,46.00,52.20,46.00, 49.20,49.35,489614,246.11
08-Jun-2011,45.55,47.05,45.55, 46.40,46.30,27249,12.69
07-Jun-2011,46.45,47.20,45.30, 46.30,45.95,15761,7.28
06-Jun-2011,46.65,46.85,46.10, 46.10,46.45,7657,3.56
03-Jun-2011,47.00,47.50,46.40, 46.90,46.65,14368,6.73
02-Jun-2011,47.00,48.15,46.00, 46.90,47.15,60189,28.54
01-Jun-2011,47.50,47.65,46.45, 46.80,47.10,23333,10.96
31-May-2011,48.70,49.00,46.60, 47.40,47.15,29045,13.77
30-May-2011,46.00,49.40,44.30, 47.65,47.85,147557,70.04
27-May-2011,43.05,46.00,42.50, 44.60,44.90,66982,29.66
26-May-2011,43.00,43.65,42.60, 43.50,43.45,15618,6.75
25-May-2011,42.95,43.45,42.50, 42.90,42.95,28875,12.36
24-May-2011,42.45,43.70,41.90, 43.35,43.10,27944,11.94
23-May-2011,43.30,44.40,40.35, 41.90,42.25,56582,24.24
20-May-2011,41.05,43.80,41.05, 42.95,43.35,43677,18.82
19-May-2011,42.05,42.35,41.30, 41.55,41.65,28995,12.17
18-May-2011,42.50,43.00,41.60, 41.70,41.80,50455,21.39
17-May-2011,42.20,43.00,41.55, 43.00,42.40,27419,11.56
16-May-2011,41.15,42.40,41.15, 41.50,41.55,14035,5.88
13-May-2011,41.55,42.90,41.55, 42.20,42.00,20628,8.71
12-May-2011,42.00,42.30,41.60, 42.00,42.00,20598,8.64
11-May-2011,41.45,42.25,41.25, 41.85,41.90,22160,9.26
10-May-2011,40.75,41.90,40.75, 41.25,41.25,36372,15.04
09-May-2011,41.50,42.30,41.05, 41.50,41.55,29262,12.20
06-May-2011,42.20,42.40,41.00, 41.75,41.50,43505,18.13
05-May-2011,43.80,43.80,41.40, 41.50,41.60,25499,10.77
04-May-2011,43.00,43.45,42.45, 43.20,42.80,20265,8.71
03-May-2011,44.25,44.80,42.50, 42.80,42.75,37082,16.18
02-May-2011,44.60,45.00,44.45, 44.60,44.60,25751,11.50
29-Apr-2011,45.25,45.60,44.10, 45.00,45.00,44308,19.95
28-Apr-2011,45.00,45.70,44.70, 45.70,45.50,35393,16.04
27-Apr-2011,46.10,46.50,44.75, 44.80,44.90,61491,27.86
26-Apr-2011,46.00,46.50,45.10, 45.10,45.50,37413,17.09
25-Apr-2011,47.00,47.00,45.75, 46.00,45.90,28030,13.03
21-Apr-2011,46.50,47.90,46.10, 46.40,46.55,209633,98.97
20-Apr-2011,45.75,47.65,45.75, 46.75,46.75,115580,54.20
19-Apr-2011,46.70,46.70,45.35, 46.40,46.35,89273,41.24
18-Apr-2011,46.50,47.20,45.55, 45.75,45.90,87267,40.49
15-Apr-2011,47.80,47.80,45.75, 46.35,46.25,65664,30.49
13-Apr-2011,45.85,47.40,45.05, 46.80,46.60,85818,39.97
11-Apr-2011,46.05,46.75,45.10, 45.40,45.25,77406,35.24
08-Apr-2011,48.55,48.60,46.15, 46.40,46.45,103398,48.34
07-Apr-2011,47.00,49.30,46.70, 47.70,47.55,226799,108.75
06-Apr-2011,46.55,47.50,46.00, 46.60,46.65,177362,83.12
05-Apr-2011,46.35,46.70,45.10, 45.85,45.85,70677,32.49
04-Apr-2011,45.10,47.25,45.10, 46.10,46.15,80463,37.24
01-Apr-2011,44.00,45.40,44.00, 45.00,44.90,98768,44.21
31-Mar-2011,44.60,45.30,43.10, 43.30,43.40,48166,21.24
30-Mar-2011,45.00,45.00,43.80, 44.10,44.40,54130,24.04
29-Mar-2011,44.05,45.25,43.25, 43.30,43.85,176821,78.23
28-Mar-2011,46.00,46.00,44.15, 44.40,44.30,91125,40.88
25-Mar-2011,46.70,48.45,45.65, 45.75,46.00,135064,62.79
24-Mar-2011,43.70,46.90,43.30, 46.15,45.95,372168,171.11
23-Mar-2011,44.00,45.40,43.05, 43.70,43.90,153118,67.31
22-Mar-2011,45.35,45.75,42.55, 43.60,43.35,152892,67.05
21-Mar-2011,47.45,49.80,44.65, 44.90,44.85,219708,100.56
18-Mar-2011,50.50,50.50,46.50, 47.00,47.05,382698,182.07
17-Mar-2011,48.65,56.30,48.60, 50.50,50.30,2861982,1476.70
16-Mar-2011,39.05,46.90,39.05, 46.90,46.90,881833,401.57
15-Mar-2011,39.00,40.40,38.15, 39.25,39.05,45365,17.97
14-Mar-2011,39.00,40.35,38.70, 39.80,39.85,46920,18.64
11-Mar-2011,39.50,40.25,38.50, 39.70,38.85,74509,29.07
10-Mar-2011,38.90,40.60,38.60, 40.00,40.35,27475,10.90
09-Mar-2011,39.00,40.00,38.50, 39.15,39.15,15573,6.12
08-Mar-2011,39.80,39.85,38.90, 39.25,39.35,8716,3.43
07-Mar-2011,39.95,40.00,38.85, 38.90,39.05,32355,12.73
04-Mar-2011,40.40,41.20,40.00, 40.40,40.35,41629,16.80
03-Mar-2011,39.10,41.45,39.10, 40.50,40.40,25422,10.33
01-Mar-2011,38.80,40.35,38.80, 40.00,39.90,26152,10.40
28-Feb-2011,38.50,41.00,38.30, 38.30,38.70,43078,17.06
25-Feb-2011,39.80,39.90,38.10, 38.65,38.55,26534,10.32
24-Feb-2011,38.50,40.00,38.20, 38.95,38.95,31898,12.41
23-Feb-2011,39.10,41.40,39.00, 39.30,39.40,27554,11.05
22-Feb-2011,40.05,41.00,39.60, 40.65,39.85,13541,5.42
21-Feb-2011,41.00,41.75,40.50, 40.90,40.75,21833,8.90
18-Feb-2011,42.00,43.80,40.10, 41.50,41.55,54020,22.69
17-Feb-2011,42.00,42.35,41.20, 42.05,42.10,27100,11.39
16-Feb-2011,40.70,42.80,39.80, 42.10,42.00,30917,12.82
15-Feb-2011,40.25,40.70,39.10, 40.70,40.45,29177,11.65
14-Feb-2011,38.50,40.50,38.25, 40.30,40.15,39017,15.61
11-Feb-2011,36.50,39.00,36.10, 38.70,38.40,37673,14.13
