Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,104.20,104.20,104.20, 104.20,104.20,10,0.01
28-Dec-2011,106.00,106.00,106.00, 106.00,106.00,5,0.01
27-Dec-2011,107.25,107.25,107.25, 107.25,107.25,34,0.04
26-Dec-2011,109.20,109.20,109.20, 109.20,109.20,25,0.03
23-Dec-2011,104.05,104.05,104.00, 104.00,104.00,72,0.07
22-Dec-2011,102.30,102.30,102.30, 102.30,102.30,2,0.00
21-Dec-2011,113.35,113.35,105.05, 105.50,105.50,428,0.45
20-Dec-2011,107.00,108.00,105.50, 108.00,108.00,79,0.08
16-Dec-2011,111.10,111.10,111.00, 111.00,111.00,100,0.11
14-Dec-2011,114.00,116.45,110.00, 116.35,116.35,184,0.21
13-Dec-2011,109.10,114.90,109.05, 114.90,114.90,411,0.45
09-Dec-2011,110.05,118.40,110.05, 118.00,114.10,9168,10.14
08-Dec-2011,111.15,120.00,111.15, 120.00,112.85,173,0.19
07-Dec-2011,112.30,117.00,112.30, 117.00,117.00,191,0.22
05-Dec-2011,111.50,111.50,111.50, 111.50,111.50,220,0.25
02-Dec-2011,112.75,112.75,112.00, 112.50,112.50,1000,1.12
01-Dec-2011,112.50,119.50,112.50, 112.75,113.45,726,0.82
28-Nov-2011,114.95,114.95,114.95, 114.95,114.95,100,0.11
24-Nov-2011,108.00,118.00,108.00, 112.10,112.10,5,0.01
23-Nov-2011,115.00,118.00,111.05, 113.00,113.00,59,0.07
22-Nov-2011,115.00,115.00,114.00, 114.00,114.00,117,0.13
21-Nov-2011,120.00,120.00,115.00, 115.00,119.70,160,0.19
18-Nov-2011,116.00,116.00,116.00, 116.00,116.00,5,0.01
17-Nov-2011,114.50,115.75,114.00, 115.75,115.75,381,0.44
16-Nov-2011,115.00,120.00,113.00, 120.00,120.00,207,0.24
15-Nov-2011,115.00,115.00,115.00, 115.00,115.00,109,0.13
14-Nov-2011,121.00,121.00,115.00, 115.00,115.00,175,0.21
11-Nov-2011,116.10,122.70,113.00, 121.00,121.00,235,0.27
09-Nov-2011,119.00,119.00,118.85, 118.85,118.90,4,0.00
08-Nov-2011,121.00,124.90,121.00, 124.90,124.90,100,0.12
04-Nov-2011,119.20,119.20,119.20, 119.20,119.20,30,0.04
03-Nov-2011,113.55,113.55,113.55, 113.55,113.55,500,0.57
28-Oct-2011,115.00,119.00,113.05, 118.00,118.00,3241,3.81
24-Oct-2011,114.00,114.00,114.00, 114.00,114.00,100,0.11
21-Oct-2011,113.50,113.50,113.00, 113.00,113.25,11,0.01
19-Oct-2011,110.05,110.05,110.05, 110.05,110.05,200,0.22
18-Oct-2011,110.70,113.00,110.70, 113.00,113.00,47,0.05
14-Oct-2011,114.10,114.10,114.10, 114.10,114.10,20,0.02
13-Oct-2011,120.75,120.75,112.00, 120.00,120.00,4,0.00
11-Oct-2011,115.00,115.00,115.00, 115.00,115.00,5000,5.75
10-Oct-2011,111.00,117.00,111.00, 117.00,117.00,98,0.11
03-Oct-2011,115.00,119.00,113.95, 119.00,115.75,6176,7.06
30-Sep-2011,111.00,120.00,111.00, 120.00,119.95,4661,5.56
29-Sep-2011,124.60,124.60,114.30, 114.30,114.45,99,0.12
28-Sep-2011,117.00,120.00,117.00, 120.00,120.00,6,0.01
23-Sep-2011,118.90,123.70,118.90, 123.00,123.05,20,0.02
22-Sep-2011,117.00,118.90,114.75, 118.90,118.90,305,0.35
21-Sep-2011,116.00,120.75,111.05, 120.75,120.75,13,0.02
19-Sep-2011,115.50,115.50,115.50, 115.50,115.50,4,0.00
16-Sep-2011,124.70,124.70,119.70, 119.70,119.70,24,0.03
15-Sep-2011,115.50,126.00,115.50, 126.00,126.00,51,0.06
14-Sep-2011,124.95,124.95,117.25, 120.00,121.00,80,0.10
13-Sep-2011,116.35,125.50,116.35, 123.00,123.00,14,0.02
12-Sep-2011,119.10,122.00,119.10, 122.00,122.00,204,0.25
09-Sep-2011,118.00,125.00,118.00, 124.00,124.00,60047,71.32
08-Sep-2011,125.00,125.00,119.70, 119.70,119.80,51,0.06
07-Sep-2011,119.20,119.70,119.20, 119.70,119.70,208,0.24
05-Sep-2011,114.00,114.00,114.00, 114.00,114.00,2,0.00
02-Sep-2011,116.10,116.10,116.10, 116.10,116.10,11,0.01
29-Aug-2011,117.00,117.00,117.00, 117.00,117.00,5,0.01
26-Aug-2011,115.00,115.00,115.00, 115.00,115.00,2,0.00
25-Aug-2011,118.10,120.50,118.00, 120.50,120.50,1330,1.58
24-Aug-2011,121.80,121.80,121.80, 121.80,121.80,250,0.30
23-Aug-2011,116.00,116.00,116.00, 116.00,116.00,35,0.04
19-Aug-2011,121.20,121.20,121.20, 121.20,121.20,75,0.09
17-Aug-2011,127.55,127.55,127.55, 127.55,127.55,8,0.01
16-Aug-2011,124.00,124.00,124.00, 124.00,124.00,10,0.01
12-Aug-2011,121.70,121.80,115.00, 121.60,118.20,145,0.17
11-Aug-2011,123.00,124.90,115.00, 116.10,116.10,285,0.34
10-Aug-2011,127.50,127.50,120.00, 120.00,120.25,1260,1.58
09-Aug-2011,129.85,129.90,122.35, 122.35,122.35,555,0.70
08-Aug-2011,128.75,128.75,128.75, 128.75,128.75,37,0.04
05-Aug-2011,124.00,131.00,119.70, 129.80,128.75,705,0.88
04-Aug-2011,126.10,126.10,126.00, 126.00,126.00,100,0.13
03-Aug-2011,129.00,129.00,129.00, 129.00,129.00,20,0.03
01-Aug-2011,126.10,135.85,126.10, 129.00,129.00,310,0.40
29-Jul-2011,125.00,132.30,125.00, 132.30,132.30,55,0.07
28-Jul-2011,134.00,134.00,126.00, 126.00,126.00,38,0.05
27-Jul-2011,133.60,133.60,128.50, 128.50,128.50,210,0.28
26-Jul-2011,127.55,128.10,127.00, 127.00,127.20,624,0.79
25-Jul-2011,127.00,130.10,126.50, 130.10,130.10,676,0.86
22-Jul-2011,132.00,132.00,132.00, 132.00,132.00,50,0.07
21-Jul-2011,128.00,128.00,128.00, 128.00,128.00,5,0.01
20-Jul-2011,124.25,126.25,124.25, 126.25,126.25,150,0.19
19-Jul-2011,139.55,139.55,130.45, 130.50,130.50,1859,2.44
18-Jul-2011,132.70,140.80,132.65, 135.00,137.30,423,0.58
15-Jul-2011,139.95,141.00,133.00, 141.00,139.60,985,1.36
14-Jul-2011,138.60,138.60,136.00, 136.00,136.00,205,0.28
13-Jul-2011,134.00,134.00,132.00, 132.00,132.00,132,0.18
12-Jul-2011,135.00,135.35,134.95, 134.95,135.00,806,1.09
11-Jul-2011,134.00,134.00,132.00, 134.00,132.25,580,0.77
08-Jul-2011,134.75,138.85,134.75, 135.00,135.00,2402,3.27
07-Jul-2011,130.00,134.75,130.00, 134.75,132.60,678,0.89
06-Jul-2011,127.50,130.00,126.50, 130.00,129.80,680,0.87
05-Jul-2011,126.50,130.00,126.50, 130.00,130.00,200,0.26
04-Jul-2011,128.00,130.00,127.00, 130.00,130.00,430,0.55
01-Jul-2011,126.00,129.85,126.00, 129.00,129.00,652,0.83
30-Jun-2011,128.50,129.00,127.05, 129.00,129.00,3350,4.29
29-Jun-2011,126.15,126.15,126.10, 126.10,126.15,70,0.09
28-Jun-2011,131.00,131.00,124.50, 129.90,128.55,38252,50.07
27-Jun-2011,126.05,126.05,126.00, 126.00,126.00,200,0.25
24-Jun-2011,130.80,130.80,125.10, 126.00,126.10,212,0.27
23-Jun-2011,127.00,128.10,125.00, 126.00,125.15,2263,2.84
22-Jun-2011,126.00,126.00,126.00, 126.00,126.00,216,0.27
21-Jun-2011,124.00,126.50,124.00, 125.00,126.05,237,0.30
20-Jun-2011,129.40,129.40,125.00, 125.50,125.50,261,0.33
17-Jun-2011,125.00,129.75,125.00, 126.50,126.50,506,0.63
15-Jun-2011,127.25,127.25,126.00, 126.00,126.30,850,1.07
14-Jun-2011,128.00,128.00,128.00, 128.00,128.00,19,0.02
13-Jun-2011,132.00,132.00,131.90, 131.90,131.90,7,0.01
