Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,14.20,14.60,13.95, 14.15,14.10,176357,25.12
29-Dec-2011,14.00,14.30,13.80, 14.00,14.05,130988,18.45
28-Dec-2011,14.55,14.60,14.05, 14.05,14.15,179242,25.52
27-Dec-2011,15.00,15.20,14.40, 14.70,14.60,216501,32.02
26-Dec-2011,15.75,15.75,14.40, 14.90,15.00,350947,52.39
23-Dec-2011,13.50,14.55,13.40, 14.55,14.55,844391,121.02
22-Dec-2011,13.50,13.50,12.65, 13.25,13.25,573933,74.97
21-Dec-2011,13.65,13.90,13.30, 13.40,13.50,410800,55.42
20-Dec-2011,14.45,14.45,13.10, 13.20,13.25,492416,67.24
19-Dec-2011,15.00,15.00,13.70, 14.15,14.15,326559,46.45
16-Dec-2011,15.55,15.80,14.90, 15.00,15.05,285684,43.89
15-Dec-2011,15.25,16.00,15.15, 15.45,15.50,1181439,184.18
14-Dec-2011,15.50,15.60,15.10, 15.20,15.15,209789,32.18
13-Dec-2011,15.40,15.70,15.20, 15.35,15.35,342957,52.93
12-Dec-2011,15.55,15.85,15.40, 15.65,15.60,423676,66.29
09-Dec-2011,15.90,16.00,15.15, 15.65,15.45,480248,74.69
08-Dec-2011,17.00,17.15,15.80, 16.00,15.95,464851,75.46
07-Dec-2011,16.85,17.25,16.70, 16.85,16.90,442294,75.02
05-Dec-2011,17.00,17.35,16.50, 16.65,16.60,435048,72.90
02-Dec-2011,17.00,17.30,16.80, 16.90,17.00,557633,94.88
01-Dec-2011,17.65,18.05,16.90, 17.10,17.00,536928,93.61
30-Nov-2011,17.30,17.55,16.30, 16.95,17.20,338755,58.10
29-Nov-2011,18.00,18.70,17.20, 17.75,17.60,635101,113.36
28-Nov-2011,17.50,18.25,17.50, 18.00,18.00,858020,152.98
25-Nov-2011,15.95,17.30,15.70, 17.15,17.05,889505,150.24
24-Nov-2011,15.10,16.40,15.00, 16.25,16.25,961315,152.47
23-Nov-2011,16.00,16.00,14.90, 15.05,15.10,790832,121.01
22-Nov-2011,16.20,16.20,15.50, 15.75,15.60,453121,71.51
21-Nov-2011,16.40,16.80,15.85, 15.90,16.00,572611,93.47
