Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,143.00,148.90,142.15, 145.05,145.25,231,0.34
29-Dec-2011,147.00,147.00,144.90, 144.90,145.15,1083,1.58
28-Dec-2011,154.90,154.90,147.25, 147.60,147.95,2728,4.05
27-Dec-2011,150.00,153.25,146.00, 146.70,147.55,452,0.67
26-Dec-2011,151.90,151.90,146.30, 148.10,149.55,198,0.30
23-Dec-2011,145.00,147.50,141.30, 146.00,146.10,1654,2.42
22-Dec-2011,141.20,145.00,141.15, 143.75,144.20,1525,2.19
21-Dec-2011,146.95,146.95,135.20, 143.00,143.70,7259,10.31
20-Dec-2011,146.00,148.20,141.10, 143.10,143.80,1053,1.52
19-Dec-2011,147.00,149.95,146.00, 149.70,148.85,2018,2.98
16-Dec-2011,150.00,153.00,146.00, 146.00,147.35,2620,3.92
15-Dec-2011,155.00,155.95,150.10, 151.00,152.05,2415,3.69
14-Dec-2011,157.95,157.95,153.15, 153.15,153.70,1451,2.26
13-Dec-2011,162.00,167.45,153.15, 154.00,154.85,6909,10.88
12-Dec-2011,172.45,172.45,165.00, 166.00,166.90,942,1.59
09-Dec-2011,176.95,176.95,161.55, 168.25,168.55,4328,7.28
08-Dec-2011,175.35,175.65,170.00, 172.80,172.75,1494,2.58
07-Dec-2011,179.95,181.40,176.50, 176.50,178.25,2941,5.26
05-Dec-2011,175.05,179.95,175.05, 179.50,179.45,258,0.46
02-Dec-2011,175.00,178.55,174.00, 176.15,177.00,1690,2.98
01-Dec-2011,175.15,181.95,175.15, 180.90,179.65,866,1.55
30-Nov-2011,175.00,181.70,175.00, 178.75,177.85,282,0.50
29-Nov-2011,177.05,178.85,175.20, 178.05,177.95,870,1.55
28-Nov-2011,175.00,178.00,173.05, 175.00,175.20,1198,2.10
25-Nov-2011,173.80,176.50,167.00, 176.40,175.35,4726,8.08
24-Nov-2011,170.00,173.85,165.00, 173.80,172.10,1371,2.32
23-Nov-2011,174.05,178.35,169.60, 171.00,171.45,1531,2.64
22-Nov-2011,173.75,178.20,173.75, 174.60,177.05,2624,4.63
21-Nov-2011,183.00,184.50,167.10, 170.40,172.40,2376,4.21
18-Nov-2011,179.10,185.85,179.10, 180.00,180.50,3739,6.80
17-Nov-2011,181.65,188.80,179.10, 185.00,184.50,5517,10.08
16-Nov-2011,185.55,189.95,181.40, 181.40,184.95,1031,1.91
15-Nov-2011,187.05,191.90,185.10, 185.25,185.90,640,1.21
14-Nov-2011,191.15,192.95,186.50, 189.65,187.45,2175,4.11
11-Nov-2011,197.30,197.30,190.10, 192.95,191.90,1746,3.36
09-Nov-2011,196.00,199.95,194.10, 196.90,195.70,2404,4.71
08-Nov-2011,204.00,204.00,193.00, 195.50,193.60,1898,3.73
04-Nov-2011,204.00,205.40,199.10, 199.10,199.20,2350,4.73
03-Nov-2011,204.75,204.75,198.00, 204.00,201.25,664,1.33
02-Nov-2011,197.50,210.00,197.00, 198.00,198.00,4701,9.45
01-Nov-2011,204.00,204.00,193.00, 195.00,196.40,4868,9.68
31-Oct-2011,205.30,209.95,201.10, 204.85,204.45,1598,3.27
28-Oct-2011,201.55,209.00,201.55, 204.50,206.15,1255,2.59
26-Oct-2011,207.55,207.55,203.10, 206.45,206.00,299,0.62
25-Oct-2011,200.00,204.10,200.00, 203.10,203.25,850,1.73
24-Oct-2011,202.55,215.00,200.05, 202.25,202.05,1184,2.38
21-Oct-2011,208.00,208.00,201.05, 201.05,202.55,2430,4.96
20-Oct-2011,204.00,208.55,200.00, 204.80,204.55,2668,5.43
19-Oct-2011,205.80,207.80,202.20, 204.00,204.40,6883,14.12
18-Oct-2011,204.00,213.00,204.00, 206.60,209.85,6089,12.81
17-Oct-2011,215.00,215.00,208.10, 212.10,213.10,2610,5.52
14-Oct-2011,209.95,210.95,205.05, 210.95,210.80,1282,2.68
13-Oct-2011,210.00,210.00,206.00, 206.00,207.60,1308,2.72
12-Oct-2011,207.40,209.50,205.00, 209.50,208.30,2142,4.45
11-Oct-2011,205.90,207.45,204.00, 206.00,206.00,831,1.71
