Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,5.95,5.95,5.80, 5.85,5.90,3156651,185.58
29-Dec-2011,6.05,6.15,5.80, 5.85,5.90,5624247,336.24
28-Dec-2011,6.55,6.60,6.05, 6.10,6.10,4246839,267.28
27-Dec-2011,6.90,6.90,6.35, 6.55,6.55,4074001,265.17
26-Dec-2011,6.60,6.65,6.40, 6.55,6.50,2464509,161.10
23-Dec-2011,6.40,6.70,6.30, 6.60,6.55,5225310,341.22
22-Dec-2011,6.20,6.40,6.15, 6.35,6.30,2577018,161.30
21-Dec-2011,5.90,6.55,5.85, 6.45,6.40,7719119,481.64
20-Dec-2011,6.00,6.10,5.75, 5.85,5.85,3417571,201.66
19-Dec-2011,6.20,6.20,5.75, 6.00,5.95,5166947,305.31
16-Dec-2011,6.10,6.35,6.05, 6.15,6.15,3151519,195.07
15-Dec-2011,6.30,6.35,6.00, 6.25,6.20,4597674,282.72
14-Dec-2011,6.65,6.75,6.30, 6.30,6.40,5858647,382.92
13-Dec-2011,6.65,6.80,6.60, 6.70,6.70,2063058,138.59
12-Dec-2011,6.75,6.90,6.60, 6.70,6.80,3156868,213.28
09-Dec-2011,6.70,6.75,6.35, 6.70,6.65,4669348,307.47
08-Dec-2011,7.05,7.05,6.65, 6.75,6.75,3561451,243.05
07-Dec-2011,6.80,7.05,6.80, 7.00,7.00,2902402,202.62
05-Dec-2011,6.95,6.95,6.80, 6.85,6.85,2027694,139.32
02-Dec-2011,6.70,6.95,6.70, 6.95,6.90,2660616,181.79
01-Dec-2011,6.90,6.95,6.75, 6.75,6.80,3342850,228.48
30-Nov-2011,6.95,7.00,6.50, 6.60,6.60,5547892,372.41
29-Nov-2011,7.05,7.20,6.85, 6.90,6.90,4790428,335.18
28-Nov-2011,7.10,7.10,6.95, 7.10,7.05,3009233,212.03
25-Nov-2011,6.85,7.10,6.75, 6.95,6.95,3667138,255.38
24-Nov-2011,6.90,6.95,6.70, 6.80,6.80,7265139,496.47
23-Nov-2011,7.15,7.15,6.75, 6.85,6.85,6060154,421.18
22-Nov-2011,7.05,7.25,7.00, 7.20,7.15,5303060,377.28
21-Nov-2011,7.00,7.35,6.90, 6.95,7.00,8627261,609.05
18-Nov-2011,7.00,7.15,6.80, 7.15,7.05,4888153,339.16
17-Nov-2011,7.15,7.20,6.60, 7.05,7.05,5585673,395.05
16-Nov-2011,6.70,7.55,6.55, 7.05,7.00,16453485,1158.37
15-Nov-2011,7.95,7.95,6.90, 7.05,7.05,13403524,978.76
14-Nov-2011,8.55,8.55,7.70, 7.80,7.95,6307784,517.37
11-Nov-2011,9.00,9.00,8.30, 8.40,8.40,10681179,910.73
09-Nov-2011,9.45,9.55,8.95, 8.95,9.05,4451776,412.26
08-Nov-2011,9.65,9.70,9.20, 9.45,9.40,3735685,354.87
04-Nov-2011,9.80,9.85,9.55, 9.65,9.65,3577511,346.29
03-Nov-2011,9.70,9.80,9.50, 9.60,9.55,2980929,286.97
02-Nov-2011,9.80,9.85,9.65, 9.70,9.70,2210525,215.50
01-Nov-2011,9.90,10.00,9.70, 9.80,9.80,3282396,323.76
31-Oct-2011,10.10,10.10,9.85, 9.90,9.90,3020505,301.79
28-Oct-2011,10.10,10.20,9.90, 10.05,10.05,4989742,501.81
26-Oct-2011,9.90,10.00,9.70, 9.90,9.90,1999608,196.48
25-Oct-2011,10.15,10.15,9.70, 9.70,9.75,3958912,388.57
24-Oct-2011,10.20,10.20,9.80, 9.90,9.85,3173085,317.00
21-Oct-2011,9.85,10.25,9.80, 9.95,9.90,4667328,469.20
20-Oct-2011,9.90,10.10,9.85, 10.00,10.00,3124257,310.94
19-Oct-2011,10.10,10.10,9.90, 9.90,9.95,2721239,271.99
18-Oct-2011,10.00,10.20,9.75, 9.90,9.95,5523682,549.98
17-Oct-2011,10.25,10.25,10.00, 10.15,10.10,2649652,267.22
14-Oct-2011,10.40,10.40,9.95, 10.10,10.05,4338675,437.90
13-Oct-2011,10.15,10.65,10.00, 10.15,10.10,13517857,1391.12
12-Oct-2011,10.20,10.30,9.80, 10.10,10.15,6550830,659.11
11-Oct-2011,10.25,10.70,9.95, 10.05,10.05,15312350,1576.03
10-Oct-2011,10.00,10.00,9.70, 9.95,9.90,4255991,421.21
07-Oct-2011,9.75,10.00,9.70, 9.85,9.80,4649576,458.06
05-Oct-2011,10.05,10.05,9.35, 9.55,9.55,7539085,733.39
04-Oct-2011,9.90,10.20,9.65, 9.75,9.75,5468527,542.36
03-Oct-2011,10.00,10.20,9.75, 9.95,9.95,7630539,760.46
30-Sep-2011,10.05,10.50,9.75, 10.10,10.10,12402919,1257.64
29-Sep-2011,10.05,10.40,9.50, 10.35,10.25,19669813,1943.88
28-Sep-2011,10.65,10.70,9.75, 9.85,9.85,18427164,1869.95
27-Sep-2011,10.80,11.05,10.40, 10.45,10.55,12310388,1322.27
26-Sep-2011,11.00,11.25,10.55, 10.55,10.65,9652350,1046.02
23-Sep-2011,11.00,11.30,10.65, 11.10,11.05,17855354,1965.64
22-Sep-2011,10.70,11.55,10.20, 11.00,11.00,36779356,4084.10
21-Sep-2011,11.90,11.90,10.55, 10.95,11.05,36940301,4111.64
20-Sep-2011,12.35,12.60,12.30, 12.40,12.35,5764882,715.14
19-Sep-2011,12.10,12.45,11.90, 12.30,12.35,9120811,1115.17
16-Sep-2011,12.60,12.60,12.05, 12.25,12.25,12484754,1534.50
15-Sep-2011,12.70,12.90,12.15, 12.30,12.35,10936547,1348.06
14-Sep-2011,12.30,12.95,12.05, 12.60,12.50,26316185,3284.81
13-Sep-2011,11.50,13.10,11.25, 12.25,12.10,74960315,9404.06
12-Sep-2011,10.75,11.25,10.50, 11.00,11.00,26143616,2856.03
09-Sep-2011,10.85,11.65,10.55, 11.00,11.05,32427099,3592.23
08-Sep-2011,10.00,10.85,9.90, 10.70,10.75,20986077,2202.06
07-Sep-2011,9.45,10.20,9.45, 9.95,9.90,8018897,783.57
06-Sep-2011,9.75,9.75,8.95, 9.45,9.45,10467572,977.48
05-Sep-2011,10.00,10.20,9.55, 9.70,9.65,4789559,466.82
02-Sep-2011,10.10,10.20,9.65, 10.00,9.95,7341120,728.85
30-Aug-2011,10.10,10.45,9.95, 10.05,10.05,10218795,1034.35
29-Aug-2011,9.80,10.20,9.80, 10.10,10.00,11098779,1111.57
26-Aug-2011,10.05,10.40,9.40, 9.50,9.55,20383778,1978.06
25-Aug-2011,10.80,11.15,9.30, 10.00,10.00,45548954,4620.74
24-Aug-2011,10.45,11.25,10.45, 10.60,10.65,36068780,3928.79
23-Aug-2011,9.85,10.80,9.45, 10.35,10.45,34492269,3510.51
22-Aug-2011,8.75,9.60,8.40, 9.55,9.45,22075783,2002.18
19-Aug-2011,8.40,8.70,8.00, 8.65,8.50,26759596,2232.72
18-Aug-2011,8.15,9.05,8.10, 8.50,8.40,46142336,3976.92
17-Aug-2011,8.95,9.50,7.65, 8.00,7.95,72605173,6200.47
16-Aug-2011,12.70,13.05,8.40, 8.50,8.65,51064613,5025.38
12-Aug-2011,13.65,13.65,12.45, 12.50,12.60,7381602,957.47
11-Aug-2011,13.25,13.60,12.95, 13.20,13.20,6467599,856.83
10-Aug-2011,13.95,14.35,13.45, 13.60,13.55,11599652,1589.57
09-Aug-2011,13.10,13.95,12.25, 13.40,13.45,10508754,1415.45
08-Aug-2011,13.70,14.40,13.20, 13.70,13.90,13822099,1912.44
05-Aug-2011,16.00,16.00,12.80, 14.60,14.65,22077996,3113.78
04-Aug-2011,17.25,17.35,16.30, 16.40,16.40,5377072,909.13
03-Aug-2011,17.90,17.90,16.85, 17.20,17.15,6231536,1070.53
02-Aug-2011,18.35,18.35,17.70, 17.90,17.90,1720868,308.72
01-Aug-2011,18.85,19.20,18.10, 18.40,18.35,1302130,241.45
29-Jul-2011,18.65,19.15,18.60, 18.75,18.75,1751226,330.13
28-Jul-2011,19.65,19.75,18.15, 18.70,18.55,6292334,1180.64
27-Jul-2011,19.80,20.10,19.65, 19.85,19.75,980255,194.49
26-Jul-2011,20.20,20.50,19.65, 19.85,19.75,2370990,474.74
25-Jul-2011,20.25,20.55,19.95, 20.10,20.15,1687842,341.19
22-Jul-2011,19.75,20.55,19.65, 20.10,20.15,1925506,387.48
21-Jul-2011,20.30,20.30,19.50, 19.65,19.60,1199739,237.04
20-Jul-2011,20.90,21.00,19.90, 20.00,20.05,1722808,350.73
19-Jul-2011,20.65,21.00,20.50, 20.70,20.60,1923340,398.77
18-Jul-2011,20.70,21.00,20.55, 20.60,20.65,1157480,240.44
15-Jul-2011,20.95,21.15,20.50, 20.70,20.65,1434843,298.96
14-Jul-2011,21.10,21.60,20.60, 20.70,20.85,2522968,531.66
13-Jul-2011,21.20,21.40,20.85, 21.00,21.10,2173288,458.79
12-Jul-2011,20.85,22.00,20.60, 20.95,21.00,4539262,959.71
11-Jul-2011,21.40,21.70,21.10, 21.25,21.25,1666420,355.85
08-Jul-2011,22.65,22.75,21.50, 21.85,21.70,3491506,769.74
07-Jul-2011,22.55,22.80,22.40, 22.60,22.50,1811128,408.60
06-Jul-2011,22.40,22.90,22.35, 22.45,22.45,2436418,550.67
05-Jul-2011,23.10,23.15,22.40, 22.65,22.70,4263333,969.55
04-Jul-2011,22.50,23.05,22.15, 23.00,22.85,6059145,1372.13
01-Jul-2011,22.10,22.40,21.55, 21.90,21.90,5534642,1216.36
30-Jun-2011,22.50,22.80,21.85, 21.95,22.10,15476299,3443.23
29-Jun-2011,19.30,22.35,19.25, 21.95,21.90,23011370,4976.85
28-Jun-2011,19.10,19.15,18.25, 18.75,18.80,2209314,415.47
27-Jun-2011,18.80,19.55,18.80, 18.85,18.90,3002348,573.98
24-Jun-2011,18.40,19.35,18.25, 19.05,19.15,4620173,870.75
23-Jun-2011,18.50,19.00,16.70, 18.20,18.00,8233487,1448.40
22-Jun-2011,19.70,19.95,18.60, 18.75,18.65,3775716,725.21
21-Jun-2011,19.00,20.40,19.00, 19.35,19.35,8298199,1643.57
20-Jun-2011,24.00,24.30,16.50, 18.85,18.95,22116999,4225.29
17-Jun-2011,24.55,24.80,23.85, 23.90,24.10,2992668,730.81
16-Jun-2011,24.50,24.80,24.25, 24.30,24.30,1784313,436.93
15-Jun-2011,24.65,25.30,24.40, 24.65,24.60,3098883,770.65
14-Jun-2011,24.60,25.10,24.30, 24.45,24.45,2682305,662.37
13-Jun-2011,24.70,24.70,24.15, 24.25,24.30,2385092,582.59
10-Jun-2011,25.55,25.60,24.25, 24.80,24.70,3979387,989.14
09-Jun-2011,25.95,26.00,25.15, 25.35,25.35,2427923,618.08
08-Jun-2011,26.10,26.30,21.10, 25.60,25.70,2199663,569.94
07-Jun-2011,25.80,26.45,25.55, 26.15,26.20,3216891,839.62
06-Jun-2011,26.60,26.60,25.50, 25.80,25.80,3521870,910.15
03-Jun-2011,27.00,27.45,26.05, 26.15,26.15,7116202,1897.92
02-Jun-2011,26.75,27.95,26.40, 26.65,26.70,16939848,4591.18
01-Jun-2011,25.40,27.60,24.75, 27.20,27.05,20135859,5302.40
31-May-2011,25.50,25.90,24.60, 25.25,25.30,9442252,2373.41
