Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,14.80,15.15,14.35, 14.55,14.45,10602,1.57
29-Dec-2011,15.40,15.45,14.75, 15.00,15.05,15211,2.29
28-Dec-2011,15.95,15.95,15.15, 15.15,15.35,10123,1.58
27-Dec-2011,15.90,16.00,15.55, 15.75,15.75,14165,2.24
26-Dec-2011,15.40,16.00,15.15, 15.20,15.45,13452,2.09
23-Dec-2011,14.80,15.90,14.30, 15.35,15.35,26415,4.07
22-Dec-2011,15.25,15.25,14.25, 14.70,14.80,12150,1.79
21-Dec-2011,14.35,14.95,14.20, 14.85,14.85,13271,1.96
20-Dec-2011,14.50,14.75,14.00, 14.40,14.55,11738,1.67
19-Dec-2011,15.55,15.80,14.30, 14.70,14.45,23721,3.48
16-Dec-2011,15.50,17.15,14.15, 15.50,15.55,128401,20.64
15-Dec-2011,14.05,15.70,13.65, 15.00,14.95,88651,13.21
14-Dec-2011,13.50,15.85,13.20, 14.50,14.50,99321,14.66
13-Dec-2011,13.50,13.90,13.50, 13.65,13.70,21454,2.93
12-Dec-2011,13.95,13.95,13.65, 13.80,13.85,16855,2.33
09-Dec-2011,13.75,13.95,13.05, 13.80,13.80,18271,2.47
08-Dec-2011,14.05,14.20,13.60, 13.60,13.75,20600,2.85
07-Dec-2011,14.05,14.55,14.05, 14.10,14.15,35622,5.07
05-Dec-2011,14.40,14.40,13.85, 13.85,14.00,18353,2.58
02-Dec-2011,14.40,14.45,13.75, 14.00,14.00,71813,10.00
01-Dec-2011,14.25,14.55,14.10, 14.25,14.25,29032,4.14
30-Nov-2011,13.60,14.55,13.50, 14.10,14.20,24518,3.44
29-Nov-2011,14.35,14.35,13.75, 13.90,13.80,43882,6.13
28-Nov-2011,14.00,14.75,13.95, 14.05,14.10,67100,9.49
25-Nov-2011,13.95,14.25,13.70, 13.80,13.90,65261,9.12
24-Nov-2011,13.70,14.40,13.45, 13.80,13.95,81631,11.16
23-Nov-2011,14.70,14.80,13.00, 13.75,13.45,156100,21.83
22-Nov-2011,15.30,15.60,14.50, 14.80,14.55,43908,6.63
21-Nov-2011,15.55,15.90,15.20, 15.50,15.50,58744,9.12
18-Nov-2011,15.50,15.50,14.50, 15.50,15.35,37220,5.61
17-Nov-2011,15.85,16.60,14.90, 14.90,15.15,90101,13.96
16-Nov-2011,16.90,16.90,14.90, 16.20,16.10,81222,13.13
15-Nov-2011,18.50,19.00,16.45, 17.00,16.60,138222,23.83
14-Nov-2011,19.40,19.70,18.55, 18.65,18.70,64776,12.27
11-Nov-2011,19.35,19.75,19.05, 19.25,19.40,41368,8.01
09-Nov-2011,20.00,21.00,19.45, 19.45,19.50,106125,21.33
08-Nov-2011,19.40,21.20,19.30, 19.65,19.65,92884,18.34
04-Nov-2011,19.05,20.00,19.00, 19.40,19.30,151463,29.53
03-Nov-2011,20.00,20.00,19.40, 19.50,19.55,52761,10.32
02-Nov-2011,20.10,20.70,19.60, 19.75,19.70,80233,15.96
01-Nov-2011,20.00,20.55,20.00, 20.10,20.05,44936,9.06
31-Oct-2011,20.05,20.45,19.55, 20.05,19.95,117252,23.37
28-Oct-2011,20.35,22.00,19.85, 19.95,20.10,100369,20.18
26-Oct-2011,19.55,20.25,19.55, 20.15,20.05,11308,2.26
25-Oct-2011,20.45,20.65,19.45, 19.70,19.55,82671,16.39
24-Oct-2011,19.50,22.40,19.50, 19.80,19.85,42779,8.63
21-Oct-2011,19.75,19.95,19.35, 19.50,19.40,39234,7.68
20-Oct-2011,19.60,19.80,19.40, 19.50,19.55,27544,5.39
19-Oct-2011,19.75,20.30,19.55, 19.55,19.60,153150,30.26
18-Oct-2011,20.05,20.20,19.40, 19.70,19.55,63637,12.57
17-Oct-2011,20.60,20.90,19.55, 19.70,19.75,87261,17.59
14-Oct-2011,20.75,20.75,20.00, 20.10,20.15,31413,6.36
13-Oct-2011,20.10,20.90,20.00, 20.45,20.25,92242,18.99
12-Oct-2011,20.50,20.85,19.65, 19.95,20.00,73062,14.65
11-Oct-2011,21.90,22.15,19.30, 20.20,20.40,160384,33.74
10-Oct-2011,21.05,22.70,21.05, 21.30,21.30,81951,17.53
07-Oct-2011,22.15,22.95,21.55, 21.60,21.65,40573,8.93
05-Oct-2011,22.00,22.45,21.25, 21.90,21.60,35107,7.73
04-Oct-2011,22.25,22.90,21.75, 22.00,22.00,24846,5.51
03-Oct-2011,23.10,23.20,22.25, 22.50,22.50,35441,8.02
30-Sep-2011,22.40,24.00,22.40, 23.80,23.40,20377,4.79
29-Sep-2011,23.50,24.40,23.20, 23.65,23.45,39107,9.23
28-Sep-2011,24.90,24.90,23.40, 23.45,23.55,45179,10.74
27-Sep-2011,24.00,24.80,23.70, 24.25,24.25,19813,4.83
26-Sep-2011,25.25,25.25,23.65, 24.00,24.05,32168,7.78
23-Sep-2011,24.50,25.10,24.30, 24.80,24.90,72361,17.98
22-Sep-2011,26.00,26.20,25.10, 25.10,25.30,73631,18.99
21-Sep-2011,25.70,28.00,25.35, 26.60,26.60,224729,60.28
20-Sep-2011,25.65,26.00,25.50, 25.65,25.60,144443,37.21
19-Sep-2011,26.20,26.20,25.25, 25.70,25.85,26506,6.81
16-Sep-2011,26.10,26.35,25.50, 25.60,25.70,62672,16.27
15-Sep-2011,26.25,26.50,25.90, 26.10,26.20,39219,10.27
14-Sep-2011,26.70,26.90,25.80, 26.30,26.25,88249,23.16
13-Sep-2011,26.70,27.35,26.40, 26.45,26.60,40091,10.79
12-Sep-2011,27.95,27.95,26.40, 26.65,26.70,72439,19.55
09-Sep-2011,28.40,29.00,26.90, 28.00,28.00,408352,115.70
08-Sep-2011,25.35,26.80,25.25, 25.60,25.60,106401,27.76
07-Sep-2011,24.80,25.95,24.50, 25.70,25.35,40431,10.24
06-Sep-2011,24.30,24.90,24.10, 24.70,24.60,28777,7.02
05-Sep-2011,24.90,24.90,23.75, 24.75,24.70,15825,3.85
02-Sep-2011,25.00,25.15,24.25, 24.40,24.50,20998,5.17
30-Aug-2011,24.35,25.45,24.00, 25.45,24.90,25453,6.26
29-Aug-2011,23.30,24.45,22.15, 23.70,23.75,40054,9.20
26-Aug-2011,23.30,23.40,22.30, 22.70,22.45,46569,10.64
