Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,22.00,22.00,20.15, 21.30,21.45,6044,1.31
29-Dec-2011,20.20,22.00,20.05, 21.35,21.35,5934,1.27
28-Dec-2011,21.00,22.00,19.50, 21.05,21.15,9356,1.98
27-Dec-2011,20.50,21.90,20.50, 21.60,21.60,6989,1.50
26-Dec-2011,19.50,21.30,19.50, 20.90,20.90,13150,2.74
23-Dec-2011,20.00,20.40,19.15, 20.05,20.00,9648,1.91
22-Dec-2011,19.05,19.90,18.00, 19.35,19.65,12742,2.44
21-Dec-2011,18.30,20.50,17.60, 19.40,19.35,8776,1.71
20-Dec-2011,19.50,19.50,19.00, 19.00,19.35,8454,1.62
19-Dec-2011,25.00,25.00,19.45, 19.45,19.70,11890,2.37
16-Dec-2011,21.70,23.35,20.50, 22.30,21.25,8322,1.81
15-Dec-2011,22.65,23.95,21.15, 21.50,21.40,8057,1.76
14-Dec-2011,23.35,24.30,22.50, 22.60,22.65,5153,1.20
13-Dec-2011,23.55,24.40,23.15, 23.30,23.35,7482,1.76
12-Dec-2011,25.90,25.90,24.00, 24.00,24.20,6108,1.48
09-Dec-2011,24.00,24.55,24.00, 24.10,24.20,4317,1.05
08-Dec-2011,25.00,25.00,24.45, 24.50,24.80,3280,0.81
07-Dec-2011,25.90,25.90,24.50, 24.55,24.75,2404,0.60
05-Dec-2011,23.10,25.50,23.10, 25.40,25.05,4068,1.03
02-Dec-2011,24.10,24.90,24.05, 24.35,24.45,8196,2.01
01-Dec-2011,24.95,25.45,24.25, 24.30,24.40,6767,1.67
30-Nov-2011,24.55,25.55,24.30, 24.30,24.40,6025,1.49
29-Nov-2011,25.00,26.40,24.10, 25.05,25.10,9300,2.37
28-Nov-2011,26.00,26.00,23.65, 25.35,25.30,15684,3.91
25-Nov-2011,23.50,25.50,23.50, 24.65,24.95,5984,1.49
24-Nov-2011,24.05,24.55,23.55, 23.95,23.90,10465,2.52
23-Nov-2011,24.50,24.90,24.00, 24.20,24.20,6076,1.49
22-Nov-2011,25.00,25.00,24.25, 24.60,24.55,6080,1.50
21-Nov-2011,25.00,25.00,23.95, 24.80,24.75,8785,2.16
18-Nov-2011,25.00,25.40,23.00, 24.30,24.55,15373,3.76
17-Nov-2011,26.45,26.45,25.05, 25.45,25.35,7238,1.84
16-Nov-2011,26.15,27.00,25.60, 26.05,25.80,11136,2.91
15-Nov-2011,28.80,28.80,27.00, 27.50,27.25,6954,1.92
14-Nov-2011,29.05,29.25,28.10, 28.85,28.45,4116,1.18
11-Nov-2011,29.25,30.00,28.50, 29.15,29.15,4993,1.46
09-Nov-2011,29.70,30.00,29.30, 29.60,29.45,4943,1.46
08-Nov-2011,30.10,30.40,29.10, 29.65,29.65,5627,1.68
04-Nov-2011,29.65,30.15,29.60, 29.70,29.85,6046,1.81
03-Nov-2011,29.60,30.50,29.10, 29.75,29.55,5509,1.63
02-Nov-2011,30.90,30.90,29.10, 29.70,29.70,9540,2.86
01-Nov-2011,29.50,30.50,29.50, 30.00,29.95,6251,1.88
31-Oct-2011,29.50,30.45,29.50, 30.25,30.15,16892,5.09
28-Oct-2011,30.05,30.50,30.00, 30.10,30.10,21304,6.43
26-Oct-2011,30.80,31.60,30.00, 30.30,30.30,11056,3.34
25-Oct-2011,29.50,30.45,28.85, 29.80,29.75,18586,5.54
