Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,94.00,98.90,94.00, 96.00,96.00,5297,5.11
29-Dec-2011,93.25,98.80,93.25, 96.50,96.35,2493,2.42
28-Dec-2011,98.15,100.00,96.30, 97.15,97.30,4236,4.14
27-Dec-2011,98.25,101.90,98.25, 99.20,100.05,1349,1.36
26-Dec-2011,100.10,101.80,98.20, 101.00,101.00,6031,6.06
23-Dec-2011,97.20,102.40,97.20, 98.05,99.55,6358,6.36
22-Dec-2011,95.25,101.50,95.25, 100.00,100.15,10067,9.97
21-Dec-2011,100.05,101.45,98.45, 100.00,99.85,6893,6.88
20-Dec-2011,96.50,100.95,96.00, 98.10,98.65,4331,4.29
19-Dec-2011,98.10,100.60,94.50, 100.60,99.25,15294,14.87
16-Dec-2011,104.00,107.70,99.00, 99.05,101.70,26748,28.19
15-Dec-2011,102.20,107.80,102.20, 103.70,104.05,14449,15.15
14-Dec-2011,111.00,114.40,106.10, 106.35,107.25,81016,90.06
13-Dec-2011,102.00,108.00,101.00, 106.50,104.10,12811,13.27
12-Dec-2011,105.50,108.35,102.00, 102.00,103.15,7625,7.95
09-Dec-2011,105.15,109.00,105.15, 108.70,107.75,8888,9.58
08-Dec-2011,111.65,112.00,108.80, 111.90,110.05,16407,18.05
07-Dec-2011,110.15,115.75,110.15, 113.05,113.50,13548,15.46
05-Dec-2011,111.25,114.70,111.25, 113.00,113.20,6187,7.03
02-Dec-2011,110.50,115.40,109.05, 115.25,113.05,19564,21.83
01-Dec-2011,118.25,123.90,111.55, 111.55,113.45,115005,134.65
30-Nov-2011,105.50,109.65,105.00, 109.60,109.15,6791,7.30
29-Nov-2011,108.50,108.50,105.55, 107.65,107.20,2162,2.32
28-Nov-2011,104.35,109.00,104.35, 108.30,108.50,5750,6.22
25-Nov-2011,99.50,109.45,99.50, 105.50,105.80,11446,12.08
24-Nov-2011,96.00,101.50,96.00, 100.90,100.95,4894,4.87
23-Nov-2011,96.35,98.90,96.35, 97.85,97.90,12524,12.21
22-Nov-2011,98.50,100.00,96.10, 100.00,98.05,10852,10.60
21-Nov-2011,99.00,100.95,97.00, 98.50,98.10,13967,13.79
18-Nov-2011,99.00,103.00,98.05, 102.95,101.90,17820,17.97
17-Nov-2011,101.05,106.70,100.40, 104.00,104.75,16087,16.84
16-Nov-2011,104.00,105.95,101.00, 103.95,102.80,11633,12.03
15-Nov-2011,109.00,111.05,105.05, 106.70,106.40,14972,16.14
14-Nov-2011,114.00,117.90,110.05, 111.55,110.90,19004,21.42
11-Nov-2011,117.00,117.00,112.50, 115.05,115.20,25851,29.58
09-Nov-2011,114.20,125.00,114.20, 116.75,116.80,21805,26.03
08-Nov-2011,125.75,127.55,122.10, 124.90,124.40,36957,46.18
04-Nov-2011,123.60,126.20,119.40, 124.00,122.70,62279,76.91
03-Nov-2011,118.50,130.60,118.00, 122.00,121.50,368091,464.03
02-Nov-2011,115.80,121.60,114.00, 117.75,117.55,48556,57.79
01-Nov-2011,117.00,118.10,113.75, 113.75,115.20,7761,9.02
31-Oct-2011,118.85,119.10,116.00, 117.50,117.25,6271,7.38
28-Oct-2011,117.20,119.85,116.20, 117.85,117.35,9275,10.90
26-Oct-2011,117.80,117.80,116.10, 117.15,116.45,3290,3.83
25-Oct-2011,119.75,119.75,114.55, 116.50,116.25,10007,11.67
24-Oct-2011,117.75,121.80,116.95, 117.05,117.45,33107,39.35
21-Oct-2011,119.75,123.35,115.35, 116.05,116.90,76197,91.46
20-Oct-2011,113.10,118.00,112.80, 117.35,116.75,18252,21.06
19-Oct-2011,112.55,116.25,112.55, 114.00,114.30,20642,23.68
18-Oct-2011,113.00,113.70,111.10, 112.30,112.30,6234,6.99
17-Oct-2011,115.60,116.00,112.00, 114.90,113.75,27019,30.88
14-Oct-2011,114.00,116.50,111.15, 114.00,114.20,27305,31.19
13-Oct-2011,114.00,121.50,113.90, 115.00,114.80,124038,146.35
12-Oct-2011,113.95,113.95,110.50, 112.10,112.35,20505,22.96
11-Oct-2011,112.80,116.50,109.10, 110.20,110.95,44344,49.94
10-Oct-2011,104.75,114.90,104.00, 113.00,112.40,60066,66.64
07-Oct-2011,104.80,104.80,101.10, 102.10,102.45,12865,13.24
05-Oct-2011,105.55,105.55,97.55, 98.50,98.20,13642,13.76
04-Oct-2011,101.25,108.80,98.25, 103.00,102.25,26093,27.13
03-Oct-2011,105.00,106.70,103.10, 104.20,104.80,8490,8.89
30-Sep-2011,111.00,111.45,105.50, 106.10,106.80,14453,15.72
29-Sep-2011,110.00,112.90,109.00, 110.20,110.85,22086,24.51
28-Sep-2011,114.00,114.00,109.35, 110.00,110.35,15939,17.77
27-Sep-2011,114.50,114.90,111.05, 114.00,112.65,28226,31.94
26-Sep-2011,110.40,119.85,108.00, 110.35,111.60,124879,140.62
23-Sep-2011,108.30,112.00,105.40, 107.75,107.95,33949,36.58
22-Sep-2011,115.10,119.00,108.10, 112.00,110.45,38940,44.20
21-Sep-2011,119.55,122.00,117.25, 118.95,118.15,29601,35.52
20-Sep-2011,118.10,121.80,118.10, 119.55,119.35,33071,39.54
19-Sep-2011,116.10,121.40,114.25, 118.20,118.85,44209,52.48
16-Sep-2011,118.80,122.90,113.70, 116.10,116.75,90828,108.02
15-Sep-2011,111.25,119.75,110.50, 116.45,117.70,118530,137.32
14-Sep-2011,113.40,115.05,108.10, 108.70,109.15,52484,58.01
13-Sep-2011,112.00,117.30,108.10, 114.50,113.40,59871,67.28
12-Sep-2011,115.00,116.45,110.35, 113.90,113.25,59154,67.21
09-Sep-2011,123.05,125.00,117.00, 117.80,117.60,67623,81.82
08-Sep-2011,118.00,124.20,116.05, 123.20,122.40,185225,224.61
07-Sep-2011,125.00,135.80,113.90, 117.00,117.15,684141,851.91
06-Sep-2011,104.15,124.45,104.15, 124.45,124.45,529660,617.32
05-Sep-2011,96.00,105.30,95.30, 104.25,103.70,41932,42.33
02-Sep-2011,90.25,100.40,90.00, 97.70,97.40,37679,36.17
30-Aug-2011,92.30,94.25,91.15, 93.50,93.25,13920,12.92
29-Aug-2011,90.00,94.00,90.00, 92.00,91.45,9419,8.66
26-Aug-2011,90.25,94.45,88.15, 89.00,89.05,14377,13.03
25-Aug-2011,95.15,96.70,91.50, 92.80,93.45,14108,13.14
24-Aug-2011,95.10,97.25,95.10, 95.10,95.30,17123,16.42
23-Aug-2011,94.50,97.45,94.10, 95.55,95.10,21031,20.13
22-Aug-2011,88.60,95.40,88.60, 93.60,93.90,54417,50.45
19-Aug-2011,85.50,93.55,83.45, 92.00,90.85,43593,38.40
18-Aug-2011,88.00,92.30,87.00, 87.30,87.65,37244,33.12
17-Aug-2011,92.25,98.80,86.95, 91.45,91.30,36935,33.99
16-Aug-2011,101.00,101.95,92.00, 95.60,94.75,38943,38.26
12-Aug-2011,99.50,104.65,98.50, 98.75,99.30,96067,97.17
11-Aug-2011,96.70,107.75,94.05, 98.00,98.90,185434,190.49
10-Aug-2011,88.00,101.60,88.00, 97.25,98.60,351436,343.65
09-Aug-2011,88.00,90.70,81.50, 85.30,86.40,41316,36.38
08-Aug-2011,87.00,94.90,87.00, 90.20,90.40,45968,42.19
05-Aug-2011,86.05,96.85,86.05, 96.85,95.10,63217,59.02
04-Aug-2011,102.80,116.10,97.15, 99.60,99.35,154759,166.73
03-Aug-2011,103.80,111.30,103.80, 106.60,106.10,35505,38.10
02-Aug-2011,107.00,114.00,105.20, 108.00,108.70,42530,46.36
01-Aug-2011,119.95,119.95,110.00, 112.05,112.85,51706,58.86
29-Jul-2011,114.25,123.50,109.20, 113.00,113.35,95236,112.82
28-Jul-2011,117.00,126.70,115.50, 119.00,118.70,297728,362.78
27-Jul-2011,106.50,124.40,106.25, 119.70,120.10,587681,695.56
26-Jul-2011,112.25,112.80,105.00, 105.15,106.65,74015,79.98
25-Jul-2011,102.00,115.70,102.00, 110.65,112.15,567864,631.55
22-Jul-2011,86.05,105.45,86.05, 101.00,101.25,260018,262.81
21-Jul-2011,87.30,91.95,87.30, 88.60,88.85,7986,7.17
