Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,0.35,0.45,0.35, 0.45,0.35,18352,0.07
29-Dec-2011,0.40,0.45,0.40, 0.40,0.40,21138,0.09
28-Dec-2011,0.35,0.45,0.35, 0.45,0.45,13684,0.06
27-Dec-2011,0.40,0.45,0.35, 0.40,0.40,11760,0.05
26-Dec-2011,0.35,0.40,0.35, 0.40,0.40,21600,0.08
23-Dec-2011,0.40,0.40,0.35, 0.35,0.35,15798,0.06
22-Dec-2011,0.40,0.40,0.35, 0.40,0.40,39748,0.15
21-Dec-2011,0.40,0.40,0.35, 0.40,0.35,74132,0.28
20-Dec-2011,0.35,0.40,0.35, 0.40,0.40,8482,0.03
19-Dec-2011,0.35,0.40,0.35, 0.35,0.35,15412,0.06
16-Dec-2011,0.35,0.40,0.35, 0.35,0.35,23187,0.08
15-Dec-2011,0.40,0.45,0.35, 0.45,0.40,36939,0.15
14-Dec-2011,0.40,0.45,0.40, 0.40,0.40,23057,0.09
13-Dec-2011,0.40,0.45,0.40, 0.40,0.45,16902,0.07
12-Dec-2011,0.40,0.45,0.40, 0.40,0.40,18331,0.08
09-Dec-2011,0.40,0.45,0.40, 0.45,0.45,5398,0.02
08-Dec-2011,0.40,0.45,0.40, 0.45,0.45,49953,0.21
07-Dec-2011,0.45,0.45,0.40, 0.45,0.45,15510,0.07
05-Dec-2011,0.40,0.45,0.40, 0.45,0.45,25893,0.11
02-Dec-2011,0.45,0.50,0.40, 0.50,0.45,11723,0.05
01-Dec-2011,0.40,0.45,0.40, 0.45,0.45,22765,0.10
30-Nov-2011,0.40,0.45,0.40, 0.40,0.40,47137,0.21
29-Nov-2011,0.40,0.45,0.40, 0.45,0.40,14702,0.06
28-Nov-2011,0.40,0.45,0.40, 0.45,0.45,16488,0.07
25-Nov-2011,0.40,0.45,0.40, 0.40,0.40,27284,0.11
24-Nov-2011,0.45,0.45,0.40, 0.40,0.40,20723,0.09
23-Nov-2011,0.45,0.45,0.40, 0.45,0.40,45914,0.19
22-Nov-2011,0.40,0.50,0.40, 0.45,0.45,9194,0.04
21-Nov-2011,0.40,0.50,0.40, 0.45,0.45,29532,0.13
18-Nov-2011,0.40,0.45,0.40, 0.40,0.40,23814,0.10
17-Nov-2011,0.40,0.45,0.40, 0.40,0.40,4274,0.02
16-Nov-2011,0.40,0.50,0.40, 0.50,0.45,57050,0.25
15-Nov-2011,0.40,0.50,0.40, 0.50,0.50,121930,0.59
14-Nov-2011,0.50,0.50,0.40, 0.50,0.50,110500,0.48
