Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,59.15,61.60,59.15, 60.20,60.35,2700,1.64
29-Dec-2011,60.10,60.95,58.05, 60.90,60.05,3691,2.22
28-Dec-2011,61.45,61.45,59.00, 59.00,59.15,3335,1.99
27-Dec-2011,60.40,63.00,58.25, 60.10,60.35,9854,6.06
26-Dec-2011,60.40,61.85,60.20, 61.05,61.15,7066,4.32
23-Dec-2011,58.05,62.95,57.85, 60.00,59.85,12157,7.25
22-Dec-2011,58.90,58.95,57.50, 57.70,57.95,5479,3.18
21-Dec-2011,58.80,59.90,58.05, 59.50,58.75,3694,2.17
20-Dec-2011,59.40,59.40,56.80, 57.55,57.80,8183,4.75
19-Dec-2011,61.20,62.80,57.45, 58.70,58.45,5660,3.34
16-Dec-2011,63.30,64.85,61.10, 61.10,61.50,3849,2.42
15-Dec-2011,64.00,64.05,62.25, 63.00,63.20,2954,1.86
14-Dec-2011,64.60,66.95,63.60, 64.95,64.65,4817,3.13
13-Dec-2011,65.05,65.80,63.55, 64.60,64.15,8341,5.36
12-Dec-2011,67.00,67.00,65.15, 65.15,65.55,5120,3.38
09-Dec-2011,68.00,69.40,66.00, 66.10,66.65,9304,6.24
08-Dec-2011,70.30,70.35,67.70, 69.40,69.40,8233,5.69
07-Dec-2011,70.90,71.15,70.10, 70.15,70.25,3029,2.14
05-Dec-2011,71.00,71.70,69.50, 69.55,69.85,5599,3.93
02-Dec-2011,71.50,71.50,70.05, 70.75,70.65,4610,3.25
01-Dec-2011,72.70,72.75,69.75, 70.25,70.30,6592,4.66
30-Nov-2011,70.00,70.00,67.40, 68.45,69.15,6264,4.29
29-Nov-2011,72.75,72.75,69.75, 70.10,70.30,9649,6.86
28-Nov-2011,70.20,72.40,70.20, 72.30,71.85,9834,7.05
25-Nov-2011,68.55,71.50,68.55, 69.60,69.75,27033,19.00
24-Nov-2011,66.25,69.95,65.05, 67.80,67.10,9660,6.41
23-Nov-2011,67.00,68.45,65.25, 65.25,66.25,7011,4.71
22-Nov-2011,70.00,70.00,67.00, 67.15,67.35,16760,11.39
21-Nov-2011,73.45,73.45,68.10, 68.50,69.00,9341,6.62
18-Nov-2011,72.35,73.75,72.10, 72.35,72.90,9279,6.77
17-Nov-2011,73.10,76.00,72.10, 73.35,73.35,9460,7.00
16-Nov-2011,76.30,77.50,72.65, 73.10,73.10,13596,10.08
15-Nov-2011,80.50,81.40,76.20, 76.70,76.75,7312,5.72
14-Nov-2011,82.55,83.25,80.00, 80.00,80.30,5886,4.79
11-Nov-2011,82.20,83.50,81.50, 81.50,81.55,2696,2.21
09-Nov-2011,84.75,84.75,82.50, 82.50,82.70,7647,6.36
08-Nov-2011,83.00,83.95,83.00, 83.95,83.45,7384,6.16
04-Nov-2011,83.25,84.75,82.15, 82.20,82.35,9509,7.89
03-Nov-2011,83.90,83.90,82.80, 82.80,83.00,2926,2.43
02-Nov-2011,82.35,84.00,82.35, 83.25,83.15,7175,5.98
01-Nov-2011,83.50,84.45,82.95, 83.00,83.10,10781,9.01
31-Oct-2011,84.00,84.80,83.15, 84.20,83.90,7754,6.50
28-Oct-2011,83.15,85.40,82.60, 83.60,83.90,41001,34.51
26-Oct-2011,81.45,83.90,81.45, 82.10,82.15,2436,2.00
25-Oct-2011,82.20,83.00,80.25, 81.00,81.45,20396,16.56
24-Oct-2011,83.70,85.00,82.65, 82.65,83.05,6002,5.03
21-Oct-2011,82.45,84.00,82.35, 83.20,82.85,6463,5.37
20-Oct-2011,84.40,84.40,82.50, 83.50,82.90,4190,3.49
19-Oct-2011,83.35,85.00,83.35, 84.50,84.05,11001,9.26
18-Oct-2011,84.30,84.70,82.60, 82.90,83.00,6446,5.38
17-Oct-2011,85.75,86.90,85.00, 85.55,85.30,13273,11.41
14-Oct-2011,84.50,86.00,83.00, 85.20,84.70,16373,13.87
13-Oct-2011,85.40,85.50,83.40, 83.50,83.75,11571,9.78
12-Oct-2011,82.80,84.95,82.80, 84.40,84.55,12706,10.66
11-Oct-2011,83.05,85.00,82.30, 82.80,82.95,18724,15.70
10-Oct-2011,81.60,83.30,81.60, 82.45,82.65,11467,9.46
07-Oct-2011,81.15,83.05,81.15, 81.50,81.45,11810,9.66
05-Oct-2011,81.75,82.10,80.50, 80.55,80.80,7244,5.87
04-Oct-2011,80.00,82.50,80.00, 80.85,80.75,11551,9.42
03-Oct-2011,82.90,82.90,80.10, 81.40,81.15,7685,6.24
30-Sep-2011,82.60,84.80,81.50, 82.00,82.10,20179,16.78
29-Sep-2011,84.90,84.90,82.50, 83.30,82.95,7722,6.43
28-Sep-2011,84.90,86.50,83.50, 84.05,84.00,17491,14.82
27-Sep-2011,83.20,86.45,83.20, 84.50,84.70,13982,11.89
26-Sep-2011,83.70,84.90,80.60, 83.25,82.80,20431,16.84
23-Sep-2011,85.05,88.00,83.10, 83.40,83.85,26313,22.24
