Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,225.35,226.50,220.50, 221.25,221.35,1133285,2534.12
29-Dec-2011,225.45,228.00,219.75, 225.10,225.35,1831230,4120.14
28-Dec-2011,222.10,227.35,221.90, 225.85,226.15,1345957,3036.90
27-Dec-2011,228.40,228.40,221.30, 223.00,223.60,1240592,2792.28
26-Dec-2011,228.00,230.70,226.50, 227.05,227.60,747112,1706.48
23-Dec-2011,227.00,231.90,225.20, 227.10,228.15,2008407,4592.02
22-Dec-2011,214.15,227.25,214.15, 226.60,225.95,2244623,4996.59
21-Dec-2011,217.10,218.90,213.60, 218.70,218.15,2172994,4691.11
20-Dec-2011,215.85,217.40,210.40, 214.00,213.35,2821284,6046.50
19-Dec-2011,213.70,218.00,208.15, 214.85,214.30,3291833,7027.47
16-Dec-2011,220.00,223.40,214.05, 214.30,215.20,2092599,4590.12
15-Dec-2011,217.30,220.30,214.50, 218.35,218.10,1581008,3441.12
14-Dec-2011,218.00,222.20,217.05, 218.00,218.30,2247516,4936.61
13-Dec-2011,220.00,224.65,215.00, 220.30,218.85,2703962,5950.42
12-Dec-2011,230.00,232.40,219.35, 220.00,221.00,1269491,2860.23
09-Dec-2011,228.00,232.00,224.15, 229.90,228.95,1736754,3989.23
08-Dec-2011,235.70,237.00,226.60, 229.10,228.30,1830077,4227.13
07-Dec-2011,233.00,240.50,228.20, 235.20,236.60,3812255,8935.95
05-Dec-2011,232.55,235.00,230.40, 232.50,233.05,1478894,3436.18
02-Dec-2011,226.00,234.90,226.00, 234.50,234.05,2416627,5580.03
01-Dec-2011,227.00,231.75,224.00, 225.50,225.70,1490391,3387.09
30-Nov-2011,217.95,224.05,216.00, 222.85,223.40,2319243,5118.08
29-Nov-2011,213.10,223.00,213.10, 219.20,219.95,2372702,5220.37
28-Nov-2011,215.00,217.40,214.00, 216.35,216.40,1551578,3351.87
25-Nov-2011,211.40,214.20,209.15, 211.25,212.55,2569686,5445.05
24-Nov-2011,219.00,219.00,209.95, 212.70,213.80,5059333,10812.89
23-Nov-2011,222.00,222.70,214.20, 217.90,217.65,2697455,5855.22
22-Nov-2011,217.00,222.95,215.00, 222.00,221.55,1312756,2888.20
21-Nov-2011,220.00,221.50,215.15, 215.35,216.35,1399598,3056.26
18-Nov-2011,221.00,223.00,217.00, 222.00,221.70,1206214,2656.45
17-Nov-2011,224.50,229.00,220.50, 221.30,222.35,2217013,4974.37
16-Nov-2011,215.70,227.00,213.80, 226.05,225.30,2779641,6189.07
15-Nov-2011,218.90,221.40,215.00, 215.35,215.70,1754421,3820.58
14-Nov-2011,228.50,228.90,209.00, 219.40,220.15,6336558,14136.36
11-Nov-2011,231.50,235.00,225.05, 230.95,230.45,3512116,8041.61
09-Nov-2011,235.95,238.95,229.00, 230.00,231.95,2574718,6066.79
08-Nov-2011,240.00,240.80,231.30, 234.80,235.20,1291277,3037.48
04-Nov-2011,210.00,240.40,210.00, 239.60,239.05,2735321,6521.23
03-Nov-2011,230.00,237.50,230.00, 237.15,236.20,2837603,6679.84
02-Nov-2011,231.00,238.00,230.80, 234.00,234.15,1953385,4585.54
01-Nov-2011,232.45,235.90,230.45, 232.10,234.60,3461162,8081.66
31-Oct-2011,228.00,234.75,225.30, 233.00,234.00,5385180,12448.18
28-Oct-2011,222.20,230.00,221.50, 229.30,229.15,7053409,15968.98
26-Oct-2011,219.00,220.25,215.05, 217.60,218.20,699588,1531.62
25-Oct-2011,212.65,218.70,211.50, 218.00,218.15,4526662,9733.28
24-Oct-2011,215.00,216.70,209.65, 210.90,211.65,6604793,14055.92
21-Oct-2011,219.00,221.45,211.10, 212.00,211.75,5345626,11525.05
20-Oct-2011,227.90,229.00,215.10, 217.85,217.55,7039790,15405.73
19-Oct-2011,230.10,236.45,230.10, 230.60,231.95,2082496,4862.33
18-Oct-2011,236.00,236.00,225.15, 229.15,229.00,2230918,5089.15
17-Oct-2011,232.00,239.20,232.00, 236.30,237.40,3175353,7527.31
14-Oct-2011,233.60,235.85,229.05, 230.75,230.85,2013597,4673.88
13-Oct-2011,230.00,236.40,229.10, 233.50,233.40,6678552,15602.12
12-Oct-2011,222.00,229.50,222.00, 228.70,228.75,2476188,5592.18
