Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,38.15,39.70,38.10, 39.20,39.20,6371,2.50
29-Dec-2011,39.30,39.90,38.20, 38.65,38.65,13305,5.19
28-Dec-2011,39.00,40.35,38.30, 39.90,39.75,5553,2.20
27-Dec-2011,40.80,40.80,39.00, 40.10,40.10,3064,1.23
26-Dec-2011,39.50,40.80,39.40, 40.00,39.90,6695,2.70
23-Dec-2011,38.20,38.50,38.15, 38.50,38.50,343,0.13
22-Dec-2011,38.50,38.50,38.05, 38.50,38.50,4360,1.67
21-Dec-2011,38.15,39.80,38.10, 38.25,38.25,951,0.37
20-Dec-2011,38.10,39.50,38.10, 39.30,38.85,5187,2.02
19-Dec-2011,38.15,40.35,37.10, 38.75,38.75,5349,2.06
16-Dec-2011,39.25,39.25,37.60, 38.75,38.75,2304,0.89
15-Dec-2011,38.20,39.40,38.10, 38.60,38.90,5685,2.22
14-Dec-2011,38.25,39.00,38.25, 38.25,38.90,2390,0.93
13-Dec-2011,42.90,42.95,38.10, 39.00,39.00,6274,2.45
12-Dec-2011,39.00,39.00,38.05, 38.05,38.05,833,0.32
09-Dec-2011,38.70,40.35,38.20, 38.50,38.65,5264,2.07
08-Dec-2011,40.25,40.25,38.90, 39.60,39.25,6519,2.55
07-Dec-2011,39.25,39.65,38.35, 39.55,38.95,2677,1.04
05-Dec-2011,40.35,40.80,39.25, 39.30,39.30,1814,0.73
02-Dec-2011,40.00,40.50,38.40, 39.30,39.30,1441,0.57
01-Dec-2011,39.50,40.40,38.55, 38.55,38.55,2226,0.87
30-Nov-2011,39.00,39.25,39.00, 39.00,39.00,2720,1.06
29-Nov-2011,40.50,40.55,39.20, 39.20,39.25,859,0.34
28-Nov-2011,39.20,39.90,39.20, 39.20,39.20,1608,0.63
25-Nov-2011,39.00,40.15,38.75, 39.50,39.45,6598,2.60
24-Nov-2011,39.40,40.00,39.00, 39.90,39.80,5146,2.03
23-Nov-2011,39.20,41.70,38.50, 39.50,39.50,12004,4.82
22-Nov-2011,39.00,41.10,39.00, 39.90,39.80,9448,3.75
21-Nov-2011,38.00,40.55,37.20, 39.15,39.10,24439,9.41
18-Nov-2011,37.50,39.00,37.15, 39.00,38.75,11170,4.28
17-Nov-2011,39.20,39.20,38.05, 38.10,38.30,8337,3.23
16-Nov-2011,38.90,39.00,38.50, 38.75,38.75,4351,1.68
15-Nov-2011,39.00,39.80,38.55, 38.55,38.80,8952,3.49
14-Nov-2011,39.00,39.90,37.40, 38.85,38.75,8267,3.21
11-Nov-2011,39.60,40.40,39.10, 39.10,39.15,7429,2.94
09-Nov-2011,40.40,40.40,39.55, 39.60,39.60,2166,0.86
08-Nov-2011,41.50,41.50,40.00, 40.00,40.00,1211,0.48
04-Nov-2011,41.80,41.80,40.25, 40.55,40.55,1946,0.80
03-Nov-2011,41.45,41.45,40.00, 41.20,41.00,1245,0.50
02-Nov-2011,40.50,42.75,39.15, 40.90,40.50,5436,2.24
01-Nov-2011,40.50,42.50,39.70, 42.00,41.45,5418,2.21
31-Oct-2011,41.00,41.00,39.65, 39.75,40.15,1921,0.78
28-Oct-2011,40.50,41.35,39.55, 40.25,40.75,3843,1.55
26-Oct-2011,40.90,41.80,40.90, 41.50,41.30,1371,0.57
25-Oct-2011,39.05,39.95,39.00, 39.40,39.70,3880,1.53
24-Oct-2011,39.60,40.25,39.25, 39.25,39.25,859,0.34
21-Oct-2011,40.50,40.50,39.45, 39.75,39.75,992,0.40
20-Oct-2011,39.35,40.00,39.15, 39.45,39.65,3637,1.44
19-Oct-2011,41.80,41.80,39.25, 39.60,39.60,4551,1.81
18-Oct-2011,43.60,43.60,39.15, 39.75,39.70,3642,1.46
17-Oct-2011,44.80,44.80,39.00, 39.75,39.75,3373,1.36
14-Oct-2011,39.50,40.10,39.25, 39.85,39.85,3726,1.48
13-Oct-2011,40.20,40.30,39.30, 39.40,39.40,5383,2.13
12-Oct-2011,40.50,40.50,39.50, 39.90,39.80,1327,0.53
11-Oct-2011,40.00,40.30,40.00, 40.30,40.30,130,0.05
10-Oct-2011,40.90,40.90,39.50, 40.00,40.00,1142,0.46
07-Oct-2011,39.65,41.10,39.65, 39.75,39.70,3720,1.50
05-Oct-2011,43.90,43.90,38.70, 39.60,39.75,4658,1.88
04-Oct-2011,40.25,40.70,38.50, 40.30,40.15,14150,5.60
03-Oct-2011,40.80,40.80,40.00, 40.10,40.30,1156,0.47
30-Sep-2011,41.75,41.75,40.15, 40.80,40.55,1647,0.67
29-Sep-2011,43.95,43.95,39.60, 40.50,40.50,3608,1.48
28-Sep-2011,41.00,44.00,40.50, 40.90,41.10,7738,3.22
