Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,315.00,324.45,307.85, 310.80,311.50,514664,1630.96
29-Dec-2011,310.15,322.50,305.30, 314.90,312.25,822199,2597.12
28-Dec-2011,327.75,329.20,311.30, 313.40,313.45,445374,1415.06
27-Dec-2011,336.95,339.60,325.75, 328.00,328.50,592822,1971.34
26-Dec-2011,333.10,343.95,327.50, 337.00,336.65,1106707,3751.95
23-Dec-2011,310.00,343.00,309.80, 327.25,330.60,2602794,8602.51
22-Dec-2011,292.00,308.95,286.20, 305.75,305.05,554229,1646.82
21-Dec-2011,299.90,302.90,290.10, 297.00,297.55,480108,1429.15
20-Dec-2011,292.40,300.75,287.50, 289.35,290.50,568529,1677.67
19-Dec-2011,302.95,303.00,278.20, 291.00,288.35,534586,1533.17
16-Dec-2011,323.40,333.80,301.40, 304.60,304.90,551155,1774.99
15-Dec-2011,335.00,336.60,312.30, 317.50,319.15,560558,1807.04
14-Dec-2011,374.65,374.65,335.40, 336.05,338.55,583351,2030.19
13-Dec-2011,349.95,356.90,336.10, 346.95,344.65,414727,1437.10
12-Dec-2011,375.00,378.70,349.40, 350.25,354.45,466024,1697.14
09-Dec-2011,370.10,372.90,362.05, 366.00,366.80,329645,1212.05
08-Dec-2011,381.00,387.70,372.00, 376.05,375.25,422216,1602.06
07-Dec-2011,390.10,397.00,384.00, 385.00,385.55,504932,1975.41
05-Dec-2011,369.00,397.50,369.00, 389.15,388.80,846054,3293.83
02-Dec-2011,370.10,400.90,366.10, 390.30,392.75,1058060,4091.42
01-Dec-2011,375.00,387.70,372.20, 373.50,375.40,571882,2173.96
30-Nov-2011,375.00,375.55,360.55, 366.90,366.95,681265,2506.57
29-Nov-2011,400.00,400.00,371.60, 375.50,378.00,1036172,3980.71
28-Nov-2011,381.65,404.95,381.00, 396.30,396.45,2091072,8303.25
25-Nov-2011,320.00,378.55,306.45, 373.30,373.75,2741635,9563.71
24-Nov-2011,323.00,325.50,290.35, 320.00,315.45,1538060,4687.87
23-Nov-2011,340.05,340.90,320.20, 321.00,325.90,430716,1424.93
22-Nov-2011,345.00,354.80,340.10, 345.05,344.15,488707,1699.71
21-Nov-2011,348.95,362.70,339.75, 341.10,342.65,794267,2796.33
18-Nov-2011,367.25,368.00,347.00, 356.00,351.95,687890,2442.05
17-Nov-2011,381.10,385.00,367.00, 370.00,369.75,969468,3653.67
16-Nov-2011,374.90,388.00,354.00, 388.00,380.35,1862952,6885.18
15-Nov-2011,420.00,432.00,365.00, 376.00,373.25,3699105,14253.35
14-Nov-2011,497.00,500.00,398.30, 423.80,417.40,1117828,4931.00
11-Nov-2011,498.45,508.95,478.55, 493.50,491.70,631030,3104.19
09-Nov-2011,519.45,530.90,495.50, 502.00,501.30,815346,4235.80
08-Nov-2011,500.00,521.40,500.00, 516.00,515.65,1061776,5466.81
04-Nov-2011,484.50,507.00,484.50, 497.50,499.05,1045024,5218.27
03-Nov-2011,478.30,487.00,475.00, 481.00,480.20,239119,1150.21
02-Nov-2011,477.15,488.00,475.20, 481.00,480.45,287194,1385.02
01-Nov-2011,485.55,489.75,476.00, 481.15,482.00,236018,1139.36
31-Oct-2011,498.00,498.80,485.00, 488.00,489.30,255232,1249.41
28-Oct-2011,484.15,499.60,477.10, 497.60,496.00,675505,3317.80
26-Oct-2011,479.50,481.30,472.60, 473.00,474.70,99103,472.88
25-Oct-2011,470.85,479.55,456.00, 478.60,475.50,431595,2020.44
24-Oct-2011,472.70,481.80,465.25, 465.50,467.30,344871,1632.09
21-Oct-2011,477.30,482.40,465.00, 467.00,466.50,309023,1463.95
20-Oct-2011,480.10,481.45,468.15, 473.00,473.55,258669,1223.05
19-Oct-2011,472.75,492.00,471.40, 483.50,482.50,469330,2264.89
18-Oct-2011,479.00,482.50,462.50, 468.00,467.55,305926,1437.99
17-Oct-2011,450.00,495.50,450.00, 487.50,485.65,510387,2494.40
14-Oct-2011,490.05,492.70,478.05, 482.50,481.35,383160,1858.99
13-Oct-2011,500.50,509.00,486.10, 490.05,489.90,1314089,6572.04
12-Oct-2011,470.00,502.80,470.00, 492.30,495.75,1478638,7226.26
11-Oct-2011,470.00,484.40,456.65, 467.50,468.65,949533,4530.16
10-Oct-2011,434.25,473.80,430.00, 472.00,468.25,1242973,5648.39
07-Oct-2011,434.90,444.00,426.00, 429.00,430.40,363259,1580.62
05-Oct-2011,430.90,435.45,422.10, 428.60,426.70,354635,1520.33
04-Oct-2011,422.20,441.30,421.00, 427.70,428.10,495966,2138.12
03-Oct-2011,449.70,452.05,424.00, 431.80,430.15,527472,2295.77
30-Sep-2011,446.00,474.30,438.00, 453.50,453.45,1331615,6113.56
29-Sep-2011,461.00,467.50,438.35, 448.00,446.00,611750,2753.51
28-Sep-2011,467.90,479.80,456.25, 462.00,462.55,792974,3714.78
27-Sep-2011,472.50,482.50,454.25, 463.50,462.10,796450,3719.18
26-Sep-2011,486.55,491.55,455.00, 462.50,464.10,757554,3582.24
23-Sep-2011,489.40,493.80,467.30, 481.55,483.05,1231191,5931.56
22-Sep-2011,525.00,532.40,485.50, 497.20,493.10,1049558,5327.94
21-Sep-2011,532.00,545.80,527.20, 533.20,535.45,1239260,6665.45
20-Sep-2011,450.00,538.80,450.00, 528.00,528.05,774784,4115.09
19-Sep-2011,520.00,535.70,515.55, 527.00,527.15,993406,5246.94
16-Sep-2011,534.30,536.45,508.80, 519.10,519.60,1015623,5304.43
15-Sep-2011,525.00,546.50,515.00, 528.05,527.60,1406675,7538.47
14-Sep-2011,550.10,558.80,510.10, 524.45,523.80,2098812,11121.83
13-Sep-2011,560.25,581.70,543.20, 546.10,548.30,1710035,9660.81
12-Sep-2011,604.90,611.75,537.50, 556.70,557.10,1894411,10827.86
09-Sep-2011,609.95,632.30,607.05, 610.30,612.30,1195913,7433.98
08-Sep-2011,620.05,622.70,598.35, 606.55,607.20,859133,5246.36
07-Sep-2011,625.50,637.00,612.50, 615.20,617.35,1324407,8267.59
06-Sep-2011,609.00,635.75,605.00, 622.50,624.05,2361841,14710.79
05-Sep-2011,570.00,611.00,568.15, 610.00,603.45,2813525,16747.83
02-Sep-2011,545.00,581.40,520.10, 579.90,576.25,2046732,11484.39
30-Aug-2011,545.00,554.50,535.20, 540.10,541.70,786849,4300.24
29-Aug-2011,530.00,551.40,529.00, 539.00,539.90,1085761,5876.38
26-Aug-2011,547.05,556.60,518.05, 525.40,524.25,1697943,9182.02
25-Aug-2011,547.50,562.90,508.25, 549.35,545.35,4310771,23227.27
24-Aug-2011,535.00,558.95,526.10, 545.55,546.95,3159318,17241.71
23-Aug-2011,510.00,542.20,503.05, 534.05,535.30,3585149,18936.49
22-Aug-2011,460.00,508.80,455.00, 505.00,502.50,3560808,17399.91
19-Aug-2011,428.00,461.40,415.75, 459.00,455.50,1456124,6395.04
18-Aug-2011,439.00,452.85,429.20, 432.50,432.95,880708,3890.45
17-Aug-2011,455.00,456.00,434.00, 435.35,438.00,488418,2168.30
16-Aug-2011,400.00,461.00,400.00, 452.00,449.00,858805,3883.03
12-Aug-2011,454.40,471.80,440.00, 444.10,447.00,1804626,8309.96
11-Aug-2011,407.00,464.90,404.65, 447.55,450.85,4970810,22096.63
10-Aug-2011,382.00,414.80,382.00, 408.80,409.40,1507528,6060.36
09-Aug-2011,379.40,394.75,360.00, 376.00,374.85,732750,2788.38
08-Aug-2011,354.70,396.00,350.80, 388.50,390.05,945482,3587.92
05-Aug-2011,385.30,393.90,339.95, 369.00,369.90,860818,3156.46
04-Aug-2011,410.00,414.95,397.15, 398.00,400.40,333472,1361.36
03-Aug-2011,395.35,413.45,390.70, 408.50,406.95,660616,2678.45
02-Aug-2011,418.15,419.65,392.65, 405.00,402.25,373559,1508.64
01-Aug-2011,424.20,425.80,416.55, 418.65,419.15,256878,1083.30
29-Jul-2011,418.50,426.45,414.55, 417.25,416.15,233360,981.14
28-Jul-2011,429.40,429.40,414.00, 418.60,418.40,269681,1131.91
27-Jul-2011,436.50,438.00,426.10, 431.40,429.75,268658,1161.12
26-Jul-2011,441.95,444.35,431.10, 432.65,433.50,392271,1719.40
25-Jul-2011,439.00,446.85,432.70, 442.50,440.60,1078939,4769.21
22-Jul-2011,436.05,444.60,433.40, 437.10,437.40,609480,2680.58
21-Jul-2011,438.20,451.00,428.85, 436.50,433.75,1746735,7724.86
20-Jul-2011,422.00,453.00,418.10, 434.70,434.80,2960191,13044.38
19-Jul-2011,420.00,425.10,416.05, 419.00,419.75,319494,1346.61
18-Jul-2011,419.50,427.30,418.20, 419.70,419.60,540017,2285.74
15-Jul-2011,422.60,425.00,415.40, 419.40,418.65,338132,1420.99
14-Jul-2011,420.15,427.35,417.10, 419.45,419.65,793138,3353.19
13-Jul-2011,407.15,428.00,407.15, 421.20,420.60,1901906,8040.40
12-Jul-2011,412.85,412.90,402.00, 403.25,405.55,450633,1833.57
11-Jul-2011,421.80,426.65,411.60, 418.70,416.25,604851,2534.14
08-Jul-2011,430.65,438.70,420.00, 420.50,422.50,750781,3226.03
07-Jul-2011,432.00,439.50,428.35, 431.15,430.65,779705,3382.42
06-Jul-2011,430.20,441.10,427.60, 429.20,430.10,1785198,7754.28
05-Jul-2011,416.15,434.80,410.50, 430.00,430.10,2311592,9857.37
04-Jul-2011,414.00,423.40,409.40, 417.45,415.10,832879,3466.34
01-Jul-2011,420.00,426.00,407.65, 414.45,413.35,1292650,5383.76
30-Jun-2011,403.50,427.80,403.05, 417.75,418.40,3288782,13834.69
29-Jun-2011,400.50,408.75,398.45, 402.50,402.10,1318175,5323.23
28-Jun-2011,392.10,408.90,390.60, 397.00,398.20,3005938,12060.79
27-Jun-2011,384.00,398.85,372.30, 392.85,391.30,2740975,10667.09
24-Jun-2011,380.00,393.40,356.10, 386.00,386.60,4101668,15514.51
23-Jun-2011,396.30,404.20,337.50, 376.60,375.65,7078042,25663.24
22-Jun-2011,396.50,408.40,392.25, 395.00,396.20,1565057,6260.61
21-Jun-2011,400.95,416.95,388.30, 396.45,393.35,2115133,8583.46
20-Jun-2011,429.00,442.30,395.25, 397.00,402.10,4003138,16831.38
17-Jun-2011,445.00,454.00,417.00, 427.90,429.50,9069533,39487.66
16-Jun-2011,379.75,463.80,379.75, 443.10,448.40,10425826,44955.82
15-Jun-2011,416.00,416.00,385.70, 389.15,389.65,1936446,7750.54
14-Jun-2011,397.35,416.65,384.00, 414.00,412.65,5008927,20356.73
13-Jun-2011,390.00,402.70,372.25, 392.00,391.05,5383247,20829.84
10-Jun-2011,322.35,386.80,322.35, 386.80,385.35,5746612,21165.26
09-Jun-2011,320.55,324.50,317.55, 321.70,322.30,55028,176.78
08-Jun-2011,324.40,332.60,320.00, 320.35,321.85,192464,628.67
07-Jun-2011,314.80,327.00,312.30, 326.25,324.95,194262,622.32
06-Jun-2011,324.00,327.65,313.75, 314.20,314.80,127390,405.53
03-Jun-2011,325.30,329.90,320.95, 321.00,323.20,127943,416.03
