Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,26.00,27.55,26.00, 26.15,26.65,1429,0.38
29-Dec-2011,26.10,27.50,26.10, 26.90,26.90,18,0.00
28-Dec-2011,25.10,26.90,25.10, 26.30,26.30,599,0.16
27-Dec-2011,26.05,26.10,26.05, 26.10,26.10,539,0.14
26-Dec-2011,25.00,25.50,25.00, 25.50,25.50,210,0.05
23-Dec-2011,25.40,26.00,25.00, 25.00,25.65,776,0.20
22-Dec-2011,27.40,27.40,25.40, 25.40,25.40,1055,0.27
21-Dec-2011,27.00,27.50,26.10, 26.70,26.70,226,0.06
20-Dec-2011,26.35,26.50,26.30, 26.50,26.50,51,0.01
19-Dec-2011,27.65,27.65,26.45, 26.45,26.45,271,0.07
16-Dec-2011,27.25,29.40,27.25, 27.70,27.70,202,0.06
15-Dec-2011,28.50,28.50,28.05, 28.05,28.05,150,0.04
14-Dec-2011,29.25,29.25,28.20, 28.20,28.20,4437,1.30
13-Dec-2011,29.25,29.25,29.25, 29.25,29.25,1002,0.29
12-Dec-2011,29.25,29.30,29.25, 29.25,29.25,1799,0.53
09-Dec-2011,30.75,30.75,29.25, 29.70,29.65,2725,0.80
08-Dec-2011,29.60,29.80,28.50, 29.60,29.45,4622,1.36
07-Dec-2011,26.50,28.45,26.50, 28.45,28.40,717,0.20
05-Dec-2011,27.35,27.35,27.10, 27.10,27.10,402,0.11
02-Dec-2011,27.20,28.50,27.15, 28.45,28.45,304,0.09
01-Dec-2011,27.50,28.00,27.20, 27.95,27.95,818,0.23
30-Nov-2011,29.85,29.85,27.35, 27.60,27.60,1267,0.35
29-Nov-2011,28.60,28.70,27.25, 28.70,28.45,195,0.06
28-Nov-2011,28.85,28.85,28.15, 28.15,28.15,100,0.03
24-Nov-2011,26.50,27.50,26.50, 27.45,27.45,415,0.11
23-Nov-2011,27.25,27.95,27.10, 27.45,27.45,3411,0.93
22-Nov-2011,28.00,28.50,28.00, 28.50,28.50,140,0.04
21-Nov-2011,27.90,28.05,27.90, 28.00,28.00,243,0.07
18-Nov-2011,28.85,28.85,27.20, 28.80,28.80,1068,0.30
17-Nov-2011,29.00,29.65,27.75, 28.40,28.40,974,0.28
16-Nov-2011,28.15,29.25,28.05, 29.00,28.90,1457,0.41
15-Nov-2011,31.00,31.00,29.50, 29.50,29.50,4260,1.27
14-Nov-2011,31.05,33.45,30.70, 30.70,30.85,1622,0.50
11-Nov-2011,32.35,32.35,32.30, 32.30,32.30,2366,0.76
09-Nov-2011,35.00,35.00,33.90, 33.90,34.00,2164,0.74
08-Nov-2011,37.60,37.60,35.65, 35.65,35.65,5216,1.87
04-Nov-2011,38.80,38.80,37.00, 37.60,37.50,2456,0.92
03-Nov-2011,37.05,38.00,36.50, 37.00,37.15,14181,5.27
02-Nov-2011,33.90,36.75,33.10, 36.70,36.15,9101,3.23
01-Nov-2011,31.95,33.50,31.95, 33.50,33.40,7300,2.40
31-Oct-2011,31.50,31.90,31.05, 31.90,31.65,3824,1.20
28-Oct-2011,30.00,30.95,28.30, 30.00,30.00,3038,0.91
26-Oct-2011,29.25,31.40,29.25, 30.50,30.50,125,0.04
25-Oct-2011,31.15,31.15,29.10, 29.10,29.10,1294,0.38
24-Oct-2011,29.90,30.30,29.00, 30.00,30.00,892,0.27
21-Oct-2011,31.00,31.00,28.50, 28.65,28.65,3000,0.87
20-Oct-2011,30.90,31.00,30.00, 30.00,30.00,693,0.21
19-Oct-2011,31.70,31.70,29.50, 30.50,30.50,747,0.23
18-Oct-2011,29.50,29.95,29.50, 29.50,29.65,500,0.15
17-Oct-2011,28.50,29.00,28.05, 29.00,29.00,1610,0.46
14-Oct-2011,29.50,30.90,29.05, 29.20,29.30,2357,0.71
13-Oct-2011,29.00,29.80,29.00, 29.80,29.70,141,0.04
12-Oct-2011,26.25,28.80,26.25, 28.80,28.80,1566,0.43
11-Oct-2011,28.90,28.90,27.55, 27.70,27.70,165,0.05
10-Oct-2011,26.25,27.00,26.20, 27.00,26.80,361,0.10
07-Oct-2011,27.70,27.70,27.70, 27.70,27.70,119,0.03
04-Oct-2011,27.60,27.60,27.50, 27.60,27.60,1225,0.34
03-Oct-2011,27.05,30.80,27.00, 27.60,27.60,1519,0.41
30-Sep-2011,27.00,29.30,27.00, 28.95,28.95,600,0.17
29-Sep-2011,27.00,29.00,26.50, 29.00,29.00,1873,0.53
28-Sep-2011,26.30,26.35,26.30, 26.35,26.35,65,0.02
