Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,365.00,375.90,365.00, 372.00,371.90,1723,6.41
29-Dec-2011,375.00,379.70,369.00, 372.00,370.25,3137,11.65
28-Dec-2011,370.25,376.80,368.00, 369.10,371.20,6852,25.48
27-Dec-2011,370.05,375.95,370.05, 373.40,374.35,671,2.51
26-Dec-2011,367.00,378.50,367.00, 372.90,372.75,13149,49.13
23-Dec-2011,375.00,376.55,370.45, 374.00,373.65,2323,8.68
22-Dec-2011,380.00,380.00,367.40, 375.00,371.65,8855,32.98
21-Dec-2011,371.25,379.95,370.05, 375.00,374.05,2457,9.20
20-Dec-2011,375.00,378.95,370.00, 378.15,375.55,3377,12.67
19-Dec-2011,375.30,379.00,372.00, 375.90,375.15,1760,6.60
16-Dec-2011,384.95,384.95,377.00, 380.00,379.45,1805,6.86
15-Dec-2011,378.05,382.75,375.00, 380.00,378.60,8718,33.04
14-Dec-2011,388.00,388.00,378.00, 381.45,381.25,5248,19.98
13-Dec-2011,385.95,385.95,376.15, 380.00,379.50,9689,36.96
12-Dec-2011,385.30,387.65,377.30, 383.00,382.15,3826,14.70
09-Dec-2011,384.50,388.95,382.15, 386.65,386.65,5344,20.64
08-Dec-2011,386.00,389.85,384.50, 389.75,389.50,3807,14.81
07-Dec-2011,387.00,393.95,383.35, 386.00,389.70,5496,21.40
05-Dec-2011,388.00,389.95,383.20, 388.00,388.20,2913,11.28
02-Dec-2011,381.30,387.00,380.05, 383.85,383.20,5660,21.71
01-Dec-2011,386.00,391.70,380.35, 383.00,384.05,7775,29.92
30-Nov-2011,388.00,392.00,382.75, 384.75,385.10,2664,10.33
29-Nov-2011,385.00,394.35,381.15, 388.70,388.55,5456,21.14
28-Nov-2011,381.00,391.60,381.00, 391.60,391.00,4177,16.20
25-Nov-2011,380.00,385.00,378.15, 383.00,382.00,5392,20.63
24-Nov-2011,380.00,387.70,376.15, 380.00,379.65,6810,25.99
23-Nov-2011,378.50,389.70,375.05, 381.00,380.20,5712,21.83
22-Nov-2011,386.00,389.80,381.30, 386.95,386.55,4351,16.81
21-Nov-2011,383.00,390.85,381.20, 384.00,385.60,5062,19.62
18-Nov-2011,387.60,392.85,376.10, 385.00,383.40,20660,79.61
17-Nov-2011,386.55,394.50,385.25, 391.00,389.70,13337,52.14
16-Nov-2011,387.45,397.75,387.00, 390.00,390.05,19375,75.66
15-Nov-2011,396.90,396.95,390.35, 395.00,393.55,3878,15.31
14-Nov-2011,400.00,400.00,386.50, 397.00,394.50,5457,21.52
11-Nov-2011,395.00,397.00,391.00, 397.00,394.90,4326,17.07
09-Nov-2011,396.00,399.50,388.15, 395.00,393.05,7680,30.35
08-Nov-2011,400.00,402.00,392.00, 394.00,394.00,32683,129.02
04-Nov-2011,395.50,402.00,394.10, 397.60,396.95,3957,15.74
03-Nov-2011,399.80,400.00,390.00, 397.00,396.95,9100,35.99
02-Nov-2011,401.50,402.50,395.00, 399.00,398.10,6139,24.48
01-Nov-2011,400.50,400.50,393.60, 399.75,398.85,3940,15.71
31-Oct-2011,398.90,400.00,391.05, 399.00,398.40,21208,84.07
28-Oct-2011,399.30,399.30,390.50, 394.90,393.65,5873,23.12
26-Oct-2011,400.00,400.00,388.50, 390.25,393.60,1354,5.33
25-Oct-2011,399.40,399.50,390.20, 394.95,394.50,3801,14.98
24-Oct-2011,395.00,398.00,385.15, 392.10,392.60,5664,22.23
21-Oct-2011,387.40,401.00,385.00, 397.45,395.35,19435,77.14
20-Oct-2011,400.00,405.00,382.00, 382.10,392.00,12428,48.97
19-Oct-2011,385.20,408.80,385.15, 402.00,399.90,5592,22.36
18-Oct-2011,400.00,403.00,393.55, 400.00,398.00,6331,25.26
17-Oct-2011,405.00,405.00,396.30, 403.00,403.30,2280,9.16
14-Oct-2011,410.00,410.00,397.95, 403.40,400.70,8458,33.93
13-Oct-2011,392.10,404.00,390.65, 398.00,400.75,39135,154.48
12-Oct-2011,394.90,394.90,388.10, 391.35,390.55,6276,24.62
11-Oct-2011,395.00,395.80,386.50, 389.85,392.30,6261,24.59
10-Oct-2011,386.30,396.80,386.30, 390.00,390.35,7178,28.22
07-Oct-2011,398.90,398.90,387.00, 390.95,390.90,29986,117.62
05-Oct-2011,390.00,401.00,380.60, 391.00,390.40,50071,193.22
04-Oct-2011,378.35,390.00,375.00, 381.50,380.30,13295,50.73
03-Oct-2011,379.95,389.95,373.15, 381.90,380.10,10042,38.38
30-Sep-2011,372.30,398.95,365.50, 381.00,381.95,26521,102.25
29-Sep-2011,365.15,374.85,355.00, 370.00,368.60,14523,53.47
28-Sep-2011,374.95,374.95,362.00, 364.00,366.85,14420,53.40
27-Sep-2011,375.00,375.00,367.00, 371.00,370.65,8083,30.05
26-Sep-2011,366.25,375.00,364.00, 369.00,369.10,32225,118.05
23-Sep-2011,360.00,377.10,356.15, 369.00,370.70,30504,112.80
22-Sep-2011,382.90,387.70,362.00, 365.05,367.75,61496,233.07
21-Sep-2011,385.95,435.10,381.05, 382.00,395.30,547846,2251.19
20-Sep-2011,375.95,382.80,370.15, 379.00,379.95,17921,68.03
19-Sep-2011,373.75,373.75,366.55, 370.00,368.25,23111,85.46
16-Sep-2011,379.70,379.70,366.00, 366.50,368.05,13514,49.98
15-Sep-2011,380.00,380.00,365.25, 370.00,370.00,12378,45.81
