Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,38.95,39.95,38.00, 38.80,38.45,64278,25.15
29-Dec-2011,38.45,39.20,37.70, 38.75,38.85,71206,27.58
28-Dec-2011,41.00,41.45,38.25, 38.50,38.45,213068,83.64
27-Dec-2011,42.00,42.10,40.60, 41.25,40.90,43017,17.71
26-Dec-2011,41.70,42.25,41.35, 41.70,41.85,41368,17.32
23-Dec-2011,42.85,42.85,40.15, 41.50,41.30,103978,43.67
22-Dec-2011,40.75,43.40,40.20, 42.95,42.60,498372,212.12
21-Dec-2011,42.00,42.00,40.55, 41.15,41.00,62239,25.51
20-Dec-2011,42.95,43.50,40.10, 40.50,40.30,52121,21.17
19-Dec-2011,43.00,43.30,41.05, 41.25,41.50,99542,41.48
16-Dec-2011,43.95,44.65,42.55, 42.80,42.85,109216,47.76
15-Dec-2011,44.15,44.15,43.55, 43.70,43.80,48559,21.26
14-Dec-2011,44.15,45.45,43.90, 43.95,43.95,70936,31.71
13-Dec-2011,44.20,44.90,43.85, 44.75,44.75,47567,21.23
12-Dec-2011,46.95,47.25,44.60, 44.75,45.00,170975,78.35
09-Dec-2011,45.25,46.40,44.55, 45.90,45.80,65013,29.54
08-Dec-2011,46.20,46.20,45.10, 45.20,45.40,33639,15.32
07-Dec-2011,45.90,46.70,45.75, 45.90,45.95,113647,52.39
05-Dec-2011,47.15,47.30,45.70, 45.80,45.85,52003,23.95
02-Dec-2011,45.05,46.50,44.90, 46.45,46.40,102437,46.78
01-Dec-2011,46.00,47.00,45.05, 45.35,45.25,57268,26.24
30-Nov-2011,45.75,46.00,44.75, 45.25,44.90,54223,24.46
29-Nov-2011,46.70,46.70,45.55, 45.75,45.70,55599,25.65
28-Nov-2011,45.10,47.45,45.10, 46.00,45.95,45890,21.06
25-Nov-2011,45.00,47.20,44.75, 45.15,45.05,69252,31.68
24-Nov-2011,45.00,45.50,44.05, 45.50,45.15,62129,27.73
23-Nov-2011,45.25,46.05,44.65, 45.40,45.15,76942,34.78
22-Nov-2011,46.00,47.30,45.20, 46.00,45.80,145377,67.53
21-Nov-2011,46.50,47.30,45.10, 45.65,45.70,76315,35.03
18-Nov-2011,47.15,47.70,46.50, 46.60,46.75,62894,29.47
17-Nov-2011,48.00,48.50,47.65, 48.00,47.95,87583,42.05
16-Nov-2011,48.00,48.70,47.20, 48.55,48.15,83534,39.94
15-Nov-2011,48.10,48.40,47.50, 48.35,48.20,80617,38.72
14-Nov-2011,48.25,49.00,47.75, 48.50,48.15,89652,43.19
11-Nov-2011,49.15,49.15,48.05, 48.25,48.35,45756,22.16
09-Nov-2011,50.00,50.35,49.00, 49.05,49.15,66067,32.79
08-Nov-2011,50.00,50.50,49.50, 49.90,50.00,144231,72.13
04-Nov-2011,50.55,50.95,49.75, 50.10,50.00,153588,77.01
03-Nov-2011,49.80,50.50,49.65, 50.40,50.25,150496,75.25
02-Nov-2011,50.00,50.60,49.50, 49.85,49.80,135221,67.76
01-Nov-2011,50.75,51.50,50.00, 50.70,50.50,177039,89.80
31-Oct-2011,50.45,51.80,49.60, 50.95,51.05,285890,145.64
28-Oct-2011,51.00,51.05,49.50, 50.15,50.00,239234,119.71
26-Oct-2011,49.00,49.90,48.95, 49.60,49.60,72239,35.74
25-Oct-2011,49.45,49.45,48.15, 48.90,48.65,166226,80.74
24-Oct-2011,50.00,51.85,48.20, 48.50,48.65,410526,203.73
21-Oct-2011,47.25,48.95,47.15, 48.00,48.05,322014,155.80
20-Oct-2011,47.30,48.45,47.00, 47.35,47.25,218686,104.55
19-Oct-2011,46.90,47.00,46.35, 47.00,46.80,58265,27.20
18-Oct-2011,46.10,46.60,45.95, 46.10,46.15,41184,19.02
17-Oct-2011,47.45,48.85,46.50, 46.50,46.80,95674,45.28
14-Oct-2011,47.50,47.65,47.05, 47.45,47.45,52398,24.84
13-Oct-2011,47.45,48.20,47.25, 47.50,47.60,81822,39.14
12-Oct-2011,46.85,47.60,46.80, 47.55,47.45,88688,41.88
11-Oct-2011,45.90,47.75,45.70, 46.70,46.85,410794,193.03
10-Oct-2011,45.45,45.70,44.60, 45.50,45.50,55997,25.39
07-Oct-2011,45.00,46.60,44.50, 44.65,44.75,101675,46.06
05-Oct-2011,46.20,46.65,44.55, 44.55,44.65,78910,35.50
04-Oct-2011,45.65,46.30,45.00, 45.60,45.50,92635,42.17
03-Oct-2011,45.45,46.20,45.15, 45.60,45.70,53112,24.29
30-Sep-2011,45.00,46.85,44.55, 46.05,46.05,59040,27.29
29-Sep-2011,46.90,47.05,46.10, 46.50,46.65,52157,24.35
28-Sep-2011,47.70,48.00,46.65, 46.90,46.80,56099,26.35
27-Sep-2011,47.40,47.55,46.50, 47.30,47.30,63889,30.20
26-Sep-2011,46.80,46.80,46.00, 46.10,46.35,90730,42.07
23-Sep-2011,47.10,48.10,45.25, 46.10,46.20,232842,108.70
22-Sep-2011,49.70,49.70,48.10, 48.50,48.25,104929,50.94
21-Sep-2011,49.30,50.00,48.80, 49.90,49.75,132216,65.46
20-Sep-2011,49.00,49.20,48.40, 49.00,49.05,113469,55.40
19-Sep-2011,50.00,50.00,48.15, 48.50,48.45,184690,89.78
16-Sep-2011,51.90,51.90,47.95, 48.25,48.75,192733,95.13
15-Sep-2011,49.70,50.20,49.15, 49.95,49.95,82600,41.03
14-Sep-2011,49.15,50.25,48.90, 49.00,49.05,84826,41.75
13-Sep-2011,49.60,50.55,49.25, 49.45,49.50,62763,31.31
12-Sep-2011,50.05,51.00,49.50, 49.60,49.60,63385,31.53
09-Sep-2011,52.30,52.30,51.05, 51.95,51.15,98527,50.91
08-Sep-2011,51.40,51.95,50.50, 51.80,51.80,110283,56.86
07-Sep-2011,50.50,51.55,50.40, 50.80,50.75,115101,58.83
06-Sep-2011,49.25,50.95,49.25, 50.30,50.20,64563,32.17
05-Sep-2011,51.80,51.80,49.50, 50.30,50.25,55116,27.59
02-Sep-2011,51.10,51.30,50.50, 50.60,50.85,72540,36.91
30-Aug-2011,49.80,51.25,49.05, 51.10,51.00,154084,77.35
29-Aug-2011,48.50,49.60,48.50, 49.35,49.35,168262,82.74
26-Aug-2011,49.00,49.80,47.15, 48.65,48.25,77685,37.79
25-Aug-2011,50.85,51.20,49.50, 49.55,49.65,52149,25.99
24-Aug-2011,51.00,51.20,50.00, 50.10,50.10,115972,58.58
23-Aug-2011,50.00,51.70,49.45, 50.10,50.40,169163,85.80
22-Aug-2011,48.45,49.70,47.25, 49.60,49.25,100689,49.35
19-Aug-2011,48.00,49.40,47.30, 48.65,48.70,120308,58.39
18-Aug-2011,52.00,52.00,49.25, 49.60,49.40,95692,47.82
17-Aug-2011,51.00,52.75,50.30, 50.80,50.90,63995,32.76
16-Aug-2011,54.00,54.40,50.75, 51.75,51.30,99439,52.04
12-Aug-2011,53.95,54.55,53.30, 53.50,53.75,112792,60.68
11-Aug-2011,53.00,53.75,52.40, 53.75,53.50,91285,48.54
10-Aug-2011,52.00,53.30,52.00, 53.30,53.20,130718,69.15
09-Aug-2011,48.50,52.35,48.25, 51.75,51.65,300762,154.15
08-Aug-2011,48.00,52.45,48.00, 51.55,51.65,232723,117.94
05-Aug-2011,52.25,52.95,50.50, 51.95,51.65,178330,91.91
04-Aug-2011,54.25,54.90,53.70, 54.10,53.95,73733,40.02
03-Aug-2011,53.00,54.20,53.00, 54.20,54.05,106921,57.46
02-Aug-2011,55.20,55.20,54.20, 54.45,54.35,81736,44.59
01-Aug-2011,56.00,56.70,55.20, 55.45,55.35,93985,52.45
29-Jul-2011,55.90,56.20,55.60, 56.10,55.80,97490,54.47
28-Jul-2011,56.00,56.75,54.80, 56.10,56.20,225790,125.76
27-Jul-2011,57.30,58.35,56.05, 56.95,56.75,210934,120.50
26-Jul-2011,56.95,59.30,56.45, 56.75,56.90,869428,502.01
25-Jul-2011,55.20,56.15,55.10, 55.90,55.90,160924,89.83
22-Jul-2011,54.50,55.50,54.35, 55.40,55.20,91076,50.05
21-Jul-2011,56.25,56.25,53.85, 54.10,54.10,107002,58.71
20-Jul-2011,56.50,56.70,55.20, 55.85,55.70,50532,28.26
19-Jul-2011,55.85,56.25,55.50, 55.75,56.10,65435,36.63
18-Jul-2011,56.00,56.35,55.30, 56.00,56.15,71789,40.22
15-Jul-2011,56.00,56.25,55.10, 55.80,55.80,56721,31.64
14-Jul-2011,55.55,56.00,55.05, 55.90,55.70,64286,35.80
13-Jul-2011,55.10,55.85,54.60, 55.40,55.55,58393,32.35
12-Jul-2011,55.30,55.35,54.55, 54.75,55.10,53778,29.52
11-Jul-2011,56.00,56.50,55.00, 55.25,55.15,74438,41.18
08-Jul-2011,56.50,56.80,55.85, 56.05,56.00,79999,45.05
07-Jul-2011,56.35,56.55,56.05, 56.05,56.30,72211,40.66
06-Jul-2011,56.35,56.60,55.75, 56.45,56.25,67555,37.95
05-Jul-2011,56.80,56.90,56.05, 56.25,56.35,79331,44.70
04-Jul-2011,56.80,57.00,56.20, 56.95,56.75,87793,49.68
01-Jul-2011,56.60,56.80,55.70, 56.10,56.30,88943,50.17
30-Jun-2011,56.45,56.60,55.60, 56.20,56.40,111255,62.41
29-Jun-2011,55.40,56.15,55.40, 56.00,55.95,88689,49.42
28-Jun-2011,54.90,55.75,54.50, 55.50,55.40,89377,49.33
27-Jun-2011,54.70,55.75,54.00, 55.20,55.20,115612,63.31
24-Jun-2011,53.20,54.75,52.65, 54.30,54.35,107063,57.60
23-Jun-2011,53.40,53.50,52.60, 53.00,52.90,123389,65.26
22-Jun-2011,54.20,54.55,53.10, 53.25,53.40,99480,53.39
21-Jun-2011,55.10,55.15,54.00, 54.30,54.45,72214,39.45
20-Jun-2011,56.00,56.35,52.45, 54.30,54.60,126491,69.20
17-Jun-2011,56.50,57.75,55.55, 55.85,55.95,291286,165.01
16-Jun-2011,57.40,57.40,56.15, 56.60,56.40,222071,125.73
15-Jun-2011,59.30,59.30,58.65, 58.80,58.90,90783,53.55
14-Jun-2011,59.50,59.50,59.00, 59.35,59.20,85941,50.91
13-Jun-2011,58.50,59.15,58.40, 58.90,58.95,145841,85.89
10-Jun-2011,58.25,59.00,58.05, 58.55,58.50,84223,49.39
09-Jun-2011,58.20,58.70,58.20, 58.60,58.55,60631,35.49
08-Jun-2011,58.00,58.80,57.70, 58.75,58.65,83249,48.72
07-Jun-2011,58.10,58.45,57.80, 57.95,57.95,122544,71.13
06-Jun-2011,57.80,58.50,57.30, 57.70,57.80,74609,43.22
03-Jun-2011,55.75,59.25,55.75, 57.50,57.65,91416,53.24
02-Jun-2011,58.65,59.00,57.85, 58.25,58.40,92829,54.30
01-Jun-2011,57.60,59.60,57.50, 59.30,59.25,243421,143.05
31-May-2011,57.45,58.20,57.20, 57.40,57.60,237986,137.20
30-May-2011,56.60,57.80,56.10, 57.65,57.45,76001,43.49
27-May-2011,55.15,57.60,54.85, 56.60,56.55,131251,74.33
26-May-2011,56.40,57.00,55.40, 55.60,55.65,112900,63.48
25-May-2011,56.45,56.45,55.70, 55.80,55.90,56711,31.73
24-May-2011,56.20,56.90,56.00, 56.70,56.45,56249,31.63
23-May-2011,56.80,56.80,55.95, 56.15,56.10,53958,30.33
20-May-2011,56.25,56.90,56.15, 56.70,56.75,56822,32.19
19-May-2011,56.10,56.90,55.30, 56.30,56.30,45600,25.68
