Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,43.50,45.00,43.50, 43.55,43.55,2963,1.30
29-Dec-2011,43.30,44.50,43.15, 43.55,43.55,2832,1.24
28-Dec-2011,44.40,44.50,43.50, 44.40,43.90,2373,1.04
27-Dec-2011,43.30,44.35,43.05, 43.75,43.70,3459,1.50
26-Dec-2011,43.00,44.20,43.00, 44.00,44.05,3604,1.59
23-Dec-2011,43.80,44.90,42.05, 42.45,42.50,2831,1.24
22-Dec-2011,41.00,43.45,40.05, 42.80,42.65,4286,1.82
21-Dec-2011,41.00,42.65,41.00, 42.25,42.40,6148,2.57
20-Dec-2011,45.50,45.50,40.90, 40.95,41.05,10093,4.29
19-Dec-2011,47.00,47.65,43.00, 44.05,44.20,12972,5.81
16-Dec-2011,49.75,50.45,47.60, 47.65,48.25,3425,1.67
15-Dec-2011,49.15,50.00,49.15, 49.50,49.50,2594,1.28
14-Dec-2011,50.65,50.65,49.85, 49.85,49.90,346,0.17
13-Dec-2011,50.15,50.70,49.50, 50.70,50.25,14479,7.27
12-Dec-2011,51.00,51.00,50.00, 50.50,50.15,1392,0.70
09-Dec-2011,49.55,50.30,49.55, 50.30,50.25,3368,1.68
08-Dec-2011,50.05,50.90,48.00, 50.75,50.50,2142,1.07
07-Dec-2011,47.60,50.65,47.60, 50.65,50.45,2186,1.10
05-Dec-2011,51.30,51.30,49.60, 50.25,50.30,3430,1.73
02-Dec-2011,50.75,51.20,50.40, 50.40,50.55,2096,1.06
01-Dec-2011,51.50,52.00,50.50, 50.55,50.55,1538,0.78
30-Nov-2011,51.50,55.00,49.95, 50.10,50.40,2605,1.33
29-Nov-2011,51.15,52.45,50.10, 50.90,50.50,1901,0.97
28-Nov-2011,50.60,52.95,50.60, 50.95,51.05,1729,0.89
25-Nov-2011,51.50,51.80,50.70, 50.90,50.85,3933,2.00
24-Nov-2011,50.25,52.40,50.25, 51.50,51.50,2447,1.24
23-Nov-2011,50.65,52.50,50.65, 50.95,51.00,4150,2.12
22-Nov-2011,50.45,52.50,50.45, 52.20,51.45,564,0.29
21-Nov-2011,50.30,52.45,49.60, 50.95,51.35,9507,4.83
18-Nov-2011,52.50,52.75,50.25, 50.65,51.40,4339,2.22
17-Nov-2011,54.00,55.80,52.50, 53.50,53.50,12458,6.67
16-Nov-2011,56.00,56.50,54.55, 55.15,54.90,7520,4.14
15-Nov-2011,57.05,57.85,55.65, 57.80,56.70,3825,2.17
14-Nov-2011,58.80,58.80,57.40, 57.40,57.60,14677,8.47
11-Nov-2011,59.30,63.90,57.40, 58.80,57.90,20014,11.61
09-Nov-2011,58.55,61.50,57.80, 59.05,59.40,21233,12.39
08-Nov-2011,57.75,58.90,57.60, 58.00,57.60,20377,11.76
04-Nov-2011,59.00,60.00,58.00, 58.90,58.50,12844,7.52
03-Nov-2011,57.35,58.90,57.35, 57.50,57.70,9008,5.20
02-Nov-2011,57.15,58.75,57.15, 57.55,57.60,12960,7.47
01-Nov-2011,58.00,58.90,57.55, 58.90,57.90,519,0.30
31-Oct-2011,58.00,59.90,57.80, 59.10,59.15,9220,5.45
28-Oct-2011,57.45,58.65,57.05, 57.95,57.85,2358,1.36
26-Oct-2011,57.10,58.45,57.00, 57.50,57.75,1641,0.94
25-Oct-2011,57.25,57.45,56.35, 57.00,57.10,2832,1.62
24-Oct-2011,57.55,58.00,57.20, 57.20,57.20,2294,1.32
21-Oct-2011,58.40,58.40,57.45, 58.35,57.80,1530,0.88
20-Oct-2011,57.05,58.35,57.05, 58.00,57.95,1870,1.08
19-Oct-2011,57.30,59.30,57.20, 57.20,57.75,13211,7.64
18-Oct-2011,57.00,58.25,56.45, 58.00,57.65,11798,6.73
17-Oct-2011,59.35,59.40,57.20, 57.90,57.90,1286,0.75
14-Oct-2011,57.50,58.45,57.10, 58.40,58.15,6993,4.02
13-Oct-2011,56.50,58.00,56.05, 57.25,57.45,6511,3.73
12-Oct-2011,58.00,58.80,56.50, 57.20,57.35,11495,6.56
11-Oct-2011,59.00,59.00,56.30, 58.25,58.00,2591,1.49
10-Oct-2011,54.45,59.50,54.45, 59.15,58.70,14989,8.56
07-Oct-2011,54.15,55.95,54.15, 55.75,54.80,6490,3.56
05-Oct-2011,55.00,55.85,54.00, 54.95,54.25,2527,1.38
04-Oct-2011,55.35,55.90,53.50, 54.00,54.10,3868,2.11
03-Oct-2011,56.00,56.15,54.45, 55.60,55.60,2049,1.14
30-Sep-2011,56.75,58.45,56.15, 56.60,56.60,4633,2.63
29-Sep-2011,59.40,59.50,55.55, 57.40,57.50,7439,4.24
28-Sep-2011,58.10,59.40,58.05, 58.75,58.10,1441,0.84
27-Sep-2011,57.80,58.50,57.80, 58.45,58.05,3439,2.00
26-Sep-2011,58.00,59.20,56.90, 58.00,57.35,2124,1.22
23-Sep-2011,58.50,58.95,57.00, 58.00,58.20,3098,1.79
22-Sep-2011,59.00,60.40,58.30, 59.10,58.90,4154,2.45
21-Sep-2011,60.00,60.90,59.50, 60.05,60.05,5010,3.01
20-Sep-2011,60.40,60.45,59.65, 59.95,59.85,5080,3.05
19-Sep-2011,61.10,63.80,59.65, 60.10,60.20,3618,2.19
16-Sep-2011,60.85,60.85,60.00, 60.10,60.15,1831,1.10
15-Sep-2011,60.60,60.60,60.00, 60.00,60.05,16761,10.07
14-Sep-2011,63.10,63.10,60.00, 60.55,60.10,13495,8.11
13-Sep-2011,60.05,60.95,60.00, 60.05,60.25,2743,1.65
12-Sep-2011,59.25,60.05,59.25, 60.05,60.00,2348,1.41
