Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,8.30,8.40,8.25, 8.35,8.30,27283,2.27
29-Dec-2011,8.20,8.55,8.00, 8.40,8.25,87768,7.28
28-Dec-2011,8.20,8.40,8.15, 8.20,8.20,38898,3.21
27-Dec-2011,8.05,8.60,7.55, 8.20,8.20,39529,3.27
26-Dec-2011,8.25,8.60,8.00, 8.40,8.35,91720,7.59
23-Dec-2011,8.50,8.60,7.65, 8.25,8.30,165252,13.88
22-Dec-2011,8.25,8.75,7.50, 8.10,8.05,230697,18.36
21-Dec-2011,8.45,8.90,8.25, 8.55,8.40,116383,9.83
20-Dec-2011,8.50,8.95,8.25, 8.35,8.40,37264,3.15
19-Dec-2011,8.80,8.90,8.20, 8.65,8.60,56526,4.80
16-Dec-2011,9.20,9.40,8.80, 9.20,8.90,54684,4.96
15-Dec-2011,9.30,9.35,8.80, 9.00,9.05,87522,7.92
14-Dec-2011,9.40,9.65,9.30, 9.30,9.35,23456,2.22
13-Dec-2011,9.25,9.55,9.25, 9.40,9.45,7476,0.71
12-Dec-2011,9.60,9.70,9.45, 9.50,9.50,21244,2.02
09-Dec-2011,9.50,9.75,9.50, 9.65,9.70,19566,1.88
08-Dec-2011,9.70,9.90,9.60, 9.65,9.75,24978,2.42
07-Dec-2011,9.55,10.05,9.55, 9.95,9.95,48737,4.79
05-Dec-2011,9.90,9.90,9.50, 9.70,9.70,28263,2.73
02-Dec-2011,9.55,9.80,9.50, 9.75,9.70,16160,1.56
01-Dec-2011,9.80,9.80,9.50, 9.60,9.55,10585,1.01
30-Nov-2011,9.70,9.75,9.40, 9.40,9.45,36523,3.47
29-Nov-2011,9.50,9.80,9.40, 9.70,9.70,37175,3.61
28-Nov-2011,9.50,9.60,9.35, 9.50,9.55,31192,2.97
25-Nov-2011,9.25,9.65,9.25, 9.45,9.50,14199,1.34
24-Nov-2011,9.15,9.50,9.10, 9.35,9.45,25568,2.37
23-Nov-2011,9.40,9.45,9.10, 9.40,9.35,43143,3.97
22-Nov-2011,9.40,9.45,9.20, 9.45,9.40,35209,3.30
21-Nov-2011,9.70,9.70,9.20, 9.30,9.25,59625,5.57
18-Nov-2011,9.70,9.70,9.25, 9.40,9.45,83437,7.83
17-Nov-2011,9.95,10.15,9.70, 9.75,9.75,67886,6.68
16-Nov-2011,10.75,10.75,9.85, 10.00,9.95,83498,8.34
15-Nov-2011,10.85,10.85,9.50, 9.90,9.95,135898,13.86
14-Nov-2011,10.95,10.95,10.65, 10.70,10.65,77858,8.35
11-Nov-2011,10.70,10.90,10.65, 10.75,10.75,75472,8.10
