Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,47.20,47.50,45.80, 46.10,46.10,1388276,641.10
29-Dec-2011,46.70,47.75,46.05, 46.75,46.50,442801,207.27
28-Dec-2011,46.20,47.90,46.10, 47.10,46.85,377678,176.63
27-Dec-2011,48.30,48.75,46.90, 47.10,47.10,393313,186.78
26-Dec-2011,47.60,49.00,47.20, 48.30,48.30,431438,209.13
23-Dec-2011,45.90,47.80,45.45, 47.55,47.20,869115,407.64
22-Dec-2011,45.00,45.75,43.80, 45.10,45.15,965859,434.21
21-Dec-2011,45.00,45.95,44.20, 45.50,45.80,921756,417.83
20-Dec-2011,43.95,44.65,42.00, 43.40,43.35,943700,408.64
19-Dec-2011,46.90,47.30,42.50, 43.45,43.10,1305333,576.47
16-Dec-2011,45.05,49.30,45.00, 46.20,46.30,1957824,937.90
15-Dec-2011,51.00,51.25,45.85, 46.75,46.45,3383099,1620.82
14-Dec-2011,53.10,53.70,51.10, 51.20,51.25,891214,465.54
13-Dec-2011,53.00,54.40,52.20, 53.20,52.80,1350533,715.42
12-Dec-2011,55.00,57.00,54.75, 55.20,55.00,893014,493.36
09-Dec-2011,53.80,55.80,52.50, 54.95,54.70,1794262,985.62
08-Dec-2011,58.40,58.40,53.80, 54.25,54.00,1115353,616.92
07-Dec-2011,58.70,60.40,57.25, 57.25,58.50,1120716,666.60
05-Dec-2011,59.70,59.90,47.95, 58.80,58.60,426075,248.11
02-Dec-2011,59.70,59.70,56.50, 59.20,59.25,447575,262.70
01-Dec-2011,58.50,69.30,58.00, 59.25,59.15,792064,473.86
30-Nov-2011,55.00,59.10,54.20, 57.50,57.85,1209171,685.50
29-Nov-2011,55.30,56.20,55.00, 55.40,55.35,459579,255.03
28-Nov-2011,52.90,55.50,52.90, 55.25,55.10,685903,376.23
25-Nov-2011,52.20,53.75,51.10, 53.10,53.25,568120,301.97
24-Nov-2011,52.10,52.60,50.10, 52.25,52.10,849132,435.83
23-Nov-2011,54.10,54.50,51.55, 51.85,52.05,963187,510.77
