Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,9.80,10.90,9.35, 10.05,10.05,1079,0.11
29-Dec-2011,11.45,11.45,10.10, 10.15,10.30,1916,0.20
28-Dec-2011,10.30,10.85,10.25, 10.45,10.30,10354,1.07
27-Dec-2011,10.55,11.20,10.55, 10.60,10.60,1280,0.14
26-Dec-2011,11.75,11.75,10.15, 11.20,11.20,471,0.05
23-Dec-2011,10.75,10.75,10.30, 10.75,10.75,1682,0.18
22-Dec-2011,9.95,10.60,9.00, 10.55,10.55,2343,0.23
21-Dec-2011,11.60,11.60,9.50, 9.90,9.80,23100,2.36
20-Dec-2011,11.50,11.85,11.10, 11.60,11.35,11438,1.29
19-Dec-2011,12.10,12.60,11.40, 11.40,11.45,1901,0.23
16-Dec-2011,11.80,12.00,11.80, 11.80,11.80,228,0.03
15-Dec-2011,11.65,12.45,11.60, 12.10,12.10,1994,0.24
14-Dec-2011,12.50,12.50,12.10, 12.10,12.10,108,0.01
13-Dec-2011,12.00,12.55,12.00, 12.50,12.50,1190,0.15
12-Dec-2011,12.55,12.55,12.10, 12.15,12.15,752,0.09
09-Dec-2011,12.60,12.65,12.45, 12.45,12.50,1708,0.22
08-Dec-2011,13.10,13.10,13.10, 13.10,13.10,10,0.00
07-Dec-2011,12.30,13.10,12.30, 13.00,12.85,6759,0.88
05-Dec-2011,12.40,14.25,12.40, 12.75,12.75,8586,1.09
02-Dec-2011,12.50,13.10,12.50, 12.70,12.70,598,0.08
01-Dec-2011,12.50,13.15,12.50, 13.15,12.90,2050,0.26
29-Nov-2011,12.80,12.90,12.75, 12.90,12.90,255,0.03
28-Nov-2011,12.95,13.00,12.45, 13.00,13.00,8274,1.07
25-Nov-2011,13.15,13.15,12.30, 12.45,12.45,1075,0.13
24-Nov-2011,12.05,13.15,12.05, 13.15,13.15,302,0.04
23-Nov-2011,12.35,13.00,12.35, 12.45,12.45,1304,0.16
22-Nov-2011,12.10,13.00,12.10, 13.00,13.00,420,0.05
21-Nov-2011,13.00,13.00,12.40, 12.85,12.85,930,0.12
18-Nov-2011,13.10,13.90,12.65, 13.40,13.40,7084,0.93
17-Nov-2011,13.45,13.95,13.30, 13.75,13.75,3486,0.48
16-Nov-2011,13.90,13.90,13.35, 13.70,13.70,4211,0.57
15-Nov-2011,13.70,14.35,13.20, 13.95,13.85,7161,1.00
14-Nov-2011,13.70,13.90,13.50, 13.90,13.90,540,0.07
11-Nov-2011,13.50,14.25,13.50, 13.90,13.90,1860,0.26
09-Nov-2011,13.65,14.00,13.65, 14.00,13.85,503,0.07
08-Nov-2011,14.00,14.10,14.00, 14.10,14.00,1510,0.21
04-Nov-2011,14.45,14.45,13.50, 13.90,13.85,4469,0.61
03-Nov-2011,13.85,14.00,13.70, 14.00,13.90,510,0.07
02-Nov-2011,13.80,14.45,13.80, 13.85,13.85,3675,0.52
01-Nov-2011,13.45,14.00,13.45, 14.00,14.00,620,0.09
28-Oct-2011,15.00,15.00,13.15, 13.85,13.85,6229,0.85
26-Oct-2011,14.25,14.25,14.25, 14.25,14.25,1130,0.16
25-Oct-2011,13.45,13.80,13.15, 13.80,13.80,3419,0.46
24-Oct-2011,14.40,14.40,13.40, 13.65,13.65,7112,0.99
21-Oct-2011,16.95,16.95,13.75, 13.80,13.80,5004,0.70
20-Oct-2011,13.90,14.45,13.70, 14.45,14.40,144,0.02
19-Oct-2011,14.75,14.80,14.10, 14.25,14.50,1269,0.19
18-Oct-2011,14.00,14.75,13.60, 14.40,14.40,1407,0.20
17-Oct-2011,14.30,14.50,13.60, 14.50,14.40,24825,3.57
14-Oct-2011,14.90,14.90,13.80, 13.80,13.80,101,0.01
13-Oct-2011,13.45,14.20,13.45, 14.10,14.10,502,0.07
12-Oct-2011,13.40,13.95,13.40, 13.45,13.45,400,0.05
11-Oct-2011,13.45,14.00,13.45, 14.00,13.50,2143,0.29
10-Oct-2011,13.95,14.05,13.50, 14.00,13.75,207,0.03
07-Oct-2011,15.00,15.00,13.30, 13.95,13.65,618,0.08
05-Oct-2011,14.00,14.00,14.00, 14.00,14.00,2700,0.38
04-Oct-2011,14.40,14.85,14.00, 14.65,14.35,4867,0.70
03-Oct-2011,13.05,13.30,13.05, 13.30,13.30,1014,0.13
30-Sep-2011,15.15,15.15,13.50, 13.60,13.60,621,0.09
29-Sep-2011,13.50,13.50,13.40, 13.40,13.40,352,0.05
28-Sep-2011,14.20,14.50,13.80, 13.80,13.85,4021,0.56
27-Sep-2011,14.40,14.40,13.50, 13.50,13.55,745,0.10
26-Sep-2011,13.05,14.40,13.05, 13.55,13.55,13299,1.82
23-Sep-2011,14.50,14.50,13.50, 13.50,13.50,1477,0.20
22-Sep-2011,13.90,14.00,13.70, 13.70,13.85,800,0.11
21-Sep-2011,13.55,14.10,13.55, 14.10,13.55,449,0.06
20-Sep-2011,13.55,14.30,13.25, 13.95,13.85,2075,0.28
19-Sep-2011,14.00,14.80,13.00, 14.15,14.15,3923,0.56
16-Sep-2011,14.95,14.95,13.00, 14.85,14.50,26471,3.63
15-Sep-2011,12.60,13.70,12.60, 13.70,13.70,6400,0.86
14-Sep-2011,12.90,12.90,12.65, 12.75,12.75,585,0.07
13-Sep-2011,13.00,13.70,13.00, 13.05,13.05,1948,0.26
12-Sep-2011,12.65,14.00,12.65, 13.00,13.00,427,0.06
09-Sep-2011,16.00,16.00,13.10, 13.25,13.25,2626,0.36
08-Sep-2011,13.20,13.75,13.20, 13.75,13.75,2104,0.28
07-Sep-2011,13.00,13.90,12.55, 13.40,13.05,3591,0.47
06-Sep-2011,13.90,13.90,13.00, 13.75,13.75,960,0.13
05-Sep-2011,13.00,13.25,13.00, 13.25,13.25,505,0.07
02-Sep-2011,14.40,14.40,13.00, 13.10,13.65,642,0.09
30-Aug-2011,12.70,13.20,12.55, 13.20,12.95,707,0.09
29-Aug-2011,12.65,13.05,12.65, 13.05,13.05,1464,0.19
26-Aug-2011,14.40,14.40,12.50, 13.00,12.60,7407,0.96
25-Aug-2011,12.50,12.50,12.50, 12.50,12.50,3444,0.43
24-Aug-2011,12.55,13.10,12.55, 12.60,12.60,15112,1.96
23-Aug-2011,12.00,13.25,12.00, 12.80,12.80,1404,0.18
19-Aug-2011,14.80,14.80,12.50, 12.90,12.85,1764,0.22
18-Aug-2011,13.00,13.40,12.55, 12.60,12.60,4119,0.54
17-Aug-2011,13.25,13.65,13.25, 13.50,13.45,4692,0.63
16-Aug-2011,13.85,14.05,13.25, 14.05,13.65,2987,0.41
12-Aug-2011,14.00,14.00,12.55, 14.00,13.85,7480,1.02
11-Aug-2011,12.85,13.00,12.85, 13.00,13.00,252,0.03
10-Aug-2011,14.10,14.10,12.85, 13.50,12.95,1139,0.15
09-Aug-2011,13.60,13.60,12.75, 12.75,12.75,4176,0.55
08-Aug-2011,13.00,13.15,12.80, 12.80,12.80,5121,0.67
05-Aug-2011,14.85,14.85,12.95, 13.20,13.20,30623,4.08
04-Aug-2011,14.35,14.35,13.10, 14.00,13.95,13608,1.90
03-Aug-2011,13.40,13.55,13.40, 13.55,13.50,1100,0.15
02-Aug-2011,14.15,14.15,12.50, 13.40,13.35,15054,1.95
01-Aug-2011,13.60,13.70,13.30, 13.50,13.50,6510,0.88
29-Jul-2011,15.40,15.40,13.50, 14.00,13.75,2004,0.27
28-Jul-2011,14.90,14.90,13.50, 13.65,13.65,1308,0.18
27-Jul-2011,13.30,13.80,13.30, 13.60,13.60,1192,0.16
26-Jul-2011,13.40,13.50,13.40, 13.50,13.50,889,0.12
25-Jul-2011,13.30,13.80,13.30, 13.80,13.80,435,0.06
22-Jul-2011,14.80,14.80,13.40, 13.50,13.50,2900,0.39
21-Jul-2011,13.85,13.85,13.45, 13.55,13.50,4070,0.55
20-Jul-2011,13.60,14.25,13.50, 14.25,13.95,11413,1.59
19-Jul-2011,13.05,13.45,13.00, 13.45,13.45,1900,0.25
18-Jul-2011,12.30,13.75,12.30, 12.95,12.95,1603,0.21
15-Jul-2011,15.80,15.80,12.60, 12.80,12.80,1011,0.13
14-Jul-2011,12.15,13.35,12.15, 13.35,13.20,2596,0.34
13-Jul-2011,12.85,13.05,12.55, 13.00,13.00,2801,0.36
12-Jul-2011,13.20,13.75,12.25, 12.70,12.60,5252,0.66
11-Jul-2011,12.85,13.15,12.85, 13.15,13.15,156,0.02
08-Jul-2011,12.10,13.95,12.10, 13.25,13.25,2267,0.30
07-Jul-2011,13.10,13.10,13.10, 13.10,13.10,520,0.07
06-Jul-2011,13.70,13.70,13.00, 13.00,13.00,740,0.10
04-Jul-2011,13.05,13.05,12.85, 12.85,12.85,1051,0.14
01-Jul-2011,14.95,14.95,12.80, 12.80,12.90,1951,0.26
30-Jun-2011,13.40,13.55,13.25, 13.25,13.25,1548,0.21
29-Jun-2011,13.25,13.50,13.25, 13.50,13.45,1060,0.14
28-Jun-2011,12.45,14.00,12.40, 13.15,13.20,10412,1.36
27-Jun-2011,14.00,14.00,11.90, 12.90,12.70,1558,0.20
24-Jun-2011,14.50,14.50,12.40, 12.40,12.45,4905,0.62
23-Jun-2011,12.15,12.35,12.15, 12.25,12.25,2386,0.29
22-Jun-2011,12.55,12.95,12.50, 12.85,12.85,910,0.12
21-Jun-2011,12.20,12.95,12.20, 12.55,12.55,1089,0.14
20-Jun-2011,12.60,12.80,12.35, 12.35,12.35,1934,0.24
17-Jun-2011,15.40,15.40,12.70, 12.80,12.80,2303,0.30
16-Jun-2011,12.30,13.00,12.30, 13.00,12.95,992,0.13
15-Jun-2011,13.00,13.00,12.30, 12.60,12.60,1211,0.15
14-Jun-2011,14.20,14.25,13.00, 13.00,13.00,4164,0.55
13-Jun-2011,13.05,14.15,12.90, 13.15,13.40,1700,0.23
10-Jun-2011,14.70,14.70,12.75, 13.40,13.40,216,0.03
09-Jun-2011,13.05,13.30,12.90, 12.90,12.90,1570,0.20
08-Jun-2011,13.00,13.40,13.00, 13.00,13.00,2901,0.38
07-Jun-2011,13.05,13.70,12.30, 13.00,13.00,2179,0.29
06-Jun-2011,13.10,13.55,13.10, 13.10,13.30,1100,0.15
03-Jun-2011,15.00,15.00,13.20, 13.20,13.30,2327,0.32
02-Jun-2011,13.20,13.20,13.20, 13.20,13.20,100,0.01
01-Jun-2011,14.00,14.00,13.25, 13.40,13.40,1352,0.18
31-May-2011,13.45,13.95,13.30, 13.95,13.95,2995,0.41
30-May-2011,13.00,14.00,12.80, 13.45,13.45,4777,0.64
27-May-2011,15.00,15.00,12.85, 13.20,13.15,2837,0.37
26-May-2011,12.25,13.20,12.25, 12.85,12.85,2405,0.31
25-May-2011,12.55,12.55,12.55, 12.55,12.55,110,0.01
24-May-2011,13.20,13.20,12.75, 12.80,12.95,1815,0.23
23-May-2011,13.15,13.20,12.75, 13.15,13.15,1258,0.16
20-May-2011,15.05,15.05,12.65, 13.90,13.95,4484,0.62
19-May-2011,13.25,13.55,13.00, 13.15,13.15,1878,0.25
18-May-2011,13.70,14.50,13.40, 13.40,13.55,2602,0.36
17-May-2011,13.80,16.35,13.70, 13.75,13.75,4121,0.57
16-May-2011,13.65,13.85,13.60, 13.85,13.85,1601,0.22
13-May-2011,15.90,15.90,13.05, 13.80,13.80,1723,0.23
12-May-2011,12.70,15.25,12.70, 13.60,13.65,1349,0.18
11-May-2011,14.00,14.00,13.60, 13.65,13.65,3096,0.43
10-May-2011,13.65,14.20,13.55, 14.00,14.05,2359,0.33
09-May-2011,13.65,14.60,13.60, 13.65,13.65,966,0.13
06-May-2011,16.50,16.50,13.75, 14.25,14.00,1009,0.14
05-May-2011,13.75,14.25,13.60, 13.65,13.75,1199,0.17
04-May-2011,14.00,14.05,13.80, 13.80,13.80,236,0.03
03-May-2011,14.00,14.30,14.00, 14.30,14.15,6797,0.95
02-May-2011,14.25,14.25,13.50, 14.00,14.00,2916,0.41
29-Apr-2011,15.35,15.35,14.00, 14.15,14.15,1191,0.17
28-Apr-2011,14.80,14.80,14.00, 14.15,14.15,1925,0.28
27-Apr-2011,14.75,14.75,13.85, 14.05,14.15,1774,0.25
26-Apr-2011,14.20,14.85,14.20, 14.85,14.85,10560,1.53
25-Apr-2011,16.00,16.00,14.70, 15.20,15.20,1312,0.20
21-Apr-2011,14.65,15.60,14.50, 14.70,14.55,1790,0.26
20-Apr-2011,15.40,15.40,14.95, 14.95,15.15,830,0.13
19-Apr-2011,15.10,15.10,14.85, 14.85,14.85,3002,0.45
18-Apr-2011,15.20,15.75,15.20, 15.35,15.35,6700,1.03
15-Apr-2011,15.75,16.00,14.25, 16.00,15.90,5171,0.81
13-Apr-2011,13.95,15.05,13.95, 15.05,15.05,4986,0.73
11-Apr-2011,13.35,13.75,13.35, 13.60,13.65,2320,0.32
08-Apr-2011,14.10,14.50,13.50, 13.60,13.60,16039,2.25
07-Apr-2011,12.90,13.65,12.85, 13.65,13.60,700,0.09
06-Apr-2011,13.45,13.45,13.05, 13.30,13.25,1345,0.18
05-Apr-2011,12.05,12.85,12.05, 12.85,12.80,1700,0.21
04-Apr-2011,11.80,12.50,11.80, 12.50,12.50,854,0.11
01-Apr-2011,12.80,12.80,11.80, 12.20,12.20,1802,0.22
31-Mar-2011,11.65,12.40,11.50, 11.95,11.80,19881,2.35
30-Mar-2011,11.55,12.25,11.55, 12.25,12.25,5348,0.64
29-Mar-2011,11.90,12.25,11.55, 11.80,11.80,4033,0.48
28-Mar-2011,11.90,12.25,11.75, 11.85,11.85,2788,0.34
25-Mar-2011,13.20,13.20,11.75, 12.15,11.90,6882,0.82
24-Mar-2011,12.25,12.25,11.75, 12.00,12.00,27400,3.30
23-Mar-2011,12.35,12.35,11.85, 12.00,11.90,4595,0.55
22-Mar-2011,11.80,12.15,11.80, 12.15,12.10,3729,0.45
21-Mar-2011,11.80,12.35,11.80, 12.30,12.30,104,0.01
18-Mar-2011,12.00,12.50,11.80, 12.00,12.10,22330,2.71
17-Mar-2011,12.00,12.25,11.85, 12.25,12.05,2202,0.27
16-Mar-2011,11.85,12.95,11.60, 12.95,12.10,4852,0.58
15-Mar-2011,11.80,12.25,11.80, 12.20,12.00,1032,0.12
14-Mar-2011,11.50,12.25,11.50, 12.25,12.25,1770,0.21
11-Mar-2011,12.70,12.70,11.50, 12.10,12.10,4182,0.49
10-Mar-2011,11.20,12.40,11.20, 12.00,12.00,1005,0.11
09-Mar-2011,11.70,12.60,11.50, 12.60,12.45,1501,0.18
08-Mar-2011,12.60,12.60,11.80, 12.20,12.20,983,0.12
07-Mar-2011,11.90,12.25,11.70, 11.80,11.80,2688,0.32
04-Mar-2011,12.60,12.60,11.85, 12.00,12.00,5763,0.69
03-Mar-2011,12.10,12.10,12.10, 12.10,12.10,1713,0.21
01-Mar-2011,11.50,12.05,11.25, 12.05,12.05,1061,0.12
28-Feb-2011,12.20,12.20,11.35, 11.55,11.55,865,0.10
25-Feb-2011,12.00,12.65,11.75, 11.75,11.75,3046,0.36
24-Feb-2011,12.80,12.80,12.35, 12.35,12.35,2456,0.30
23-Feb-2011,13.30,13.60,12.70, 13.00,13.00,10427,1.39
22-Feb-2011,12.95,12.95,12.95, 12.95,12.95,2318,0.30
21-Feb-2011,11.40,12.40,11.40, 12.35,12.30,2806,0.34
18-Feb-2011,11.00,12.10,11.00, 11.80,11.80,2051,0.25
17-Feb-2011,11.50,11.70,11.15, 11.50,11.50,5999,0.69
16-Feb-2011,10.70,11.15,10.70, 11.10,11.10,2579,0.28
15-Feb-2011,11.05,11.05,10.25, 10.70,10.70,4334,0.47
14-Feb-2011,10.65,11.10,10.30, 10.50,10.65,14213,1.51
11-Feb-2011,11.00,11.20,10.25, 10.60,10.60,8267,0.89
10-Feb-2011,10.65,10.65,10.65, 10.65,10.65,1370,0.15
09-Feb-2011,11.20,11.25,11.20, 11.20,11.20,3207,0.36
08-Feb-2011,12.10,12.10,11.75, 11.75,11.75,203,0.02
07-Feb-2011,12.20,12.65,11.60, 12.10,12.10,3537,0.42
04-Feb-2011,13.00,13.00,11.80, 12.20,12.20,7747,0.94
03-Feb-2011,12.40,12.40,12.40, 12.40,12.40,200,0.02
02-Feb-2011,12.90,13.00,12.35, 13.00,12.45,3780,0.48
01-Feb-2011,12.90,13.50,12.90, 12.90,12.90,5066,0.66
31-Jan-2011,13.55,14.00,13.55, 13.55,13.55,4105,0.56
28-Jan-2011,15.60,15.60,14.25, 14.25,14.25,4456,0.65
27-Jan-2011,15.55,15.55,15.00, 15.00,15.00,1442,0.22
25-Jan-2011,14.65,14.90,14.65, 14.75,14.80,973,0.14
24-Jan-2011,15.50,15.50,14.90, 15.00,15.00,3501,0.52
21-Jan-2011,15.85,15.85,14.75, 14.95,15.00,8448,1.27
20-Jan-2011,15.10,15.60,15.00, 15.05,15.15,1822,0.28
19-Jan-2011,15.00,15.55,15.00, 15.15,15.15,6548,1.00
18-Jan-2011,15.00,15.35,14.90, 14.90,14.90,2470,0.37
17-Jan-2011,15.10,15.80,14.50, 14.90,15.60,2764,0.42
14-Jan-2011,16.30,16.30,14.90, 15.15,15.15,5333,0.81
13-Jan-2011,15.30,15.50,15.30, 15.50,15.50,900,0.14
12-Jan-2011,15.50,15.65,15.50, 15.65,15.65,2150,0.33
11-Jan-2011,16.15,16.15,15.60, 15.60,15.60,837,0.13
10-Jan-2011,15.65,16.00,15.25, 16.00,16.00,1770,0.28
07-Jan-2011,16.30,16.50,15.90, 15.90,16.05,4510,0.73
06-Jan-2011,16.05,16.45,16.00, 16.45,16.30,2698,0.44
05-Jan-2011,16.00,16.75,16.00, 16.40,16.20,3966,0.65
04-Jan-2011,16.30,16.70,16.25, 16.70,16.70,1265,0.21
03-Jan-2011,15.50,17.05,15.50, 16.75,16.70,5301,0.86
