Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,82.00,83.40,78.15, 81.90,80.80,6745,5.46
29-Dec-2011,78.25,83.50,76.20, 83.50,81.90,35975,28.85
28-Dec-2011,87.00,88.00,79.40, 79.40,81.60,27139,22.24
27-Dec-2011,87.00,90.00,87.00, 88.30,88.05,4457,3.95
26-Dec-2011,88.00,90.85,86.75, 87.00,87.50,2995,2.64
23-Dec-2011,88.20,91.45,87.50, 88.60,89.05,7645,6.89
22-Dec-2011,86.00,89.50,85.95, 89.50,88.40,3464,3.03
21-Dec-2011,87.10,89.00,85.65, 86.65,86.50,7779,6.74
20-Dec-2011,89.25,89.25,86.15, 86.50,86.60,8476,7.45
19-Dec-2011,93.00,93.00,87.65, 88.00,89.00,18084,16.33
16-Dec-2011,92.10,94.95,91.35, 93.30,92.60,9309,8.62
15-Dec-2011,91.00,92.80,90.00, 92.70,91.75,16052,14.71
14-Dec-2011,92.05,92.90,90.90, 92.50,92.20,4508,4.14
13-Dec-2011,91.05,92.40,91.05, 91.50,91.25,6724,6.15
12-Dec-2011,93.00,94.95,91.30, 91.30,92.05,5056,4.69
09-Dec-2011,93.25,93.80,91.15, 92.50,92.50,8250,7.61
08-Dec-2011,93.60,94.95,92.00, 93.50,92.30,6915,6.42
07-Dec-2011,95.95,97.00,93.25, 93.60,93.80,4220,4.01
05-Dec-2011,96.00,96.00,94.60, 95.80,95.55,7396,7.06
02-Dec-2011,92.70,95.45,92.70, 94.50,94.70,5761,5.42
01-Dec-2011,93.35,94.75,92.50, 93.70,93.00,3256,3.04
30-Nov-2011,93.00,94.90,92.55, 93.25,93.10,2749,2.57
29-Nov-2011,95.00,95.00,90.00, 93.50,93.45,7518,6.96
28-Nov-2011,91.00,94.80,91.00, 94.40,94.20,4376,4.10
25-Nov-2011,91.00,92.95,90.55, 92.00,91.65,6570,6.03
24-Nov-2011,91.00,93.25,90.00, 93.25,92.40,5047,4.60
23-Nov-2011,93.50,95.00,91.20, 91.70,91.80,10110,9.40
22-Nov-2011,93.15,94.80,93.15, 94.75,94.30,3806,3.58
21-Nov-2011,93.30,95.95,91.70, 93.55,94.45,12868,12.06
18-Nov-2011,94.00,94.95,92.60, 93.20,93.05,7468,6.97
17-Nov-2011,95.10,96.20,94.00, 94.00,94.55,5755,5.46
16-Nov-2011,97.65,100.00,94.25, 95.05,95.55,25736,24.66
15-Nov-2011,105.05,105.05,97.00, 98.00,97.55,12476,12.29
14-Nov-2011,100.30,101.85,99.35, 100.70,100.05,8036,8.11
11-Nov-2011,102.00,102.00,101.00, 101.45,101.25,7414,7.52
09-Nov-2011,102.25,102.90,101.05, 101.05,101.40,15112,15.40
08-Nov-2011,102.90,102.90,100.00, 102.15,102.20,19724,20.01
04-Nov-2011,103.00,103.95,102.80, 103.30,103.45,22318,23.07
03-Nov-2011,100.50,102.50,100.35, 101.60,101.60,10893,11.05
02-Nov-2011,103.00,103.60,100.30, 100.90,100.65,66611,68.29
01-Nov-2011,104.50,104.50,102.20, 103.00,102.95,4558,4.70
31-Oct-2011,103.30,104.45,102.50, 104.00,103.90,6531,6.76
28-Oct-2011,102.50,105.50,102.10, 103.50,103.85,18773,19.56
26-Oct-2011,102.50,103.25,101.35, 102.80,102.90,9263,9.51
25-Oct-2011,99.40,102.00,98.55, 102.00,101.60,7772,7.85
24-Oct-2011,100.10,101.80,99.10, 100.35,100.05,3778,3.80
21-Oct-2011,99.50,101.00,99.50, 100.80,100.10,5645,5.68
20-Oct-2011,100.90,100.90,99.50, 100.50,100.50,6406,6.40
19-Oct-2011,99.15,100.90,99.15, 100.15,100.25,5743,5.76
18-Oct-2011,99.00,100.85,97.80, 98.50,98.25,26417,26.02
17-Oct-2011,101.00,102.00,99.50, 99.65,99.80,14726,14.79
14-Oct-2011,101.80,101.90,100.50, 101.30,100.80,14743,14.91
13-Oct-2011,103.00,103.00,100.00, 100.65,100.45,67765,68.53
12-Oct-2011,103.90,104.00,100.90, 101.30,101.55,41550,42.45
11-Oct-2011,103.60,104.40,99.80, 100.20,100.40,18633,18.95
10-Oct-2011,102.00,103.45,100.40, 101.00,101.55,9513,9.69
07-Oct-2011,101.45,103.45,101.45, 102.10,101.85,9981,10.18
05-Oct-2011,102.10,102.75,100.00, 100.25,100.20,6384,6.45
04-Oct-2011,103.95,103.95,100.30, 101.15,101.45,10052,10.25
03-Oct-2011,101.00,103.20,100.00, 102.85,102.55,7669,7.84
30-Sep-2011,101.15,105.00,100.25, 102.50,102.40,10262,10.59
29-Sep-2011,103.50,104.60,103.00, 104.00,104.05,12239,12.72
28-Sep-2011,104.50,105.35,103.15, 104.35,104.75,12555,13.13
27-Sep-2011,104.50,105.80,104.10, 104.20,104.50,23523,24.70
26-Sep-2011,103.00,107.00,102.60, 104.50,104.50,74725,78.39
23-Sep-2011,100.10,104.50,100.10, 104.00,104.15,18647,19.25
22-Sep-2011,105.00,105.00,102.00, 102.00,102.40,11288,11.64
21-Sep-2011,100.95,107.70,99.50, 103.85,105.85,97599,101.02
20-Sep-2011,101.95,102.00,100.40, 100.95,100.95,18705,18.92
19-Sep-2011,104.70,104.75,100.20, 102.00,101.75,18316,18.58
16-Sep-2011,102.50,103.75,101.15, 102.00,101.90,5263,5.38
15-Sep-2011,103.00,103.60,101.40, 102.50,101.90,10015,10.24
14-Sep-2011,104.90,105.25,102.25, 103.00,102.95,16917,17.53
13-Sep-2011,104.00,106.00,103.40, 104.10,104.30,10744,11.28
