Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,82.00,82.75,81.10, 81.10,81.20,2528,2.07
29-Dec-2011,82.55,83.90,81.20, 83.75,83.10,534,0.44
28-Dec-2011,84.00,84.00,81.65, 82.00,82.20,1861,1.54
27-Dec-2011,84.10,84.95,84.00, 84.20,84.55,1755,1.48
26-Dec-2011,85.50,85.95,81.65, 84.25,83.80,6886,5.82
23-Dec-2011,84.25,87.30,84.20, 85.00,85.20,8009,6.89
22-Dec-2011,84.50,85.70,82.05, 84.00,83.90,4017,3.38
21-Dec-2011,82.50,86.00,79.55, 84.20,83.90,31973,26.51
20-Dec-2011,86.60,86.60,81.00, 84.80,83.10,3098,2.58
19-Dec-2011,91.00,91.00,79.90, 83.00,82.75,103192,86.93
16-Dec-2011,88.00,92.80,87.25, 92.80,91.45,13383,12.13
15-Dec-2011,92.00,92.75,87.55, 89.00,89.00,7493,6.74
14-Dec-2011,93.10,94.25,90.55, 90.60,91.60,6807,6.29
13-Dec-2011,93.00,96.50,92.35, 95.70,94.35,3911,3.67
12-Dec-2011,97.00,99.35,93.20, 94.25,94.55,8117,7.79
09-Dec-2011,98.00,98.35,95.15, 96.50,96.30,4430,4.28
08-Dec-2011,99.25,101.00,97.25, 97.35,97.60,11107,10.95
07-Dec-2011,99.25,106.45,98.80, 100.40,100.20,184943,189.97
05-Dec-2011,102.85,102.85,98.20, 99.75,99.15,2144,2.14
02-Dec-2011,99.55,100.85,98.05, 100.75,99.95,3149,3.13
01-Dec-2011,102.90,102.95,99.55, 99.55,100.25,2761,2.79
30-Nov-2011,98.70,101.00,98.70, 99.00,99.05,144518,144.70
29-Nov-2011,102.25,103.15,98.55, 99.80,100.00,6949,7.06
28-Nov-2011,101.85,101.85,99.50, 101.00,100.65,1936,1.95
25-Nov-2011,96.10,100.45,95.75, 99.95,99.30,10683,10.46
24-Nov-2011,98.25,98.55,92.30, 97.25,97.20,20764,19.75
23-Nov-2011,100.55,101.45,98.20, 99.50,99.65,4203,4.20
22-Nov-2011,107.40,107.40,100.50, 101.00,101.10,7429,7.64
21-Nov-2011,104.00,108.50,101.65, 104.00,103.25,9884,10.47
18-Nov-2011,114.95,121.10,104.00, 104.95,105.70,20533,22.23
17-Nov-2011,105.00,115.00,99.55, 105.00,106.20,47552,50.62
16-Nov-2011,107.05,108.85,102.25, 103.95,103.00,18888,19.62
15-Nov-2011,111.95,111.95,104.50, 107.95,107.85,23556,25.51
14-Nov-2011,113.00,114.20,107.30, 107.90,108.75,15843,17.56
11-Nov-2011,117.00,117.00,112.25, 113.00,112.95,15291,17.34
09-Nov-2011,119.45,119.65,116.30, 116.35,116.70,3611,4.24
08-Nov-2011,123.00,123.00,117.45, 117.95,117.85,4224,5.00
04-Nov-2011,121.65,122.50,119.30, 120.00,119.90,4815,5.82
03-Nov-2011,122.45,122.45,118.20, 120.00,120.05,3047,3.66
02-Nov-2011,124.00,124.00,120.60, 120.60,121.45,1250,1.52
01-Nov-2011,123.00,124.65,119.00, 121.05,121.40,16536,20.33
31-Oct-2011,120.20,124.40,120.20, 123.00,123.25,27299,33.56
28-Oct-2011,120.00,124.75,120.00, 120.20,120.65,6017,7.29
26-Oct-2011,118.25,121.25,118.25, 120.90,120.40,1078,1.29
25-Oct-2011,120.00,120.00,116.75, 117.35,118.25,9805,11.58
24-Oct-2011,121.50,123.90,119.25, 119.75,119.95,4356,5.28
21-Oct-2011,125.00,127.70,120.15, 120.55,121.30,19526,24.15
20-Oct-2011,129.95,129.95,120.05, 123.50,124.55,6573,8.20
19-Oct-2011,126.00,129.70,124.60, 124.60,126.00,4641,5.89
18-Oct-2011,128.90,128.90,125.05, 126.50,126.15,1231,1.55
17-Oct-2011,128.05,130.95,125.00, 128.90,127.85,3159,4.06
14-Oct-2011,126.85,130.60,124.00, 128.00,128.05,5441,6.97
13-Oct-2011,125.00,127.40,123.20, 126.55,125.75,6673,8.40
12-Oct-2011,126.00,126.00,123.00, 124.25,124.60,5369,6.66
11-Oct-2011,124.65,126.40,121.00, 123.90,122.95,8877,10.98
10-Oct-2011,119.65,122.90,117.55, 120.55,119.65,20387,24.33
07-Oct-2011,116.35,118.95,113.50, 117.20,117.65,50812,59.60
05-Oct-2011,116.90,116.90,110.20, 110.20,111.00,11169,12.53
04-Oct-2011,116.45,118.00,112.80, 114.40,114.60,4579,5.26
03-Oct-2011,117.00,118.80,112.70, 115.00,114.85,1735,2.00
30-Sep-2011,118.00,119.80,116.25, 117.65,117.90,3752,4.43
29-Sep-2011,119.90,120.00,118.00, 118.50,118.60,1168,1.39
28-Sep-2011,122.75,123.00,117.00, 118.85,117.65,3313,3.96
27-Sep-2011,117.10,123.95,117.10, 121.00,121.35,5106,6.20
26-Sep-2011,118.05,123.95,114.05, 116.00,115.95,6693,7.81
23-Sep-2011,125.00,126.00,119.80, 120.00,120.65,7764,9.45
22-Sep-2011,128.00,130.50,125.75, 126.00,126.30,6015,7.72
21-Sep-2011,127.00,132.30,125.75, 132.00,130.60,10161,13.09
20-Sep-2011,127.00,129.90,124.20, 125.10,126.55,3916,4.97
19-Sep-2011,130.00,132.00,126.35, 127.00,127.00,3365,4.30
16-Sep-2011,132.50,132.50,128.55, 129.15,129.70,2428,3.17
15-Sep-2011,128.85,131.65,126.00, 127.80,128.70,14194,18.42
14-Sep-2011,129.80,129.80,125.00, 128.65,127.90,2868,3.64
13-Sep-2011,130.00,130.00,127.50, 127.50,128.10,1776,2.28
12-Sep-2011,128.00,129.25,125.70, 127.50,127.05,1631,2.08
09-Sep-2011,132.25,135.55,128.60, 129.00,129.60,3198,4.23
08-Sep-2011,128.50,136.00,128.50, 134.50,134.15,6296,8.42
07-Sep-2011,131.60,131.60,127.50, 129.10,129.90,8898,11.56
06-Sep-2011,128.00,131.65,127.60, 129.00,129.00,6077,7.86
05-Sep-2011,128.00,131.00,127.05, 130.90,130.65,23911,31.01
02-Sep-2011,130.25,131.00,126.50, 128.00,128.05,8933,11.39
30-Aug-2011,127.65,131.80,123.05, 131.70,130.45,14439,18.60
29-Aug-2011,123.00,124.90,122.00, 122.95,122.85,15141,18.64
26-Aug-2011,128.00,128.00,116.80, 118.00,122.75,10847,13.25
25-Aug-2011,130.00,130.00,118.55, 126.40,123.55,11588,14.24
24-Aug-2011,130.00,130.00,123.05, 127.00,124.50,5790,7.25
23-Aug-2011,122.75,125.80,120.70, 125.00,124.05,14292,17.60
22-Aug-2011,120.70,125.00,115.10, 124.00,120.45,18549,22.02
19-Aug-2011,121.00,124.00,111.40, 122.55,120.45,24349,28.34
18-Aug-2011,133.70,133.70,121.05, 122.00,122.55,19208,24.00
17-Aug-2011,133.90,137.00,130.60, 131.00,131.30,7269,9.63
16-Aug-2011,140.20,142.65,132.00, 132.00,133.50,9192,12.65
12-Aug-2011,138.20,142.90,137.05, 139.00,140.05,9559,13.42
11-Aug-2011,135.50,138.95,135.20, 136.00,136.85,3883,5.32
10-Aug-2011,134.00,137.00,132.50, 136.70,136.25,9857,13.37
09-Aug-2011,133.95,133.95,128.10, 129.00,129.20,9103,11.88
08-Aug-2011,135.10,139.95,133.50, 134.25,134.80,11924,16.16
05-Aug-2011,140.00,141.75,136.55, 141.00,140.50,30178,41.98
04-Aug-2011,148.10,150.00,144.00, 144.95,144.65,7959,11.67
03-Aug-2011,151.15,151.50,146.50, 148.55,148.20,9114,13.51
02-Aug-2011,155.30,155.80,150.10, 152.70,151.80,7643,11.68
01-Aug-2011,153.00,159.90,151.40, 153.20,155.10,43787,68.35
29-Jul-2011,158.95,158.95,151.60, 153.05,153.65,11599,17.98
28-Jul-2011,159.00,163.50,153.40, 155.55,154.50,10575,16.45
27-Jul-2011,159.45,161.90,158.05, 158.85,158.85,18276,29.01
26-Jul-2011,169.50,169.50,160.10, 161.25,161.20,174512,286.02
25-Jul-2011,167.80,172.25,165.20, 167.00,167.60,184843,309.40
22-Jul-2011,164.00,171.00,163.00, 171.00,168.40,94856,158.32
21-Jul-2011,157.00,164.50,155.65, 163.00,162.00,186374,301.30
20-Jul-2011,159.00,159.00,154.05, 156.00,155.00,36024,56.38
19-Jul-2011,146.70,173.00,145.75, 156.50,154.90,222293,341.41
18-Jul-2011,147.20,148.80,140.50, 143.60,145.25,417220,587.34
15-Jul-2011,147.10,150.50,141.00, 147.50,148.05,17156,25.40
14-Jul-2011,143.95,151.00,140.10, 148.75,147.80,34520,50.12
13-Jul-2011,143.50,143.50,140.60, 143.20,142.40,107204,151.18
12-Jul-2011,138.25,141.35,136.30, 140.00,139.60,107168,150.00
11-Jul-2011,148.45,148.45,139.00, 141.60,140.70,24681,35.08
08-Jul-2011,146.70,151.00,143.10, 145.00,144.30,89450,131.54
07-Jul-2011,145.50,148.00,145.00, 147.00,147.70,14267,20.94
06-Jul-2011,146.00,146.25,142.00, 143.95,145.00,156516,225.43
05-Jul-2011,147.00,147.00,144.70, 145.40,145.35,150514,218.27
04-Jul-2011,151.95,151.95,145.00, 145.40,146.60,10672,15.63
01-Jul-2011,145.80,149.95,143.10, 145.65,146.40,19743,28.86
30-Jun-2011,144.75,144.80,142.40, 142.80,143.55,5212,7.47
29-Jun-2011,145.05,150.95,140.65, 141.80,141.70,23494,33.99
28-Jun-2011,150.95,151.50,144.95, 146.00,146.40,13860,20.40
27-Jun-2011,146.00,154.80,146.00, 148.30,149.00,16497,24.69
24-Jun-2011,144.00,147.00,140.15, 146.00,146.10,14106,20.41
23-Jun-2011,146.10,149.60,133.10, 138.00,140.05,64578,90.64
22-Jun-2011,156.40,156.40,147.00, 148.50,147.90,16251,24.05
21-Jun-2011,164.00,164.00,148.35, 149.70,149.30,98512,148.25
20-Jun-2011,171.00,171.00,156.00, 161.00,159.85,19011,30.59
17-Jun-2011,171.00,171.00,166.25, 168.35,167.10,7038,11.77
16-Jun-2011,170.00,170.00,165.60, 167.50,167.70,4964,8.35
15-Jun-2011,171.95,171.95,168.05, 168.45,168.50,7162,12.11
14-Jun-2011,175.50,176.85,169.15, 169.15,169.90,24850,42.85
13-Jun-2011,170.00,176.00,167.50, 174.90,174.25,34556,59.69
10-Jun-2011,172.70,172.70,166.10, 167.30,167.45,10835,18.32
09-Jun-2011,172.00,172.00,169.20, 170.00,170.05,7462,12.70
08-Jun-2011,168.80,171.50,168.75, 170.50,170.15,13205,22.43
07-Jun-2011,170.95,172.00,166.50, 169.70,168.80,30421,51.61
06-Jun-2011,172.05,175.30,168.25, 168.55,168.75,5872,9.99
03-Jun-2011,176.45,177.90,171.50, 171.60,172.05,31953,55.86
02-Jun-2011,171.10,179.95,169.95, 171.40,172.15,9024,15.71
01-Jun-2011,178.00,180.75,175.15, 176.00,176.35,133923,237.77
31-May-2011,177.85,181.90,174.15, 174.15,176.30,16388,28.97
30-May-2011,178.00,178.95,166.05, 171.60,173.30,7722,13.37
27-May-2011,176.00,178.00,175.10, 175.50,176.30,1152,2.03
26-May-2011,180.00,180.00,170.60, 177.90,173.90,7661,13.32
25-May-2011,175.80,178.20,171.10, 171.40,173.20,11068,19.33
24-May-2011,177.00,182.95,175.00, 177.00,176.85,7931,14.08
23-May-2011,186.00,186.00,176.80, 179.45,178.85,18244,33.13
20-May-2011,189.00,189.80,185.30, 185.30,186.05,3748,7.00
19-May-2011,187.00,189.80,185.00, 189.00,188.05,87333,163.42
18-May-2011,190.95,190.95,185.00, 185.00,186.35,5615,10.56
17-May-2011,191.90,191.95,188.05, 190.55,190.00,6705,12.76
16-May-2011,189.00,192.00,183.70, 187.95,188.35,15082,28.53
13-May-2011,189.35,190.25,188.00, 188.50,188.70,4706,8.88
12-May-2011,190.50,193.00,187.50, 188.30,188.00,12628,24.01
11-May-2011,199.95,202.60,190.20, 190.60,190.60,60425,117.44
10-May-2011,197.95,201.00,195.00, 200.00,199.15,6827,13.52
09-May-2011,200.00,201.70,195.25, 195.25,196.65,6031,11.91
06-May-2011,195.35,200.00,195.10, 200.00,198.95,15522,30.73
05-May-2011,197.25,199.25,195.00, 195.05,195.05,8829,17.27
04-May-2011,202.00,204.90,194.75, 202.90,201.40,38178,75.41
03-May-2011,199.65,201.70,194.00, 199.00,198.70,25518,50.79
02-May-2011,203.80,203.85,195.10, 197.30,196.95,11490,22.68
29-Apr-2011,196.10,203.80,185.60, 201.00,199.40,15304,30.49
28-Apr-2011,206.50,209.40,196.00, 200.05,199.90,45642,92.28
27-Apr-2011,213.90,213.90,206.10, 206.10,206.55,28569,59.49
26-Apr-2011,211.30,214.70,211.15, 213.00,212.45,16131,34.28
25-Apr-2011,210.65,215.90,210.00, 211.00,211.25,30607,65.10
21-Apr-2011,219.45,238.00,209.00, 210.40,211.25,575334,1283.58
20-Apr-2011,219.65,219.80,216.05, 216.10,217.30,13065,28.40
19-Apr-2011,217.00,220.00,214.60, 215.00,215.90,13311,28.97
18-Apr-2011,224.75,230.50,215.20, 216.05,217.95,112200,251.84
15-Apr-2011,224.90,224.90,220.50, 220.50,221.05,8250,18.34
13-Apr-2011,222.00,230.00,218.35, 218.50,219.30,45461,101.28
11-Apr-2011,219.00,222.95,217.10, 218.00,218.30,14274,31.37
08-Apr-2011,224.00,228.90,218.00, 219.45,218.30,15476,34.21
07-Apr-2011,225.55,233.00,221.15, 224.00,224.35,39250,88.30
06-Apr-2011,230.50,230.50,224.00, 225.00,224.80,7147,16.11
05-Apr-2011,233.80,233.80,223.60, 225.00,227.85,11127,25.57
04-Apr-2011,232.90,233.50,227.05, 229.05,232.50,17867,41.50
01-Apr-2011,220.00,230.95,220.00, 227.55,229.00,57623,130.45
31-Mar-2011,221.90,222.00,218.10, 219.00,218.95,14323,31.50
30-Mar-2011,220.00,223.85,217.65, 217.90,218.80,12796,28.23
29-Mar-2011,221.00,227.50,216.50, 216.75,217.65,50723,113.27
28-Mar-2011,217.50,221.75,214.05, 221.00,219.55,41157,89.67
25-Mar-2011,217.00,220.00,210.05, 216.50,216.80,9846,21.35
24-Mar-2011,218.65,220.50,218.00, 219.30,219.05,459,1.00
23-Mar-2011,217.20,221.80,215.50, 220.25,220.40,27225,59.67
22-Mar-2011,219.00,219.90,216.05, 216.20,217.10,3947,8.60
21-Mar-2011,216.00,219.45,215.25, 218.00,217.85,3576,7.79
18-Mar-2011,218.00,220.90,216.05, 218.00,218.00,5603,12.24
17-Mar-2011,218.90,223.00,216.05, 220.00,219.85,10721,23.63
16-Mar-2011,226.95,226.95,216.00, 217.00,220.65,17551,39.24
15-Mar-2011,225.00,229.90,223.95, 224.80,224.90,69661,156.39
14-Mar-2011,235.05,241.00,232.00, 232.70,232.80,14079,33.10
11-Mar-2011,237.50,242.00,237.50, 242.00,239.65,16181,38.62
10-Mar-2011,242.00,246.45,241.50, 242.00,242.20,6471,15.71
09-Mar-2011,237.05,242.50,237.05, 242.45,241.65,13646,32.84
08-Mar-2011,234.00,242.15,234.00, 240.00,239.75,5583,13.44
07-Mar-2011,246.15,246.15,238.40, 241.20,241.10,9161,22.00
04-Mar-2011,248.00,248.00,242.25, 246.10,246.50,299903,735.14
