Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,16.50,16.50,15.90, 16.15,16.10,604788,97.56
29-Dec-2011,16.10,16.75,15.75, 15.80,16.05,1763144,285.15
28-Dec-2011,17.00,17.20,15.60, 16.45,16.30,1075387,175.88
27-Dec-2011,18.00,18.20,17.05, 17.15,17.10,518916,90.33
26-Dec-2011,17.10,18.15,17.10, 18.00,18.00,486550,86.35
23-Dec-2011,17.00,18.20,16.90, 17.40,17.50,557701,98.34
22-Dec-2011,17.20,18.15,16.70, 17.90,17.75,611391,105.68
21-Dec-2011,17.30,17.65,16.50, 17.50,17.40,568488,96.91
20-Dec-2011,17.30,17.55,15.90, 16.35,16.40,1164606,191.18
19-Dec-2011,18.80,18.90,16.05, 17.00,17.15,1544310,265.22
16-Dec-2011,20.35,20.45,18.50, 18.85,18.90,833203,163.07
15-Dec-2011,20.30,20.40,19.35, 20.35,20.15,338408,67.08
14-Dec-2011,20.55,20.55,20.05, 20.45,20.30,251958,51.18
13-Dec-2011,20.60,20.75,19.90, 20.45,20.25,586734,118.52
12-Dec-2011,21.45,21.45,20.25, 20.60,20.50,466347,96.07
09-Dec-2011,20.90,21.20,20.30, 21.05,20.90,476169,98.78
08-Dec-2011,21.90,22.00,20.80, 20.95,20.90,576518,122.27
