Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,82.50,84.20,81.40, 81.50,82.40,5425,4.50
29-Dec-2011,79.00,84.75,79.00, 81.35,82.60,28944,23.60
28-Dec-2011,84.00,84.00,82.35, 82.35,82.55,3593,2.98
27-Dec-2011,83.00,85.00,82.45, 83.75,82.95,7681,6.40
26-Dec-2011,82.60,85.50,81.50, 82.15,82.55,47483,39.17
23-Dec-2011,81.00,84.50,81.00, 84.00,83.60,11918,9.86
22-Dec-2011,83.00,85.80,81.05, 81.95,81.95,22473,18.43
21-Dec-2011,87.40,88.00,83.50, 84.00,85.10,166109,142.85
20-Dec-2011,90.40,90.40,83.00, 83.60,84.50,8381,7.18
19-Dec-2011,85.45,87.00,83.80, 86.10,86.35,8508,7.27
16-Dec-2011,85.05,91.15,82.90, 85.75,83.70,49984,42.45
15-Dec-2011,89.00,90.00,86.75, 87.05,86.85,43406,37.83
14-Dec-2011,90.10,94.00,90.10, 90.15,90.30,103511,94.73
13-Dec-2011,100.00,100.00,94.60, 96.10,94.80,10103,9.66
12-Dec-2011,100.40,106.60,98.10, 98.10,99.55,163901,171.56
09-Dec-2011,103.00,105.00,101.10, 105.00,103.25,6353,6.57
08-Dec-2011,99.50,107.50,96.15, 106.00,104.25,21388,22.32
07-Dec-2011,114.90,118.90,103.00, 106.00,106.35,25866,28.65
05-Dec-2011,121.95,122.00,112.00, 112.00,113.20,23366,26.79
02-Dec-2011,135.00,135.00,120.50, 123.00,123.95,29023,36.08
01-Dec-2011,143.00,145.90,130.00, 130.00,131.35,55975,75.73
30-Nov-2011,134.00,136.10,111.40, 136.10,134.15,148853,190.34
29-Nov-2011,123.00,123.75,119.00, 123.75,123.75,75046,92.72
28-Nov-2011,87.00,103.15,87.00, 103.15,103.15,13633,13.96
25-Nov-2011,83.45,86.80,82.55, 85.55,85.95,6064,5.18
24-Nov-2011,86.00,86.00,81.05, 83.60,83.90,4267,3.55
23-Nov-2011,83.05,84.65,82.50, 83.50,83.05,5281,4.40
22-Nov-2011,81.00,89.85,81.00, 83.50,83.60,2810,2.37
21-Nov-2011,82.05,86.85,81.50, 82.80,83.10,2370,1.98
18-Nov-2011,82.00,88.25,81.25, 81.25,82.20,9835,8.43
17-Nov-2011,85.50,89.90,84.35, 84.55,85.35,7572,6.54
16-Nov-2011,90.15,92.35,85.15, 85.15,86.95,6264,5.47
15-Nov-2011,92.40,96.95,90.00, 90.00,91.00,4298,4.01
14-Nov-2011,97.60,101.50,93.00, 93.30,94.35,11704,11.46
11-Nov-2011,101.30,102.10,99.15, 99.30,100.10,2439,2.44
09-Nov-2011,106.00,109.00,101.25, 101.25,102.20,2508,2.61
08-Nov-2011,105.90,110.00,102.00, 106.50,107.00,4679,5.02
04-Nov-2011,97.00,108.25,97.00, 103.10,103.70,6074,6.30
03-Nov-2011,101.25,104.00,100.00, 100.05,101.30,3426,3.48
02-Nov-2011,103.85,104.25,101.00, 101.00,102.00,9224,9.56
01-Nov-2011,103.05,107.90,103.00, 103.10,103.85,12888,13.52
31-Oct-2011,103.30,112.75,103.30, 107.35,108.60,15813,17.21
28-Oct-2011,97.75,104.20,93.65, 104.20,104.20,20359,20.67
26-Oct-2011,95.90,96.00,94.05, 94.95,94.70,360,0.34
25-Oct-2011,93.95,96.00,93.55, 96.00,94.90,10087,9.54
24-Oct-2011,92.60,95.15,92.60, 95.15,94.10,7360,6.90
21-Oct-2011,88.15,94.90,88.15, 93.00,93.00,2155,2.02
20-Oct-2011,94.10,95.00,92.00, 92.05,92.15,22763,21.01
19-Oct-2011,92.15,95.00,92.15, 93.00,93.50,3977,3.76
18-Oct-2011,91.35,95.95,91.35, 93.80,93.80,2213,2.08
17-Oct-2011,96.70,96.70,93.05, 93.55,94.30,5437,5.12
14-Oct-2011,95.90,95.90,94.10, 94.90,94.45,2404,2.27
13-Oct-2011,93.80,97.70,93.50, 93.50,94.40,8154,7.71
12-Oct-2011,94.00,95.90,94.00, 94.95,94.35,4666,4.40
11-Oct-2011,93.60,98.00,93.60, 94.05,94.40,4544,4.34
10-Oct-2011,90.55,94.30,90.55, 92.50,92.70,5487,5.07
07-Oct-2011,91.05,95.10,91.05, 93.05,93.15,5858,5.47
05-Oct-2011,91.00,93.25,90.05, 90.55,90.70,1466,1.34
04-Oct-2011,90.35,96.00,90.35, 91.00,90.95,10359,9.65
03-Oct-2011,94.00,95.00,91.15, 92.55,93.25,2885,2.68
30-Sep-2011,96.40,97.50,95.10, 95.25,95.95,4067,3.92
