Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,231.05,234.20,225.85, 227.00,227.15,184780,425.67
29-Dec-2011,229.15,231.40,227.05, 229.95,229.40,34417,78.99
28-Dec-2011,229.20,230.50,220.50, 230.50,229.15,32420,74.23
27-Dec-2011,228.45,231.50,226.30, 229.90,229.30,37571,86.13
26-Dec-2011,228.05,231.75,226.60, 227.55,227.55,24438,56.02
23-Dec-2011,228.15,235.50,226.00, 227.00,227.10,92682,214.19
22-Dec-2011,226.30,229.95,224.00, 227.50,227.20,47989,108.86
21-Dec-2011,224.50,229.00,223.10, 226.00,226.30,64674,145.90
20-Dec-2011,223.30,226.95,222.00, 222.95,223.05,69971,156.39
19-Dec-2011,222.00,223.00,219.00, 221.20,221.00,57944,127.83
16-Dec-2011,226.00,230.70,222.00, 222.50,223.45,47428,107.49
15-Dec-2011,226.20,227.30,224.00, 226.50,226.05,43629,98.46
14-Dec-2011,228.25,229.80,225.55, 226.00,226.20,35890,81.73
13-Dec-2011,229.95,230.20,226.55, 228.95,228.25,29835,68.07
12-Dec-2011,232.00,233.95,230.00, 230.40,230.20,46417,107.42
09-Dec-2011,231.60,234.00,230.50, 231.05,231.35,58430,135.58
08-Dec-2011,241.20,241.90,235.10, 236.50,236.30,35832,84.95
07-Dec-2011,243.85,245.70,240.25, 241.30,241.10,45040,109.64
05-Dec-2011,242.00,246.45,240.00, 243.60,243.85,70774,172.37
02-Dec-2011,235.35,243.80,233.65, 242.45,241.95,191269,461.12
01-Dec-2011,238.70,244.00,233.00, 235.10,234.15,99799,235.87
30-Nov-2011,231.20,234.80,228.30, 231.80,231.40,60595,140.59
29-Nov-2011,229.00,235.00,226.55, 231.10,231.75,122082,283.40
28-Nov-2011,226.55,232.00,226.00, 226.50,226.45,52528,119.21
25-Nov-2011,225.00,229.60,223.00, 225.20,226.00,72881,164.94
24-Nov-2011,225.70,226.85,224.00, 226.35,225.60,101304,227.55
23-Nov-2011,223.75,226.40,223.75, 225.00,225.20,131090,295.04
22-Nov-2011,225.00,225.70,222.00, 224.00,224.10,96445,216.11
21-Nov-2011,225.00,230.90,221.10, 223.45,224.60,104280,235.78
18-Nov-2011,230.00,230.30,225.35, 226.50,226.35,73728,167.31
17-Nov-2011,233.55,233.80,230.55, 232.00,231.30,52090,120.63
16-Nov-2011,238.00,238.55,233.10, 234.05,233.55,69686,163.36
15-Nov-2011,246.95,248.50,237.85, 237.95,238.10,75350,181.88
14-Nov-2011,246.00,251.20,216.00, 246.50,247.35,272606,678.26
11-Nov-2011,251.15,254.00,249.80, 250.50,250.20,150271,376.12
09-Nov-2011,252.65,254.45,251.10, 252.25,252.00,102319,258.35
08-Nov-2011,253.55,255.00,251.85, 252.60,252.35,247610,626.01
04-Nov-2011,251.00,255.50,251.00, 252.55,252.65,426942,1081.34
03-Nov-2011,252.15,253.00,249.10, 250.00,249.85,149912,376.53
02-Nov-2011,252.00,256.50,250.00, 252.00,252.10,131153,331.82
01-Nov-2011,256.45,256.45,251.60, 252.80,252.70,81203,206.36
31-Oct-2011,253.75,259.80,252.60, 256.40,257.05,272755,700.03
28-Oct-2011,252.00,256.50,251.30, 252.50,252.30,300573,758.94
26-Oct-2011,254.90,254.90,248.40, 250.75,251.40,93940,236.33
25-Oct-2011,248.10,249.50,245.05, 247.20,247.30,74946,184.94
24-Oct-2011,250.10,251.00,247.10, 247.50,248.15,88899,222.11
21-Oct-2011,251.15,251.95,249.00, 249.50,249.75,87718,219.75
20-Oct-2011,253.60,253.60,250.05, 250.60,250.70,103394,259.62
19-Oct-2011,254.00,257.70,253.20, 253.45,253.80,109444,279.27
18-Oct-2011,250.65,254.50,250.65, 253.00,252.90,83372,210.71
17-Oct-2011,251.20,260.25,251.00, 255.00,254.80,403954,1031.38
14-Oct-2011,254.90,254.90,250.10, 250.35,250.55,131216,330.10
13-Oct-2011,259.00,259.00,252.70, 252.80,253.50,169980,435.83
12-Oct-2011,263.00,264.50,255.00, 257.00,257.10,200534,519.65
11-Oct-2011,268.00,273.00,260.10, 260.60,261.85,171339,457.39
