Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,2.80,2.90,2.65, 2.70,2.70,200314,5.50
29-Dec-2011,2.80,2.95,2.70, 2.90,2.80,67504,1.92
28-Dec-2011,2.75,2.90,2.70, 2.85,2.85,96204,2.70
27-Dec-2011,2.95,3.00,2.75, 2.80,2.75,196601,5.60
26-Dec-2011,3.00,3.05,2.90, 2.95,2.95,60477,1.79
23-Dec-2011,3.00,3.05,2.90, 2.95,2.95,130600,3.87
22-Dec-2011,3.00,3.05,2.95, 2.95,2.95,88665,2.64
21-Dec-2011,3.00,3.10,2.95, 3.00,3.00,103801,3.13
20-Dec-2011,3.05,3.05,2.80, 2.85,2.90,164660,4.82
19-Dec-2011,3.20,3.20,3.00, 3.05,3.05,77684,2.36
16-Dec-2011,3.25,3.35,3.10, 3.15,3.15,147164,4.82
15-Dec-2011,3.20,3.25,3.15, 3.15,3.15,66689,2.11
14-Dec-2011,3.30,3.30,3.10, 3.25,3.25,39797,1.29
13-Dec-2011,3.15,3.30,3.10, 3.25,3.25,54068,1.74
12-Dec-2011,3.30,3.40,3.25, 3.30,3.30,98237,3.27
09-Dec-2011,3.30,3.35,3.20, 3.25,3.30,44122,1.45
08-Dec-2011,3.40,3.45,3.30, 3.30,3.35,133667,4.51
07-Dec-2011,3.40,3.50,3.40, 3.50,3.45,43091,1.49
05-Dec-2011,3.45,3.60,3.30, 3.50,3.45,71352,2.45
02-Dec-2011,3.20,3.55,3.20, 3.50,3.45,226501,7.69
01-Dec-2011,3.20,3.40,3.15, 3.40,3.35,164939,5.46
30-Nov-2011,3.15,3.25,3.10, 3.15,3.15,39126,1.23
29-Nov-2011,3.15,3.35,3.15, 3.30,3.20,43575,1.42
28-Nov-2011,3.35,3.40,3.15, 3.20,3.25,86365,2.86
25-Nov-2011,3.05,3.25,3.05, 3.20,3.20,44663,1.42
24-Nov-2011,3.10,3.25,3.00, 3.10,3.10,84989,2.62
23-Nov-2011,3.30,3.30,3.00, 3.20,3.15,75907,2.35
22-Nov-2011,3.10,3.30,3.05, 3.25,3.20,48533,1.53
21-Nov-2011,3.10,3.35,3.05, 3.20,3.15,96589,3.07
18-Nov-2011,3.35,3.35,2.90, 3.15,3.10,221448,7.07
17-Nov-2011,3.50,3.50,3.35, 3.35,3.40,63949,2.18
16-Nov-2011,3.55,3.55,3.40, 3.40,3.40,285513,9.90
15-Nov-2011,3.60,3.65,3.50, 3.50,3.50,123496,4.42
14-Nov-2011,3.65,3.70,3.60, 3.65,3.65,80248,2.93
11-Nov-2011,3.75,3.75,3.65, 3.65,3.65,51565,1.90
09-Nov-2011,3.85,3.85,3.70, 3.70,3.70,65856,2.47
08-Nov-2011,3.75,3.80,3.75, 3.75,3.75,112825,4.26
04-Nov-2011,3.70,3.80,3.70, 3.75,3.75,85410,3.22
03-Nov-2011,3.75,3.80,3.75, 3.80,3.75,61893,2.34
02-Nov-2011,3.75,3.95,3.70, 3.75,3.80,291460,11.10
01-Nov-2011,3.70,3.80,3.65, 3.80,3.75,75388,2.82
31-Oct-2011,3.70,3.80,3.70, 3.70,3.70,59681,2.23
28-Oct-2011,3.90,3.90,3.65, 3.70,3.70,178491,6.62
