Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,6900.00,7104.00,6811.30, 6960.00,6979.20,14736,1029.74
29-Dec-2011,6614.00,6975.00,6530.00, 6915.00,6920.25,12546,851.17
28-Dec-2011,6847.90,6860.00,6590.05, 6603.50,6613.20,6095,406.76
27-Dec-2011,7020.00,7020.00,6751.00, 6800.00,6806.15,3034,209.19
26-Dec-2011,7075.00,7151.00,6911.25, 6940.00,6959.00,1666,116.31
23-Dec-2011,7048.95,7064.95,6815.00, 6960.00,6964.35,5633,394.58
22-Dec-2011,7080.00,7080.00,6820.05, 6950.00,6961.35,4536,313.60
21-Dec-2011,6979.05,7075.95,6775.00, 6880.00,6859.00,7182,493.75
20-Dec-2011,7040.00,7070.00,6910.00, 6929.00,6960.95,5136,358.01
19-Dec-2011,6938.05,7050.00,6938.05, 7000.00,7015.75,5364,375.33
16-Dec-2011,7099.00,7198.95,6961.00, 7006.00,7007.05,7661,544.85
15-Dec-2011,6985.05,7100.00,6975.00, 7080.00,7042.80,5576,391.98
14-Dec-2011,7000.00,7140.00,6931.05, 6975.00,6971.20,6485,455.69
13-Dec-2011,6989.95,7019.90,6872.00, 7010.00,6970.95,7289,506.77
12-Dec-2011,7450.00,7450.00,6935.00, 7000.00,6992.15,8268,586.96
09-Dec-2011,7289.00,7325.00,7165.10, 7230.00,7234.40,7392,535.33
08-Dec-2011,7572.00,7598.95,7306.00, 7314.00,7328.10,10264,761.27
07-Dec-2011,7610.00,7734.95,7456.05, 7540.00,7559.75,17846,1360.04
05-Dec-2011,7449.90,7650.00,7385.00, 7576.00,7608.80,22510,1701.62
02-Dec-2011,7091.00,7450.00,7065.00, 7440.10,7392.15,26288,1903.27
01-Dec-2011,7025.00,7199.00,7001.05, 7050.00,7057.20,11789,838.06
30-Nov-2011,6899.95,6999.00,6811.10, 6952.60,6961.65,12493,867.63
29-Nov-2011,6900.00,7145.00,6760.00, 6870.00,6932.05,35478,2472.11
28-Nov-2011,6755.00,6949.90,6730.10, 6889.00,6878.15,6260,427.98
25-Nov-2011,6424.00,6769.00,6400.00, 6731.00,6729.50,10201,679.06
24-Nov-2011,6432.00,6524.90,6375.00, 6385.00,6424.20,8347,536.33
23-Nov-2011,6451.15,6478.00,6330.00, 6434.00,6411.50,3601,230.31
22-Nov-2011,6475.05,6525.00,6378.00, 6500.00,6480.40,2904,187.49
21-Nov-2011,6372.00,6475.00,6341.50, 6460.00,6457.80,4620,295.83
18-Nov-2011,6425.00,6425.00,6325.00, 6400.05,6383.95,2421,154.39
17-Nov-2011,6579.75,6599.05,6400.00, 6438.00,6428.15,3037,197.44
16-Nov-2011,6743.90,6774.90,6562.20, 6599.00,6574.60,4082,270.94
15-Nov-2011,6797.90,6797.90,6651.60, 6760.00,6751.95,4743,320.00
14-Nov-2011,6770.05,6856.35,6690.00, 6780.00,6744.00,2807,189.46
11-Nov-2011,6810.00,6845.00,6720.00, 6754.10,6744.95,4350,294.89
09-Nov-2011,6790.05,6864.95,6715.00, 6796.75,6799.65,7668,520.81
08-Nov-2011,6750.00,6850.00,6686.15, 6801.00,6805.60,8310,561.91
04-Nov-2011,6750.00,6790.00,6711.25, 6740.00,6728.05,2283,153.90
03-Nov-2011,6679.60,6769.95,6632.00, 6680.00,6670.45,2865,191.93
02-Nov-2011,6685.00,6811.45,6625.50, 6732.10,6738.25,2610,175.77
01-Nov-2011,6819.95,6873.00,6680.35, 6718.00,6714.75,3103,210.21
31-Oct-2011,6800.00,6921.00,6725.00, 6823.00,6823.10,14947,1022.57
28-Oct-2011,6655.00,6950.00,6655.00, 6773.65,6760.75,6554,444.32
26-Oct-2011,6639.95,6640.00,6581.00, 6620.00,6618.40,1176,77.79
25-Oct-2011,6569.00,6630.00,6390.00, 6600.00,6572.05,6627,430.10
24-Oct-2011,6551.05,6598.95,6448.00, 6485.05,6468.45,5105,332.28
21-Oct-2011,6600.00,6617.85,6490.00, 6515.00,6524.55,3707,243.51
20-Oct-2011,6570.00,6650.00,6510.00, 6590.00,6563.75,5001,328.48
19-Oct-2011,6620.00,6624.00,6577.05, 6615.00,6605.50,5275,348.40
18-Oct-2011,6725.00,6739.95,6485.00, 6586.00,6570.20,7554,495.51
17-Oct-2011,6795.00,6830.00,6721.15, 6733.00,6748.80,3267,221.79
14-Oct-2011,6790.00,6790.00,6725.00, 6754.95,6749.25,2284,154.27
13-Oct-2011,6727.00,6821.05,6710.00, 6718.00,6747.55,6028,407.78
12-Oct-2011,6645.00,6885.00,6616.05, 6700.05,6727.15,4268,285.27
11-Oct-2011,6666.00,6787.00,6573.15, 6583.00,6605.35,6285,419.69
10-Oct-2011,6595.55,6639.90,6552.00, 6625.00,6587.45,2520,166.49
07-Oct-2011,6625.00,6640.00,6500.05, 6540.05,6563.90,2831,186.33
05-Oct-2011,6510.00,6575.00,6410.00, 6411.05,6445.60,2519,163.74
04-Oct-2011,6600.00,6644.00,6450.00, 6460.00,6472.75,5473,358.32
03-Oct-2011,6597.95,6700.00,6481.15, 6545.00,6537.70,2665,174.20
30-Sep-2011,6621.00,6695.00,6550.20, 6615.05,6617.70,4000,265.07
29-Sep-2011,6550.00,6684.95,6500.00, 6641.00,6650.80,12395,820.91
28-Sep-2011,6726.05,6787.00,6600.00, 6646.00,6641.80,4974,333.36
