Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,8.00,8.40,8.00, 8.20,8.20,898,0.07
29-Dec-2011,8.30,8.45,8.00, 8.05,8.05,2338,0.19
28-Dec-2011,8.00,8.40,8.00, 8.10,8.30,7032,0.59
27-Dec-2011,8.40,8.40,8.00, 8.30,8.25,6690,0.55
26-Dec-2011,8.30,8.35,7.80, 8.35,8.35,4720,0.39
23-Dec-2011,8.35,8.35,7.70, 7.75,7.75,505,0.04
22-Dec-2011,8.45,8.45,7.30, 7.55,7.55,2639,0.20
21-Dec-2011,7.50,8.20,7.30, 8.00,8.05,4398,0.35
20-Dec-2011,7.50,8.45,7.50, 8.05,7.95,841,0.07
19-Dec-2011,8.50,8.50,7.30, 7.70,7.50,4535,0.34
16-Dec-2011,8.15,8.15,7.40, 7.40,7.95,3082,0.25
15-Dec-2011,8.00,9.45,7.95, 8.05,8.05,14743,1.19
14-Dec-2011,9.45,9.55,8.30, 8.55,8.45,11192,0.99
13-Dec-2011,8.50,9.55,8.30, 9.55,8.95,2766,0.25
12-Dec-2011,10.00,10.10,9.05, 9.20,9.20,383,0.04
09-Dec-2011,9.50,9.85,9.40, 9.80,9.80,168,0.02
08-Dec-2011,9.95,10.00,9.40, 9.85,9.85,451,0.04
07-Dec-2011,10.00,10.00,9.60, 9.85,9.65,2774,0.27
05-Dec-2011,10.50,10.50,9.30, 10.05,10.05,1034,0.10
02-Dec-2011,9.60,9.95,9.30, 9.70,9.80,3156,0.31
01-Dec-2011,9.35,9.95,9.25, 9.30,9.45,2644,0.25
30-Nov-2011,9.95,10.25,9.65, 10.00,9.85,3791,0.38
29-Nov-2011,10.55,11.15,9.60, 9.70,9.85,1042,0.11
28-Nov-2011,9.55,10.75,9.05, 10.10,10.00,21055,2.11
25-Nov-2011,9.50,9.55,9.05, 9.05,9.05,3772,0.35
