Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,60.05,63.00,60.05, 61.95,61.75,4069,2.53
29-Dec-2011,61.10,63.75,61.10, 62.25,61.75,3204,2.00
28-Dec-2011,62.05,64.15,62.05, 63.75,63.70,2517,1.61
27-Dec-2011,63.05,65.55,63.00, 64.40,64.35,6280,4.04
26-Dec-2011,55.20,65.20,55.20, 64.35,64.90,2452,1.59
23-Dec-2011,59.05,64.75,59.05, 62.85,63.15,7232,4.58
22-Dec-2011,54.00,61.85,54.00, 61.85,61.60,4244,2.59
21-Dec-2011,58.70,64.75,58.70, 60.25,60.35,14253,8.64
20-Dec-2011,57.05,62.95,57.05, 60.25,60.20,4760,2.87
19-Dec-2011,61.10,62.50,55.00, 59.85,60.00,35551,21.38
16-Dec-2011,63.05,66.00,62.85, 63.50,63.55,10073,6.46
15-Dec-2011,65.05,65.55,64.75, 65.15,64.90,7456,4.85
14-Dec-2011,65.10,67.80,65.10, 66.25,66.05,5712,3.81
13-Dec-2011,64.05,67.50,64.05, 67.25,67.45,5956,4.01
12-Dec-2011,68.20,69.45,67.20, 67.50,67.55,3778,2.58
09-Dec-2011,67.05,69.45,67.05, 68.20,68.65,7670,5.26
08-Dec-2011,69.05,70.90,68.30, 69.40,69.15,6904,4.77
07-Dec-2011,66.50,71.00,66.50, 69.75,69.85,25045,17.50
05-Dec-2011,65.10,68.30,65.10, 68.20,68.10,9693,6.53
02-Dec-2011,65.50,67.00,65.50, 66.50,66.80,5262,3.48
01-Dec-2011,65.25,67.00,65.25, 66.40,66.40,4217,2.81
30-Nov-2011,65.05,66.40,65.05, 65.90,65.90,2010,1.32
29-Nov-2011,65.10,67.30,65.10, 67.00,66.70,6677,4.46
28-Nov-2011,66.50,67.45,66.50, 67.10,67.00,7375,4.94
25-Nov-2011,63.15,67.00,63.15, 66.15,66.25,8430,5.57
24-Nov-2011,64.80,66.50,64.80, 65.15,65.65,7986,5.22
23-Nov-2011,65.55,67.25,65.05, 65.20,65.45,18080,11.96
22-Nov-2011,63.10,74.80,63.10, 67.00,66.40,21636,14.43
21-Nov-2011,67.10,67.40,65.00, 65.15,65.20,20962,13.80
18-Nov-2011,64.05,67.90,64.05, 67.90,67.10,24790,16.38
17-Nov-2011,63.50,68.25,63.50, 66.20,65.90,26974,17.97
16-Nov-2011,64.10,67.20,64.10, 66.00,66.45,80663,53.72
15-Nov-2011,70.20,72.00,66.15, 66.25,66.70,55381,37.55
14-Nov-2011,72.00,72.75,70.20, 70.30,71.25,22653,16.22
11-Nov-2011,71.10,73.90,71.10, 73.30,73.00,25683,18.55
09-Nov-2011,72.05,75.45,72.05, 73.00,73.25,65642,48.98
08-Nov-2011,74.00,75.50,73.00, 73.75,73.75,38431,28.68
04-Nov-2011,73.60,73.80,71.50, 73.70,73.00,38575,28.10
03-Nov-2011,70.20,71.50,70.20, 70.20,70.70,9545,6.75
02-Nov-2011,71.10,72.05,71.00, 71.00,71.05,13504,9.62
01-Nov-2011,70.05,74.20,70.05, 71.45,71.75,32561,23.64
31-Oct-2011,73.90,74.00,71.60, 72.15,72.05,27011,19.62
28-Oct-2011,74.80,75.95,72.50, 73.00,73.10,170902,127.23
26-Oct-2011,70.05,83.30,70.05, 72.60,72.85,111317,81.32
25-Oct-2011,65.55,70.95,65.35, 69.15,69.55,195563,134.69
24-Oct-2011,66.60,66.95,65.10, 65.10,65.75,18126,11.99
21-Oct-2011,62.00,66.90,62.00, 65.80,65.85,103278,67.57
20-Oct-2011,61.00,63.35,61.00, 63.05,62.95,1464,0.92
19-Oct-2011,61.05,63.00,61.05, 62.05,62.60,2405,1.50
18-Oct-2011,59.10,62.65,59.10, 62.65,62.40,1420,0.88
17-Oct-2011,61.05,62.30,61.05, 61.45,61.70,1571,0.97
