Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,154.00,157.00,152.85, 154.10,155.40,75346,116.83
29-Dec-2011,155.15,157.00,153.00, 154.00,153.85,30338,46.81
28-Dec-2011,156.60,156.60,155.10, 155.15,155.40,26315,40.92
27-Dec-2011,157.50,158.30,155.20, 155.70,156.25,48500,76.09
26-Dec-2011,155.90,159.40,153.00, 155.40,155.65,65494,102.70
23-Dec-2011,163.50,163.50,154.20, 155.80,154.90,67955,105.91
22-Dec-2011,154.00,156.00,152.35, 153.20,153.60,127721,195.83
21-Dec-2011,156.00,156.00,150.50, 154.00,154.40,171099,262.38
20-Dec-2011,156.20,158.60,153.50, 154.95,154.80,142800,222.61
19-Dec-2011,158.00,158.00,154.15, 155.70,155.75,41878,65.47
16-Dec-2011,152.00,160.00,152.00, 158.00,158.00,555954,880.58
15-Dec-2011,167.70,167.95,155.25, 157.55,156.85,423957,671.61
14-Dec-2011,170.90,170.95,167.00, 168.25,167.45,74313,125.42
13-Dec-2011,170.10,170.80,168.00, 168.70,168.75,148162,250.35
12-Dec-2011,172.15,172.50,169.25, 171.15,171.50,80154,137.30
09-Dec-2011,171.95,173.00,170.15, 171.50,171.25,59712,102.34
08-Dec-2011,162.00,175.85,150.00, 174.65,173.90,98865,172.02
07-Dec-2011,174.50,178.50,174.30, 176.75,175.95,324843,572.24
05-Dec-2011,174.95,174.95,159.95, 172.00,171.90,132952,227.12
02-Dec-2011,169.95,176.50,168.10, 173.55,174.80,179917,308.92
01-Dec-2011,172.05,176.15,168.90, 170.95,169.95,173286,295.93
30-Nov-2011,170.80,170.80,165.50, 167.50,167.20,82482,137.61
29-Nov-2011,170.00,171.85,167.50, 171.50,169.95,106819,180.66
28-Nov-2011,169.20,171.35,164.15, 168.80,169.45,113047,191.92
25-Nov-2011,171.80,172.40,167.15, 167.50,168.30,149524,254.06
24-Nov-2011,169.95,172.90,165.20, 167.90,169.70,78232,131.18
23-Nov-2011,169.05,171.05,167.05, 167.15,167.85,370592,622.78
22-Nov-2011,168.50,176.25,168.00, 169.50,169.95,411149,695.60
21-Nov-2011,170.05,172.50,150.00, 168.80,168.75,130327,220.29
18-Nov-2011,176.20,176.20,143.95, 172.50,172.30,155385,265.00
17-Nov-2011,181.25,185.00,175.10, 178.00,177.95,116575,207.83
16-Nov-2011,184.00,184.90,180.00, 182.00,181.30,321632,583.73
15-Nov-2011,187.00,189.70,182.75, 184.40,183.75,140650,261.19
14-Nov-2011,188.15,191.00,186.50, 190.00,188.75,261344,495.53
11-Nov-2011,183.60,218.40,183.60, 188.90,187.85,331227,619.31
09-Nov-2011,188.20,189.00,186.00, 186.50,187.20,303756,568.78
08-Nov-2011,181.95,189.40,180.50, 188.00,188.20,387686,719.11
04-Nov-2011,178.00,181.30,177.40, 180.00,180.55,139112,249.87
03-Nov-2011,171.30,178.00,171.30, 177.95,176.20,107004,187.74
02-Nov-2011,175.00,176.40,172.10, 173.00,173.35,233617,408.52
01-Nov-2011,183.00,183.05,173.05, 174.20,174.35,244785,435.54
31-Oct-2011,180.95,187.00,177.50, 184.00,183.90,465280,857.11
28-Oct-2011,170.85,183.75,170.85, 180.25,179.85,695384,1239.89
26-Oct-2011,166.35,169.90,165.50, 168.30,167.95,56722,95.39
25-Oct-2011,166.05,167.70,163.50, 165.00,164.85,201894,332.75
24-Oct-2011,166.55,169.95,164.65, 166.00,165.65,62274,104.04
21-Oct-2011,167.00,168.90,165.00, 165.40,165.45,66969,111.78
20-Oct-2011,165.50,167.00,165.00, 166.50,166.65,29586,49.19
19-Oct-2011,167.90,168.90,166.45, 166.90,167.00,110215,184.30
18-Oct-2011,168.00,168.00,165.10, 165.75,166.40,42458,70.64
17-Oct-2011,170.00,171.85,167.10, 168.05,168.35,92022,156.19
14-Oct-2011,168.10,170.40,165.15, 169.50,169.40,92279,155.80
