Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,414.00,426.95,414.00, 422.00,420.65,722,3.04
29-Dec-2011,424.00,427.50,419.00, 419.00,420.00,612,2.58
28-Dec-2011,433.55,435.00,420.95, 421.00,424.15,1067,4.57
27-Dec-2011,447.00,447.00,440.00, 440.00,440.25,1203,5.31
26-Dec-2011,438.00,446.00,433.20, 440.00,440.00,1171,5.15
23-Dec-2011,439.25,439.25,426.10, 434.20,433.55,725,3.15
22-Dec-2011,425.00,429.75,418.10, 425.00,425.15,569,2.41
21-Dec-2011,422.10,443.00,416.25, 424.00,421.45,985,4.18
20-Dec-2011,430.00,436.95,415.05, 416.05,417.40,1087,4.62
19-Dec-2011,448.00,448.00,429.05, 430.20,432.35,1178,5.14
16-Dec-2011,446.45,465.10,446.45, 448.00,450.80,1454,6.63
15-Dec-2011,465.70,465.70,450.00, 453.00,454.75,1773,8.06
14-Dec-2011,470.00,471.05,461.05, 470.00,465.55,1088,5.07
13-Dec-2011,456.00,472.50,455.00, 465.65,467.45,1263,5.85
12-Dec-2011,471.35,479.45,469.00, 469.00,469.15,363,1.71
09-Dec-2011,467.00,481.35,467.00, 474.50,474.10,689,3.26
08-Dec-2011,486.00,495.00,477.25, 477.25,480.95,683,3.31
07-Dec-2011,492.00,493.00,480.05, 492.00,490.85,703,3.43
05-Dec-2011,482.50,499.85,478.00, 478.05,484.90,994,4.80
02-Dec-2011,482.00,484.00,470.00, 482.50,480.00,1598,7.62
01-Dec-2011,466.35,484.90,466.35, 474.00,472.05,785,3.71
30-Nov-2011,448.00,474.00,448.00, 474.00,469.05,751,3.48
29-Nov-2011,478.00,478.00,465.10, 468.10,469.55,726,3.43
28-Nov-2011,465.50,478.00,465.50, 470.10,472.35,857,4.05
25-Nov-2011,457.00,467.00,445.10, 461.00,462.75,1132,5.24
24-Nov-2011,450.00,466.50,440.00, 463.00,460.10,1417,6.38
23-Nov-2011,454.00,464.95,450.00, 450.00,450.35,1841,8.33
22-Nov-2011,474.00,474.00,462.00, 462.00,463.80,2472,11.53
21-Nov-2011,485.00,488.00,465.30, 465.30,469.05,3093,14.64
18-Nov-2011,500.10,500.10,482.10, 484.10,484.95,6796,33.23
17-Nov-2011,515.00,517.00,505.00, 510.55,512.15,1099,5.62
16-Nov-2011,500.05,518.00,500.05, 513.95,513.90,2280,11.66
15-Nov-2011,529.00,537.80,510.50, 516.00,514.30,2773,14.42
14-Nov-2011,535.00,548.00,526.00, 529.60,529.75,1508,8.03
