Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,8.00,8.00,7.60, 7.60,7.65,4719,0.36
29-Dec-2011,7.65,8.05,7.65, 8.00,7.90,1733,0.14
28-Dec-2011,8.00,8.40,7.80, 8.20,8.00,1687,0.14
27-Dec-2011,8.60,8.60,8.05, 8.05,8.10,4557,0.37
26-Dec-2011,8.00,8.65,8.00, 8.60,8.35,1580,0.13
23-Dec-2011,7.40,8.30,7.40, 8.30,8.20,5555,0.45
22-Dec-2011,7.80,7.80,6.85, 7.60,7.60,2045,0.15
21-Dec-2011,7.15,7.70,7.10, 7.20,7.50,966,0.07
20-Dec-2011,7.40,7.50,7.30, 7.30,7.35,1077,0.08
19-Dec-2011,7.00,7.50,7.00, 7.50,7.15,3325,0.24
16-Dec-2011,7.80,7.95,7.50, 7.50,7.50,683,0.05
15-Dec-2011,7.40,8.00,7.40, 8.00,8.00,1681,0.13
14-Dec-2011,8.15,8.25,8.00, 8.00,8.00,1307,0.11
13-Dec-2011,8.00,8.40,7.75, 7.95,7.85,3203,0.26
12-Dec-2011,8.00,8.40,8.00, 8.40,8.40,2441,0.20
09-Dec-2011,8.00,8.30,8.00, 8.25,8.25,946,0.08
08-Dec-2011,8.20,8.25,7.50, 8.10,7.90,13222,1.05
07-Dec-2011,8.00,8.75,8.00, 8.25,8.50,3068,0.26
05-Dec-2011,8.00,9.00,7.30, 8.10,8.10,6993,0.55
02-Dec-2011,8.50,8.50,8.10, 8.10,8.35,2420,0.20
01-Dec-2011,8.00,8.75,8.00, 8.45,8.45,11802,1.00
30-Nov-2011,8.20,8.40,8.00, 8.40,8.20,667,0.05
29-Nov-2011,8.00,8.35,8.00, 8.35,8.25,2934,0.24
28-Nov-2011,8.00,8.50,8.00, 8.50,8.25,10290,0.84
25-Nov-2011,8.15,8.50,7.65, 7.65,8.00,5984,0.49
24-Nov-2011,8.35,8.55,8.35, 8.35,8.35,3238,0.27
23-Nov-2011,10.30,10.30,8.30, 8.50,8.50,4181,0.36
22-Nov-2011,8.10,9.20,8.10, 8.95,8.90,11857,1.05
21-Nov-2011,9.55,9.55,8.00, 8.15,8.20,5682,0.48
18-Nov-2011,8.20,8.85,8.05, 8.85,8.55,10724,0.90
17-Nov-2011,8.50,8.75,8.35, 8.65,8.50,12455,1.06
16-Nov-2011,8.65,8.90,8.00, 8.75,8.65,8344,0.71
15-Nov-2011,9.65,10.40,8.80, 8.80,8.85,10426,0.97
14-Nov-2011,10.00,10.40,9.75, 9.80,9.80,8371,0.83
11-Nov-2011,10.25,10.30,9.60, 10.30,10.25,19185,1.92
09-Nov-2011,11.00,11.00,10.05, 10.40,10.25,23764,2.51
08-Nov-2011,12.00,12.20,11.10, 11.10,11.40,2328,0.27
04-Nov-2011,12.25,12.60,12.00, 12.00,12.10,5827,0.72
03-Nov-2011,12.70,12.75,12.00, 12.25,12.35,15338,1.88
02-Nov-2011,12.15,13.25,12.15, 12.65,12.75,7259,0.94
01-Nov-2011,11.10,13.80,11.10, 13.25,13.05,30630,3.99
31-Oct-2011,12.65,14.45,12.65, 13.75,13.80,73038,10.10
28-Oct-2011,10.55,12.25,10.25, 12.25,12.25,21906,2.55
26-Oct-2011,10.00,10.80,10.00, 10.20,10.20,1523,0.16
25-Oct-2011,10.00,10.50,9.75, 10.20,10.25,5180,0.52
24-Oct-2011,10.20,10.45,9.80, 10.00,10.05,15462,1.56
21-Oct-2011,10.10,11.10,10.10, 10.55,10.75,5554,0.59
20-Oct-2011,10.50,11.50,10.50, 10.70,10.75,7805,0.85
19-Oct-2011,11.85,11.85,10.70, 11.00,10.80,18109,2.02
18-Oct-2011,12.00,12.00,11.65, 11.70,11.80,4774,0.57
17-Oct-2011,12.15,13.25,12.15, 12.25,12.45,6243,0.79
14-Oct-2011,13.70,13.70,12.55, 12.60,12.65,6731,0.86
13-Oct-2011,12.00,13.60,12.00, 13.15,12.70,9257,1.19
12-Oct-2011,12.90,13.00,12.55, 12.70,12.90,7001,0.90
11-Oct-2011,13.10,13.20,12.65, 12.65,12.70,4601,0.59
10-Oct-2011,13.10,13.10,12.55, 12.85,12.85,5845,0.75
07-Oct-2011,12.00,13.70,12.00, 13.05,13.05,6025,0.78
05-Oct-2011,12.10,12.75,12.10, 12.75,12.50,11811,1.45
04-Oct-2011,11.85,13.35,11.85, 12.75,12.60,10153,1.29
03-Oct-2011,11.85,13.50,11.85, 13.00,13.10,8785,1.15
30-Sep-2011,13.70,14.10,13.45, 13.55,13.55,15312,2.11
29-Sep-2011,14.00,14.40,13.60, 14.20,14.20,5871,0.83
28-Sep-2011,14.80,14.85,14.10, 14.35,14.45,33035,4.75
27-Sep-2011,15.00,15.80,14.35, 14.65,14.70,30981,4.64
26-Sep-2011,17.10,17.15,15.00, 15.40,15.45,36723,5.86
23-Sep-2011,16.50,17.85,15.80, 17.00,17.10,98474,16.95
22-Sep-2011,17.00,18.00,16.00, 16.00,16.15,110200,18.66
21-Sep-2011,15.65,15.65,14.55, 15.65,15.65,20549,3.16
20-Sep-2011,14.85,14.90,14.85, 14.90,14.90,4658,0.69
19-Sep-2011,14.15,14.15,13.75, 14.15,14.15,4292,0.61
16-Sep-2011,12.20,13.45,12.20, 13.45,13.45,68831,8.97
15-Sep-2011,12.80,12.80,12.80, 12.80,12.80,6155,0.79
14-Sep-2011,13.45,13.45,13.45, 13.45,13.45,1855,0.25
13-Sep-2011,14.15,14.15,14.15, 14.15,14.15,1110,0.16
12-Sep-2011,14.85,14.85,14.85, 14.85,14.85,30,0.00
09-Sep-2011,17.00,17.00,15.60, 15.60,15.60,15253,2.38
08-Sep-2011,16.55,20.80,15.60, 16.60,16.40,24856,4.36
