Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,52.35,52.80,51.30, 51.80,51.60,10245,5.34
29-Dec-2011,51.85,52.50,51.85, 52.35,52.05,10188,5.30
28-Dec-2011,53.25,53.70,52.50, 52.50,52.50,12961,6.82
27-Dec-2011,55.00,55.00,53.00, 54.00,53.85,23118,12.43
26-Dec-2011,52.20,54.60,52.20, 54.25,53.85,17462,9.35
23-Dec-2011,51.50,53.55,51.15, 53.00,53.05,30014,15.84
22-Dec-2011,51.50,52.60,50.90, 52.60,52.25,21340,11.04
21-Dec-2011,51.50,52.25,51.10, 51.75,51.70,28121,14.53
20-Dec-2011,51.25,52.25,50.70, 51.85,51.50,19377,9.92
19-Dec-2011,52.00,52.15,50.60, 51.25,51.30,173710,90.14
16-Dec-2011,53.00,54.20,52.05, 52.35,52.30,36343,19.31
15-Dec-2011,54.40,54.40,51.65, 53.00,53.00,63557,33.52
14-Dec-2011,53.65,54.10,52.95, 53.10,53.20,39107,20.90
13-Dec-2011,53.55,55.00,53.25, 55.00,54.30,34703,18.76
12-Dec-2011,56.00,56.00,54.00, 54.15,54.45,27037,14.72
09-Dec-2011,53.60,56.90,53.30, 55.00,55.40,32506,17.86
08-Dec-2011,55.00,55.25,54.00, 54.00,54.10,16521,9.00
07-Dec-2011,54.60,55.20,54.30, 54.40,54.80,47211,25.87
05-Dec-2011,55.75,56.20,54.55, 55.10,55.10,105275,58.65
02-Dec-2011,54.90,54.95,54.30, 54.90,54.80,29146,15.96
01-Dec-2011,54.50,55.90,54.50, 54.70,54.75,58812,32.33
30-Nov-2011,54.05,55.00,53.55, 53.95,54.05,69736,37.89
29-Nov-2011,55.90,55.90,53.05, 54.50,54.25,133312,71.96
28-Nov-2011,57.50,58.00,54.40, 54.40,54.90,295808,165.49
25-Nov-2011,57.10,58.30,56.60, 57.05,57.40,50692,29.18
24-Nov-2011,57.60,57.70,54.65, 57.50,57.50,45870,25.94
23-Nov-2011,59.20,59.20,56.80, 57.50,57.65,68141,39.27
22-Nov-2011,60.00,60.50,58.65, 58.90,59.20,45396,26.91
21-Nov-2011,60.90,61.40,59.00, 59.50,59.65,135285,80.75
18-Nov-2011,60.00,60.85,59.30, 60.00,59.90,31169,18.65
17-Nov-2011,62.35,62.35,60.00, 60.05,60.25,26171,15.95
16-Nov-2011,63.40,63.40,60.55, 60.90,61.00,57902,35.41
15-Nov-2011,65.00,65.00,59.55, 62.00,61.80,241650,148.44
14-Nov-2011,66.70,66.70,64.20, 64.50,64.60,26908,17.53
11-Nov-2011,66.75,66.75,64.65, 65.60,65.70,73366,48.08
