Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,24.85,25.90,23.80, 24.10,24.00,66380,16.51
29-Dec-2011,22.95,26.10,22.95, 25.00,24.75,196719,48.60
28-Dec-2011,22.50,22.90,22.00, 22.90,22.55,12100,2.72
27-Dec-2011,22.10,22.50,21.95, 22.50,22.35,7861,1.75
26-Dec-2011,22.30,22.45,21.60, 22.25,22.10,11522,2.55
23-Dec-2011,22.75,22.80,21.70, 22.50,22.10,16130,3.61
22-Dec-2011,22.10,22.55,22.05, 22.45,22.40,5346,1.20
21-Dec-2011,22.45,22.80,22.10, 22.70,22.50,11944,2.69
20-Dec-2011,22.80,23.20,21.45, 22.50,22.05,55617,12.46
19-Dec-2011,22.00,22.50,21.15, 21.95,21.45,27194,5.95
16-Dec-2011,22.25,23.35,22.15, 22.25,22.40,14805,3.34
15-Dec-2011,23.10,23.50,22.70, 22.80,22.75,15070,3.45
14-Dec-2011,24.05,24.40,23.40, 23.60,23.45,5244,1.25
13-Dec-2011,24.20,24.90,23.95, 24.50,24.40,19124,4.70
12-Dec-2011,25.05,25.10,24.70, 24.80,24.85,20239,5.03
09-Dec-2011,24.30,25.45,24.20, 24.90,24.85,219374,54.44
08-Dec-2011,23.60,23.90,23.10, 23.90,23.70,21320,4.99
07-Dec-2011,23.30,23.80,23.05, 23.55,23.55,33973,7.95
05-Dec-2011,23.00,23.95,22.00, 23.75,23.55,10994,2.57
02-Dec-2011,23.35,23.75,23.00, 23.20,23.50,10899,2.55
01-Dec-2011,23.90,23.90,22.55, 23.50,23.25,21788,5.01
30-Nov-2011,22.35,23.00,22.05, 22.60,22.60,7699,1.73
29-Nov-2011,23.00,23.40,22.30, 23.00,22.90,29716,6.85
28-Nov-2011,22.00,23.25,22.00, 23.15,23.05,32253,7.38
25-Nov-2011,21.55,22.25,21.00, 21.70,21.85,36980,7.97
24-Nov-2011,22.40,23.25,21.55, 21.75,21.70,58227,12.83
23-Nov-2011,23.05,23.35,22.40, 22.70,22.60,18159,4.13
22-Nov-2011,23.90,23.90,23.00, 23.05,23.10,16004,3.73
21-Nov-2011,23.35,24.45,23.15, 23.45,23.30,43968,10.48
18-Nov-2011,22.70,24.50,22.50, 23.10,23.35,133195,31.63
17-Nov-2011,23.15,23.90,23.10, 23.25,23.35,24556,5.76
16-Nov-2011,24.05,24.20,23.00, 23.35,23.50,35216,8.21
15-Nov-2011,23.90,24.25,23.15, 23.40,23.30,21835,5.14
14-Nov-2011,24.40,24.75,23.50, 23.60,23.70,30029,7.26
11-Nov-2011,24.90,25.00,24.20, 24.25,24.30,14256,3.50
09-Nov-2011,25.60,25.95,24.75, 25.05,25.00,30495,7.73
08-Nov-2011,24.50,26.30,24.30, 25.25,25.10,117949,29.83
04-Nov-2011,24.00,25.00,23.50, 24.85,24.80,96293,23.47
03-Nov-2011,24.25,24.25,23.00, 23.75,23.45,110943,26.20
02-Nov-2011,23.90,24.55,23.90, 23.90,23.95,42850,10.35
01-Nov-2011,24.50,25.30,23.95, 24.00,24.10,57595,14.05
31-Oct-2011,24.40,25.50,24.40, 25.20,25.25,102159,25.64
28-Oct-2011,25.00,25.05,24.00, 24.35,24.15,78380,19.05
