Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,4135.00,4135.00,4016.00, 4098.90,4094.85,19746,805.02
29-Dec-2011,4197.00,4210.00,4100.00, 4100.00,4112.55,3558,147.29
28-Dec-2011,4210.15,4239.00,4145.00, 4175.00,4207.65,135687,5719.06
27-Dec-2011,4149.00,4240.00,4145.00, 4204.00,4219.05,13254,557.06
26-Dec-2011,4093.70,4151.00,4088.00, 4140.00,4139.15,3780,155.99
23-Dec-2011,4135.00,4139.90,4013.40, 4081.00,4087.45,17917,732.89
22-Dec-2011,4024.85,4140.00,3980.10, 4120.00,4113.40,47714,1933.48
21-Dec-2011,4125.05,4125.05,3970.00, 3983.00,3983.85,46227,1856.99
20-Dec-2011,4189.00,4199.90,4012.00, 4020.00,4114.25,18419,765.19
19-Dec-2011,4162.20,4208.00,4132.40, 4166.95,4160.00,22192,923.08
16-Dec-2011,4185.05,4260.00,4184.20, 4223.00,4206.85,11908,502.43
15-Dec-2011,4135.00,4230.00,4130.00, 4229.90,4228.25,13763,578.44
14-Dec-2011,4170.00,4199.00,4151.00, 4179.00,4169.00,42622,1777.36
13-Dec-2011,4150.00,4205.00,4145.25, 4172.00,4169.25,9748,406.49
12-Dec-2011,4250.00,4250.00,4192.00, 4226.00,4212.85,17592,743.61
09-Dec-2011,4239.95,4248.70,4167.00, 4200.00,4190.55,14142,593.24
08-Dec-2011,4238.00,4260.00,4193.10, 4245.00,4244.40,14732,625.79
07-Dec-2011,4249.90,4260.00,4160.20, 4208.00,4205.20,25295,1064.60
05-Dec-2011,4241.00,4272.00,4200.10, 4206.00,4213.75,8079,342.68
02-Dec-2011,4206.55,4238.95,4170.00, 4213.50,4222.70,11540,484.47
01-Dec-2011,4242.00,4275.00,4190.00, 4191.05,4206.55,8271,350.19
30-Nov-2011,4200.10,4250.00,4175.25, 4199.50,4222.55,20479,862.24
29-Nov-2011,4253.00,4253.00,4180.00, 4199.95,4192.60,4834,203.64
28-Nov-2011,4230.95,4254.30,4201.50, 4241.00,4238.70,5322,225.56
25-Nov-2011,4185.50,4274.90,4150.00, 4204.90,4196.70,30877,1300.72
24-Nov-2011,4180.25,4238.25,4175.00, 4185.00,4185.45,59350,2484.73
23-Nov-2011,4263.25,4275.05,4180.50, 4199.95,4194.75,10585,445.72
22-Nov-2011,4350.05,4367.40,4260.00, 4288.00,4276.50,21370,918.60
21-Nov-2011,4427.95,4430.00,4350.00, 4353.00,4368.65,7510,330.52
18-Nov-2011,4475.00,4490.00,4376.00, 4440.00,4428.00,108068,4799.44
17-Nov-2011,4410.00,4496.00,4405.10, 4475.00,4473.65,28757,1283.78
16-Nov-2011,4421.50,4450.00,4353.15, 4450.00,4419.95,33620,1479.41
15-Nov-2011,4388.00,4464.75,4370.00, 4425.00,4421.30,40444,1788.40
14-Nov-2011,4490.00,4500.50,4345.00, 4398.00,4388.95,13500,596.76
11-Nov-2011,4430.05,4507.95,4320.05, 4490.00,4488.55,45482,2040.60
09-Nov-2011,4450.00,4469.00,4391.25, 4426.95,4425.40,12883,571.63
08-Nov-2011,4540.00,4588.70,4348.70, 4352.00,4364.85,17108,757.79
04-Nov-2011,4435.00,4500.00,4416.00, 4500.00,4497.45,24340,1090.48
03-Nov-2011,4404.25,4435.00,4387.00, 4401.00,4409.85,13897,614.04
02-Nov-2011,4337.45,4440.00,4300.05, 4410.00,4404.15,17647,776.10
01-Nov-2011,4167.45,4399.90,4167.45, 4340.00,4359.80,35114,1508.03
31-Oct-2011,4206.00,4275.00,4199.90, 4199.90,4243.85,89170,3790.76
28-Oct-2011,4315.00,4339.95,4236.00, 4248.00,4256.30,14264,610.28
26-Oct-2011,4344.00,4344.00,4269.80, 4270.00,4293.00,1239,53.32
25-Oct-2011,4300.95,4323.00,4250.35, 4280.45,4277.80,5360,229.13
24-Oct-2011,4300.00,4339.95,4235.00, 4280.00,4279.55,10652,455.94
21-Oct-2011,4292.60,4347.70,4292.60, 4294.00,4306.55,13505,582.95
20-Oct-2011,4154.95,4290.00,4110.00, 4240.00,4267.65,13861,584.44
19-Oct-2011,4140.00,4168.95,4056.25, 4110.00,4124.15,10440,428.56
18-Oct-2011,4145.00,4155.95,4125.00, 4135.00,4136.50,3147,130.22
17-Oct-2011,4218.65,4218.65,4120.00, 4147.00,4154.70,3909,162.73
14-Oct-2011,4187.85,4220.00,4170.00, 4189.00,4181.60,7788,326.09
13-Oct-2011,4229.00,4229.00,4189.05, 4205.00,4206.15,2594,109.14
12-Oct-2011,4200.00,4240.00,4160.00, 4221.00,4217.20,23847,1000.21
11-Oct-2011,4228.95,4228.95,4130.00, 4143.25,4152.40,6776,284.12
10-Oct-2011,4224.00,4230.00,4201.00, 4215.00,4214.30,3363,141.98
07-Oct-2011,4234.95,4285.00,4172.05, 4219.00,4214.25,20190,848.31
05-Oct-2011,4170.00,4210.00,4168.25, 4200.00,4198.90,27912,1172.07
