Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,18.20,18.20,17.90, 18.10,18.05,4557338,820.65
29-Dec-2011,18.45,18.60,17.65, 17.80,17.90,10248024,1849.25
28-Dec-2011,18.70,18.70,18.35, 18.45,18.50,2867294,530.52
27-Dec-2011,19.30,19.30,18.50, 18.60,18.70,3567245,673.75
26-Dec-2011,19.25,19.25,18.85, 18.90,18.90,1505059,285.72
23-Dec-2011,19.20,19.30,19.00, 19.05,19.05,3307176,630.77
22-Dec-2011,18.75,19.15,18.35, 19.05,19.05,5165169,973.78
21-Dec-2011,19.00,19.20,18.40, 18.85,18.75,4697180,887.53
20-Dec-2011,19.00,19.35,18.35, 18.55,18.55,5068709,950.45
19-Dec-2011,20.40,20.40,18.95, 19.05,19.10,11157039,2155.62
16-Dec-2011,20.00,20.40,19.85, 19.95,19.95,4812807,965.88
15-Dec-2011,20.20,20.25,19.85, 20.10,20.00,8813665,1761.72
14-Dec-2011,21.00,21.00,20.30, 20.30,20.40,5613933,1150.82
13-Dec-2011,21.50,21.50,20.20, 21.05,21.00,15174411,3133.16
12-Dec-2011,22.00,22.25,21.20, 21.20,21.50,3313358,719.10
09-Dec-2011,22.05,22.15,21.80, 21.90,21.95,3033803,665.63
08-Dec-2011,22.60,22.65,22.00, 22.20,22.15,3909266,868.55
07-Dec-2011,22.70,23.00,22.50, 22.60,22.60,4076656,924.45
05-Dec-2011,22.85,22.95,22.50, 22.75,22.60,3786656,859.38
02-Dec-2011,22.70,22.95,22.40, 22.90,22.85,3441835,778.77
01-Dec-2011,23.60,23.60,22.45, 22.55,22.65,3681384,839.04
30-Nov-2011,22.70,23.05,22.35, 22.55,22.45,4797864,1087.52
29-Nov-2011,22.90,23.05,22.70, 22.75,22.80,2455235,562.53
28-Nov-2011,22.45,22.90,22.45, 22.85,22.80,16773265,3815.48
25-Nov-2011,22.40,22.60,22.10, 22.45,22.40,5474680,1229.86
24-Nov-2011,22.40,22.65,21.85, 22.40,22.30,7486170,1669.64
23-Nov-2011,22.45,22.75,22.00, 22.55,22.45,5338861,1192.36
22-Nov-2011,22.50,23.10,22.50, 22.70,22.75,2334516,531.71
21-Nov-2011,23.05,23.10,22.50, 22.60,22.55,3008922,684.98
18-Nov-2011,23.10,23.15,22.75, 23.00,23.05,3527573,810.31
17-Nov-2011,23.60,23.60,23.05, 23.10,23.10,1511861,352.31
16-Nov-2011,23.80,23.80,23.45, 23.50,23.60,2746538,648.21
15-Nov-2011,23.40,24.05,23.20, 23.75,23.85,6626579,1561.54
14-Nov-2011,24.00,24.10,23.30, 23.30,23.35,1571473,370.88
11-Nov-2011,24.15,24.20,23.65, 23.75,23.70,12600414,2996.56
09-Nov-2011,24.70,24.75,24.15, 24.15,24.20,6384739,1557.85
08-Nov-2011,25.40,25.40,24.30, 24.60,24.65,1636283,402.94
04-Nov-2011,24.75,25.25,24.60, 24.85,24.80,8016695,2000.82
03-Nov-2011,24.75,24.90,24.45, 24.45,24.50,3234702,794.44
02-Nov-2011,24.30,24.80,24.30, 24.65,24.60,2537932,625.67
01-Nov-2011,25.00,25.25,24.40, 24.45,24.50,4793306,1189.04
31-Oct-2011,24.80,25.40,24.70, 25.05,25.05,4315482,1084.50
28-Oct-2011,23.65,25.10,23.65, 24.85,24.85,10030425,2479.15
26-Oct-2011,23.60,23.70,23.35, 23.70,23.65,980025,231.48
25-Oct-2011,23.35,23.45,23.20, 23.40,23.35,2414840,563.20
24-Oct-2011,23.25,23.45,23.15, 23.30,23.35,3086521,720.15
21-Oct-2011,23.20,23.35,23.00, 23.05,23.10,1569434,364.24
20-Oct-2011,23.20,23.30,23.05, 23.30,23.25,2612909,605.19
19-Oct-2011,23.45,23.45,23.15, 23.20,23.20,1387622,322.72
18-Oct-2011,23.10,23.30,23.05, 23.15,23.10,1125041,260.13
17-Oct-2011,23.50,23.60,23.15, 23.20,23.20,1435885,334.81
14-Oct-2011,23.40,23.45,23.25, 23.45,23.40,1297370,303.05
13-Oct-2011,23.65,23.70,23.40, 23.40,23.40,1482124,348.37
12-Oct-2011,23.40,23.85,23.40, 23.55,23.60,4429332,1044.45
11-Oct-2011,23.30,23.55,23.15, 23.40,23.40,3156852,737.49
10-Oct-2011,23.20,23.35,23.00, 23.10,23.10,4588746,1065.23
07-Oct-2011,23.10,23.55,23.10, 23.25,23.25,4968660,1156.88
05-Oct-2011,23.70,23.95,23.00, 23.05,23.05,3634061,842.62
04-Oct-2011,23.65,23.85,23.30, 23.35,23.35,2257001,531.48
03-Oct-2011,23.50,23.75,23.10, 23.70,23.60,2121924,496.83
30-Sep-2011,24.15,24.15,23.20, 23.65,23.50,2393122,561.60
29-Sep-2011,23.45,23.60,23.15, 23.40,23.45,5757965,1344.81
28-Sep-2011,23.70,23.80,23.40, 23.45,23.45,1055248,248.57
27-Sep-2011,23.60,23.80,23.40, 23.75,23.70,1791260,423.48
26-Sep-2011,23.50,23.70,23.10, 23.20,23.30,1782019,416.15
23-Sep-2011,23.70,23.90,22.95, 23.55,23.60,5107673,1207.96
22-Sep-2011,24.20,24.40,24.00, 24.05,24.05,2612726,631.10
21-Sep-2011,24.00,24.65,24.00, 24.50,24.50,1209613,296.46
20-Sep-2011,24.55,24.75,24.35, 24.65,24.65,1653343,405.77
19-Sep-2011,24.10,24.65,24.05, 24.65,24.50,2643431,644.34
16-Sep-2011,24.40,24.70,24.00, 24.15,24.10,3395857,825.30
15-Sep-2011,24.60,24.75,24.25, 24.50,24.40,1440932,352.06
14-Sep-2011,24.40,24.75,24.20, 24.55,24.55,1656801,405.08
13-Sep-2011,24.50,25.10,24.20, 24.35,24.30,3198256,790.82
12-Sep-2011,24.10,24.95,23.75, 24.45,24.40,3308743,805.97
09-Sep-2011,24.20,24.65,24.00, 24.15,24.20,4217377,1023.86
08-Sep-2011,24.00,24.20,23.85, 24.10,24.10,2607601,625.95
07-Sep-2011,23.80,24.05,23.75, 23.90,23.85,5083104,1215.26
06-Sep-2011,24.05,24.10,23.55, 23.65,23.70,3642702,862.85
05-Sep-2011,24.10,24.15,23.65, 24.05,24.05,1807646,431.71
02-Sep-2011,24.00,24.20,23.80, 24.00,24.00,2545998,609.64
30-Aug-2011,24.50,24.60,23.95, 24.35,24.30,2001439,485.99
29-Aug-2011,23.70,25.00,23.70, 24.30,24.25,4853691,1176.26
26-Aug-2011,23.90,24.25,23.65, 23.95,23.90,4598720,1099.63
25-Aug-2011,24.20,24.20,23.55, 23.95,24.00,3802212,909.40
24-Aug-2011,24.00,24.25,23.80, 23.80,23.95,3687330,885.64
23-Aug-2011,23.60,24.15,23.40, 24.00,24.00,2600083,619.63
22-Aug-2011,23.25,23.75,23.05, 23.60,23.50,2962844,689.60
19-Aug-2011,23.95,24.05,23.10, 23.20,23.20,5793847,1360.10
18-Aug-2011,24.80,24.85,24.10, 24.10,24.20,3189580,777.09
17-Aug-2011,24.80,25.00,24.60, 24.75,24.75,2615767,647.76
16-Aug-2011,25.00,25.25,24.55, 24.85,24.75,2390474,593.76
12-Aug-2011,25.00,25.25,24.55, 25.05,25.05,3277864,817.12
11-Aug-2011,25.30,25.35,24.80, 24.85,24.90,3332965,835.08
10-Aug-2011,24.25,25.60,24.25, 25.15,25.20,7730014,1939.21
09-Aug-2011,23.70,24.60,23.25, 24.15,24.20,5658482,1358.35
08-Aug-2011,24.05,24.30,23.70, 24.00,24.10,3873268,927.70
05-Aug-2011,24.55,24.80,24.05, 24.60,24.50,4173126,1020.01
04-Aug-2011,25.55,25.90,25.05, 25.10,25.15,3817212,973.33
03-Aug-2011,24.55,25.70,24.55, 25.55,25.50,6833412,1727.33
02-Aug-2011,24.75,25.10,24.40, 25.05,24.90,5172317,1278.32
01-Aug-2011,24.65,24.90,24.55, 24.75,24.75,1719164,424.35
29-Jul-2011,24.75,24.95,24.50, 24.65,24.65,2518068,623.87
28-Jul-2011,25.00,25.05,24.50, 24.70,24.70,6022868,1490.57
27-Jul-2011,25.00,25.25,24.95, 25.00,25.05,2300231,576.51
26-Jul-2011,25.05,25.30,24.90, 25.10,25.05,3277416,821.19
25-Jul-2011,24.00,25.15,24.00, 25.05,25.05,1953153,488.84
22-Jul-2011,25.00,25.30,25.00, 25.05,25.10,2807325,705.68
21-Jul-2011,24.80,25.10,24.75, 25.05,25.05,3857628,962.27
20-Jul-2011,23.00,25.15,23.00, 24.80,24.85,2651806,660.21
19-Jul-2011,25.00,25.00,24.80, 24.95,24.95,2560104,638.11
18-Jul-2011,27.00,27.00,24.80, 24.90,24.90,3854766,962.57
15-Jul-2011,25.00,25.25,24.90, 24.90,24.90,2313717,578.32
14-Jul-2011,25.00,25.50,24.85, 24.90,24.95,7194711,1807.75
13-Jul-2011,24.70,25.15,24.70, 25.05,25.05,4425701,1107.09
12-Jul-2011,24.70,25.05,24.55, 24.65,24.70,8152672,2017.82
11-Jul-2011,24.55,24.90,24.55, 24.85,24.80,2766845,685.68
08-Jul-2011,25.00,25.00,24.65, 24.85,24.85,2312385,575.00
07-Jul-2011,24.75,25.00,24.75, 24.85,24.90,1823783,453.98
06-Jul-2011,25.00,25.10,24.70, 24.75,24.75,8684277,2166.92
05-Jul-2011,25.00,25.15,24.70, 24.95,24.90,1751899,435.16
04-Jul-2011,24.75,25.00,24.65, 24.95,24.85,2917580,724.39
01-Jul-2011,24.30,25.05,24.25, 24.60,24.60,4942811,1219.11
30-Jun-2011,24.00,24.10,23.90, 24.05,24.00,4721670,1132.93
29-Jun-2011,24.10,24.15,23.85, 23.95,23.95,3040024,729.18
28-Jun-2011,23.60,24.00,23.45, 23.95,23.95,9683215,2293.30
27-Jun-2011,23.00,23.50,22.70, 23.45,23.50,4891341,1141.77
24-Jun-2011,22.75,23.15,22.70, 23.00,23.00,3089121,709.90
23-Jun-2011,23.00,23.20,22.45, 22.70,22.65,5316507,1209.60
22-Jun-2011,23.45,23.50,23.00, 23.10,23.05,1544852,358.01
21-Jun-2011,23.50,24.00,23.25, 23.40,23.35,3501373,821.37
20-Jun-2011,24.10,24.20,23.00, 23.75,23.75,3069197,727.19
17-Jun-2011,23.80,24.55,23.50, 24.05,24.10,2992750,725.97
