Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,180.05,186.25,180.05, 183.00,183.35,1513,2.78
29-Dec-2011,194.60,194.60,182.25, 183.50,183.65,302,0.56
28-Dec-2011,189.95,190.00,184.00, 185.50,186.05,1302,2.44
27-Dec-2011,191.00,192.00,188.00, 190.40,190.15,436,0.83
26-Dec-2011,189.00,192.95,188.05, 191.85,191.35,215,0.41
23-Dec-2011,188.00,190.00,185.00, 189.80,187.95,2054,3.86
22-Dec-2011,190.00,192.95,183.00, 189.40,188.45,1540,2.91
21-Dec-2011,190.00,190.00,180.00, 188.00,189.00,1483,2.78
20-Dec-2011,198.05,198.05,185.00, 189.40,188.30,3209,6.07
19-Dec-2011,213.10,213.25,196.00, 200.00,199.65,3325,6.69
16-Dec-2011,218.60,229.00,207.00, 211.25,212.65,4309,9.51
15-Dec-2011,221.00,226.00,216.00, 221.00,222.90,2429,5.31
14-Dec-2011,221.00,230.00,216.00, 221.25,226.10,1058,2.39
13-Dec-2011,229.95,229.95,226.00, 228.00,226.25,24335,55.71
12-Dec-2011,238.50,244.75,224.05, 226.00,226.05,53226,123.74
09-Dec-2011,233.05,243.20,230.00, 243.20,237.65,901,2.12
08-Dec-2011,247.95,247.95,238.00, 242.35,241.85,1074,2.59
07-Dec-2011,244.50,245.00,242.05, 245.00,243.85,3850,9.42
05-Dec-2011,242.00,254.25,240.20, 243.50,244.45,6279,15.45
02-Dec-2011,236.00,246.65,235.25, 246.00,240.20,715,1.70
01-Dec-2011,233.00,241.00,230.00, 239.00,235.45,1543,3.61
30-Nov-2011,239.05,239.05,231.05, 232.75,234.15,500,1.18
29-Nov-2011,247.50,247.50,236.50, 241.00,239.55,1486,3.57
28-Nov-2011,233.00,244.80,233.00, 236.25,238.05,1932,4.62
25-Nov-2011,218.00,246.60,218.00, 227.05,230.65,15063,35.33
24-Nov-2011,213.05,215.95,210.00, 214.90,213.20,1342,2.86
23-Nov-2011,211.10,217.50,210.00, 217.50,214.30,514,1.10
22-Nov-2011,223.05,230.00,211.15, 219.00,217.90,4967,10.77
21-Nov-2011,227.95,249.00,215.00, 229.00,224.50,3199,7.22
18-Nov-2011,228.05,228.05,219.30, 219.50,221.90,2392,5.33
17-Nov-2011,239.90,239.90,231.25, 232.10,232.20,749,1.75
16-Nov-2011,247.90,247.90,229.10, 238.00,234.50,5677,13.32
15-Nov-2011,251.20,257.90,246.00, 246.00,247.30,1774,4.45
14-Nov-2011,261.00,261.00,256.25, 256.60,256.95,583,1.50
11-Nov-2011,258.05,261.70,256.40, 257.45,257.60,3567,9.23
09-Nov-2011,271.10,274.75,262.00, 265.75,265.45,5724,15.21
08-Nov-2011,282.00,282.00,270.00, 270.50,271.05,9918,27.13
04-Nov-2011,309.90,309.90,270.25, 280.00,279.85,114159,320.57
03-Nov-2011,260.00,294.00,255.25, 293.00,279.55,7723,21.48
02-Nov-2011,256.50,268.00,247.40, 258.10,259.05,1975,5.10
01-Nov-2011,256.15,258.05,255.50, 257.65,257.30,402,1.03
31-Oct-2011,259.00,259.00,257.00, 257.00,257.00,787,2.03
28-Oct-2011,264.00,264.00,257.00, 257.00,258.60,6795,17.61
